PRCP       036026 18850101 20180131 missing_value=99999.9 ISISFORD POST OFFICE                      
18850101 18850131    83.1
18850201 18850228    43.7
18850301 18850331    32.3
18850401 18850430    12.7
18850501 18850531     0.0
18850601 18850630    33.5
18850701 18850731     0.0
18850801 18850831     0.0
18850901 18850930     0.0
18851001 18851031     0.0
18851101 18851130     2.0
18851201 18851231    89.4
18860101 18860131    37.6
18860201 18860228     8.9
18860301 18860331     0.5
18860401 18860430    30.0
18860501 18860531    48.8
18860601 18860630    87.6
18860701 18860731    99.8
18860801 18860831   140.7
18860901 18860930    56.9
18861001 18861031    27.7
18861101 18861130    87.6
18861201 18861231   114.3
18870101 18870131    69.0
18870201 18870228   155.4
18870301 18870331   118.1
18870401 18870430     0.0
18870501 18870531    34.8
18870601 18870630    12.4
18870701 18870731    16.3
18870801 18870831    36.9
18870901 18870930     0.0
18871001 18871031     9.6
18871101 18871130    57.5
18871201 18871231   151.2
18880101 18880131    20.1
18880201 18880229    48.2
18880301 18880331    15.0
18880401 18880430     0.0
18880501 18880531    35.5
18880601 18880630     0.0
18880701 18880731     0.0
18880801 18880831     1.0
18880901 18880930     0.0
18881001 18881031     0.0
18881101 18881130    32.6
18881201 18881231    38.8
18890101 18890131    10.2
18890201 18890228    35.1
18890301 18890331    14.7
18890401 18890430   127.4
18890501 18890531    51.9
18890601 18890630    10.7
18890701 18890731    11.4
18890801 18890831    16.0
18890901 18890930    15.0
18891001 18891031     0.0
18891101 18891130    82.4
18891201 18891231    43.4
18900101 18900131   184.5
18900201 18900228    88.0
18900301 18900331   330.7
18900401 18900430    46.7
18900501 18900531    72.2
18900601 18900630    63.7
18900701 18900731    19.6
18900801 18900831    17.8
18900901 18900930    54.1
18901001 18901031    48.2
18901101 18901130     2.5
18901201 18901231   124.2
18910101 18910131   353.3
18910201 18910228    38.9
18910301 18910331   143.5
18910401 18910430   455.4
18910501 18910531    36.3
18910601 18910630    77.5
18910701 18910731     8.3
18910801 18910831    21.6
18910901 18910930    13.8
18911001 18911031    12.9
18911101 18911130    27.4
18911201 18911231     6.1
18920101 18920131   177.3
18920201 18920229    15.7
18920301 18920331     5.3
18920401 18920430     5.8
18920501 18920531    50.2
18920601 18920630    21.8
18920701 18920731    58.0
18920801 18920831     0.0
18920901 18920930     7.9
18921001 18921031    47.6
18921101 18921130    10.4
18921201 18921231     0.8
18930101 18930131    34.4
18930201 18930228    11.4
18930301 18930331    62.8
18930401 18930430     6.1
18930501 18930531    88.1
18930601 18930630    66.0
18930701 18930731     0.0
18930801 18930831    23.9
18930901 18930930     0.0
18931001 18931031     2.6
18931101 18931130    72.5
18931201 18931231    27.3
18940101 18940131     9.7
18940201 18940228   270.9
18940301 18940331   208.6
18940401 18940430    63.6
18940501 18940531   120.4
18940601 18940630   109.6
18940701 18940731     0.0
18940801 18940831    19.8
18940901 18940930    13.7
18941001 18941031    21.9
18941101 18941130    11.4
