PRCP       036028 18910101 20140630 missing_value=99999.9 LERIDA                                    
18910101 18910131   340.7
18910201 18910228    54.5
18910301 18910331   133.1
18910401 18910430   265.3
18910501 18910531    42.9
18910601 18910630    44.8
18910701 18910731     0.0
18910801 18910831    20.2
18910901 18910930     0.0
18911001 18911031     5.4
18911101 18911130     5.4
18911201 18911231    16.6
18920101 18920131   138.1
18920201 18920229    13.4
18920301 18920331    11.0
18920401 18920430     2.1
18920501 18920531    43.2
18920601 18920630     4.3
18920701 18920731     9.4
18920801 18920831     0.0
18920901 18920930     0.0
18921001 18921031    40.2
18921101 18921130     7.0
18921201 18921231     0.0
18930101 18930131    48.8
18930201 18930228    17.7
18930301 18930331    77.3
18930401 18930430     6.1
18930501 18930531    66.0
18930601 18930630    35.7
18930701 18930731    44.6
18930801 18930831    13.1
18930901 18930930     0.0
18931001 18931031     0.0
18931101 18931130    15.5
18931201 18931231     8.3
18940101 18940131    22.8
18940201 18940228   109.4
18940301 18940331   165.5
18940401 18940430    53.6
18940501 18940531    37.1
18940601 18940630   104.9
18940701 18940731     0.0
18940801 18940831    12.4
18940901 18940930    32.2
18941001 18941031    27.4
18941101 18941130    15.3
18941201 18941231   125.0
18950101 18950131    89.3
18950201 18950228   198.7
18950301 18950331     8.0
18950401 18950430    30.8
18950501 18950531    45.6
18950601 18950630     0.0
18950701 18950731    83.4
18950801 18950831     0.0
18950901 18950930     1.9
18951001 18951031    19.3
18951101 18951130    31.7
18951201 18951231    87.8
18960101 18960131    35.9
18960201 18960229   304.7
18960301 18960331    28.7
18960401 18960430    19.9
18960501 18960531     0.0
18960601 18960630     0.0
18960701 18960731    52.6
18960801 18960831     1.4
18960901 18960930     5.6
18961001 18961031     4.3
18961101 18961130     0.0
18961201 18961231    37.8
18970101 18970131   199.8
18970201 18970228    13.7
18970301 18970331    11.8
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    69.0
18970701 18970731     0.0
18970801 18970831     0.0
18970901 18970930    18.0
18971001 18971031    52.3
18971101 18971130     9.6
18971201 18971231    40.2
18980101 18980131    98.9
18980201 18980228   357.2
18980301 18980331    34.6
18980401 18980430     0.0
18980501 18980531     2.4
18980601 18980630    18.3
18980701 18980731     0.0
18980801 18980831     8.9
18980901 18980930    22.3
18981001 18981031    21.2
18981101 18981130     0.0
18981201 18981231    32.9
18990101 18990131    43.4
18990201 18990228    54.2
18990301 18990331    42.7
18990401 18990430    18.8
18990501 18990531     0.0
18990601 18990630     1.4
18990701 18990731    23.9
18990801 18990831     5.9
18990901 18990930     0.0
18991001 18991031     0.0
18991101 18991130     6.1
18991201 18991231     0.0
19000101 19000131     8.0
19000201 19000228     4.5
19000301 19000331     1.1
19000401 19000430     0.0
19000501 19000531     8.0
19000601 19000630     3.0
19000701 19000731    71.4
19000801 19000831     8.0
19000901 19000930     0.0
19001001 19001031     8.9
19001101 19001130     4.5
19001201 19001231     2.1
19010101 19010131    18.3
19010201 19010228     3.2
19010301 19010331    51.2
19010401 19010430    20.4
19010501 19010531    89.5
19010601 19010630     2.1
19010701 19010731     0.0
19010801 19010831     8.6
19010901 19010930     1.9
19011001 19011031     2.6
19011101 19011130     9.4
19011201 19011231     9.4
19020101 19020131    33.6
19020201 19020228    16.4
19020301 19020331     2.1
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831     0.5
19020901 19020930     0.5
19021001 19021031     0.0
19021101 19021130    12.6
19021201 19021231    41.3
19030101 19030131    18.5
19030201 19030228    41.1
19030301 19030331   136.5
19030401 19030430     0.0
19030501 19030531    30.6
19030601 19030630     0.0
19030701 19030731     9.4
19030801 19030831    24.2
19030901 19030930    25.4
19031001 19031031    27.4
19031101 19031130    26.3
19031201 19031231    78.4
19040101 19040131    50.7
19040201 19040229    65.2
19040301 19040331     7.3
19040401 19040430     9.1
19040501 19040531    94.4
19040601 19040630     3.8
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930     0.0
19041001 19041031    79.4
19041101 19041130    14.3
19041201 19041231    54.7
19050101 19050131    38.9
19050201 19050228     3.0
19050301 19050331     8.3
19050401 19050430    15.0
19050501 19050531     0.0
19050601 19050630     0.0
19050701 19050731    12.4
19050801 19050831     0.0
19050901 19050930     0.0
19051001 19051031     2.6
19051101 19051130    11.3
19051201 19051231    15.5
19060101 19060131   129.3
19060201 19060228   276.6
19060301 19060331   449.5
19060401 19060430     0.0
19060501 19060531     0.0
19060601 19060630     2.1
19060701 19060731     1.9
19060801 19060831     0.5
19060901 19060930   103.0
19061001 19061031    55.8
19061101 19061130    20.4
19061201 19061231    24.4
19070101 19070131    55.0
19070201 19070228     2.4
19070301 19070331    67.4
19070401 19070430    17.7
19070501 19070531    41.6
19070601 19070630    19.9
19070701 19070731    16.6
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031    18.3
19071101 19071130    60.6
19071201 19071231   166.3
19080101 19080131     0.0
19080201 19080229   164.1
19080301 19080331   144.6
19080401 19080430    40.2
19080501 19080531    15.5
19080601 19080630     5.9
19080701 19080731    32.2
19080801 19080831     3.2
19080901 19080930     0.0
19081001 19081031   105.4
19081101 19081130    53.6
19081201 19081231    29.3
19090101 19090131   114.6
19090201 19090228     7.3
19090301 19090331    83.1
19090401 19090430    31.9
19090501 19090531     0.8
19090601 19090630    60.4
19090701 19090731     2.1
19090801 19090831    22.3
19090901 19090930     1.4
19091001 19091031    48.6
19091101 19091130    35.7
19091201 19091231   138.1
19100101 19100131    90.7
19100201 19100228    52.8
19100301 19100331   127.5
19100401 19100430     5.9
19100501 19100531     3.5
19100601 19100630     5.4
19100701 19100731    27.7
19100801 19100831     0.0
19100901 19100930    32.9
19101001 19101031    30.0
19101101 19101130   103.0
19101201 19101231     6.8
19110101 19110131   237.1
19110201 19110228   101.9
19110301 19110331    26.8
19110401 19110430    20.2
19110501 19110531    13.4
19110601 19110630     0.0
19110701 19110731    12.0
19110801 19110831     2.6
19110901 19110930    19.3
19111001 19111031     7.5
19111101 19111130   103.8
19111201 19111231    75.1
19120101 19120131     2.6
19120201 19120229    71.9
19120301 19120331    50.7
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630   114.0
19120701 19120731    37.8
19120801 19120831     1.4
19120901 19120930     4.0
19121001 19121031     5.1
19121101 19121130    25.2
19121201 19121231    12.9
19130101 19130131    40.9
19130201 19130228   267.2
19130301 19130331     2.1
19130401 19130430    93.1
19130501 19130531     0.0
19130601 19130630    36.5
