PRCP       036051 18970101 20060831 missing_value=99999.9 WESTLAND                                  
18970101 18970131    73.4
18970201 18970228    66.5
18970301 18970331     5.3
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    44.5
18970701 18970731     3.3
18970801 18970831     0.0
18970901 18970930    20.1
18971001 18971031     0.0
18971101 18971130     0.0
18971201 18971231     0.0
18980101 18980131    29.0
18980201 18980228   354.6
18980301 18980331     3.0
18980401 18980430     0.8
18980501 18980531     2.0
18980601 18980630     5.1
18980701 18980731     1.3
18980801 18980831     5.1
18980901 18980930    25.4
18981001 18981031     2.5
18981101 18981130     0.0
18981201 18981231    10.2
18990101 18990131   100.3
18990201 18990228   114.0
18990301 18990331    33.0
18990401 18990430     6.6
18990501 18990531     2.8
18990601 18990630     4.8
18990701 18990731    64.8
18990801 18990831    26.7
18990901 18990930     4.6
18991001 18991031     2.8
18991101 18991130     5.1
18991201 18991231    12.2
19000101 19000131    13.5
19000201 19000228    20.0
19000301 19000331    16.2
19000401 19000430     0.0
19000501 19000531     5.8
19000601 19000630     0.0
19000701 19000731    42.4
19000801 19000831     9.1
19000901 19000930     4.6
19001001 19001031     0.0
19001101 19001130     3.8
19001201 19001231     6.9
19010101 19010131    27.2
19010201 19010228     3.6
19010301 19010331    62.5
19010401 19010430    56.5
19010501 19010531    42.6
19010601 19010630    10.1
19010701 19010731     1.5
19010801 19010831    11.9
19010901 19010930    13.8
19011001 19011031     1.5
19011101 19011130     5.8
19011201 19011231    21.1
19020101 19020131    90.2
19020201 19020228    14.5
19020301 19020331     1.3
19020401 19020430     2.1
19020501 19020531     1.8
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831     1.8
19020901 19020930     7.1
19021001 19021031     0.0
19021101 19021130    26.1
19021201 19021231    38.3
19030101 19030131    58.9
19030201 19030228    18.8
19030301 19030331    52.3
19030401 19030430     5.1
19030501 19030531    88.6
19030601 19030630     0.0
19030701 19030731    23.5
19030801 19030831    13.5
19030901 19030930    39.1
19031001 19031031    19.3
19031101 19031130    14.2
19031201 19031231    74.6
19040101 19040131   141.2
19040201 19040229    16.4
19040301 19040331    29.8
19040401 19040430    23.1
19040501 19040531    47.4
19040601 19040630     8.4
19040701 19040731     0.0
19040801 19040831     1.8
19040901 19040930     0.0
19041001 19041031    88.6
19041101 19041130     9.1
19041201 19041231    47.0
19050101 19050131     3.1
19050201 19050228    16.0
19050301 19050331    15.0
19050401 19050430    31.8
