PRCP       037001 18850101 20171231 missing_value=99999.9 AYRSHIRE DOWNS                            
18850101 18850131    96.8
18850201 18850228     4.3
18850301 18850331    67.1
18850401 18850430     5.3
18850501 18850531     0.0
18850601 18850630    18.3
18850701 18850731     0.0
18850801 18850831     0.0
18850901 18850930     0.5
18851001 18851031     0.0
18851101 18851130     1.8
18851201 18851231    65.3
18860101 18860131    26.9
18860201 18860228    22.1
18860301 18860331    14.7
18860401 18860430    22.1
18860501 18860531    10.7
18860601 18860630    42.2
18860701 18860731    47.8
18860801 18860831    59.2
18860901 18860930    26.7
18861001 18861031    38.6
18861101 18861130    28.4
18861201 18861231   214.1
18870101 18870131    22.1
18870201 18870228    41.4
18870301 18870331   168.9
18870401 18870430     6.4
18870501 18870531    19.1
18870601 18870630    26.3
18870701 18870731    26.1
18870801 18870831     9.8
18870901 18870930     0.0
18871001 18871031     3.8
18871101 18871130    89.2
18871201 18871231    54.3
18880101 18880131    58.1
18880201 18880229   165.7
18880301 18880331     2.0
18880401 18880430     0.0
18880501 18880531    39.4
18880601 18880630     0.0
18880701 18880731     0.0
18880801 18880831     2.0
18880901 18880930     0.0
18881001 18881031     0.0
18881101 18881130    14.0
18881201 18881231    34.3
18890101 18890131    47.3
18890201 18890228    23.7
18890301 18890331    76.5
18890401 18890430    56.1
18890501 18890531    40.7
18890601 18890630    11.2
18890701 18890731    11.7
18890801 18890831     1.3
18890901 18890930     8.2
18891001 18891031     0.0
18891101 18891130    46.7
18891201 18891231    28.5
18900101 18900131   217.6
18900201 18900228    47.3
18900301 18900331    76.5
18900401 18900430    23.0
18900501 18900531    72.9
18900601 18900630     5.9
18900701 18900731    12.0
18900801 18900831     0.0
18900901 18900930    58.7
18901001 18901031    79.2
18901101 18901130    19.1
18901201 18901231    51.5
18910101 18910131   421.1
18910201 18910228   131.7
18910301 18910331    78.7
18910401 18910430   133.9
18910501 18910531    43.2
18910601 18910630    38.6
18910701 18910731     2.5
18910801 18910831     1.8
18910901 18910930     0.8
