PRCP       037043 18911101 20120831 missing_value=99999.9 URANDANGIE                                
18911101 18911130     0.3
18911201 18911231     4.1
18920101 18920131     9.9
18920201 18920229 99999.9
18920301 18920331    27.9
18920401 18920430     0.0
18920501 18920531     0.3
18920601 18920630     0.0
18920701 18920731     0.0
18920801 18920831     0.0
18920901 18920930     4.3
18921001 18921031    16.6
18921101 18921130    77.7
18921201 18921231     1.3
18930101 18930131    37.3
18930201 18930228     0.0
18930301 18930331     8.9
18930401 18930430     0.0
18930501 18930531    30.5
18930601 18930630     0.8
18930701 18930731     3.3
18930801 18930831    29.2
18930901 18930930     0.0
18931001 18931031     0.0
18931101 18931130    57.3
18931201 18931231    16.0
18940101 18940131    41.0
18940201 18940228    76.0
18940301 18940331   328.3
18940401 18940430    16.5
18940501 18940531     0.0
18940601 18940630    24.6
18940701 18940731     0.0
18940801 18940831     1.6
18940901 18940930     5.4
18941001 18941031    19.3
18941101 18941130     0.0
18941201 18941231    28.1
18950101 18950131   272.9
18950201 18950228   136.9
18950301 18950331     0.0
18950401 18950430     0.0
18950501 18950531    25.9
18950601 18950630     1.3
18950701 18950731    64.0
18950801 18950831     0.0
18950901 18950930     0.0
18951001 18951031     0.3
18951101 18951130    62.3
18951201 18951231     2.8
18960101 18960131    52.3
18960201 18960229    49.3
18960301 18960331     0.0
18960401 18960430   130.4
18960501 18960531     0.0
18960601 18960630     0.0
18960701 18960731    12.5
18960801 18960831     0.0
18960901 18960930     7.1
18961001 18961031     0.0
18961101 18961130    49.3
18961201 18961231    94.8
18970101 18970131    21.4
18970201 18970228     5.9
18970301 18970331     0.0
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630     7.6
18970701 18970731     0.0
18970801 18970831     0.0
18970901 18970930     1.8
18971001 18971031    17.1
18971101 18971130     0.8
18971201 18971231    19.9
18980101 18980131    61.7
18980201 18980228   145.6
18980301 18980331     1.3
18980401 18980430     0.0
18980501 18980531     0.3
18980601 18980630     0.8
18980701 18980731     0.0
18980801 18980831     4.4
18980901 18980930    18.8
18981001 18981031     0.0
18981101 18981130     5.3
18981201 18981231    20.3
18990101 18990131    27.8
18990201 18990228    46.5
18990301 18990331    27.9
18990401 18990430     0.0
18990501 18990531     0.0
18990601 18990630     0.0
18990701 18990731     0.0
18990801 18990831     0.0
18990901 18990930     0.0
18991001 18991031     1.0
18991101 18991130     4.6
18991201 18991231     0.0
19000101 19000131    94.8
19000201 19000228     8.1
19000301 19000331     0.0
19000401 19000430     0.0
19000501 19000531     0.0
19000601 19000630     1.3
19000701 19000731    30.7
19000801 19000831     0.0
19000901 19000930     8.9
19001001 19001031     0.0
19001101 19001130     3.3
19001201 19001231    12.7
19010101 19010131    17.8
19010201 19010228    44.2
19010301 19010331   251.3
19010401 19010430    44.2
19010501 19010531     0.0
19010601 19010630     8.9
19010701 19010731     0.0
19010801 19010831    41.5
19010901 19010930     6.9
19011001 19011031     0.0
19011101 19011130     2.3
19011201 19011231     8.4
19020101 19020131    41.1
19020201 19020228     0.5
19020301 19020331     0.0
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     0.3
19020701 19020731     0.0
19020801 19020831     0.0
19020901 19020930    13.0
19021001 19021031     0.0
19021101 19021130    54.6
19021201 19021231     9.5
19030101 19030131    21.1
19030201 19030228    31.5
19030301 19030331   158.5
19030401 19030430     6.1
19030501 19030531     0.0
19030601 19030630     0.0
19030701 19030731     0.0
19030801 19030831     0.0
19030901 19030930     3.0
19031001 19031031     8.4
19031101 19031130     0.8
19031201 19031231    80.8
19040101 19040131    48.9
19040201 19040229   227.0
19040301 19040331   120.7
19040401 19040430     4.8
19040501 19040531    48.2
19040601 19040630     0.0
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930     0.0
19041001 19041031    26.4
19041101 19041130     0.8
19041201 19041231     2.8
19050101 19050131     9.7
19050201 19050228     1.3
19050301 19050331     3.6
19050401 19050430     5.3
19050501 19050531     0.8
19050601 19050630    13.7
19050701 19050731     0.0
19050801 19050831     0.0
19050901 19050930     0.0
19051001 19051031     2.8
19051101 19051130    35.3
19051201 19051231    17.1
19060101 19060131    39.7
19060201 19060228    41.4
19060301 19060331     8.6
19060401 19060430     2.5
19060501 19060531     0.0
19060601 19060630     0.5
19060701 19060731     0.5
19060801 19060831     0.0
19060901 19060930    20.9
19061001 19061031    20.3
19061101 19061130     9.4
19061201 19061231   157.7
19070101 19070131    99.7
19070201 19070228   136.8
19070301 19070331     0.0
19070401 19070430     1.8
19070501 19070531     0.0
19070601 19070630     6.6
19070701 19070731    21.3
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031     2.1
19071101 19071130    14.5
19071201 19071231   162.7
19080101 19080131    11.4
19080201 19080229    95.0
19080301 19080331    17.7
19080401 19080430    74.7
19080501 19080531     1.3
19080601 19080630     0.0
19080701 19080731     0.0
19080801 19080831     0.0
