PRCP       037049 18870101 20171031 missing_value=99999.9 WARRNAMBOOL DOWNS                         
18870101 18870131    94.7
18870201 18870228   137.7
18870301 18870331   176.0
18870401 18870430     2.5
18870501 18870531    25.4
18870601 18870630    10.2
18870701 18870731     3.8
18870801 18870831    40.6
18870901 18870930     0.0
18871001 18871031     1.8
18871101 18871130    52.8
18871201 18871231    57.2
18880101 18880131    43.7
18880201 18880229   174.8
18880301 18880331     4.1
18880401 18880430     0.0
18880501 18880531    33.0
18880601 18880630     0.0
18880701 18880731     0.0
18880801 18880831     0.0
18880901 18880930     0.0
18881001 18881031     0.0
18881101 18881130    12.7
18881201 18881231    19.1
18890101 18890131    73.2
18890201 18890228    10.7
18890301 18890331    13.2
18890401 18890430    24.4
18890501 18890531    64.0
18890601 18890630    25.7
18890701 18890731     5.8
18890801 18890831    14.5
18890901 18890930     0.0
18891001 18891031     0.0
18891101 18891130    21.6
18891201 18891231    42.9
18900101 18900131   111.3
18900201 18900228    48.8
18900301 18900331    71.6
18900401 18900430    10.2
18900501 18900531    88.4
18900601 18900630    41.1
18900701 18900731     0.0
18900801 18900831    38.1
18900901 18900930    39.4
18901001 18901031    25.4
18901101 18901130     0.0
18901201 18901231     0.0
18910101 18910131   242.3
18910201 18910228    53.3
18910301 18910331   164.3
18910401 18910430   101.1
18910501 18910531    28.2
18910601 18910630    43.7
18910701 18910731     0.0
18910801 18910831     0.0
18910901 18910930     0.0
18911001 18911031    15.2
18911101 18911130    20.1
18911201 18911231     0.0
18920101 18920131    88.9
18920201 18920229     0.0
18920301 18920331     0.0
18920401 18920430     0.0
18920501 18920531     0.0
18920601 18920630     0.0
18920701 18920731     0.0
18920801 18920831     0.0
18920901 18920930     3.0
18921001 18921031    58.4
18921101 18921130     5.1
18921201 18921231     0.0
18930101 18930131    16.0
18930201 18930228     3.8
18930301 18930331    18.8
18930401 18930430     0.0
18930501 18930531    89.7
18930601 18930630    29.2
18930701 18930731     0.0
18930801 18930831    14.7
18930901 18930930     1.0
18931001 18931031     0.0
18931101 18931130    21.1
18931201 18931231     4.6
18940101 18940131    29.7
18940201 18940228   245.1
18940301 18940331   218.4
18940401 18940430    64.3
18940501 18940531     0.5
18940601 18940630    51.8
18940701 18940731     0.0
18940801 18940831    12.7
18940901 18940930    28.7
18941001 18941031    34.3
18941101 18941130    33.0
18941201 18941231    45.7
18950101 18950131    72.1
18950201 18950228   215.9
18950301 18950331     5.1
18950401 18950430     0.0
18950501 18950531    35.6
18950601 18950630     0.0
18950701 18950731    81.3
18950801 18950831     7.4
18950901 18950930     0.0
18951001 18951031     0.0
18951101 18951130    90.9
18951201 18951231    14.2
18960101 18960131     4.1
18960201 18960229    94.2
18960301 18960331    35.8
18960401 18960430    12.7
18960501 18960531     0.0
18960601 18960630     0.0
18960701 18960731    31.0
18960801 18960831     0.0
18960901 18960930     5.6
18961001 18961031     0.0
18961101 18961130    21.1
18961201 18961231    12.7
18970101 18970131    81.5
18970201 18970228    22.4
18970301 18970331     0.0
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    47.0
18970701 18970731     0.0
18970801 18970831     0.0
18970901 18970930    18.0
18971001 18971031    43.7
18971101 18971130     6.1
18971201 18971231    32.5
18980101 18980131    19.3
18980201 18980228   235.2
18980301 18980331    12.7
18980401 18980430     0.0
18980501 18980531     0.0
18980601 18980630     3.3
18980701 18980731     0.0
18980801 18980831     0.0
18980901 18980930    25.4
18981001 18981031     0.0
18981101 18981130     0.0
18981201 18981231     0.0
18990101 18990131    42.4
18990201 18990228    34.3
18990301 18990331    52.6
18990401 18990430     2.3
18990501 18990531     0.0
18990601 18990630     2.5
18990701 18990731    45.7
18990801 18990831     2.0
18990901 18990930     0.0
18991001 18991031     1.3
18991101 18991130     4.1
18991201 18991231     0.0
19000101 19000131    69.1
19000201 19000228     1.3
19000301 19000331    14.5
19000401 19000430     0.0
19000501 19000531     0.0
19000601 19000630     0.0
19000701 19000731    45.7
19000801 19000831     0.0
19000901 19000930     9.4
19001001 19001031     0.0
19001101 19001130     2.5
19001201 19001231     0.0
19010101 19010131     2.3
19010201 19010228    17.8
19010301 19010331    50.8
19010401 19010430     9.4
19010501 19010531    43.7
19010601 19010630     3.3
19010701 19010731     0.0
19010801 19010831     0.0
19010901 19010930     6.9
19011001 19011031     2.0
19011101 19011130    14.2
19011201 19011231     0.8
19020101 19020131    52.1
19020201 19020228    16.5
19020301 19020331     2.5
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831     0.0
19020901 19020930     1.0
19021001 19021031     2.3
19021101 19021130    29.2
19021201 19021231     7.1
19030101 19030131    41.1
19030201 19030228    56.9
19030301 19030331    10.9
19030401 19030430    15.5
19030501 19030531     0.0
19030601 19030630     3.6
19030701 19030731     0.0
19030801 19030831     0.0
19030901 19030930    29.0
19031001 19031031    44.5
19031101 19031130     8.1
19031201 19031231   135.9
19040101 19040131    38.9
19040201 19040229    90.4
19040301 19040331    21.1
19040401 19040430     9.1
19040501 19040531    58.2
19040601 19040630     1.5
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930    19.1
19041001 19041031    11.7
19041101 19041130     7.6
19041201 19041231    26.2
19050101 19050131    14.0
19050201 19050228    16.5
19050301 19050331    20.6
19050401 19050430    30.5
19050501 19050531     0.0
19050601 19050630     2.3
19050701 19050731     3.0
19050801 19050831     0.0
19050901 19050930     0.0
19051001 19051031     0.0
19051101 19051130     9.1
19051201 19051231     0.5
19060101 19060131   158.2
19060201 19060228   334.3
19060301 19060331   226.3
19060401 19060430     0.0
19060501 19060531     0.0
19060601 19060630     2.5
19060701 19060731     0.0
19060801 19060831     3.8
19060901 19060930    93.2
19061001 19061031    36.3
19061101 19061130    28.7
19061201 19061231    19.6
19070101 19070131    15.0
19070201 19070228    34.5
19070301 19070331    24.4
19070401 19070430    13.7
19070501 19070531    15.2
19070601 19070630    12.7
19070701 19070731     7.1
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031    16.3
19071101 19071130    34.5
19071201 19071231    68.1
19080101 19080131    14.2
19080201 19080229   202.2
19080301 19080331   137.2
19080401 19080430    39.6
19080501 19080531    11.7
19080601 19080630    17.0
19080701 19080731     2.5
19080801 19080831     5.6
19080901 19080930     0.0
19081001 19081031    81.3
19081101 19081130    35.1
19081201 19081231    47.8
19090101 19090131    77.5
19090201 19090228    24.9
19090301 19090331   100.8
19090401 19090430    14.7
19090501 19090531     0.0
19090601 19090630    26.9
19090701 19090731     0.0
19090801 19090831    36.3
19090901 19090930     0.0
19091001 19091031     0.0
19091101 19091130     2.0
19091201 19091231    20.3
19100101 19100131   103.6
19100201 19100228   186.7
19100301 19100331     4.8
19100401 19100430     0.0
19100501 19100531     2.0
19100601 19100630    35.6
19100701 19100731    37.3
19100801 19100831     0.0
19100901 19100930    13.2
19101001 19101031    63.2
19101101 19101130    10.9
19101201 19101231     0.0
19110101 19110131    75.7
19110201 19110228     0.0
19110301 19110331     3.6
19110401 19110430    74.7
19110501 19110531     7.1
19110601 19110630     0.0
19110701 19110731    22.9
19110801 19110831     0.0
19110901 19110930     8.9
19111001 19111031     6.4
19111101 19111130   165.4
19111201 19111231    62.0
19120101 19120131    11.4
19120201 19120229    20.6
19120301 19120331    30.2
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630     0.0
19120701 19120731    30.2
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031     0.0
19121101 19121130    47.2
19121201 19121231    26.4
19130101 19130131    21.3
19130201 19130228   499.4
19130301 19130331    10.7
19130401 19130430    47.2
19130501 19130531     1.5
19130601 19130630     8.1
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     6.4
19131001 19131031    21.3
19131101 19131130     6.4
19131201 19131231    15.2
19140101 19140131    67.8
19140201 19140228    33.8
19140301 19140331     0.0
19140401 19140430     6.6
19140501 19140531    14.2
19140601 19140630    66.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    62.5
19141101 19141130    10.9
19141201 19141231    24.9
19150101 19150131    34.8
19150201 19150228    14.7
19150301 19150331     2.5
19150401 19150430     0.0
19150501 19150531    39.4
19150601 19150630     0.0
19150701 19150731     0.0
19150801 19150831     6.4
19150901 19150930    20.3
19151001 19151031     3.8
19151101 19151130     0.0
19151201 19151231   159.5
