PRCP       037051 18840101 20120531 missing_value=99999.9 WINTON POST OFFICE                        
18840101 18840131     8.6
18840201 18840229    52.1
18840301 18840331    52.1
18840401 18840430     6.6
18840501 18840531     2.3
18840601 18840630     1.3
18840701 18840731     0.0
18840801 18840831     0.0
18840901 18840930    52.8
18841001 18841031     0.0
18841101 18841130     9.4
18841201 18841231    37.8
18850101 18850131   110.2
18850201 18850228    20.8
18850301 18850331    17.8
18850401 18850430    59.7
18850501 18850531     0.0
18850601 18850630    32.0
18850701 18850731     0.0
18850801 18850831     0.0
18850901 18850930     0.0
18851001 18851031     0.0
18851101 18851130    14.0
18851201 18851231   112.8
18860101 18860131    28.2
18860201 18860228     0.0
18860301 18860331    11.2
18860401 18860430    55.6
18860501 18860531    16.5
18860601 18860630    58.2
18860701 18860731    62.0
18860801 18860831    69.1
18860901 18860930    11.4
18861001 18861031    26.2
18861101 18861130    31.2
18861201 18861231   240.8
18870101 18870131   131.1
18870201 18870228    74.1
18870301 18870331   184.4
18870401 18870430    10.9
18870501 18870531    20.3
18870601 18870630    20.2
18870701 18870731    16.2
18870801 18870831    18.5
18870901 18870930     0.0
18871001 18871031     7.7
18871101 18871130    85.8
18871201 18871231    65.1
18880101 18880131     6.4
18880201 18880229   165.0
18880301 18880331    11.7
18880401 18880430     0.0
18880501 18880531    56.4
18880601 18880630     0.0
18880701 18880731     0.0
18880801 18880831     1.8
18880901 18880930     0.0
18881001 18881031     0.0
18881101 18881130    58.7
18881201 18881231     8.6
18890101 18890131    51.6
18890201 18890228     5.6
18890301 18890331    18.7
18890401 18890430    49.1
18890501 18890531    17.3
18890601 18890630    12.2
18890701 18890731    14.5
18890801 18890831     9.9
18890901 18890930     3.3
18891001 18891031     0.0
18891101 18891130    84.0
18891201 18891231    55.1
18900101 18900131   321.3
18900201 18900228    12.9
18900301 18900331   163.7
18900401 18900430    26.4
18900501 18900531    86.9
18900601 18900630    11.6
18900701 18900731     7.6
18900801 18900831     0.0
18900901 18900930    50.4
18901001 18901031    36.8
18901101 18901130     2.5
18901201 18901231 99999.9
18910101 18910131   308.2
18910201 18910228    63.7
18910301 18910331    84.3
18910401 18910430   114.7
18910501 18910531    32.8
18910601 18910630    43.1
