PRCP       038002 18980101 20171130 missing_value=99999.9 BIRDSVILLE POLICE STATION                 
18980101 18980131     0.0
18980201 18980228    51.4
18980301 18980331    19.3
18980401 18980430     0.0
18980501 18980531     0.0
18980601 18980630    24.7
18980701 18980731     0.0
18980801 18980831     0.0
18980901 18980930     6.4
18981001 18981031     0.0
18981101 18981130     0.0
18981201 18981231    21.6
18990101 18990131     0.0
18990201 18990228    17.8
18990301 18990331     5.1
18990401 18990430     0.0
18990501 18990531     0.0
18990601 18990630     8.9
18990701 18990731     0.0
18990801 18990831    16.0
18990901 18990930     0.0
18991001 18991031     0.0
18991101 18991130     2.0
18991201 18991231     0.0
19000101 19000131    38.1
19000201 19000228     1.0
19000301 19000331     2.3
19000401 19000430     0.0
19000501 19000531     3.0
19000601 19000630     3.0
19000701 19000731     6.9
19000801 19000831     0.5
19000901 19000930     0.8
19001001 19001031     3.3
19001101 19001130     0.8
19001201 19001231     1.0
19010101 19010131    18.5
19010201 19010228    43.7
19010301 19010331     1.8
19010401 19010430     0.0
19010501 19010531     0.0
19010601 19010630    17.5
19010701 19010731     0.0
19010801 19010831    19.3
19010901 19010930     0.0
19011001 19011031     0.0
19011101 19011130     0.0
19011201 19011231     0.0
19020101 19020131    17.3
19020201 19020228    42.4
19020301 19020331     3.0
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831     0.0
19020901 19020930     0.0
19021001 19021031     1.0
19021101 19021130    10.2
19021201 19021231     3.6
19030101 19030131    81.1
19030201 19030228     0.0
19030301 19030331    66.5
19030401 19030430     5.1
19030501 19030531     0.0
19030601 19030630     0.0
19030701 19030731     2.0
19030801 19030831     3.3
19030901 19030930     2.0
19031001 19031031     9.6
19031101 19031130    25.9
19031201 19031231    96.7
19040101 19040131    18.3
19040201 19040229   129.5
19040301 19040331     0.0
19040401 19040430    54.6
19040501 19040531    61.0
19040601 19040630     0.0
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930    11.4
19041001 19041031    38.6
19041101 19041130     0.0
19041201 19041231     0.0
19050101 19050131    14.7
19050201 19050228     0.0
19050301 19050331     3.3
19050401 19050430     7.9
19050501 19050531     6.4
19050601 19050630    18.2
19050701 19050731     0.0
19050801 19050831     2.8
19050901 19050930     0.0
19051001 19051031     0.0
19051101 19051130     0.0
19051201 19051231     0.0
19060101 19060131    20.3
19060201 19060228     3.6
19060301 19060331    66.5
19060401 19060430     0.0
19060501 19060531     0.0
19060601 19060630     5.6
19060701 19060731    46.5
19060801 19060831     0.0
19060901 19060930    10.7
19061001 19061031     2.5
19061101 19061130     2.5
19061201 19061231     3.8
19070101 19070131   237.5
19070201 19070228     0.0
19070301 19070331    13.4
19070401 19070430     0.0
19070501 19070531    11.1
19070601 19070630    36.9
19070701 19070731     2.0
19070801 19070831     7.6
19070901 19070930     5.1
19071001 19071031     6.4
19071101 19071130    22.9
19071201 19071231    72.3
19080101 19080131    35.3
19080201 19080229     7.6
19080301 19080331    83.6
19080401 19080430    28.3
19080501 19080531     0.0
19080601 19080630     0.0
19080701 19080731    30.5
19080801 19080831     0.0
19080901 19080930     0.0
19081001 19081031     8.9
19081101 19081130     4.3
19081201 19081231     4.6
19090101 19090131     0.0
19090201 19090228     3.0
19090301 19090331    28.0
19090401 19090430     5.1
19090501 19090531     0.0
19090601 19090630    15.3
19090701 19090731     0.0
19090801 19090831    22.6
19090901 19090930     0.0
19091001 19091031     0.0
19091101 19091130     5.6
19091201 19091231     0.0
19100101 19100131    45.7
19100201 19100228     7.4
19100301 19100331     0.0
19100401 19100430     3.3
19100501 19100531     0.0
19100601 19100630    30.7
19100701 19100731    39.4
19100801 19100831     1.5
19100901 19100930    49.5
19101001 19101031     2.0
