PRCP       038024 18910101 20171231 missing_value=99999.9 WINDORAH POST OFFICE                      
18910101 18910131   139.7
18910201 18910228    58.6
18910301 18910331    87.3
18910401 18910430   166.8
18910501 18910531    26.9
18910601 18910630    30.1
18910701 18910731     7.4
18910801 18910831     1.0
18910901 18910930     5.1
18911001 18911031    12.7
18911101 18911130     5.1
18911201 18911231     8.4
18920101 18920131   121.0
18920201 18920229     4.0
18920301 18920331     2.5
18920401 18920430     0.0
18920501 18920531    85.6
18920601 18920630     8.9
18920701 18920731     0.0
18920801 18920831     0.0
18920901 18920930     2.5
18921001 18921031    51.5
18921101 18921130    39.2
18921201 18921231     7.6
18930101 18930131    19.1
18930201 18930228     0.5
18930301 18930331   104.9
18930401 18930430     3.1
18930501 18930531     8.6
18930601 18930630    58.8
18930701 18930731     0.0
18930801 18930831    43.1
18930901 18930930    18.5
18931001 18931031     2.5
18931101 18931130    67.0
18931201 18931231     6.1
18940101 18940131    11.7
18940201 18940228    66.4
18940301 18940331   103.7
18940401 18940430   115.1
18940501 18940531     7.6
18940601 18940630    29.0
18940701 18940731     0.8
18940801 18940831    24.6
18940901 18940930    24.2
18941001 18941031    18.1
18941101 18941130     0.0
18941201 18941231    70.2
18950101 18950131    62.7
18950201 18950228    81.2
18950301 18950331    22.9
18950401 18950430     7.4
18950501 18950531    27.7
18950601 18950630    12.2
18950701 18950731     0.0
18950801 18950831     0.0
18950901 18950930    18.5
18951001 18951031    30.0
18951101 18951130     4.1
18951201 18951231    35.0
18960101 18960131    35.1
18960201 18960229    34.0
18960301 18960331    13.8
18960401 18960430    45.0
18960501 18960531     3.5
18960601 18960630     0.0
18960701 18960731     2.5
18960801 18960831     0.3
18960901 18960930     0.0
18961001 18961031     2.8
18961101 18961130    29.8
18961201 18961231     6.8
18970101 18970131    22.6
18970201 18970228     5.8
18970301 18970331     4.1
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    39.9
18970701 18970731     0.8
18970801 18970831     0.0
18970901 18970930    21.1
18971001 18971031    42.2
18971101 18971130     0.0
18971201 18971231    14.7
18980101 18980131    31.8
18980201 18980228   169.7
18980301 18980331     2.8
18980401 18980430     0.0
18980501 18980531     0.0
18980601 18980630    72.7
18980701 18980731     0.0
18980801 18980831    15.0
18980901 18980930    26.7
18981001 18981031     0.8
18981101 18981130     3.0
18981201 18981231     4.1
18990101 18990131    37.7
18990201 18990228    86.9
18990301 18990331    40.7
18990401 18990430     0.0
18990501 18990531     0.0
18990601 18990630     7.9
18990701 18990731     7.9
18990801 18990831    14.3
18990901 18990930     0.3
18991001 18991031     0.0
18991101 18991130     4.1
18991201 18991231     1.3
19000101 19000131    23.2
19000201 19000228     0.0
19000301 19000331    12.7
19000401 19000430     0.0
19000501 19000531     3.3
19000601 19000630    14.0
19000701 19000731    32.4
19000801 19000831     0.8
19000901 19000930     1.3
19001001 19001031     0.0
19001101 19001130     1.0
19001201 19001231     2.9
19010101 19010131    25.9
19010201 19010228     4.7
19010301 19010331    24.5
19010401 19010430    38.9
19010501 19010531    17.2
19010601 19010630    10.7
19010701 19010731    12.5
19010801 19010831    32.8
19010901 19010930     3.9
19011001 19011031     1.0
19011101 19011130     9.2
19011201 19011231     0.8
19020101 19020131     6.9
19020201 19020228     5.3
19020301 19020331     0.5
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     3.3
19020701 19020731     0.0
19020801 19020831    10.4
19020901 19020930     1.5
19021001 19021031     1.3
19021101 19021130    70.2
19021201 19021231    50.9
19030101 19030131    79.3
19030201 19030228     0.0
19030301 19030331    40.2
19030401 19030430    15.5
19030501 19030531    69.5
19030601 19030630     0.0
19030701 19030731    14.9
19030801 19030831     4.6
19030901 19030930    24.9
19031001 19031031    20.8
19031101 19031130    19.3
19031201 19031231   186.6
19040101 19040131    21.8
19040201 19040229    67.0
19040301 19040331    48.0
19040401 19040430     3.8
19040501 19040531    73.9
19040601 19040630     5.1
19040701 19040731     1.3
19040801 19040831     0.0
19040901 19040930     3.3
19041001 19041031    60.1
19041101 19041130     3.1
19041201 19041231    53.4
19050101 19050131     6.6
19050201 19050228     6.6
19050301 19050331    17.1
19050401 19050430    21.9
19050501 19050531     9.9
19050601 19050630     0.0
19050701 19050731     8.2
19050801 19050831     4.1
19050901 19050930     0.3
19051001 19051031     0.8
19051101 19051130    12.0
19051201 19051231    14.2
19060101 19060131    58.2
19060201 19060228   187.7
19060301 19060331   132.0
19060401 19060430     0.0
19060501 19060531     5.3
19060601 19060630     4.3
19060701 19060731    52.2
19060801 19060831     1.5
19060901 19060930    42.0
19061001 19061031    39.7
19061101 19061130    14.5
19061201 19061231   103.0
19070101 19070131    11.4
19070201 19070228    20.1
19070301 19070331    23.4
19070401 19070430     7.6
19070501 19070531     5.4
19070601 19070630    10.2
19070701 19070731    10.9
19070801 19070831     4.6
19070901 19070930     0.0
19071001 19071031    17.2
19071101 19071130    16.6
19071201 19071231   104.5
19080101 19080131     8.1
19080201 19080229    29.0
19080301 19080331    89.7
19080401 19080430    50.9
19080501 19080531     0.0
19080601 19080630     1.3
19080701 19080731    40.9
19080801 19080831    16.5
19080901 19080930     0.0
19081001 19081031    24.4
19081101 19081130    32.0
