PRCP       039037 18810101 20171130 missing_value=99999.9 FAIRYMEAD SUGAR MILL                      
18810101 18810131    95.8
18810201 18810228    70.9
18810301 18810331   130.6
18810401 18810430    37.3
18810501 18810531   107.4
18810601 18810630    13.2
18810701 18810731     9.7
18810801 18810831     8.1
18810901 18810930    88.1
18811001 18811031    40.1
18811101 18811130    42.2
18811201 18811231   126.0
18820101 18820131    81.8
18820201 18820228   220.2
18820301 18820331    95.8
18820401 18820430    40.4
18820501 18820531     7.4
18820601 18820630   142.5
18820701 18820731    54.1
18820801 18820831    11.9
18820901 18820930    25.9
18821001 18821031   304.0
18821101 18821130    35.3
18821201 18821231   145.5
18830101 18830131   130.0
18830201 18830228   131.1
18830301 18830331    87.1
18830401 18830430    13.5
18830501 18830531    76.5
18830601 18830630     7.6
18830701 18830731     7.4
18830801 18830831    32.3
18830901 18830930    14.0
18831001 18831031   105.4
18831101 18831130     7.9
18831201 18831231    26.2
18840101 18840131    61.0
18840201 18840229   171.2
18840301 18840331   100.1
18840401 18840430    55.4
18840501 18840531   113.0
18840601 18840630    47.8
18840701 18840731    35.8
18840801 18840831     4.3
18840901 18840930     3.0
18841001 18841031    28.7
18841101 18841130    74.2
18841201 18841231    51.8
18850101 18850131    34.5
18850201 18850228    81.8
18850301 18850331    62.5
18850401 18850430    23.9
18850501 18850531    60.7
18850601 18850630   142.2
18850701 18850731     0.0
18850801 18850831    11.7
18850901 18850930   106.9
18851001 18851031    47.2
18851101 18851130    15.5
18851201 18851231   162.6
18860101 18860131   146.1
18860201 18860228   162.1
18860301 18860331    15.7
18860401 18860430    46.5
18860501 18860531    60.5
18860601 18860630   207.3
18860701 18860731    95.8
18860801 18860831    44.7
18860901 18860930    98.3
18861001 18861031    76.5
18861101 18861130   122.9
18861201 18861231   240.8
18870101 18870131   163.1
18870201 18870228   183.9
18870301 18870331   301.5
18870401 18870430   177.8
18870501 18870531     9.1
18870601 18870630     6.6
18870701 18870731   117.6
18870801 18870831   179.1
18870901 18870930    78.7
18871001 18871031     1.3
18871101 18871130   116.3
18871201 18871231   121.2
18880101 18880131    58.2
18880201 18880229   476.5
18880301 18880331     5.8
