PRCP       039040 19100101 20171231 missing_value=99999.9 GIN GIN POST OFFICE                       
19100101 19100131   281.5
19100201 19100228    88.8
19100301 19100331   200.3
19100401 19100430    22.9
19100501 19100531     0.0
19100601 19100630   169.4
19100701 19100731    43.2
19100801 19100831     9.2
19100901 19100930    17.8
19101001 19101031    26.5
19101101 19101130   119.0
19101201 19101231    57.0
19110101 19110131   340.0
19110201 19110228   322.6
19110301 19110331   175.0
19110401 19110430    50.3
19110501 19110531    32.5
19110601 19110630     3.3
19110701 19110731    11.4
19110801 19110831    32.3
19110901 19110930     5.1
19111001 19111031    69.8
19111101 19111130    34.9
19111201 19111231    68.8
19120101 19120131    98.3
19120201 19120229    66.5
19120301 19120331   141.0
19120401 19120430     3.0
19120501 19120531    19.8
19120601 19120630   216.0
19120701 19120731    46.9
19120801 19120831    19.6
19120901 19120930    10.2
19121001 19121031    57.2
19121101 19121130    53.6
19121201 19121231    32.4
19130101 19130131   796.3
19130201 19130228   167.2
19130301 19130331    85.3
19130401 19130430    81.3
19130501 19130531    97.3
19130601 19130630    99.1
19130701 19130731    12.5
19130801 19130831     0.0
19130901 19130930   109.5
19131001 19131031    15.2
19131101 19131130    14.3
19131201 19131231   114.7
19140101 19140131    52.9
19140201 19140228    88.2
19140301 19140331   164.5
19140401 19140430    48.5
19140501 19140531    46.1
19140601 19140630    93.1
19140701 19140731    36.9
19140801 19140831    17.0
19140901 19140930    26.5
19141001 19141031   118.1
19141101 19141130     2.1
19141201 19141231    59.5
19150101 19150131   133.5
19150201 19150228   211.6
19150301 19150331     0.5
19150401 19150430     8.8
19150501 19150531    22.8
19150601 19150630    17.3
19150701 19150731    38.4
19150801 19150831    12.7
19150901 19150930    64.6
19151001 19151031    19.4
19151101 19151130    28.2
19151201 19151231    64.7
19160101 19160131    46.6
19160201 19160229   184.5
19160301 19160331    32.8
19160401 19160430    86.2
19160501 19160531    66.8
19160601 19160630    47.3
19160701 19160731    82.1
19160801 19160831    45.9
19160901 19160930   100.7
19161001 19161031   223.9
19161101 19161130   173.9
19161201 19161231   112.3
19170101 19170131   122.1
19170201 19170228   178.0
19170301 19170331   175.1
19170401 19170430    47.5
19170501 19170531    72.9
19170601 19170630     5.6
19170701 19170731    13.8
19170801 19170831    43.6
19170901 19170930    82.0
19171001 19171031    38.8
19171101 19171130   368.0
19171201 19171231    42.1
19180101 19180131   350.0
19180201 19180228   143.0
19180301 19180331    70.4
19180401 19180430   120.5
19180501 19180531    17.0
19180601 19180630     7.9
19180701 19180731     9.6
19180801 19180831    36.2
19180901 19180930    29.2
19181001 19181031     9.1
19181101 19181130    46.4
19181201 19181231    45.7
19190101 19190131    22.9
19190201 19190228    67.3
19190301 19190331    78.5
19190401 19190430    76.4
19190501 19190531    62.1
19190601 19190630     4.6
19190701 19190731     0.0
19190801 19190831    22.7
19190901 19190930     0.0
19191001 19191031    39.4
19191101 19191130     4.3
19191201 19191231     1.1
19200101 19200131   183.8
19200201 19200229    24.1
19200301 19200331   103.6
19200401 19200430    40.7
19200501 19200531    63.4
19200601 19200630    91.7
19200701 19200731    42.5
19200801 19200831    30.5
19200901 19200930    66.3
19201001 19201031   173.6
19201101 19201130    54.0
19201201 19201231   103.0
19210101 19210131   165.5
19210201 19210228    43.4
19210301 19210331   198.8
19210401 19210430   112.9
19210501 19210531    49.5
19210601 19210630   163.1
19210701 19210731   106.6
19210801 19210831    53.6
19210901 19210930    20.6
19211001 19211031    27.5
19211101 19211130    58.8
19211201 19211231   351.1
19220101 19220131   129.5
19220201 19220228   225.9
19220301 19220331    34.8
19220401 19220430     7.7
19220501 19220531     1.3
19220601 19220630    63.7
19220701 19220731    77.8
19220801 19220831    27.9
19220901 19220930    22.8
19221001 19221031     7.9
19221101 19221130    64.3
19221201 19221231   102.2
19230101 19230131   186.2
19230201 19230228    40.7
19230301 19230331    54.3
19230401 19230430   121.3
19230501 19230531     2.0
19230601 19230630    99.6
19230701 19230731    12.2
19230801 19230831     6.3
19230901 19230930    62.5
19231001 19231031     6.6
19231101 19231130    67.5
19231201 19231231   207.4
19240101 19240131    86.6
