PRCP       039250 19120601 20160229 missing_value=99999.9 ROCKLEY                                   
19120601 19120630   319.8
19120701 19120731    58.7
19120801 19120831     8.8
19120901 19120930     0.0
19121001 19121031   110.6
19121101 19121130    59.6
19121201 19121231    90.3
19130101 19130131   482.0
19130201 19130228   137.9
19130301 19130331   114.5
19130401 19130430    46.2
19130501 19130531    97.9
19130601 19130630   102.9
19130701 19130731    22.5
19130801 19130831     0.0
19130901 19130930     9.6
19131001 19131031     0.0
19131101 19131130    44.0
19131201 19131231   240.5
19140101 19140131    60.5
19140201 19140228    33.5
19140301 19140331   157.3
19140401 19140430    51.6
19140501 19140531    13.0
19140601 19140630   177.3
19140701 19140731    21.3
19140801 19140831     3.2
19140901 19140930     7.4
19141001 19141031   178.3
19141101 19141130     8.2
19141201 19141231    91.7
19150101 19150131    78.2
19150201 19150228   228.5
19150301 19150331     0.0
19150401 19150430     3.5
19150501 19150531    32.8
19150601 19150630     0.0
19150701 19150731     0.0
19150801 19150831    34.7
19150901 19150930     9.2
19151001 19151031    85.6
19151101 19151130   160.0
19151201 19151231    32.8
19160101 19160131     6.0
19160201 19160229    11.9
19160301 19160331    60.2
19160401 19160430    48.4
19160501 19160531     0.9
19160601 19160630    31.7
19160701 19160731   103.4
19160801 19160831    67.1
19160901 19160930    23.4
19161001 19161031   111.0
19161101 19161130   154.6
19161201 19161231   138.0
19170101 19170131   193.1
19170201 19170228   144.5
19170301 19170331   181.9
19170401 19170430    26.4
19170501 19170531    19.7
19170601 19170630     6.6
19170701 19170731     7.6
19170801 19170831    74.1
19170901 19170930    80.4
19171001 19171031    21.0
19171101 19171130   236.6
19171201 19171231   136.0
19180101 19180131   731.2
19180201 19180228   188.3
19180301 19180331    66.3
19180401 19180430    88.9
19180501 19180531    11.0
19180601 19180630     8.7
19180701 19180731     7.1
19180801 19180831     8.3
19180901 19180930    18.7
19181001 19181031     0.5
19181101 19181130    11.0
19181201 19181231    81.1
19190101 19190131    15.7
19190201 19190228    36.9
19190301 19190331    24.7
19190401 19190430   117.9
19190501 19190531   115.5
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831    18.6
19190901 19190930     0.0
19191001 19191031    69.9
19191101 19191130    13.7
19191201 19191231     0.0
19200101 19200131   292.3
19200201 19200229    65.4
19200301 19200331    95.6
19200401 19200430    11.0
19200501 19200531    98.9
19200601 19200630    22.1
19200701 19200731    23.4
19200801 19200831     0.0
19200901 19200930     0.0
19201001 19201031    94.5
19201101 19201130   163.0
19201201 19201231    23.1
19210101 19210131    81.1
19210201 19210228    55.7
19210301 19210331    70.4
19210401 19210430     0.0
19210501 19210531    21.8
19210601 19210630   215.8
19210701 19210731   106.4
19210801 19210831     0.0
19210901 19210930    46.4
19211001 19211031    42.6
19211101 19211130     9.2
19211201 19211231   758.2
19220101 19220131    47.7
19220201 19220228   238.7
19220301 19220331    13.7
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630    17.7
19220701 19220731   110.1
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    51.9
19221101 19221130    15.6
19221201 19221231    92.5
19230101 19230131   174.9
19230201 19230228     0.0
19230301 19230331    53.8
19230401 19230430    73.2
19230501 19230531     0.0
19230601 19230630   107.8
19230701 19230731     1.6
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130   141.8
19231201 19231231    41.0
19240101 19240131    48.6
19240201 19240229   217.5
19240301 19240331   278.0
19240401 19240430   116.3
19240501 19240531     7.1
19240601 19240630    67.1
19240701 19240731    79.2
19240801 19240831    23.2
19240901 19240930    41.0
19241001 19241031    39.6
19241101 19241130   126.4
19241201 19241231   101.9
19250101 19250131   116.1
19250201 19250228    43.6
19250301 19250331    36.2
19250401 19250430     0.0
19250501 19250531     4.9
19250601 19250630   136.3
19250701 19250731     0.0
19250801 19250831    20.2
19250901 19250930    31.1
19251001 19251031    24.5
19251101 19251130    92.0
19251201 19251231    68.8
19260101 19260131    50.4
19260201 19260228    28.2
19260301 19260331    95.2
19260401 19260430     0.0
19260501 19260531     9.6
19260601 19260630    16.1
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930    66.1
19261001 19261031     0.0
19261101 19261130     0.0
19261201 19261231   118.1
19270101 19270131   507.9
19270201 19270228    89.2
19270301 19270331    79.2
19270401 19270430    46.7
19270501 19270531     0.0
19270601 19270630    68.3
19270701 19270731    49.5
19270801 19270831    17.5
19270901 19270930    43.8
19271001 19271031    34.2
19271101 19271130    40.2
19271201 19271231   157.6
19280101 19280131    91.8
19280201 19280229   417.0
19280301 19280331    68.3
19280401 19280430   142.0
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031    29.8
19281101 19281130    74.3
19281201 19281231   119.4
19290101 19290131    53.2
19290201 19290228   702.8
19290301 19290331    72.7
19290401 19290430   208.3
19290501 19290531     0.0
19290601 19290630   107.8
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031    46.4
19291101 19291130    71.3
19291201 19291231    46.1
19300101 19300131   649.9
19300201 19300228    83.9
19300301 19300331    56.5
19300401 19300430    43.2
19300501 19300531   290.4
19300601 19300630   118.8
19300701 19300731    53.2
19300801 19300831    30.0
19300901 19300930     0.0
19301001 19301031     0.0
19301101 19301130    50.5
19301201 19301231    23.2
19310101 19310131    64.3
19310201 19310228   110.6
19310301 19310331    32.8
19310401 19310430    30.5
19310501 19310531    73.7
19310601 19310630     0.0
19310701 19310731    24.6
19310801 19310831     0.0
19310901 19310930     0.0
19311001 19311031   106.3
19311101 19311130    61.6
19311201 19311231   148.2
19320101 19320131    32.6
19320201 19320229    24.3
19320301 19320331     0.0
19320401 19320430    79.8
19320501 19320531    61.5
19320601 19320630    23.4
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930    25.9
19321001 19321031    72.1
19321101 19321130    11.2
19321201 19321231   161.5
19330101 19330131   209.8
19330201 19330228    49.5
19330301 19330331     0.0
19330401 19330430    21.8
19330501 19330531     2.2
19330601 19330630    50.3
19330701 19330731   368.4
19330801 19330831     0.0
19330901 19330930   170.6
19331001 19331031     0.0
19331101 19331130   160.8
19331201 19331231    82.5
19340101 19340131   109.3
19340201 19340228    27.5
19340301 19340331    17.5
19340401 19340430    20.5
19340501 19340531     0.0
19340601 19340630    21.8
19340701 19340731    21.3
19340801 19340831     7.4
19340901 19340930    31.4
19341001 19341031    74.5
19341101 19341130    20.5
19341201 19341231    97.2
19350101 19350131   156.4
19350201 19350228    88.6
19350301 19350331    30.9
19350401 19350430     2.7
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930    21.8
19351001 19351031    51.6
19351101 19351130    81.9
19351201 19351231    68.6
19360101 19360131   160.0
19360201 19360229    57.6
19360301 19360331   100.8
19360401 19360430    16.1
19360501 19360531    47.2
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831    45.9
19360901 19360930    67.7
19361001 19361031     0.0
19361101 19361130   114.0
19361201 19361231   103.2
19370101 19370131    66.6
19370201 19370228   214.8
19370301 19370331   209.9
19370401 19370430    23.7
19370501 19370531     0.2
19370601 19370630    19.6
19370701 19370731    27.5
19370801 19370831    12.0
19370901 19370930     0.7
19371001 19371031    39.7
19371101 19371130    76.9
19371201 19371231    29.2
19380101 19380131    48.7
19380201 19380228    11.5
19380301 19380331   194.4
19380401 19380430    55.6
19380501 19380531   149.3
19380601 19380630    27.9
19380701 19380731    30.7
19380801 19380831    33.5
19380901 19380930     0.4
19381001 19381031   146.4
19381101 19381130    87.2
19381201 19381231    50.3
19390101 19390131   237.2
19390201 19390228    30.5
19390301 19390331   156.7
19390401 19390430    43.0
19390501 19390531    40.6
19390601 19390630    75.7
19390701 19390731    16.5
19390801 19390831    24.1
19390901 19390930     0.0
19391001 19391031   105.4
19391101 19391130   145.7
19391201 19391231   102.3
19400101 19400131    51.2
19400201 19400229   191.3
19400301 19400331   158.0
19400401 19400430    20.6
19400501 19400531     8.6
19400601 19400630     0.0
19400701 19400731    43.9
19400801 19400831    23.4
19400901 19400930     7.6
19401001 19401031    11.9
19401101 19401130    63.2
19401201 19401231    82.6
19410101 19410131   125.0
19410201 19410228    47.0
19410301 19410331    97.5
19410401 19410430    39.7
19410501 19410531    45.2
19410601 19410630    82.1
19410701 19410731    13.5
19410801 19410831     2.8
19410901 19410930     0.0
19411001 19411031    17.3
19411101 19411130    30.7
19411201 19411231    52.9
19420101 19420131   120.3
19420201 19420228   600.1
19420301 19420331    18.0
19420401 19420430    57.7
19420501 19420531    62.5
19420601 19420630    39.9
19420701 19420731    33.8
19420801 19420831     2.8
19420901 19420930    13.5
19421001 19421031    32.6
19421101 19421130    27.0
19421201 19421231   130.5
19430101 19430131   123.1
19430201 19430228   328.5
19430301 19430331    10.7
19430401 19430430   133.9
19430501 19430531     0.0
19430601 19430630    25.9
19430701 19430731     0.0
19430801 19430831    21.3
19430901 19430930    57.1
19431001 19431031   103.8
19431101 19431130    69.7
19431201 19431231    86.8
19440101 19440131    58.0
19440201 19440229   356.0
19440301 19440331    13.8
19440401 19440430    83.6
19440501 19440531    61.8
19440601 19440630    47.2
19440701 19440731    53.3
19440801 19440831    16.8
19440901 19440930     7.1
19441001 19441031    19.0
19441101 19441130    78.8
19441201 19441231    97.3
19450101 19450131    68.2
19450201 19450228   116.1
19450301 19450331     9.9
19450401 19450430    15.7
19450501 19450531    33.5
19450601 19450630    24.9
19450701 19450731   104.9
19450801 19450831     7.6
19450901 19450930    22.9
19451001 19451031   117.2
19451101 19451130    49.7
19451201 19451231   122.1
19460101 19460131   166.5
19460201 19460228    91.2
19460301 19460331    20.9
19460401 19460430     0.0
19460501 19460531     5.1
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831    15.0
19460901 19460930    25.1
19461001 19461031    63.5
19461101 19461130    75.4
19461201 19461231    38.9
19470101 19470131    50.1
19470201 19470228   359.7
19470301 19470331   183.3
19470401 19470430    12.7
19470501 19470531    23.1
19470601 19470630     0.0
19470701 19470731     2.3
19470801 19470831    64.5
19470901 19470930    52.6
19471001 19471031    21.6
19471101 19471130   125.8
19471201 19471231    89.1
19480101 19480131     8.6
19480201 19480229   100.3
19480301 19480331    25.2
19480401 19480430   128.5
19480501 19480531     2.3
19480601 19480630    94.7
19480701 19480731    28.4
19480801 19480831     0.0
19480901 19480930     4.0
19481001 19481031    10.7
19481101 19481130    27.4
19481201 19481231   118.7
19490101 19490131    75.4
19490201 19490228   312.7
19490301 19490331   348.2
19490401 19490430    13.5
19490501 19490531    15.5
19490601 19490630     0.0
19490701 19490731    18.0
19490801 19490831    10.9
19490901 19490930     4.8
19491001 19491031   145.3
19491101 19491130    73.0
19491201 19491231    42.6
19500101 19500131    93.2
19500201 19500228   156.0
19500301 19500331   135.7
19500401 19500430    99.3
19500501 19500531    44.7
19500601 19500630    60.4
19500701 19500731   174.0
19500801 19500831     0.0
19500901 19500930    28.0
19501001 19501031    70.1
19501101 19501130   137.7
19501201 19501231    21.6
19510101 19510131   339.9
19510201 19510228   114.3
19510301 19510331    44.7
19510401 19510430     6.6
19510501 19510531     2.2
19510601 19510630    10.1
19510701 19510731     4.6
19510801 19510831    23.8
19510901 19510930     3.2
19511001 19511031    13.4
19511101 19511130     0.0
19511201 19511231    37.9
19520101 19520131    74.9
19520201 19520229    45.7
19520301 19520331    79.3
19520401 19520430     0.0
19520501 19520531     0.0
19520601 19520630    81.4
19520701 19520731    16.5
19520801 19520831    29.1
19520901 19520930    38.9
19521001 19521031    92.1
19521101 19521130    61.3
19521201 19521231    25.7
19530101 19530131   283.7
19530201 19530228   284.5
19530301 19530331   139.2
19530401 19530430    23.2
19530501 19530531     0.0
19530601 19530630     6.4
19530701 19530731     0.0
19530801 19530831    50.8
19530901 19530930     0.0
19531001 19531031    76.5
19531101 19531130    85.8
19531201 19531231    12.4
19540101 19540131   119.6
19540201 19540228   518.1
19540301 19540331    62.0
19540401 19540430    68.0
19540501 19540531     2.5
19540601 19540630    13.2
19540701 19540731    83.8
19540801 19540831     6.6
19540901 19540930    15.1
19541001 19541031    25.9
19541101 19541130    81.9
19541201 19541231    53.9
19550101 19550131   260.5
19550201 19550228   331.1
19550301 19550331   256.7
19550401 19550430   118.0
19550501 19550531   148.3
19550601 19550630     4.0
19550701 19550731    78.5
19550801 19550831     0.0
19550901 19550930     6.6
19551001 19551031   146.7
19551101 19551130    84.7
19551201 19551231   135.8
19560101 19560131   393.2
19560201 19560229   359.7
19560301 19560331   413.4
19560401 19560430    81.8
19560501 19560531    50.5
19560601 19560630   129.3
19560701 19560731    55.9
19560801 19560831    10.9
19560901 19560930    10.2
19561001 19561031    66.8
19561101 19561130   156.8
19561201 19561231   417.2
19570101 19570131    50.8
19570201 19570228    75.7
19570301 19570331    15.2
19570401 19570430     4.9
19570501 19570531     3.6
19570601 19570630    29.5
19570701 19570731    29.5
19570801 19570831    23.6
19570901 19570930     5.6
19571001 19571031     3.6
19571101 19571130    76.2
19571201 19571231     9.4
19580101 19580131   175.4
19580201 19580228   169.9
19580301 19580331    91.4
19580401 19580430    94.5
19580501 19580531    16.0
19580601 19580630   142.4
19580701 19580731     8.4
19580801 19580831    28.5
19580901 19580930     9.9
19581001 19581031    27.1
19581101 19581130     8.9
19581201 19581231   184.5
19590101 19590131   134.2
19590201 19590228   100.6
19590301 19590331    39.7
19590401 19590430     0.0
19590501 19590531     7.1
19590601 19590630     0.0
19590701 19590731    42.4
19590801 19590831     0.0
19590901 19590930    25.9
19591001 19591031    87.5
19591101 19591130    63.2
19591201 19591231   171.3
19600101 19600131   215.7
19600201 19600229   119.1
19600301 19600331     0.0
19600401 19600430    56.7
19600501 19600531   133.6
19600601 19600630    27.2
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     5.1
19601001 19601031    53.5
19601101 19601130    50.8
19601201 19601231    33.5
