PRCP       040013 19100101 20161231 missing_value=99999.9 COWAL                                     
19100101 19100131    68.8
19100201 19100228    56.9
19100301 19100331    69.3
19100401 19100430    26.7
19100501 19100531    15.7
19100601 19100630    25.4
19100701 19100731     4.3
19100801 19100831    15.2
19100901 19100930    22.9
19101001 19101031    57.2
19101101 19101130    51.1
19101201 19101231    50.3
19110101 19110131   289.2
19110201 19110228   155.8
19110301 19110331   218.7
19110401 19110430    71.7
19110501 19110531     3.9
19110601 19110630     0.8
19110701 19110731    18.8
19110801 19110831    18.8
19110901 19110930     0.0
19111001 19111031    84.8
19111101 19111130    14.6
19111201 19111231   111.7
19120101 19120131    91.8
19120201 19120229    66.7
19120301 19120331   236.5
19120401 19120430     9.4
19120501 19120531    20.1
19120601 19120630   233.2
19120701 19120731    45.5
19120801 19120831    23.4
19120901 19120930     3.6
19121001 19121031   116.4
19121101 19121130    99.7
19121201 19121231    95.5
19130101 19130131   609.6
19130201 19130228   114.4
19130301 19130331    92.4
19130401 19130430   153.5
19130501 19130531   183.5
19130601 19130630   126.3
19130701 19130731    60.0
19130801 19130831     0.0
19130901 19130930   138.5
19131001 19131031    10.6
19131101 19131130    89.2
19131201 19131231   110.7
19140101 19140131    91.5
19140201 19140228   262.5
19140301 19140331   288.9
19140401 19140430    93.8
19140501 19140531    74.8
19140601 19140630   152.8
19140701 19140731    32.2
19140801 19140831    41.2
19140901 19140930    32.1
19141001 19141031   139.2
19141101 19141130    64.8
19141201 19141231    85.0
19150101 19150131   109.0
19150201 19150228   219.4
19150301 19150331     3.3
19150401 19150430    25.8
19150501 19150531    17.8
19150601 19150630    13.5
19150701 19150731    11.6
19150801 19150831    65.6
19150901 19150930    53.1
19151001 19151031     6.7
19151101 19151130    76.2
19151201 19151231    63.9
19160101 19160131    22.7
19160201 19160229    91.7
19160301 19160331   181.3
19160401 19160430   111.3
19160501 19160531    68.7
19160601 19160630    82.8
19160701 19160731    75.0
19160801 19160831    65.9
19160901 19160930    69.1
19161001 19161031   226.5
19161101 19161130   116.1
19161201 19161231   141.3
19170101 19170131   163.3
19170201 19170228   104.7
19170301 19170331   104.0
19170401 19170430    41.7
19170501 19170531    48.8
19170601 19170630     7.1
19170701 19170731    23.1
19170801 19170831    50.9
19170901 19170930   121.5
19171001 19171031    36.1
19171101 19171130   233.0
19171201 19171231    87.3
19180101 19180131   258.6
19180201 19180228   147.6
19180301 19180331    63.3
19180401 19180430   103.4
19180501 19180531    32.9
19180601 19180630     5.2
19180701 19180731    10.5
19180801 19180831    38.5
19180901 19180930     6.9
19181001 19181031     7.9
19181101 19181130    28.2
19181201 19181231    24.4
19190101 19190131    15.6
19190201 19190228    71.7
19190301 19190331   101.5
19190401 19190430    73.4
19190501 19190531   146.2
19190601 19190630    19.5
19190701 19190731    10.6
19190801 19190831    37.6
19190901 19190930     0.0
19191001 19191031    60.5
19191101 19191130     2.1
19191201 19191231     4.5
19200101 19200131   382.6
19200201 19200229    44.8
19200301 19200331   101.5
19200401 19200430    45.5
19200501 19200531    52.9
19200601 19200630    60.3
19200701 19200731    39.3
19200801 19200831    29.1
19200901 19200930    79.7
19201001 19201031   126.1
19201101 19201130    59.4
19201201 19201231   148.9
19210101 19210131   149.0
19210201 19210228    70.3
19210301 19210331   138.4
19210401 19210430   217.9
19210501 19210531    87.7
19210601 19210630   103.4
19210701 19210731   103.1
19210801 19210831    35.9
19210901 19210930    47.3
19211001 19211031    28.8
19211101 19211130    87.0
19211201 19211231   261.5
19220101 19220131    56.7
19220201 19220228   180.0
19220301 19220331    53.1
19220401 19220430     2.1
19220501 19220531    60.0
19220601 19220630    63.8
19220701 19220731    65.7
19220801 19220831     2.1
19220901 19220930    53.8
19221001 19221031    40.4
19221101 19221130   124.2
19221201 19221231   160.6
19230101 19230131   116.6
19230201 19230228    18.6
19230301 19230331    45.0
19230401 19230430   197.5
19230501 19230531    16.0
19230601 19230630   115.1
19230701 19230731    51.1
19230801 19230831    12.7
19230901 19230930    31.8
19231001 19231031    10.7
19231101 19231130    50.4
19231201 19231231   169.9
19240101 19240131    88.5
19240201 19240229   282.1
19240301 19240331   112.9
19240401 19240430    50.8
19240501 19240531    35.8
19240601 19240630    56.1
19240701 19240731   159.6
19240801 19240831    28.4
19240901 19240930    69.9
19241001 19241031   123.2
19241101 19241130   147.7
19241201 19241231   208.5
19250101 19250131   359.0
19250201 19250228    99.3
19250301 19250331   274.5
19250401 19250430    30.7
19250501 19250531    20.4
19250601 19250630   196.0
19250701 19250731     6.6
19250801 19250831    47.8
19250901 19250930    35.4
19251001 19251031    32.6
19251101 19251130   108.7
19251201 19251231   121.9
19260101 19260131   186.0
19260201 19260228     9.1
19260301 19260331   104.2
19260401 19260430    79.1
19260501 19260531   170.2
19260601 19260630   121.5
19260701 19260731    10.9
19260801 19260831     2.3
19260901 19260930    99.9
19261001 19261031    43.7
19261101 19261130     0.3
19261201 19261231   625.7
19270101 19270131   353.7
19270201 19270228   158.8
19270301 19270331   268.9
19270401 19270430   108.7
19270501 19270531     3.1
19270601 19270630    91.6
19270701 19270731    18.8
19270801 19270831    23.3
19270901 19270930    80.0
19271001 19271031   144.0
19271101 19271130   132.0
19271201 19271231   174.9
19280101 19280131   221.7
19280201 19280229   539.8
19280301 19280331    39.9
19280401 19280430   428.5
19280501 19280531    63.5
19280601 19280630   170.2
19280701 19280731    22.9
19280801 19280831     5.9
19280901 19280930    17.0
19281001 19281031    60.2
19281101 19281130    67.3
19281201 19281231    77.9
19290101 19290131   157.1
19290201 19290228   299.4
19290301 19290331    57.0
19290401 19290430   304.7
19290501 19290531     2.6
19290601 19290630    57.2
19290701 19290731     6.6
19290801 19290831    33.7
19290901 19290930     3.9
19291001 19291031   111.2
19291101 19291130   150.3
19291201 19291231    99.3
19300101 19300131   372.9
19300201 19300228   188.2
19300301 19300331    63.0
19300401 19300430    39.9
19300501 19300531   120.2
19300601 19300630   366.7
19300701 19300731    40.3
19300801 19300831    69.0
19300901 19300930    27.2
19301001 19301031    38.5
19301101 19301130    95.6
19301201 19301231    67.9
19310101 19310131    65.0
19310201 19310228   505.7
19310301 19310331   198.2
19310401 19310430    84.5
19310501 19310531    74.3
19310601 19310630    25.5
19310701 19310731    19.6
19310801 19310831    38.3
19310901 19310930    15.5
19311001 19311031    25.0
19311101 19311130    89.3
19311201 19311231   150.6
19320101 19320131     5.1
19320201 19320229    60.4
19320301 19320331     4.5
19320401 19320430   164.1
19320501 19320531    45.1
19320601 19320630    22.8
19320701 19320731    12.2
19320801 19320831    15.9
19320901 19320930    91.4
19321001 19321031   114.2
19321101 19321130    38.7
19321201 19321231   118.1
19330101 19330131   168.2
19330201 19330228    81.8
19330301 19330331    18.1
19330401 19330430   170.0
19330501 19330531    53.7
19330601 19330630    67.6
19330701 19330731   142.5
19330801 19330831    65.4
19330901 19330930    90.8
19331001 19331031   188.2
19331101 19331130   141.5
19331201 19331231   204.4
19340101 19340131    92.4
19340201 19340228   423.7
19340301 19340331    76.8
19340401 19340430   297.4
19340501 19340531    63.4
19340601 19340630    69.1
19340701 19340731    62.0
19340801 19340831    66.1
19340901 19340930    21.9
19341001 19341031   148.2
19341101 19341130   176.6
19341201 19341231   224.6
19350101 19350131   177.7
19350201 19350228   161.7
19350301 19350331    55.2
19350401 19350430   128.2
19350501 19350531    68.6
19350601 19350630     0.0
19350701 19350731   116.5
19350801 19350831    60.0
19350901 19350930    96.8
19351001 19351031    60.8
19351101 19351130     0.3
19351201 19351231   160.8
19360101 19360131   220.8
19360201 19360229    70.2
19360301 19360331   178.8
19360401 19360430    24.2
19360501 19360531    43.5
19360601 19360630   184.5
19360701 19360731    41.3
19360801 19360831     2.0
19360901 19360930    35.5
19361001 19361031    45.7
19361101 19361130    52.2
19361201 19361231    51.7
19370101 19370131    48.7
19370201 19370228   165.0
19370301 19370331   393.8
19370401 19370430    42.2
19370501 19370531    15.2
19370601 19370630    22.9
19370701 19370731    43.2
19370801 19370831    39.9
19370901 19370930     8.2
19371001 19371031    88.2
19371101 19371130   151.4
19371201 19371231   100.4
19380101 19380131   210.1
19380201 19380228    29.7
19380301 19380331   224.3
19380401 19380430    55.5
19380501 19380531   199.5
19380601 19380630    62.2
19380701 19380731    86.3
19380801 19380831    61.3
19380901 19380930    21.3
19381001 19381031    60.4
19381101 19381130   152.5
19381201 19381231    14.9
19390101 19390131   129.0
19390201 19390228    67.8
19390301 19390331   199.4
19390401 19390430   122.1
19390501 19390531    55.6
19390601 19390630   103.6
19390701 19390731    62.8
19390801 19390831    71.6
19390901 19390930     0.0
19391001 19391031    73.7
19391101 19391130   111.3
19391201 19391231    84.8
19400101 19400131    80.1
19400201 19400229   133.2
19400301 19400331   221.2
19400401 19400430    65.4
19400501 19400531    32.0
19400601 19400630    23.6
19400701 19400731    15.5
19400801 19400831    27.2
19400901 19400930    28.0
19401001 19401031    18.3
19401101 19401130   190.5
19401201 19401231   134.6
19410101 19410131   188.0
19410201 19410228    89.6
19410301 19410331   247.6
19410401 19410430    62.9
19410501 19410531   177.8
19410601 19410630    49.8
19410701 19410731     5.8
19410801 19410831    14.0
19410901 19410930    10.4
19411001 19411031    22.9
19411101 19411130    18.6
19411201 19411231    93.4
19420101 19420131   135.0
19420201 19420228   177.4
19420301 19420331    19.7
19420401 19420430    95.0
19420501 19420531    43.5
19420601 19420630    27.2
19420701 19420731    63.7
19420801 19420831     6.2
19420901 19420930    13.1
19421001 19421031    76.0
19421101 19421130    15.7
19421201 19421231   202.3
19430101 19430131   127.3
19430201 19430228   124.1
19430301 19430331    21.1
19430401 19430430    73.3
19430501 19430531    54.6
19430601 19430630    36.5
19430701 19430731     0.0
19430801 19430831    25.6
19430901 19430930    78.5
19431001 19431031   157.5
19431101 19431130    93.4
19431201 19431231   276.6
19440101 19440131   117.9
19440201 19440229   134.3
19440301 19440331    52.0
19440401 19440430    57.4
19440501 19440531    66.3
19440601 19440630    52.1
19440701 19440731   106.4
19440801 19440831    36.6
19440901 19440930    28.3
19441001 19441031    26.9
19441101 19441130    78.4
19441201 19441231   110.3
19450101 19450131   145.2
19450201 19450228   220.9
19450301 19450331    66.1
19450401 19450430    37.4
19450501 19450531    54.6
19450601 19450630    68.6
19450701 19450731    77.2
19450801 19450831     3.1
19450901 19450930    99.8
19451001 19451031    74.6
19451101 19451130     6.9
19451201 19451231    19.7
19460101 19460131    77.5
19460201 19460228    84.6
19460301 19460331   151.3
19460401 19460430    91.4
19460501 19460531    13.2
19460601 19460630     3.6
19460701 19460731     3.1
19460801 19460831    16.4
19460901 19460930    44.2
19461001 19461031    42.5
19461101 19461130    28.4
19461201 19461231    88.7
19470101 19470131   137.1
19470201 19470228   359.8
19470301 19470331   234.3
19470401 19470430    85.7
19470501 19470531    56.5
19470601 19470630    23.4
19470701 19470731     1.3
19470801 19470831    28.7
19470901 19470930    96.2
19471001 19471031    44.2
19471101 19471130   181.5
19471201 19471231    68.7
19480101 19480131    73.7
19480201 19480229   131.6
19480301 19480331   193.4
19480401 19480430   238.9
19480501 19480531   210.4
19480601 19480630   125.7
19480701 19480731    26.9
19480801 19480831     4.0
19480901 19480930    29.7
19481001 19481031     0.3
19481101 19481130    52.2
19481201 19481231   111.8
19490101 19490131   152.9
19490201 19490228   308.1
19490301 19490331   336.1
19490401 19490430    58.0
19490501 19490531    35.7
19490601 19490630    52.1
19490701 19490731    26.9
19490801 19490831     3.4
19490901 19490930    93.0
19491001 19491031   324.1
19491101 19491130    91.0
19491201 19491231   100.1
19500101 19500131   271.9
19500201 19500228   438.3
19500301 19500331   165.3
19500401 19500430    82.3
19500501 19500531    38.3
19500601 19500630   107.0
19500701 19500731   178.3
19500801 19500831    27.3
19500901 19500930    10.7
19501001 19501031    94.2
19501101 19501130   223.9
19501201 19501231    68.7
19510101 19510131   337.6
19510201 19510228    89.7
19510301 19510331    63.2
19510401 19510430    19.9
19510501 19510531    15.3
19510601 19510630    19.6
19510701 19510731     3.6
19510801 19510831    13.5
19510901 19510930    22.9
19511001 19511031    35.3
19511101 19511130    10.5
19511201 19511231    23.1
19520101 19520131   113.4
19520201 19520229    55.0
19520301 19520331   214.3
19520401 19520430   120.7
19520501 19520531   118.5
19520601 19520630    60.4
19520701 19520731    33.4
19520801 19520831    46.5
19520901 19520930    38.8
19521001 19521031    33.9
19521101 19521130   116.3
19521201 19521231    19.1
19530101 19530131   121.5
19530201 19530228   373.1
19530301 19530331   214.8
19530401 19530430   116.1
19530501 19530531    19.8
19530601 19530630     2.3
19530701 19530731     0.0
19530801 19530831    75.0
19530901 19530930     6.9
19531001 19531031   126.5
19531101 19531130   129.8
19531201 19531231    78.6
19540101 19540131   113.9
19540201 19540228   358.1
19540301 19540331    47.4
19540401 19540430    63.0
19540501 19540531    38.3
19540601 19540630    25.9
19540701 19540731   285.3
19540801 19540831    75.8
19540901 19540930    63.1
19541001 19541031   136.1
19541101 19541130    72.7
19541201 19541231    71.8
19550101 19550131    71.7
19550201 19550228   251.5
19550301 19550331   601.0
19550401 19550430   180.7
19550501 19550531   204.2
19550601 19550630    19.8
19550701 19550731    45.3
19550801 19550831     4.1
19550901 19550930    34.2
19551001 19551031    93.0
19551101 19551130    74.9
19551201 19551231   150.7
19560101 19560131   186.8
19560201 19560229   450.1
19560301 19560331   480.4
19560401 19560430    54.4
19560501 19560531   118.1
19560601 19560630   124.3
19560701 19560731    53.1
19560801 19560831    21.8
