PRCP       040014 18920501 20120930 missing_value=99999.9 BEAUDESERT                                
18920501 18920531    68.0
18920601 18920630   128.6
18920701 18920731 99999.9
18920801 18920831    40.2
18920901 18920930    31.5
18921001 18921031   160.8
18921101 18921130   127.2
18921201 18921231   161.6
18930101 18930131   159.7
18930201 18930228   674.6
18930301 18930331   113.3
18930401 18930430    30.0
18930501 18930531    28.0
18930601 18930630   260.4
18930701 18930731    37.6
18930801 18930831    62.9
18930901 18930930   109.2
18931001 18931031    92.6
18931101 18931130    71.8
18931201 18931231    86.4
18940101 18940131   300.6
18940201 18940228    91.4
18940301 18940331   139.4
18940401 18940430    99.3
18940501 18940531    38.4
18940601 18940630    47.4
18940701 18940731     0.0
18940801 18940831    35.8
18940901 18940930   107.9
18941001 18941031    76.4
18941101 18941130    72.4
18941201 18941231    79.2
18950101 18950131   340.9
18950201 18950228    18.5
18950301 18950331     2.5
18950401 18950430    64.0
18950501 18950531    19.5
18950601 18950630     0.0
18950701 18950731    35.8
18950801 18950831     4.6
18950901 18950930    35.6
18951001 18951031    79.4
18951101 18951130   173.7
18951201 18951231   228.0
18960101 18960131   124.7
18960201 18960229   282.1
18960301 18960331    91.2
18960401 18960430    26.4
18960501 18960531    16.6
18960601 18960630    17.8
18960701 18960731    67.8
18960801 18960831     1.8
18960901 18960930    38.6
18961001 18961031    26.9
18961101 18961130   120.0
18961201 18961231   183.1
18970101 18970131   127.3
18970201 18970228    82.9
18970301 18970331   117.6
18970401 18970430     0.0
18970501 18970531    19.5
18970601 18970630   137.7
18970701 18970731   109.5
18970801 18970831    39.3
18970901 18970930    76.0
18971001 18971031    81.8
18971101 18971130    40.7
18971201 18971231   296.1
18980101 18980131   180.0
18980201 18980228    98.5
18980301 18980331    79.5
18980401 18980430     0.0
18980501 18980531    24.9
18980601 18980630    37.1
18980701 18980731     7.6
18980801 18980831    45.7
18980901 18980930    53.9
18981001 18981031    48.0
18981101 18981130    95.0
18981201 18981231    64.4
18990101 18990131   199.1
18990201 18990228   158.0
18990301 18990331   133.1
18990401 18990430    81.8
18990501 18990531   114.8
18990601 18990630    45.5
18990701 18990731   127.3
18990801 18990831    44.2
18990901 18990930    54.2
18991001 18991031    63.8
18991101 18991130    32.3
18991201 18991231   169.0
19000101 19000131   120.7
19000201 19000228    83.9
19000301 19000331    35.5
19000401 19000430    12.4
19000501 19000531   143.6
19000601 19000630    48.5
19000701 19000731    45.7
19000801 19000831    38.1
19000901 19000930    45.9
19001001 19001031     5.8
19001101 19001130    46.5
19001201 19001231    37.6
19010101 19010131   133.3
19010201 19010228    54.6
19010301 19010331   303.9
19010401 19010430   115.1
19010501 19010531    47.0
19010601 19010630   116.8
19010701 19010731    61.0
19010801 19010831    81.0
19010901 19010930    29.7
19011001 19011031    58.1
19011101 19011130    11.5
19011201 19011231    10.2
19020101 19020131    50.8
19020201 19020228    35.1
19020301 19020331     5.6
19020401 19020430     1.3
19020501 19020531     3.5
19020601 19020630     9.4
19020701 19020731     2.1
19020801 19020831    31.0
19020901 19020930    42.5
19021001 19021031    97.8
19021101 19021130    63.2
19021201 19021231   117.4
19030101 19030131    22.4
19030201 19030228   111.3
19030301 19030331    49.3
19030401 19030430    20.6
19030501 19030531   231.1
19030601 19030630    94.5
19030701 19030731   193.6
19030801 19030831    54.3
19030901 19030930   103.9
19031001 19031031   114.9
19031101 19031130    81.6
19031201 19031231    26.1
19040101 19040131    52.8
19040201 19040229    15.2
19040301 19040331   102.9
19040401 19040430   132.3
19040501 19040531   104.6
19040601 19040630     3.8
19040701 19040731    21.9
19040801 19040831     7.4
19040901 19040930    53.1
19041001 19041031    50.7
19041101 19041130    35.3
19041201 19041231   120.3
19050101 19050131   174.8
19050201 19050228    23.1
19050301 19050331   117.7
19050401 19050430    94.1
