PRCP       040043 18690801 20180131 missing_value=99999.9 CAPE MORETON LIGHTHOUSE                   
18690801 18690831    18.0
18690901 18690930    99.8
18691001 18691031    31.2
18691101 18691130   228.1
18691201 18691231    68.8
18700101 18700131   151.6
18700201 18700228   172.5
18700301 18700331   700.3
18700401 18700430   114.0
18700501 18700531   294.9
18700601 18700630    99.3
18700701 18700731   208.3
18700801 18700831    94.0
18700901 18700930    51.1
18701001 18701031    71.9
18701101 18701130   154.2
18701201 18701231   105.9
18710101 18710131   138.9
18710201 18710228    83.8
18710301 18710331   218.9
18710401 18710430   219.5
18710501 18710531    32.0
18710601 18710630   100.8
18710701 18710731    39.4
18710801 18710831    32.0
18710901 18710930    46.7
18711001 18711031   146.1
18711101 18711130   128.0
18711201 18711231   355.6
18720101 18720131   408.4
18720201 18720229   116.1
18720301 18720331   340.9
18720401 18720430    55.4
18720501 18720531    37.3
18720601 18720630    79.2
18720701 18720731   162.6
18720801 18720831    82.3
18720901 18720930    40.6
18721001 18721031    51.3
18721101 18721130   174.2
18721201 18721231   362.5
18730101 18730131   135.6
18730201 18730228   105.7
18730301 18730331   285.2
18730401 18730430   106.9
18730501 18730531    98.3
18730601 18730630   336.0
18730701 18730731   126.0
18730801 18730831   199.4
18730901 18730930    28.7
18731001 18731031    42.7
18731101 18731130   203.2
18731201 18731231   190.0
18740101 18740131   236.2
18740201 18740228    42.4
18740301 18740331    91.9
18740401 18740430   305.8
18740501 18740531    69.1
18740601 18740630   116.1
18740701 18740731   200.7
18740801 18740831    15.0
18740901 18740930    28.7
18741001 18741031   147.3
18741101 18741130    61.2
18741201 18741231   120.4
18750101 18750131    97.0
18750201 18750228   412.2
18750301 18750331   293.1
18750401 18750430   121.7
18750501 18750531   300.0
18750601 18750630    61.7
18750701 18750731   156.7
18750801 18750831    39.1
18750901 18750930   122.7
18751001 18751031    98.6
18751101 18751130    39.6
18751201 18751231    57.7
18760101 18760131   109.2
18760201 18760229   274.8
18760301 18760331    48.0
18760401 18760430   318.5
18760501 18760531   465.3
18760601 18760630   204.2
18760701 18760731   111.0
18760801 18760831    63.5
18760901 18760930    92.2
18761001 18761031    78.5
18761101 18761130    65.8
18761201 18761231   113.3
18770101 18770131   170.4
18770201 18770228    40.4
18770301 18770331   101.9
18770401 18770430   147.3
18770501 18770531    69.9
18770601 18770630   202.4
18770701 18770731   311.7
18770801 18770831    52.8
18770901 18770930    70.6
18771001 18771031    88.9
18771101 18771130    97.8
18771201 18771231    40.1
18780101 18780131   226.1
18780201 18780228   221.7
18780301 18780331   151.9
18780401 18780430    90.9
18780501 18780531   275.1
18780601 18780630    34.5
18780701 18780731     3.8
18780801 18780831    57.9
18780901 18780930    41.7
18781001 18781031    37.8
18781101 18781130    56.6
18781201 18781231   297.2
18790101 18790131   210.3
18790201 18790228   112.0
18790301 18790331   117.3
18790401 18790430   201.2
18790501 18790531   168.4
18790601 18790630   163.1
18790701 18790731   147.1
18790801 18790831   299.2
18790901 18790930   159.3
18791001 18791031    58.7
18791101 18791130    54.6
18791201 18791231   211.6
18800101 18800131    84.1
18800201 18800229   247.4
18800301 18800331   151.9
18800401 18800430    61.0
18800501 18800531    39.9
18800601 18800630     5.3
18800701 18800731    16.3
18800801 18800831     4.3
18800901 18800930   113.5
18801001 18801031   130.3
18801101 18801130    88.1
18801201 18801231   129.3
18810101 18810131    32.5
18810201 18810228   106.2
18810301 18810331    64.5
18810401 18810430   143.0
18810501 18810531   184.9
18810601 18810630    29.0
18810701 18810731    77.0
18810801 18810831   100.3
18810901 18810930   117.3
18811001 18811031    62.5
18811101 18811130   136.4
18811201 18811231    38.6
18820101 18820131    15.2
18820201 18820228   208.0
18820301 18820331    77.0
18820401 18820430   180.1
18820501 18820531    74.2
18820601 18820630   286.8
18820701 18820731    98.0
18820801 18820831    38.6
18820901 18820930    20.3
18821001 18821031   167.6
18821101 18821130    47.2
18821201 18821231   221.2
18830101 18830131   353.8
18830201 18830228   189.2
18830301 18830331   224.0
18830401 18830430   107.2
18830501 18830531    63.0
18830601 18830630    31.8
18830701 18830731    27.7
18830801 18830831    52.1
18830901 18830930    47.0
18831001 18831031    27.4
18831101 18831130    31.2
18831201 18831231    17.3
18840101 18840131    54.6
18840201 18840229   163.8
18840301 18840331   191.8
18840401 18840430    95.8
18840501 18840531   706.4
18840601 18840630   168.9
18840701 18840731   293.6
18840801 18840831    69.9
18840901 18840930    56.9
18841001 18841031    31.8
18841101 18841130   153.4
18841201 18841231   103.6
18850101 18850131   105.4
18850201 18850228   239.3
18850301 18850331    49.0
18850401 18850430    72.4
18850501 18850531    74.7
18850601 18850630    65.5
18850701 18850731    82.3
18850801 18850831    81.5
18850901 18850930    46.5
18851001 18851031    11.4
18851101 18851130     7.6
18851201 18851231    94.2
18860101 18860131   276.9
18860201 18860228    60.2
18860301 18860331    86.4
18860401 18860430   104.1
18860501 18860531    38.9
18860601 18860630   183.1
18860701 18860731   105.2
18860801 18860831   101.1
18860901 18860930   113.3
18861001 18861031    55.9
18861101 18861130   302.5
18861201 18861231   162.1
18870101 18870131   218.7
18870201 18870228   264.2
18870301 18870331   458.0
18870401 18870430   313.5
18870501 18870531   243.3
18870601 18870630    99.9
18870701 18870731   143.2
18870801 18870831   122.8
18870901 18870930    85.4
18871001 18871031     6.4
18871101 18871130    96.1
18871201 18871231    63.5
18880101 18880131   110.3
18880201 18880229   378.4
18880301 18880331   120.2
18880401 18880430   155.8
18880501 18880531   192.7
18880601 18880630   167.5
18880701 18880731    18.5
18880801 18880831    45.1
18880901 18880930    82.9
18881001 18881031    71.2
18881101 18881130    56.2
18881201 18881231    96.0
18890101 18890131    20.3
18890201 18890228    40.4
18890301 18890331   252.4
18890401 18890430   480.3
18890501 18890531   219.1
18890601 18890630    17.5
18890701 18890731   380.0
18890801 18890831   197.8
18890901 18890930   189.7
18891001 18891031   106.1
18891101 18891130   183.1
18891201 18891231   137.8
18900101 18900131   392.3
18900201 18900228   159.3
18900301 18900331   640.0
18900401 18900430   336.5
18900501 18900531   223.9
18900601 18900630    60.7
18900701 18900731   120.6
18900801 18900831    45.9
18900901 18900930   110.0
18901001 18901031    38.4
18901101 18901130   166.7
18901201 18901231   168.4
18910101 18910131   241.0
18910201 18910228    58.1
18910301 18910331   198.7
18910401 18910430   200.5
18910501 18910531   246.2
18910601 18910630   106.9
18910701 18910731    93.5
18910801 18910831   125.7
18910901 18910930    97.6
18911001 18911031   120.3
18911101 18911130   100.7
18911201 18911231   119.1
18920101 18920131   129.6
18920201 18920229    97.5
18920301 18920331   312.6
18920401 18920430   278.5
18920501 18920531   305.5
18920601 18920630   164.7
18920701 18920731    86.7
18920801 18920831    50.3
18920901 18920930   144.3
18921001 18921031   165.2
18921101 18921130    51.5
18921201 18921231   179.1
18930101 18930131   212.8
18930201 18930228   571.4
18930301 18930331   260.0
18930401 18930430    91.2
18930501 18930531    66.5
18930601 18930630    76.6
18930701 18930731   127.1
18930801 18930831   147.9
18930901 18930930    57.4
18931001 18931031    72.0
18931101 18931130   109.9
18931201 18931231    86.2
18940101 18940131   283.9
18940201 18940228    70.6
18940301 18940331   257.9
18940401 18940430   226.9
18940501 18940531   215.0
18940601 18940630   114.9
18940701 18940731    18.4
18940801 18940831   109.1
18940901 18940930   214.2
18941001 18941031    99.0
18941101 18941130    63.4
18941201 18941231   133.8
18950101 18950131   411.8
18950201 18950228    91.0
18950301 18950331   210.2
18950401 18950430   144.2
18950501 18950531   108.5
18950601 18950630    96.2
18950701 18950731    40.9
18950801 18950831    34.9
18950901 18950930    80.3
18951001 18951031    68.9
18951101 18951130    60.1
18951201 18951231   121.5
18960101 18960131    99.8
18960201 18960229   349.5
18960301 18960331    65.3
18960401 18960430    34.1
18960501 18960531   129.5
18960601 18960630   137.7
18960701 18960731   115.6
18960801 18960831    59.2
18960901 18960930    65.7
18961001 18961031    76.8
18961101 18961130   226.8
18961201 18961231    62.9
18970101 18970131   127.2
18970201 18970228    54.6
18970301 18970331   138.7
18970401 18970430    22.1
18970501 18970531    89.9
18970601 18970630    92.9
18970701 18970731   124.8
18970801 18970831    66.3
18970901 18970930   112.4
18971001 18971031   115.2
18971101 18971130    44.7
18971201 18971231   367.0
18980101 18980131   425.5
18980201 18980228   188.3
18980301 18980331   516.7
18980401 18980430    45.1
18980501 18980531   354.0
18980601 18980630   122.4
18980701 18980731    31.9
18980801 18980831   141.9
18980901 18980930    58.0
18981001 18981031    40.7
18981101 18981130    28.8
18981201 18981231   150.7
18990101 18990131   122.5
18990201 18990228   174.0
18990301 18990331    39.9
18990401 18990430   192.8
18990501 18990531   264.0
18990601 18990630   124.5
18990701 18990731   209.2
18990801 18990831   105.3
18990901 18990930    78.2
18991001 18991031    46.6
18991101 18991130    25.2
18991201 18991231   215.8
19000101 19000131    61.0
19000201 19000228   151.3
19000301 19000331   203.2
19000401 19000430    65.2
19000501 19000531   387.7
19000601 19000630   122.4
19000701 19000731   166.7
19000801 19000831    42.8
19000901 19000930   111.2
19001001 19001031    39.8
19001101 19001130    46.0
19001201 19001231    64.4
19010101 19010131    33.6
19010201 19010228   172.1
19010301 19010331   223.0
19010401 19010430   247.6
19010501 19010531   206.7
19010601 19010630   130.1
19010701 19010731   255.5
19010801 19010831   181.4
19010901 19010930    41.9
19011001 19011031   114.3
19011101 19011130    47.6
19011201 19011231    21.9
19020101 19020131    62.4
19020201 19020228    87.6
19020301 19020331   103.2
19020401 19020430    79.1
19020501 19020531    51.0
19020601 19020630    34.3
19020701 19020731    66.2
19020801 19020831    31.7
19020901 19020930    93.7
19021001 19021031    44.0
19021101 19021130    53.8
19021201 19021231    17.8
19030101 19030131    75.4
