PRCP       040094 18960701 20180131 missing_value=99999.9 HARRISVILLE POST OFFICE                   
18960701 18960731    82.3
18960801 18960831     4.8
18960901 18960930    40.1
18961001 18961031    13.5
18961101 18961130    91.2
18961201 18961231   133.6
18970101 18970131    84.3
18970201 18970228    29.2
18970301 18970331    91.4
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    25.5
18970701 18970731    24.9
18970801 18970831    30.2
18970901 18970930    54.8
18971001 18971031    84.9
18971101 18971130    14.0
18971201 18971231   168.2
18980101 18980131   227.6
18980201 18980228    37.4
18980301 18980331   116.8
18980401 18980430     0.0
18980501 18980531    22.8
18980601 18980630    17.5
18980701 18980731     3.8
18980801 18980831    47.6
18980901 18980930    27.8
18981001 18981031    29.0
18981101 18981130    54.6
18981201 18981231    58.2
18990101 18990131   149.4
18990201 18990228    17.8
18990301 18990331     9.9
18990401 18990430    86.2
18990501 18990531    21.6
18990601 18990630    49.0
18990701 18990731    51.5
18990801 18990831    23.6
18990901 18990930    48.3
18991001 18991031    37.0
18991101 18991130    58.2
18991201 18991231   176.6
19000101 19000131    91.2
19000201 19000228    74.5
19000301 19000331    22.2
19000401 19000430    47.0
19000501 19000531   230.9
19000601 19000630    40.4
19000701 19000731    29.0
19000801 19000831    46.5
19000901 19000930    42.2
19001001 19001031     0.8
19001101 19001130    41.1
19001201 19001231    15.7
19010101 19010131   125.9
19010201 19010228    32.1
19010301 19010331   250.4
19010401 19010430    12.7
19010501 19010531     9.9
19010601 19010630    73.6
19010701 19010731    14.7
19010801 19010831    45.3
19010901 19010930    38.9
19011001 19011031    12.9
19011101 19011130    22.1
19011201 19011231    19.8
19020101 19020131     9.4
19020201 19020228    81.2
19020301 19020331    13.2
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831    11.9
19020901 19020930    23.6
19021001 19021031    83.1
19021101 19021130   152.1
19021201 19021231   140.5
19030101 19030131    29.5
19030201 19030228   135.1
19030301 19030331    45.7
19030401 19030430    16.1
19030501 19030531   213.8
19030601 19030630     0.0
19030701 19030731   139.3
19030801 19030831    46.8
19030901 19030930    77.0
19031001 19031031    92.5
19031101 19031130    69.8
19031201 19031231    30.0
19040101 19040131   110.8
19040201 19040229    29.9
19040301 19040331    78.3
19040401 19040430    53.4
19040501 19040531    90.8
19040601 19040630     4.8
19040701 19040731    24.6
19040801 19040831     2.1
19040901 19040930    60.0
19041001 19041031    51.2
19041101 19041130    38.8
19041201 19041231   165.4
19050101 19050131   135.3
19050201 19050228    20.6
19050301 19050331   140.0
19050401 19050430    65.8
19050501 19050531    49.8
19050601 19050630     6.9
19050701 19050731     0.0
19050801 19050831     7.3
19050901 19050930    14.3
19051001 19051031    74.5
19051101 19051130    92.9
19051201 19051231    80.5
19060101 19060131    81.5
19060201 19060228    89.7
19060301 19060331    96.2
19060401 19060430    10.4
19060501 19060531    58.2
19060601 19060630    12.0
19060701 19060731     3.3
19060801 19060831    71.0
19060901 19060930    92.1
19061001 19061031    52.6
19061101 19061130    31.0
19061201 19061231   113.1
19070101 19070131    59.2
19070201 19070228    60.0
19070301 19070331    62.1
19070401 19070430    15.3
19070501 19070531    92.3
19070601 19070630    30.9
19070701 19070731     9.5
19070801 19070831    18.3
19070901 19070930     1.5
19071001 19071031    28.5
19071101 19071130   106.9
19071201 19071231   140.3
19080101 19080131    11.7
19080201 19080229   147.7
19080301 19080331   295.2
19080401 19080430    44.3
19080501 19080531    20.1
19080601 19080630     3.8
19080701 19080731     6.1
19080801 19080831    74.2
19080901 19080930    45.3
19081001 19081031    31.5
19081101 19081130    79.5
19081201 19081231    67.9
19090101 19090131    38.1
19090201 19090228    63.0
19090301 19090331    73.8
19090401 19090430    67.5
19090501 19090531     5.1
19090601 19090630    23.5
19090701 19090731    44.0
19090801 19090831    36.8
19090901 19090930    26.1
19091001 19091031    95.3
19091101 19091130    90.3
19091201 19091231   163.9
19100101 19100131   231.2
19100201 19100228    72.3
19100301 19100331   101.8
19100401 19100430    24.4
19100501 19100531     5.0
19100601 19100630    82.3
19100701 19100731    46.7
19100801 19100831     0.0
19100901 19100930    33.0
19101001 19101031    32.6
19101101 19101130    70.4
19101201 19101231    88.9
19110101 19110131   175.6
19110201 19110228    15.7
19110301 19110331   108.0
19110401 19110430    19.1
19110501 19110531    10.2
19110601 19110630     0.0
19110701 19110731    25.4
19110801 19110831    32.0
19110901 19110930    22.9
19111001 19111031    48.0
19111101 19111130    13.5
19111201 19111231     0.0
19120101 19120131    50.7
19120201 19120229    78.8
19120301 19120331    69.8
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630   141.8
19120701 19120731    52.9
19120801 19120831    17.5
19120901 19120930     7.6
19121001 19121031    85.5
19121101 19121130    94.3
19121201 19121231    42.4
19130101 19130131    97.4
19130201 19130228    41.8
19130301 19130331    49.0
19130401 19130430    31.2
19130501 19130531   108.1
19130601 19130630   106.0
19130701 19130731     9.9
19130801 19130831     0.0
19130901 19130930    52.1
19131001 19131031    38.5
19131101 19131130    28.2
19131201 19131231   143.1
19140101 19140131    78.0
19140201 19140228    64.2
19140301 19140331   128.0
19140401 19140430    23.9
19140501 19140531    58.9
19140601 19140630    79.2
19140701 19140731    35.8
19140801 19140831     5.1
19140901 19140930    26.4
19141001 19141031    66.9
19141101 19141130    50.9
19141201 19141231   144.6
19150101 19150131    99.4
19150201 19150228    80.1
19150301 19150331     7.6
19150401 19150430    17.5
19150501 19150531    28.3
19150601 19150630     0.8
19150701 19150731    42.0
19150801 19150831    46.8
19150901 19150930    48.3
19151001 19151031     0.0
19151101 19151130    48.8
19151201 19151231    43.6
19160101 19160131    52.5
19160201 19160229   212.6
19160301 19160331    40.5
19160401 19160430   163.8
19160501 19160531    34.8
19160601 19160630    50.1
19160701 19160731    31.5
19160801 19160831    52.6
19160901 19160930    45.0
19161001 19161031    88.5
19161101 19161130   115.3
19161201 19161231   107.7
19170101 19170131   153.5
19170201 19170228    79.8
19170301 19170331    41.9
19170401 19170430    20.6
19170501 19170531     7.1
19170601 19170630     8.7
19170701 19170731     9.1
19170801 19170831    10.4
19170901 19170930   140.0
19171001 19171031    73.7
19171101 19171130   188.0
19171201 19171231   143.4
19180101 19180131   127.7
19180201 19180228    56.6
19180301 19180331    12.2
19180401 19180430    55.3
19180501 19180531    14.0
19180601 19180630    19.4
19180701 19180731     3.9
19180801 19180831    34.5
