PRCP       040152 19090601 20131231 missing_value=99999.9 MURGON POST OFFICE                        
19090601 19090630    62.5
19090701 19090731   104.2
19090801 19090831    90.4
19090901 19090930    26.7
19091001 19091031    16.5
19091101 19091130    38.6
19091201 19091231   283.2
19100101 19100131   159.7
19100201 19100228    54.4
19100301 19100331   159.0
19100401 19100430     3.0
19100501 19100531    38.1
19100601 19100630   112.2
19100701 19100731    32.0
19100801 19100831     6.3
19100901 19100930    30.3
19101001 19101031    92.9
19101101 19101130    59.5
19101201 19101231   124.6
19110101 19110131   266.2
19110201 19110228    83.0
19110301 19110331    32.3
19110401 19110430    51.3
19110501 19110531     8.9
19110601 19110630     0.0
19110701 19110731    13.5
19110801 19110831     5.5
19110901 19110930     9.9
19111001 19111031    56.9
19111101 19111130    44.6
19111201 19111231    14.0
19120101 19120131    53.4
19120201 19120229    91.0
19120301 19120331   135.7
19120401 19120430     4.0
19120501 19120531    10.7
19120601 19120630   165.2
19120701 19120731    50.3
19120801 19120831    17.0
19120901 19120930     3.1
19121001 19121031   109.4
19121101 19121130    91.9
19121201 19121231    83.9
19130101 19130131   222.3
19130201 19130228   127.5
19130301 19130331    26.4
19130401 19130430    17.2
19130501 19130531   101.8
19130601 19130630    90.4
19130701 19130731    15.2
19130801 19130831     0.0
19130901 19130930   102.0
19131001 19131031    10.9
19131101 19131130    20.1
19131201 19131231   114.4
19140101 19140131    60.5
19140201 19140228    51.2
19140301 19140331   125.8
19140401 19140430    49.5
19140501 19140531    22.9
19140601 19140630   127.3
19140701 19140731    34.0
19140801 19140831     8.6
19140901 19140930     0.0
19141001 19141031    90.1
19141101 19141130    17.8
19141201 19141231   161.1
19150101 19150131    65.0
19150201 19150228    90.9
19150301 19150331     0.0
19150401 19150430    24.1
19150501 19150531    35.0
19150601 19150630     0.0
19150701 19150731    25.2
19150801 19150831    28.9
19150901 19150930    68.1
19151001 19151031    17.9
19151101 19151130    57.6
19151201 19151231   211.9
19160101 19160131    46.4
19160201 19160229    50.4
19160301 19160331    33.3
19160401 19160430    66.8
19160501 19160531    20.6
19160601 19160630    74.5
19160701 19160731    74.7
19160801 19160831    51.3
19160901 19160930    30.0
19161001 19161031   141.8
19161101 19161130   129.7
19161201 19161231    58.6
19170101 19170131   127.2
19170201 19170228    90.4
19170301 19170331    60.4
19170401 19170430     6.3
19170501 19170531    14.2
19170601 19170630     0.0
19170701 19170731    15.5
19170801 19170831    16.5
19170901 19170930   172.5
19171001 19171031    24.5
19171101 19171130   220.4
19171201 19171231   132.6
19180101 19180131   222.5
19180201 19180228    73.7
19180301 19180331    54.9
19180401 19180430    34.0
19180501 19180531     8.9
19180601 19180630     0.0
19180701 19180731     5.6
19180801 19180831    28.7
19180901 19180930    12.1
19181001 19181031    14.0
19181101 19181130    29.5
19181201 19181231    48.3
19190101 19190131    40.7
19190201 19190228   109.6
19190301 19190331    91.6
19190401 19190430    19.7
19190501 19190531    65.2
19190601 19190630     6.4
19190701 19190731     0.0
19190801 19190831    24.9
19190901 19190930     1.3
19191001 19191031    43.5
19191101 19191130     2.0
19191201 19191231    30.4
19200101 19200131   158.1
19200201 19200229     2.5
19200301 19200331    20.6
19200401 19200430     5.1
19200501 19200531    39.2
19200601 19200630    71.8
19200701 19200731    38.8
19200801 19200831    52.9
19200901 19200930    33.6
19201001 19201031    67.0
19201101 19201130    66.8
19201201 19201231    99.5
19210101 19210131    86.1
19210201 19210228    74.7
19210301 19210331   130.0
19210401 19210430    62.7
19210501 19210531    26.5
19210601 19210630   197.7
19210701 19210731    79.7
19210801 19210831     9.4
19210901 19210930    15.3
19211001 19211031    43.9
19211101 19211130    15.0
19211201 19211231   198.4
19220101 19220131    53.7
19220201 19220228    83.1
19220301 19220331    48.2
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630    32.4
19220701 19220731    62.7
19220801 19220831    26.5
19220901 19220930    51.8
19221001 19221031    21.6
19221101 19221130    43.0
19221201 19221231    91.2
19230101 19230131   104.2
19230201 19230228    11.4
19230301 19230331    47.0
19230401 19230430    54.2
19230501 19230531     9.1
19230601 19230630    81.2
19230701 19230731    33.5
19230801 19230831     7.4
19230901 19230930    31.5
19231001 19231031    22.9
19231101 19231130    41.4
19231201 19231231   241.1
19240101 19240131    97.5
19240201 19240229   246.1
19240301 19240331    93.0
19240401 19240430    25.4
19240501 19240531     5.1
19240601 19240630    14.0
19240701 19240731    41.2
19240801 19240831    21.3
19240901 19240930    81.3
19241001 19241031   141.8
19241101 19241130   165.9
19241201 19241231    94.3
19250101 19250131   199.0
19250201 19250228    70.9
19250301 19250331    25.7
19250401 19250430     0.0
19250501 19250531    58.2
19250601 19250630    82.0
19250701 19250731    13.5
19250801 19250831    53.1
19250901 19250930    36.8
19251001 19251031     3.8
19251101 19251130    52.6
19251201 19251231   143.8
19260101 19260131   143.5
19260201 19260228     8.4
19260301 19260331    26.2
19260401 19260430    21.6
19260501 19260531    17.6
19260601 19260630    58.3
19260701 19260731     2.8
19260801 19260831     0.0
19260901 19260930   111.0
19261001 19261031    12.2
19261101 19261130    14.2
19261201 19261231   284.9
19270101 19270131   163.0
19270201 19270228   139.4
19270301 19270331   225.7
19270401 19270430    63.5
19270501 19270531     7.6
19270601 19270630    69.3
19270701 19270731    21.3
19270801 19270831    11.7
19270901 19270930    26.2
19271001 19271031   112.2
19271101 19271130    93.0
19271201 19271231   148.2
19280101 19280131   134.8
19280201 19280229   302.4
19280301 19280331    14.8
19280401 19280430    91.3
19280501 19280531    39.8
19280601 19280630    71.3
19280701 19280731    20.9
19280801 19280831     3.8
19280901 19280930     1.5
19281001 19281031    19.1
19281101 19281130    66.1
19281201 19281231   160.3
19290101 19290131   305.5
19290201 19290228   123.2
19290301 19290331    39.9
19290401 19290430   122.7
19290501 19290531     0.8
19290601 19290630    23.9
19290701 19290731    13.7
19290801 19290831    20.3
19290901 19290930     1.3
19291001 19291031    83.8
19291101 19291130    52.3
19291201 19291231   126.7
19300101 19300131   219.9
19300201 19300228   100.7
19300301 19300331    19.3
19300401 19300430     8.6
19300501 19300531   143.7
19300601 19300630   119.9
19300701 19300731    35.4
19300801 19300831    58.0
19300901 19300930    25.7
19301001 19301031    34.9
19301101 19301130    96.0
19301201 19301231    27.5
19310101 19310131   151.1
19310201 19310228   123.6
19310301 19310331    98.6
19310401 19310430    59.2
19310501 19310531    79.3
19310601 19310630     8.9
19310701 19310731    23.1
19310801 19310831    19.8
19310901 19310930    65.2
19311001 19311031    15.2
19311101 19311130   140.7
19311201 19311231    98.8
19320101 19320131    21.9
19320201 19320229    18.2
19320301 19320331    35.1
19320401 19320430   244.9
19320501 19320531    15.4
19320601 19320630     5.1
19320701 19320731    16.0
19320801 19320831    10.4
19320901 19320930    35.9
19321001 19321031    84.1
19321101 19321130    82.5
19321201 19321231    55.8
19330101 19330131   252.2
19330201 19330228    65.1
19330301 19330331     0.8
19330401 19330430    59.1
19330501 19330531     9.2
19330601 19330630    19.1
19330701 19330731    61.1
19330801 19330831    42.4
19330901 19330930    99.3
19331001 19331031    94.1
19331101 19331130   168.3
19331201 19331231   122.4
19340101 19340131    61.9
19340201 19340228   185.9
19340301 19340331     7.9
19340401 19340430   179.1
19340501 19340531    44.5
19340601 19340630    54.7
19340701 19340731    78.2
19340801 19340831    11.7
19340901 19340930    25.7
19341001 19341031    57.0
19341101 19341130   209.2
19341201 19341231   184.6
19350101 19350131    74.6
19350201 19350228   137.9
19350301 19350331     8.9
19350401 19350430    43.1
19350501 19350531    38.0
19350601 19350630     0.0
19350701 19350731    31.3
19350801 19350831    27.3
19350901 19350930    82.0
19351001 19351031    62.7
19351101 19351130     5.9
19351201 19351231   113.9
19360101 19360131    93.3
19360201 19360229    30.0
19360301 19360331    89.5
