PRCP       040428 18951101 20141130 missing_value=99999.9 BRIAN PASTURES                            
18951101 18951130    58.7
18951201 18951231    89.3
18960101 18960131   133.5
18960201 18960229   331.4
18960301 18960331    38.6
18960401 18960430     1.2
18960501 18960531    29.4
18960601 18960630     8.4
18960701 18960731    13.4
18960801 18960831    13.4
18960901 18960930     6.0
18961001 18961031    10.5
18961101 18961130   104.6
18961201 18961231    93.0
18970101 18970131   142.3
18970201 18970228   149.2
18970301 18970331   135.1
18970401 18970430     0.0
18970501 18970531     1.5
18970601 18970630    62.4
18970701 18970731    78.4
18970801 18970831    59.3
18970901 18970930    77.2
18971001 18971031   140.0
18971101 18971130     3.6
18971201 18971231    85.7
18980101 18980131   196.8
18980201 18980228   167.1
18980301 18980331   378.1
18980401 18980430    10.1
18980501 18980531    28.4
18980601 18980630    49.3
18980701 18980731     0.8
18980801 18980831    20.0
18980901 18980930    50.5
18981001 18981031    17.0
18981101 18981130    62.3
18981201 18981231    41.8
18990101 18990131   183.6
18990201 18990228    73.0
18990301 18990331    57.8
18990401 18990430    38.9
18990501 18990531    47.8
18990601 18990630    24.8
18990701 18990731    37.0
18990801 18990831    56.6
18990901 18990930    37.2
18991001 18991031    22.2
18991101 18991130    48.2
18991201 18991231   171.5
19000101 19000131    53.4
19000201 19000228    18.0
19000301 19000331    41.4
19000401 19000430     9.3
19000501 19000531    93.0
19000601 19000630    32.0
19000701 19000731    75.4
19000801 19000831    23.4
19000901 19000930    63.4
19001001 19001031     7.6
19001101 19001130    14.3
19001201 19001231     2.6
19010101 19010131    24.1
19010201 19010228    55.3
19010301 19010331   104.5
19010401 19010430   145.1
19010501 19010531    26.0
19010601 19010630    26.8
19010701 19010731    45.8
19010801 19010831   101.3
19010901 19010930    36.4
19011001 19011031    35.1
19011101 19011130    11.9
19011201 19011231    14.8
19020101 19020131    59.7
19020201 19020228    10.2
19020301 19020331    14.3
19020401 19020430    16.8
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731     2.4
19020801 19020831     1.9
19020901 19020930    31.8
19021001 19021031    43.1
19021101 19021130     4.2
19021201 19021231   191.3
19030101 19030131    56.3
19030201 19030228    98.1
19030301 19030331    83.1
19030401 19030430     3.6
19030501 19030531   116.5
19030601 19030630    46.2
19030701 19030731    88.8
19030801 19030831    37.3
19030901 19030930    42.2
19031001 19031031    64.0
19031101 19031130    79.5
19031201 19031231    80.0
19040101 19040131   194.5
19040201 19040229    15.7
19040301 19040331    83.7
19040401 19040430    67.1
19040501 19040531     9.6
19040601 19040630    15.5
19040701 19040731    10.3
19040801 19040831     6.2
19040901 19040930     0.0
19041001 19041031    69.7
19041101 19041130    36.8
19041201 19041231   110.2
19050101 19050131   257.9
19050201 19050228    33.0
19050301 19050331    66.8
