PRCP       041011 19090101 20140228 missing_value=99999.9 CAMBOOYA POST OFFICE                      
19090101 19090131    33.8
19090201 19090228    85.7
19090301 19090331    44.8
19090401 19090430    54.9
19090501 19090531    13.5
19090601 19090630    49.9
19090701 19090731    49.5
19090801 19090831    50.3
19090901 19090930    44.2
19091001 19091031    65.5
19091101 19091130    79.1
19091201 19091231    88.9
19100101 19100131   286.5
19100201 19100228    81.6
19100301 19100331    87.1
19100401 19100430    39.4
19100501 19100531    17.3
19100601 19100630   106.9
19100701 19100731    62.3
19100801 19100831    11.3
19100901 19100930    24.3
19101001 19101031    93.0
19101101 19101130    54.8
19101201 19101231   109.2
19110101 19110131   140.5
19110201 19110228    89.0
19110301 19110331    65.0
19110401 19110430    18.0
19110501 19110531    38.6
19110601 19110630     1.0
19110701 19110731    20.5
19110801 19110831    16.2
19110901 19110930    17.6
19111001 19111031    88.3
19111101 19111130    22.3
19111201 19111231    19.1
19120101 19120131    32.1
19120201 19120229    29.7
19120301 19120331   175.0
19120401 19120430     1.0
19120501 19120531     4.1
19120601 19120630   134.1
19120701 19120731    63.2
19120801 19120831    29.1
19120901 19120930    25.4
19121001 19121031    79.6
19121101 19121130    46.1
19121201 19121231    62.8
19130101 19130131   144.0
19130201 19130228    45.6
19130301 19130331    27.2
19130401 19130430     2.8
19130501 19130531    69.1
19130601 19130630   111.5
19130701 19130731    18.5
19130801 19130831     0.0
19130901 19130930    25.4
19131001 19131031    39.9
19131101 19131130    20.3
19131201 19131231    31.5
19140101 19140131   170.2
19140201 19140228    73.8
19140301 19140331   107.8
19140401 19140430    56.3
19140501 19140531    84.8
19140601 19140630    45.0
19140701 19140731    33.1
19140801 19140831     2.1
19140901 19140930     5.6
19141001 19141031    61.4
19141101 19141130    17.0
19141201 19141231   149.2
19150101 19150131    54.8
19150201 19150228    56.0
19150301 19150331     3.3
19150401 19150430    45.7
19150501 19150531    26.1
19150601 19150630    14.3
19150701 19150731    42.2
19150801 19150831    63.3
19150901 19150930    30.2
19151001 19151031     2.8
19151101 19151130    22.6
19151201 19151231    60.2
19160101 19160131    49.1
19160201 19160229    78.8
19160301 19160331    83.7
19160401 19160430   131.1
19160501 19160531     7.6
19160601 19160630    84.9
19160701 19160731    57.1
19160801 19160831    63.1
19160901 19160930    48.2
19161001 19161031    91.4
19161101 19161130   148.4
19161201 19161231    43.1
19170101 19170131   114.4
19170201 19170228   119.6
19170301 19170331    37.8
19170401 19170430    27.6
19170501 19170531     4.6
19170601 19170630    11.0
19170701 19170731    12.5
19170801 19170831    21.6
19170901 19170930   158.0
19171001 19171031    85.3
19171101 19171130   189.0
19171201 19171231   164.3
19180101 19180131    99.0
19180201 19180228    30.8
19180301 19180331     7.1
19180401 19180430    24.9
19180501 19180531     9.1
19180601 19180630    21.6
19180701 19180731     9.1
19180801 19180831    46.8
19180901 19180930    14.5
19181001 19181031    66.7
19181101 19181130    30.2
19181201 19181231    80.8
19190101 19190131    23.7
19190201 19190228    28.7
19190301 19190331   151.3
19190401 19190430    25.7
19190501 19190531    60.5
19190601 19190630     9.9
19190701 19190731     1.8
19190801 19190831    11.2
19190901 19190930     4.1
19191001 19191031    17.5
19191101 19191130    16.0
19191201 19191231     8.3
19200101 19200131   167.7
19200201 19200229    18.3
19200301 19200331    46.4
19200401 19200430    27.8
19200501 19200531    82.5
19200601 19200630    47.9
19200701 19200731    96.6
19200801 19200831    41.7
19200901 19200930    60.5
19201001 19201031    69.9
19201101 19201130    80.0
19201201 19201231   121.4
19210101 19210131    26.8
19210201 19210228    50.1
19210301 19210331    59.0
19210401 19210430    33.1
19210501 19210531    45.7
19210601 19210630   147.3
19210701 19210731   124.0
19210801 19210831    13.2
19210901 19210930    57.0
19211001 19211031    31.2
19211101 19211130    41.9
19211201 19211231   141.4
19220101 19220131    57.7
19220201 19220228    26.2
19220301 19220331    24.7
19220401 19220430     0.0
19220501 19220531     4.0
19220601 19220630    29.6
19220701 19220731    81.1
19220801 19220831     6.3
19220901 19220930    50.7
19221001 19221031   109.4
19221101 19221130    86.6
19221201 19221231   116.4
19230101 19230131    93.8
19230201 19230228     0.0
19230301 19230331   105.2
19230401 19230430    12.7
19230501 19230531     1.5
19230601 19230630    63.8
19230701 19230731    19.0
19230801 19230831     6.9
19230901 19230930    29.7
19231001 19231031    43.6
19231101 19231130    11.2
19231201 19231231   196.2
19240101 19240131   127.1
19240201 19240229   100.4
19240301 19240331    76.2
19240401 19240430    35.1
19240501 19240531     0.0
19240601 19240630    28.4
19240701 19240731    81.9
19240801 19240831    27.6
19240901 19240930   115.0
19241001 19241031    57.7
19241101 19241130    87.3
19241201 19241231    84.1
19250101 19250131   127.7
19250201 19250228    59.5
19250301 19250331    32.1
19250401 19250430     0.0
19250501 19250531    45.3
19250601 19250630    47.3
19250701 19250731    21.3
19250801 19250831    83.4
19250901 19250930     7.1
19251001 19251031     9.4
19251101 19251130   145.1
19251201 19251231    69.2
19260101 19260131   113.6
19260201 19260228    55.6
19260301 19260331     8.4
19260401 19260430    35.6
19260501 19260531    22.2
19260601 19260630    47.3
19260701 19260731    18.8
19260801 19260831    25.4
19260901 19260930    43.0
19261001 19261031    18.5
19261101 19261130    49.2
19261201 19261231   159.0
19270101 19270131   168.8
19270201 19270228   119.1
19270301 19270331    84.6
19270401 19270430    60.2
19270501 19270531     0.5
19270601 19270630    85.3
19270701 19270731    19.6
19270801 19270831     7.1
19270901 19270930    18.4
19271001 19271031    72.2
19271101 19271130    71.2
19271201 19271231    89.8
19280101 19280131    67.3
19280201 19280229   231.2
19280301 19280331    36.3
19280401 19280430    90.2
19280501 19280531    23.5
19280601 19280630    33.8
19280701 19280731    70.5
19280801 19280831     5.1
19280901 19280930     2.3
19281001 19281031    36.8
19281101 19281130    54.7
19281201 19281231   128.3
19290101 19290131    40.5
19290201 19290228   145.0
19290301 19290331   170.5
19290401 19290430    52.1
