PRCP       041013 19030101 20171231 missing_value=99999.9 CANNING DOWNS                             
19030101 19030131    11.9
19030201 19030228    80.0
19030301 19030331    61.0
19030401 19030430    17.5
19030501 19030531   155.7
19030601 19030630    61.7
19030701 19030731   126.0
19030801 19030831    67.3
19030901 19030930    77.0
19031001 19031031    89.9
19031101 19031130   115.8
19031201 19031231    67.1
19040101 19040131    13.2
19040201 19040229    79.5
19040301 19040331    88.4
19040401 19040430    54.1
19040501 19040531    73.9
19040601 19040630    10.7
19040701 19040731    61.5
19040801 19040831     5.1
19040901 19040930    62.7
19041001 19041031    70.6
19041101 19041130    67.3
19041201 19041231    86.6
19050101 19050131    38.6
19050201 19050228     0.0
19050301 19050331   170.4
19050401 19050430    96.3
19050501 19050531    31.0
19050601 19050630    20.1
19050701 19050731     0.8
19050801 19050831    25.7
19050901 19050930    16.8
19051001 19051031   108.7
19051101 19051130    51.1
19051201 19051231   103.9
19060101 19060131    64.3
19060201 19060228    62.7
19060301 19060331   150.4
19060401 19060430    11.7
19060501 19060531    14.2
19060601 19060630    14.0
19060701 19060731    26.4
19060801 19060831    87.6
19060901 19060930    75.4
19061001 19061031    60.5
19061101 19061130    72.1
19061201 19061231   107.2
19070101 19070131    93.5
19070201 19070228    56.9
19070301 19070331   131.1
19070401 19070430    14.5
19070501 19070531    15.5
19070601 19070630    53.1
19070701 19070731    24.1
19070801 19070831    39.4
19070901 19070930     1.0
19071001 19071031    46.5
19071101 19071130    58.7
19071201 19071231    72.4
19080101 19080131    23.4
19080201 19080229   139.4
19080301 19080331   127.0
19080401 19080430    31.8
19080501 19080531     5.3
19080601 19080630    19.1
19080701 19080731    23.1
19080801 19080831    73.7
19080901 19080930    54.4
19081001 19081031    26.4
19081101 19081130   133.6
19081201 19081231    53.8
19090101 19090131    23.1
19090201 19090228    23.6
19090301 19090331    37.1
19090401 19090430    58.9
19090501 19090531    18.5
19090601 19090630    32.3
19090701 19090731    36.3
19090801 19090831    58.9
19090901 19090930    50.0
19091001 19091031    72.9
19091101 19091130    73.2
19091201 19091231   114.6
19100101 19100131    81.5
19100201 19100228    71.1
19100301 19100331    66.3
19100401 19100430    10.7
19100501 19100531     8.6
19100601 19100630    76.7
19100701 19100731    45.0
19100801 19100831    13.0
19100901 19100930    34.8
19101001 19101031    64.5
19101101 19101130    91.7
19101201 19101231    88.9
19110101 19110131   160.8
19110201 19110228    67.3
19110301 19110331    68.3
19110401 19110430    18.8
19110501 19110531    25.9
19110601 19110630     0.0
19110701 19110731    32.0
19110801 19110831    34.8
19110901 19110930    11.4
19111001 19111031    59.9
19111101 19111130    23.6
19111201 19111231    25.1
19120101 19120131    43.2
19120201 19120229    97.4
19120301 19120331    82.5
19120401 19120430     0.8
19120501 19120531     2.8
19120601 19120630   135.3
19120701 19120731    63.2
19120801 19120831    35.8
19120901 19120930    36.9
19121001 19121031    84.4
19121101 19121130    98.5
19121201 19121231    41.2
19130101 19130131    95.6
19130201 19130228    33.8
19130301 19130331    47.1
19130401 19130430     9.4
19130501 19130531    90.9
19130601 19130630    91.9
19130701 19130731    18.8
19130801 19130831     0.6
19130901 19130930    67.8
19131001 19131031    60.2
19131101 19131130    19.0
19131201 19131231    94.7
19140101 19140131    33.3
19140201 19140228    18.7
19140301 19140331   157.4
19140401 19140430    51.6
19140501 19140531    95.2
19140601 19140630    54.0
19140701 19140731    20.7
19140801 19140831     5.1
19140901 19140930     5.5
19141001 19141031    63.4
19141101 19141130    24.7
19141201 19141231    57.2
19150101 19150131    47.5
19150201 19150228     4.5
19150301 19150331    13.4
19150401 19150430    22.0
19150501 19150531    92.5
19150601 19150630    13.3
19150701 19150731    67.7
19150801 19150831    41.2
19150901 19150930    16.0
19151001 19151031     1.3
19151101 19151130     2.0
19151201 19151231   112.2
19160101 19160131    86.1
19160201 19160229   108.8
19160301 19160331    25.2
19160401 19160430    83.8
19160501 19160531     8.4
19160601 19160630    52.9
19160701 19160731    50.8
19160801 19160831    54.1
19160901 19160930    41.1
19161001 19161031    53.6
19161101 19161130   133.6
19161201 19161231    58.9
19170101 19170131   119.7
19170201 19170228    66.2
19170301 19170331    31.2
19170401 19170430     0.0
19170501 19170531     0.0
19170601 19170630     9.7
19170701 19170731    20.4
19170801 19170831    21.9
19170901 19170930   151.2
19171001 19171031    55.2
19171101 19171130   120.5
19171201 19171231   134.1
19180101 19180131    66.0
19180201 19180228    62.4
19180301 19180331    14.0
19180401 19180430    90.5
19180501 19180531     8.1
19180601 19180630     8.4
19180701 19180731     7.6
19180801 19180831    57.6
19180901 19180930     3.3
19181001 19181031    24.9
19181101 19181130     5.3
19181201 19181231    69.5
19190101 19190131     5.3
19190201 19190228    79.7
19190301 19190331   121.9
19190401 19190430     6.9
19190501 19190531    88.9
19190601 19190630     3.6
19190701 19190731     2.0
19190801 19190831    20.1
19190901 19190930     4.1
19191001 19191031    10.6
19191101 19191130    44.3
19191201 19191231    38.6
19200101 19200131   131.8
19200201 19200229    22.4
19200301 19200331    43.9
19200401 19200430    43.2
19200501 19200531    53.3
19200601 19200630    49.8
19200701 19200731    94.2
19200801 19200831    43.7
19200901 19200930    55.9
19201001 19201031    66.3
19201101 19201130   103.5
19201201 19201231    67.1
19210101 19210131    38.0
19210201 19210228    33.8
19210301 19210331    19.7
19210401 19210430    19.3
19210501 19210531    27.7
19210601 19210630   124.3
19210701 19210731   152.4
19210801 19210831     7.1
19210901 19210930    54.8
19211001 19211031    61.3
19211101 19211130    60.7
19211201 19211231   197.5
19220101 19220131    30.4
19220201 19220228    39.7
19220301 19220331    13.5
19220401 19220430     0.8
19220501 19220531     0.5
19220601 19220630    52.3
19220701 19220731    76.1
19220801 19220831    12.2
19220901 19220930    45.7
19221001 19221031    38.4
19221101 19221130    76.4
19221201 19221231   106.9
19230101 19230131    74.5
19230201 19230228     3.0
19230301 19230331    27.2
19230401 19230430     8.6
19230501 19230531     1.5
19230601 19230630    52.1
19230701 19230731    23.6
19230801 19230831    22.6
19230901 19230930    27.2
19231001 19231031    59.7
19231101 19231130    17.6
19231201 19231231    92.8
19240101 19240131   166.6
19240201 19240229   156.0
19240301 19240331    46.4
19240401 19240430    52.7
19240501 19240531     0.0
19240601 19240630    26.4
19240701 19240731    65.8
19240801 19240831    38.9
19240901 19240930    83.5
19241001 19241031    63.7
19241101 19241130   102.0
19241201 19241231    56.6
19250101 19250131   138.5
19250201 19250228    36.1
19250301 19250331    19.7
19250401 19250430     0.0
19250501 19250531    56.3
19250601 19250630    17.6
19250701 19250731    23.9
19250801 19250831    86.8
19250901 19250930    18.9
19251001 19251031     8.3
19251101 19251130   121.8
19251201 19251231    28.5
19260101 19260131   152.6
19260201 19260228     5.3
19260301 19260331    15.8
19260401 19260430     9.4
19260501 19260531    25.2
19260601 19260630    46.6
19260701 19260731    24.4
19260801 19260831     9.4
19260901 19260930    25.7
19261001 19261031    17.1
19261101 19261130    28.7
19261201 19261231    80.7
19270101 19270131   107.6
19270201 19270228    54.5
19270301 19270331    72.1
19270401 19270430    27.2
19270501 19270531     0.0
19270601 19270630    74.9
19270701 19270731    14.3
19270801 19270831     6.9
19270901 19270930    11.0
19271001 19271031    82.7
19271101 19271130    91.7
19271201 19271231    61.6
19280101 19280131    60.7
19280201 19280229   239.8
19280301 19280331    26.2
19280401 19280430   107.2
19280501 19280531    19.4
19280601 19280630    44.3
19280701 19280731    50.3
19280801 19280831     5.8
19280901 19280930     0.0
19281001 19281031    35.2
19281101 19281130    43.4
19281201 19281231    66.5
19290101 19290131    91.7
19290201 19290228   164.9
19290301 19290331    99.3
19290401 19290430    80.1
19290501 19290531     0.0
19290601 19290630    46.7
19290701 19290731    20.4
19290801 19290831    16.5
19290901 19290930     8.4
19291001 19291031    63.1
19291101 19291130    34.6
19291201 19291231    63.6
19300101 19300131    53.6
19300201 19300228    33.8
19300301 19300331    27.2
19300401 19300430    16.0
19300501 19300531    52.3
19300601 19300630    81.1
19300701 19300731    61.5
19300801 19300831    31.2
19300901 19300930    32.2
19301001 19301031    86.4
19301101 19301130    26.2
19301201 19301231    26.7
19310101 19310131    71.3
19310201 19310228    59.1
19310301 19310331    49.9
19310401 19310430    25.4
19310501 19310531    83.3
19310601 19310630    47.8
19310701 19310731    44.3
19310801 19310831     5.3
19310901 19310930    38.3
19311001 19311031    32.8
19311101 19311130   108.4
19311201 19311231    68.3
19320101 19320131    41.4
19320201 19320229    17.2
19320301 19320331     0.0
19320401 19320430   101.2
19320501 19320531    16.3
19320601 19320630    12.2
19320701 19320731    38.1
19320801 19320831     1.5
19320901 19320930    75.7
19321001 19321031   106.1
19321101 19321130   140.9
19321201 19321231    80.6
19330101 19330131   156.4
19330201 19330228    53.1
19330301 19330331     0.0
19330401 19330430    40.9
19330501 19330531     8.7
19330601 19330630    35.3
19330701 19330731    60.9
19330801 19330831    15.3
19330901 19330930    46.5
19331001 19331031    46.8
19331101 19331130   120.3
19331201 19331231    65.5
19340101 19340131    86.3
19340201 19340228    92.4
19340301 19340331     0.0
19340401 19340430    73.3
19340501 19340531     5.3
19340601 19340630    13.7
19340701 19340731    90.2
19340801 19340831    24.4
19340901 19340930    24.2
19341001 19341031    73.8
19341101 19341130    49.3
19341201 19341231   101.9
19350101 19350131    69.8
19350201 19350228    64.0
19350301 19350331    11.4
19350401 19350430    34.1
19350501 19350531    23.0
19350601 19350630     1.3
19350701 19350731    42.2
19350801 19350831    14.5
19350901 19350930    73.7
19351001 19351031    68.1
19351101 19351130     3.3
19351201 19351231    75.9
19360101 19360131    95.3
19360201 19360229    17.3
19360301 19360331    47.8
19360401 19360430    10.4
19360501 19360531    14.5
19360601 19360630    40.1
19360701 19360731    58.6
19360801 19360831    11.4
19360901 19360930    32.3
19361001 19361031    11.0
19361101 19361130    32.5
19361201 19361231   130.1
19370101 19370131    57.1
19370201 19370228    25.4
19370301 19370331   186.5
19370401 19370430    10.1
19370501 19370531     5.8
19370601 19370630    19.4
19370701 19370731    20.6
19370801 19370831    70.3
19370901 19370930    16.8
19371001 19371031    78.7
19371101 19371130    96.5
19371201 19371231    54.0
19380101 19380131   111.5
19380201 19380228    87.6
19380301 19380331    16.5
19380401 19380430    36.3
19380501 19380531    92.5
19380601 19380630     9.7
19380701 19380731    32.5
19380801 19380831    48.0
19380901 19380930    27.4
19381001 19381031   109.2
19381101 19381130    98.5
19381201 19381231    10.2
19390101 19390131   107.9
19390201 19390228    27.2
19390301 19390331   253.6
19390401 19390430    63.9
19390501 19390531     0.0
19390601 19390630    69.7
19390701 19390731    40.6
19390801 19390831    38.3
19390901 19390930    13.4
19391001 19391031    53.3
19391101 19391130    49.8
19391201 19391231    71.9
19400101 19400131    80.3
19400201 19400229   140.3
19400301 19400331    81.6
19400401 19400430     0.0
19400501 19400531    21.6
19400601 19400630    12.8
19400701 19400731     0.0
19400801 19400831     6.8
19400901 19400930    28.7
19401001 19401031    18.1
19401101 19401130    67.5
19401201 19401231   179.7
19410101 19410131   147.0
19410201 19410228    25.7
19410301 19410331    69.6
19410401 19410430     8.4
19410501 19410531    30.5
19410601 19410630    48.2
19410701 19410731    16.5
19410801 19410831     5.6
19410901 19410930     2.3
19411001 19411031    13.2
19411101 19411130    54.2
19411201 19411231    34.3
19420101 19420131    55.4
19420201 19420228   269.3
19420301 19420331   141.4
19420401 19420430     8.2
19420501 19420531    29.2
19420601 19420630    15.0
19420701 19420731    66.9
19420801 19420831     8.8
19420901 19420930    38.1
19421001 19421031   142.2
19421101 19421130    53.3
19421201 19421231   175.1
19430101 19430131    62.5
19430201 19430228    28.5
19430301 19430331    53.4
19430401 19430430    90.6
19430501 19430531     6.3
19430601 19430630    22.9
19430701 19430731    17.1
19430801 19430831    89.5
19430901 19430930    66.0
19431001 19431031   104.8
19431101 19431130   106.2
19431201 19431231   166.4
19440101 19440131   181.0
