PRCP       041024 19060101 20180131 missing_value=99999.9 DOCTORS CREEK                             
19060101 19060131   133.6
19060201 19060228    97.3
19060301 19060331   223.5
19060401 19060430    10.2
19060501 19060531    24.4
19060601 19060630    23.4
19060701 19060731    38.4
19060801 19060831    98.0
19060901 19060930    59.7
19061001 19061031    89.9
19061101 19061130    51.6
19061201 19061231    83.4
19070101 19070131   143.8
19070201 19070228   138.8
19070301 19070331    72.7
19070401 19070430     5.4
19070501 19070531    68.5
19070601 19070630    47.7
19070701 19070731    18.0
19070801 19070831    12.0
19070901 19070930     8.9
19071001 19071031    15.1
19071101 19071130    72.0
19071201 19071231   104.0
19080101 19080131    12.3
19080201 19080229   278.7
19080301 19080331   240.4
19080401 19080430    18.3
19080501 19080531     1.3
19080601 19080630    15.8
19080701 19080731    17.9
19080801 19080831    63.1
19080901 19080930    39.0
19081001 19081031    24.7
19081101 19081130    59.7
19081201 19081231    44.0
19090101 19090131    63.3
19090201 19090228    67.4
19090301 19090331    75.7
19090401 19090430   113.6
19090501 19090531    14.2
19090601 19090630    51.8
19090701 19090731    48.5
19090801 19090831    91.0
19090901 19090930    35.0
19091001 19091031    38.0
19091101 19091130    29.3
19091201 19091231   173.2
19100101 19100131   177.3
19100201 19100228    31.7
19100301 19100331   110.1
19100401 19100430    40.0
19100501 19100531     2.7
19100601 19100630    85.1
19100701 19100731    21.7
19100801 19100831    15.5
19100901 19100930    66.1
19101001 19101031    98.2
19101101 19101130    64.6
19101201 19101231   142.4
19110101 19110131   159.6
19110201 19110228    82.7
19110301 19110331    65.9
19110401 19110430    29.7
19110501 19110531    31.7
19110601 19110630    12.7
19110701 19110731    17.8
19110801 19110831    18.3
19110901 19110930     0.0
19111001 19111031    48.2
19111101 19111130    45.7
19111201 19111231     8.9
19120101 19120131    62.7
19120201 19120229   118.6
19120301 19120331   246.6
19120401 19120430     0.3
19120501 19120531     7.2
19120601 19120630   126.6
19120701 19120731    62.9
19120801 19120831    22.1
19120901 19120930    19.6
19121001 19121031    87.7
19121101 19121130    48.1
19121201 19121231    64.4
19130101 19130131   108.9
19130201 19130228    15.3
19130301 19130331    13.5
19130401 19130430     3.0
19130501 19130531    66.0
19130601 19130630   123.5
19130701 19130731    14.2
19130801 19130831     0.0
19130901 19130930    71.1
19131001 19131031    48.2
19131101 19131130    16.3
19131201 19131231    51.1
