PRCP       041079 19100101 20080430 missing_value=99999.9 PASSCHENDAELE                             
19100101 19100131   117.4
19100201 19100228    93.9
19100301 19100331    64.1
19100401 19100430    10.8
19100501 19100531    30.1
19100601 19100630    66.0
19100701 19100731    93.4
19100801 19100831    13.6
19100901 19100930    34.6
19101001 19101031    57.9
19101101 19101130    58.9
19101201 19101231   135.3
19110101 19110131   159.7
19110201 19110228    98.8
19110301 19110331    72.9
19110401 19110430    18.8
19110501 19110531    54.9
19110601 19110630     9.2
19110701 19110731    64.2
19110801 19110831    41.5
19110901 19110930    43.6
19111001 19111031    70.9
19111101 19111130    42.8
19111201 19111231     7.0
19120101 19120131    82.1
19120201 19120229    42.0
19120301 19120331   103.3
19120401 19120430     0.0
19120501 19120531     8.0
19120601 19120630   125.3
19120701 19120731    73.4
19120801 19120831    44.2
19120901 19120930    49.1
19121001 19121031    72.2
19121101 19121130    37.6
19121201 19121231    58.8
19130101 19130131   109.7
19130201 19130228    17.7
19130301 19130331    63.8
19130401 19130430    32.7
19130501 19130531   106.7
19130601 19130630   111.4
19130701 19130731    36.8
19130801 19130831     9.8
19130901 19130930    72.0
19131001 19131031    37.8
19131101 19131130    22.3
19131201 19131231    41.8
19140101 19140131    83.8
19140201 19140228    59.6
19140301 19140331   144.1
19140401 19140430    51.4
19140501 19140531    67.2
19140601 19140630    60.6
19140701 19140731    32.9
19140801 19140831     8.2
19140901 19140930    15.7
19141001 19141031    69.8
19141101 19141130    81.6
19141201 19141231   118.4
19150101 19150131    57.9
19150201 19150228    28.1
19150301 19150331    23.2
19150401 19150430    53.7
19150501 19150531    92.0
19150601 19150630    32.1
19150701 19150731    29.2
19150801 19150831    45.6
19150901 19150930    37.6
19151001 19151031    28.8
19151101 19151130    15.2
19151201 19151231   158.3
19160101 19160131    52.6
19160201 19160229   100.3
19160301 19160331    36.5
19160401 19160430    86.9
19160501 19160531    36.9
19160601 19160630    67.5
19160701 19160731    61.8
19160801 19160831    59.8
19160901 19160930    49.2
19161001 19161031   107.8
19161101 19161130   100.7
19161201 19161231   123.1
19170101 19170131   151.5
19170201 19170228    98.7
19170301 19170331    40.0
19170401 19170430    22.4
19170501 19170531    10.1
19170601 19170630    26.4
19170701 19170731    42.5
19170801 19170831    31.6
19170901 19170930   204.2
19171001 19171031    88.1
19171101 19171130   161.4
19171201 19171231   176.7
19180101 19180131   135.8
19180201 19180228    16.5
19180301 19180331    21.1
19180401 19180430    42.5
19180501 19180531    22.2
19180601 19180630    15.1
19180701 19180731    19.7
19180801 19180831    75.5
19180901 19180930    12.6
19181001 19181031    32.5
19181101 19181130    43.5
19181201 19181231   120.8
19190101 19190131    41.0
19190201 19190228    48.0
19190301 19190331    99.7
19190401 19190430     9.3
19190501 19190531    97.2
19190601 19190630    15.3
19190701 19190731    11.6
19190801 19190831    23.5
19190901 19190930     4.9
19191001 19191031    22.0
19191101 19191130    13.9
19191201 19191231    56.4
19200101 19200131    61.8
19200201 19200229    25.3
19200301 19200331    58.2
19200401 19200430    50.7
19200501 19200531    42.1
19200601 19200630   138.6
19200701 19200731    84.5
19200801 19200831    60.1
19200901 19200930    64.0
19201001 19201031    63.0
19201101 19201130    66.1
19201201 19201231    71.8
19210101 19210131    61.4
19210201 19210228    56.7
19210301 19210331    55.4
19210401 19210430    55.4
19210501 19210531    98.1
19210601 19210630   145.3
19210701 19210731   192.7
19210801 19210831    12.6
19210901 19210930    75.6
19211001 19211031    87.2
19211101 19211130    31.1
19211201 19211231   192.3
19220101 19220131    38.8
19220201 19220228    54.2
19220301 19220331    28.2
19220401 19220430    12.2
19220501 19220531     7.2
19220601 19220630    23.7
19220701 19220731    74.4
19220801 19220831    24.7
19220901 19220930    44.5
19221001 19221031    37.3
19221101 19221130   138.9
19221201 19221231   158.4
19230101 19230131    76.8
19230201 19230228     7.2
19230301 19230331    60.8
19230401 19230430    28.3
19230501 19230531    11.4
19230601 19230630    82.2
19230701 19230731    47.2
19230801 19230831    12.5
19230901 19230930    38.4
19231001 19231031    24.3
19231101 19231130    10.6
19231201 19231231    81.3
19240101 19240131   127.0
19240201 19240229   126.9
19240301 19240331    98.8
19240401 19240430    49.4
19240501 19240531     9.8
19240601 19240630    41.4
19240701 19240731    59.4
19240801 19240831    49.5
19240901 19240930    74.8
19241001 19241031   108.2
19241101 19241130   188.2
19241201 19241231    59.9
19250101 19250131   207.0
