PRCP       041082 18861201 20171231 missing_value=99999.9 PITTSWORTH YANDILLA STREET                
18861201 18861231    17.0
18870101 18870131   122.2
18870201 18870228    66.0
18870301 18870331   100.2
18870401 18870430    14.0
18870501 18870531     7.5
18870601 18870630    20.1
18870701 18870731    91.3
18870801 18870831    86.9
18870901 18870930    47.1
18871001 18871031    21.9
18871101 18871130   127.1
18871201 18871231    72.7
18880101 18880131    52.8
18880201 18880229   146.1
18880301 18880331     0.8
18880401 18880430     1.8
18880501 18880531     8.1
18880601 18880630    12.7
18880701 18880731     0.0
18880801 18880831    20.1
18880901 18880930    37.8
18881001 18881031    10.9
18881101 18881130    83.7
18881201 18881231   101.2
18890101 18890131    55.1
18890201 18890228    45.7
18890301 18890331    55.9
18890401 18890430    87.2
18890501 18890531   109.0
18890601 18890630    45.8
18890701 18890731   112.4
18890801 18890831    37.5
18890901 18890930    59.8
18891001 18891031    18.9
18891101 18891130    79.7
18891201 18891231    83.3
18900101 18900131    96.0
18900201 18900228   141.7
18900301 18900331   321.8
18900401 18900430    35.6
18900501 18900531    24.0
18900601 18900630    40.2
18900701 18900731     9.7
18900801 18900831     8.5
18900901 18900930    66.3
18901001 18901031    73.5
18901101 18901130    12.7
18901201 18901231    75.5
18910101 18910131   196.8
18910201 18910228    35.0
18910301 18910331    11.1
18910401 18910430    45.1
18910501 18910531    29.4
18910601 18910630    73.6
18910701 18910731    61.9
18910801 18910831    47.0
18910901 18910930    55.1
18911001 18911031    44.8
18911101 18911130   131.3
18911201 18911231    80.7
18920101 18920131    89.5
18920201 18920229    45.2
18920301 18920331    83.2
18920401 18920430   122.3
18920501 18920531    85.2
18920601 18920630    15.8
18920701 18920731    21.6
18920801 18920831    14.2
18920901 18920930    94.1
18921001 18921031   133.8
18921101 18921130    60.2
18921201 18921231   125.6
18930101 18930131   102.7
18930201 18930228   359.7
18930301 18930331    58.0
18930401 18930430    63.9
18930501 18930531    55.4
18930601 18930630   136.5
18930701 18930731    47.4
18930801 18930831    39.3
18930901 18930930    48.0
18931001 18931031    54.8
18931101 18931130   101.3
18931201 18931231     5.7
18940101 18940131   229.9
18940201 18940228    67.2
18940301 18940331    66.0
18940401 18940430    51.4
18940501 18940531    27.5
18940601 18940630    52.7
18940701 18940731    12.4
18940801 18940831    14.7
18940901 18940930   101.2
18941001 18941031   105.4
18941101 18941130    63.3
18941201 18941231    69.1
18950101 18950131   172.1
18950201 18950228    10.6
18950301 18950331     9.6
18950401 18950430    50.3
18950501 18950531    34.1
18950601 18950630     0.8
18950701 18950731    27.8
18950801 18950831    21.7
18950901 18950930    34.8
18951001 18951031    53.4
18951101 18951130   138.7
18951201 18951231   162.3
18960101 18960131    69.2
18960201 18960229    76.6
18960301 18960331    30.3
18960401 18960430    36.6
18960501 18960531    31.8
18960601 18960630    17.1
18960701 18960731    90.5
18960801 18960831    12.9
18960901 18960930    31.1
18961001 18961031     9.9
18961101 18961130    82.8
18961201 18961231    95.2
18970101 18970131   118.4
18970201 18970228    30.0
18970301 18970331    75.2
18970401 18970430     0.0
18970501 18970531     2.6
18970601 18970630    39.8
18970701 18970731    89.5
18970801 18970831    36.6
18970901 18970930    96.4
18971001 18971031    94.0
18971101 18971130     6.5
18971201 18971231   226.7
18980101 18980131   262.5
18980201 18980228    40.7
18980301 18980331    25.7
18980401 18980430     0.6
18980501 18980531    42.0
18980601 18980630    31.1
18980701 18980731    17.0
18980801 18980831    19.4
18980901 18980930    42.3
18981001 18981031    40.4
18981101 18981130    29.5
18981201 18981231    49.3
18990101 18990131   152.8
18990201 18990228    48.9
18990301 18990331    23.4
18990401 18990430    62.0
18990501 18990531    24.2
18990601 18990630    56.5
18990701 18990731    44.5
18990801 18990831    42.2
18990901 18990930    62.4
18991001 18991031    44.1
18991101 18991130    69.5
18991201 18991231    66.9
19000101 19000131    26.0
19000201 19000228    88.0
19000301 19000331    81.2
19000401 19000430    91.4
19000501 19000531    91.0
19000601 19000630    38.8
19000701 19000731    41.9
19000801 19000831    23.8
19000901 19000930    42.7
19001001 19001031     3.0
19001101 19001130    91.7
19001201 19001231    36.7
19010101 19010131    49.8
19010201 19010228    29.1
19010301 19010331   134.9
19010401 19010430    90.1
19010501 19010531    26.6
19010601 19010630   117.0
19010701 19010731    41.5
19010801 19010831   102.5
19010901 19010930    36.5
19011001 19011031    94.8
19011101 19011130    24.4
19011201 19011231    24.7
19020101 19020131    80.6
19020201 19020228    26.5
19020301 19020331     6.2
19020401 19020430    22.5
19020501 19020531     1.6
19020601 19020630     9.1
19020701 19020731     0.0
19020801 19020831    21.0
19020901 19020930     2.3
19021001 19021031    45.7
19021101 19021130    40.4
19021201 19021231   105.7
19030101 19030131    16.0
19030201 19030228   127.2
19030301 19030331    61.9
19030401 19030430    30.0
19030501 19030531   198.3
19030601 19030630     2.5
19030701 19030731   105.6
19030801 19030831    45.5
19030901 19030930    92.8
19031001 19031031    92.6
19031101 19031130   136.6
19031201 19031231    52.1
19040101 19040131    38.5
19040201 19040229    79.8
19040301 19040331   119.7
19040401 19040430    15.5
19040501 19040531    73.9
19040601 19040630     8.9
19040701 19040731    55.2
19040801 19040831     2.5
19040901 19040930    61.4
19041001 19041031    91.6
19041101 19041130    57.0
19041201 19041231    82.5
19050101 19050131    78.8
19050201 19050228    72.4
19050301 19050331    72.2
19050401 19050430    59.5
19050501 19050531    51.8
19050601 19050630    20.9
19050701 19050731    10.7
19050801 19050831    12.5
19050901 19050930     6.1
19051001 19051031    83.3
19051101 19051130    37.5
19051201 19051231   165.8
19060101 19060131    72.7
19060201 19060228   170.9
19060301 19060331   143.5
19060401 19060430     1.0
19060501 19060531    14.4
19060601 19060630    20.8
19060701 19060731    47.0
19060801 19060831    81.3
19060901 19060930    61.2
19061001 19061031   108.9
19061101 19061130    80.1
19061201 19061231    80.0
19070101 19070131    86.3
19070201 19070228    34.0
19070301 19070331   162.7
19070401 19070430     2.5
19070501 19070531    41.9
19070601 19070630    60.2
19070701 19070731    29.0
19070801 19070831    24.0
19070901 19070930     0.8
19071001 19071031    31.2
19071101 19071130   175.4
19071201 19071231    53.2
19080101 19080131     5.1
19080201 19080229   146.3
19080301 19080331   190.5
19080401 19080430    20.1
19080501 19080531     0.0
19080601 19080630    22.8
19080701 19080731    20.3
19080801 19080831    57.4
19080901 19080930    44.6
19081001 19081031    53.8
19081101 19081130    76.1
19081201 19081231    37.6
19090101 19090131    33.8
19090201 19090228    79.5
19090301 19090331    36.6
19090401 19090430    83.1
19090501 19090531     9.7
19090601 19090630    40.7
19090701 19090731    40.7
19090801 19090831    62.4
19090901 19090930    46.0
19091001 19091031    31.8
19091101 19091130    20.8
19091201 19091231    65.8
19100101 19100131   228.3
19100201 19100228    16.2
19100301 19100331    54.4
19100401 19100430    11.9
19100501 19100531    21.1
19100601 19100630   110.7
19100701 19100731    71.9
19100801 19100831    10.0
19100901 19100930    26.1
19101001 19101031    84.0
19101101 19101130   105.9
19101201 19101231   144.2
19110101 19110131   125.3
19110201 19110228   135.7
19110301 19110331    74.1
19110401 19110430    13.2
19110501 19110531    33.9
19110601 19110630     1.8
19110701 19110731    22.6
19110801 19110831    21.6
19110901 19110930    13.0
19111001 19111031    63.5
19111101 19111130    46.2
19111201 19111231    12.4
19120101 19120131    26.0
19120201 19120229    44.7
19120301 19120331   142.6
19120401 19120430     8.3
19120501 19120531     2.0
19120601 19120630   134.3
19120701 19120731    53.8
19120801 19120831    19.3
19120901 19120930    24.3
19121001 19121031    73.2
19121101 19121130    27.8
19121201 19121231    61.2
19130101 19130131   142.8
19130201 19130228    28.4
19130301 19130331    16.5
19130401 19130430     3.4
19130501 19130531    72.6
19130601 19130630   127.4
19130701 19130731    26.2
19130801 19130831     0.0
19130901 19130930    22.6
19131001 19131031    43.6
19131101 19131130    15.3
19131201 19131231    29.5
19140101 19140131    70.4
19140201 19140228    59.0
19140301 19140331    96.5
19140401 19140430    51.3
19140501 19140531    79.3
19140601 19140630    49.0
19140701 19140731    34.3
19140801 19140831     0.3
19140901 19140930     8.9
19141001 19141031    87.8
19141101 19141130    16.0
19141201 19141231   104.6
19150101 19150131    37.6
19150201 19150228    19.5
19150301 19150331     8.4
19150401 19150430    26.5
19150501 19150531    51.8
19150601 19150630    10.8
19150701 19150731    40.3
19150801 19150831    48.6
19150901 19150930    42.6
19151001 19151031    21.9
19151101 19151130    17.0
19151201 19151231    40.3
19160101 19160131    99.3
19160201 19160229    68.5
19160301 19160331    77.8
19160401 19160430   110.2
19160501 19160531    19.1
19160601 19160630    79.7
19160701 19160731    58.5
19160801 19160831    61.6
19160901 19160930    37.3
