PRCP       042003 18800101 20110131 missing_value=99999.9 CHERITON                                  
18800101 18800131     0.0
18800201 18800229   220.2
18800301 18800331    40.1
18800401 18800430   105.0
18800501 18800531    18.7
18800601 18800630     4.0
18800701 18800731     7.8
18800801 18800831     0.8
18800901 18800930    62.5
18801001 18801031    83.1
18801101 18801130    38.2
18801201 18801231    10.9
18810101 18810131   192.1
18810201 18810228    38.0
18810301 18810331    72.7
18810401 18810430     0.0
18810501 18810531    34.7
18810601 18810630     9.6
18810701 18810731     0.0
18810801 18810831    27.2
18810901 18810930    21.7
18811001 18811031    17.7
18811101 18811130     7.5
18811201 18811231     8.0
18820101 18820131    83.1
18820201 18820228   167.6
18820301 18820331     8.3
18820401 18820430    77.7
18820501 18820531    21.9
18820601 18820630    45.4
18820701 18820731    40.6
18820801 18820831    20.8
18820901 18820930     4.0
18821001 18821031    54.5
18821101 18821130    37.7
18821201 18821231    85.7
18830101 18830131   115.9
18830201 18830228    41.1
18830301 18830331    43.0
18830401 18830430    86.1
18830501 18830531    67.6
18830601 18830630     9.4
18830701 18830731     9.4
18830801 18830831     9.6
18830901 18830930    16.5
18831001 18831031    64.7
18831101 18831130   108.3
18831201 18831231    22.9
18840101 18840131    12.8
18840201 18840229    83.9
18840301 18840331    30.7
18840401 18840430    24.1
18840501 18840531    24.6
18840601 18840630    51.5
18840701 18840731   108.5
18840801 18840831     8.0
18840901 18840930    43.2
18841001 18841031    15.8
18841101 18841130    50.5
18841201 18841231    65.4
18850101 18850131   131.2
18850201 18850228    42.0
18850301 18850331    28.1
18850401 18850430     0.0
18850501 18850531     6.7
18850601 18850630    80.2
18850701 18850731     5.4
18850801 18850831     4.8
18850901 18850930     2.4
18851001 18851031    21.1
18851101 18851130    38.2
18851201 18851231    60.4
18860101 18860131    84.5
18860201 18860228    15.5
18860301 18860331     8.5
18860401 18860430    34.5
18860501 18860531   155.0
18860601 18860630    99.4
18860701 18860731   109.0
18860801 18860831   103.7
18860901 18860930    35.0
18861001 18861031   138.1
18861101 18861130    73.2
18861201 18861231    39.8
18870101 18870131   101.8
18870201 18870228    60.7
18870301 18870331   118.1
18870401 18870430     9.0
18870501 18870531    26.4
18870601 18870630    16.3
18870701 18870731   126.3
18870801 18870831    87.1
18870901 18870930     9.6
18871001 18871031    38.5
18871101 18871130    27.8
18871201 18871231    75.6
18880101 18880131    12.3
18880201 18880229   119.2
18880301 18880331    29.4
18880401 18880430     0.0
18880501 18880531    12.0
18880601 18880630     6.7
18880701 18880731     0.0
18880801 18880831     0.0
18880901 18880930    22.4
18881001 18881031     6.9
18881101 18881130     4.0
18881201 18881231    61.4
18890101 18890131    36.1
18890201 18890228    17.7
18890301 18890331   117.6
18890401 18890430   110.4
18890501 18890531    72.7
18890601 18890630    54.5
18890701 18890731   116.5
18890801 18890831    35.0
18890901 18890930    36.6
18891001 18891031    17.1
18891101 18891130    62.5
18891201 18891231    66.3
18900101 18900131   145.4
18900201 18900228   210.0
18900301 18900331   301.4
18900401 18900430     7.5
18900501 18900531    56.9
18900601 18900630    30.5
