PRCP       042023 18850101 20171231 missing_value=99999.9 MILES POST OFFICE                         
18850101 18850131   116.6
18850201 18850228    99.3
18850301 18850331    31.8
18850401 18850430    10.7
18850501 18850531    11.4
18850601 18850630    37.3
18850701 18850731    16.0
18850801 18850831     7.9
18850901 18850930     8.6
18851001 18851031    22.6
18851101 18851130    43.9
18851201 18851231    57.9
18860101 18860131    83.1
18860201 18860228    42.7
18860301 18860331    18.5
18860401 18860430    37.3
18860501 18860531   127.0
18860601 18860630   119.1
18860701 18860731   155.4
18860801 18860831   135.1
18860901 18860930    99.1
18861001 18861031    56.9
18861101 18861130    81.3
18861201 18861231    51.8
18870101 18870131   106.3
18870201 18870228    94.2
18870301 18870331   105.3
18870401 18870430    21.1
18870501 18870531    13.7
18870601 18870630     4.7
18870701 18870731   129.3
18870801 18870831    76.1
18870901 18870930    42.5
18871001 18871031     9.0
18871101 18871130    43.5
18871201 18871231    60.7
18880101 18880131    82.6
18880201 18880229   119.5
18880301 18880331    15.8
18880401 18880430     3.0
18880501 18880531     9.9
18880601 18880630    25.1
18880701 18880731     0.0
18880801 18880831    10.4
18880901 18880930    12.3
18881001 18881031    12.3
18881101 18881130    65.5
18881201 18881231    31.6
18890101 18890131    19.6
18890201 18890228    40.6
18890301 18890331    41.2
18890401 18890430   106.3
18890501 18890531    97.3
18890601 18890630    32.6
18890701 18890731   146.9
18890801 18890831    49.1
18890901 18890930   105.2
18891001 18891031    23.4
18891101 18891130    56.1
18891201 18891231   109.7
18900101 18900131   183.3
18900201 18900228   146.8
18900301 18900331   472.9
18900401 18900430    30.9
18900501 18900531    30.8
18900601 18900630    34.2
18900701 18900731    24.0
18900801 18900831    13.2
18900901 18900930    56.6
18901001 18901031    58.4
18901101 18901130     7.9
18901201 18901231   105.7
18910101 18910131   262.7
18910201 18910228    20.8
18910301 18910331    17.9
18910401 18910430    63.0
18910501 18910531    42.7
18910601 18910630    92.2
18910701 18910731    61.5
18910801 18910831    49.8
18910901 18910930    12.9
18911001 18911031    32.5
18911101 18911130    29.3
18911201 18911231    90.9
18920101 18920131    68.4
18920201 18920229    18.3
18920301 18920331   107.1
18920401 18920430    63.6
18920501 18920531    58.1
18920601 18920630    41.9
18920701 18920731    27.2
18920801 18920831    10.4
18920901 18920930    54.2
18921001 18921031   163.9
18921101 18921130   106.0
18921201 18921231    76.1
18930101 18930131    33.5
18930201 18930228   237.6
18930301 18930331    35.9
18930401 18930430    53.0
18930501 18930531    60.8
18930601 18930630   136.0
18930701 18930731    36.7
18930801 18930831    43.7
18930901 18930930    15.7
18931001 18931031    61.8
18931101 18931130    61.2
18931201 18931231    17.5
18940101 18940131    76.1
18940201 18940228    21.8
18940301 18940331   156.9
18940401 18940430    73.7
18940501 18940531    23.9
18940601 18940630    56.4
18940701 18940731     3.3
18940801 18940831    18.0
18940901 18940930    51.0
18941001 18941031   100.5
18941101 18941130    45.5
18941201 18941231    67.7
18950101 18950131   187.0
18950201 18950228    43.7
18950301 18950331     6.4
18950401 18950430    71.3
18950501 18950531    24.7
18950601 18950630     0.5
18950701 18950731    29.2
18950801 18950831     7.9
18950901 18950930    14.4
18951001 18951031    74.6
18951101 18951130    85.6
18951201 18951231    76.6
18960101 18960131    50.5
18960201 18960229   127.5
18960301 18960331    15.5
18960401 18960430    29.2
18960501 18960531    23.1
18960601 18960630    18.5
18960701 18960731   113.3
18960801 18960831    15.9
18960901 18960930    17.0
18961001 18961031    14.0
18961101 18961130    89.9
18961201 18961231    65.6
18970101 18970131   108.7
18970201 18970228    27.3
18970301 18970331    70.9
18970401 18970430     0.0
18970501 18970531     7.9
18970601 18970630    65.9
18970701 18970731    46.5
18970801 18970831    15.5
18970901 18970930    54.0
18971001 18971031    76.2
18971101 18971130     9.9
18971201 18971231   112.7
18980101 18980131   199.3
18980201 18980228    83.4
18980301 18980331    28.7
18980401 18980430     2.8
18980501 18980531    11.9
18980601 18980630    18.6
18980701 18980731     2.3
18980801 18980831    11.2
18980901 18980930    87.8
18981001 18981031    34.4
18981101 18981130    62.4
18981201 18981231    64.8
18990101 18990131   225.3
18990201 18990228    44.7
18990301 18990331    44.4
18990401 18990430   117.1
18990501 18990531    34.9
18990601 18990630    23.4
18990701 18990731    44.8
18990801 18990831    39.6
18990901 18990930    21.4
18991001 18991031     6.7
18991101 18991130    42.2
18991201 18991231    19.5
19000101 19000131    19.1
19000201 19000228   100.1
19000301 19000331    38.2
19000401 19000430    60.7
19000501 19000531    90.4
19000601 19000630    36.0
19000701 19000731    53.6
19000801 19000831    44.6
19000901 19000930    16.5
19001001 19001031    16.0
19001101 19001130    41.9
19001201 19001231    32.4
19010101 19010131    74.2
19010201 19010228     7.9
19010301 19010331    60.5
19010401 19010430    28.6
19010501 19010531    58.1
19010601 19010630    85.1
19010701 19010731    51.5
19010801 19010831    58.0
19010901 19010930    17.9
19011001 19011031    49.0
19011101 19011130     1.0
19011201 19011231     1.5
19020101 19020131    83.1
19020201 19020228    33.8
19020301 19020331    22.6
19020401 19020430     6.6
19020501 19020531     0.0
19020601 19020630     2.3
19020701 19020731     0.0
19020801 19020831    12.0
19020901 19020930    12.4
19021001 19021031    22.0
19021101 19021130    68.8
19021201 19021231   126.3
19030101 19030131    31.2
19030201 19030228    55.5
19030301 19030331    58.4
19030401 19030430    19.6
19030501 19030531   188.6
19030601 19030630     5.5
19030701 19030731   114.5
19030801 19030831   111.8
19030901 19030930    89.7
19031001 19031031    88.7
19031101 19031130   109.0
19031201 19031231    68.2
19040101 19040131    55.6
19040201 19040229    46.0
19040301 19040331    37.3
19040401 19040430    52.6
19040501 19040531   145.8
19040601 19040630    13.5
19040701 19040731    39.7
19040801 19040831    14.5
19040901 19040930    38.4
19041001 19041031    48.4
19041101 19041130    55.6
19041201 19041231    84.0
19050101 19050131    25.0
19050201 19050228    14.7
19050301 19050331    25.6
19050401 19050430    81.3
19050501 19050531    83.0
19050601 19050630     3.8
19050701 19050731    24.4
19050801 19050831     3.6
19050901 19050930     0.0
19051001 19051031    84.5
19051101 19051130    52.4
19051201 19051231    96.5
19060101 19060131    30.5
19060201 19060228   251.8
19060301 19060331    95.5
19060401 19060430     2.0
19060501 19060531    58.2
19060601 19060630    43.4
19060701 19060731    42.7
19060801 19060831    71.1
19060901 19060930    95.8
19061001 19061031    61.8
19061101 19061130    47.2
19061201 19061231   143.2
19070101 19070131   113.3
19070201 19070228     9.2
19070301 19070331   124.7
19070401 19070430     3.8
19070501 19070531    23.9
19070601 19070630    66.1
19070701 19070731    12.2
19070801 19070831     7.2
19070901 19070930     0.8
19071001 19071031    17.7
19071101 19071130    89.9
19071201 19071231    38.7
19080101 19080131    17.3
19080201 19080229   140.0
19080301 19080331   159.4
19080401 19080430    14.0
19080501 19080531     9.1
19080601 19080630    18.3
19080701 19080731     4.2
19080801 19080831    32.4
19080901 19080930    47.0
19081001 19081031    39.8
19081101 19081130    57.6
19081201 19081231    28.1
19090101 19090131   123.6
19090201 19090228    89.7
19090301 19090331    47.4
19090401 19090430    50.3
19090501 19090531    18.0
19090601 19090630    55.7
19090701 19090731    38.1
19090801 19090831    68.1
19090901 19090930     9.5
19091001 19091031    58.0
19091101 19091130   103.6
19091201 19091231    26.1
19100101 19100131   249.9
19100201 19100228    38.5
19100301 19100331   104.2
19100401 19100430     8.2
19100501 19100531     0.0
19100601 19100630   132.1
19100701 19100731    26.3
19100801 19100831    12.9
19100901 19100930    52.1
19101001 19101031    89.2
19101101 19101130    96.5
19101201 19101231   161.0
