PRCP       043026 19100101 20101231 missing_value=99999.9 NORMANDY                                  
19100101 19100131   127.1
19100201 19100228    36.5
19100301 19100331   253.9
19100401 19100430     0.0
19100501 19100531     4.1
19100601 19100630    91.8
19100701 19100731    48.9
19100801 19100831     5.2
19100901 19100930    14.2
19101001 19101031    51.8
19101101 19101130    70.8
19101201 19101231   136.9
19110101 19110131   224.7
19110201 19110228   216.5
19110301 19110331    23.3
19110401 19110430     0.0
19110501 19110531    14.4
19110601 19110630     0.0
19110701 19110731    33.4
19110801 19110831    24.5
19110901 19110930    19.3
19111001 19111031    16.7
19111101 19111130    11.0
19111201 19111231    48.2
19120101 19120131     2.6
19120201 19120229    15.0
19120301 19120331   139.9
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630   199.2
19120701 19120731    81.9
19120801 19120831     7.5
19120901 19120930     0.0
19121001 19121031    49.7
19121101 19121130    18.2
19121201 19121231     6.4
19130101 19130131    72.0
19130201 19130228   121.1
19130301 19130331    79.2
19130401 19130430    72.5
19130501 19130531   117.9
19130601 19130630    70.6
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     0.0
19131001 19131031    13.9
19131101 19131130     7.0
19131201 19131231    51.3
19140101 19140131    70.4
19140201 19140228   358.4
19140301 19140331     4.2
19140401 19140430     0.0
19140501 19140531     0.0
19140601 19140630   119.9
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    18.7
19141101 19141130    29.0
19141201 19141231    11.7
19150101 19150131    17.3
19150201 19150228     6.4
19150301 19150331    21.5
19150401 19150430     1.4
19150501 19150531    47.1
19150601 19150630     0.0
19150701 19150731    10.7
19150801 19150831    20.1
19150901 19150930    23.7
19151001 19151031     0.0
19151101 19151130     7.0
19151201 19151231    68.6
19160101 19160131    42.9
19160201 19160229    25.9
19160301 19160331    24.5
19160401 19160430    20.6
19160501 19160531     0.0
19160601 19160630    96.3
19160701 19160731    73.3
19160801 19160831    21.5
19160901 19160930     4.5
19161001 19161031    31.6
19161101 19161130   115.6
19161201 19161231   169.5
19170101 19170131   313.0
19170201 19170228   203.9
19170301 19170331    90.0
19170401 19170430    21.0
19170501 19170531     0.0
19170601 19170630     2.7
19170701 19170731     1.6
19170801 19170831    26.0
19170901 19170930   153.3
19171001 19171031    41.4
19171101 19171130   111.0
19171201 19171231    84.0
19180101 19180131   243.9
19180201 19180228    23.7
19180301 19180331     0.0
19180401 19180430    98.4
19180501 19180531     0.0
19180601 19180630     2.7
19180701 19180731    10.0
19180801 19180831    80.4
19180901 19180930     6.4
19181001 19181031    16.5
19181101 19181130    25.4
19181201 19181231    10.9
19190101 19190131    17.6
19190201 19190228   143.0
19190301 19190331    26.8
19190401 19190430    13.9
19190501 19190531    64.1
19190601 19190630    18.1
19190701 19190731     0.0
19190801 19190831    13.4
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130    11.2
19191201 19191231    62.7
19200101 19200131    19.5
19200201 19200229   125.8
19200301 19200331     0.0
19200401 19200430    47.5
19200501 19200531    30.4
19200601 19200630   145.8
19200701 19200731   105.2
19200801 19200831    64.0
