PRCP       043035 18810101 20180131 missing_value=99999.9 SURAT POST OFFICE                         
18810101 18810131   104.4
18810201 18810228    29.5
18810301 18810331    51.6
18810401 18810430     6.4
18810501 18810531     8.9
18810601 18810630     0.0
18810701 18810731     0.0
18810801 18810831    40.6
18810901 18810930    52.3
18811001 18811031    18.5
18811101 18811130    62.5
18811201 18811231     5.6
18820101 18820131   105.9
18820201 18820228   183.6
18820301 18820331     7.6
18820401 18820430    48.3
18820501 18820531    18.0
18820601 18820630    24.1
18820701 18820731    36.6
18820801 18820831    19.6
18820901 18820930     4.3
18821001 18821031   123.7
18821101 18821130    30.2
18821201 18821231    76.2
18830101 18830131    44.7
18830201 18830228    77.7
18830301 18830331    47.2
18830401 18830430    48.5
18830501 18830531    91.7
18830601 18830630     0.0
18830701 18830731     6.4
18830801 18830831    16.8
18830901 18830930     8.9
18831001 18831031    87.1
18831101 18831130     2.3
18831201 18831231    20.6
18840101 18840131    30.2
18840201 18840229   152.4
18840301 18840331    29.7
18840401 18840430    18.0
18840501 18840531    30.2
18840601 18840630    50.0
18840701 18840731   104.6
18840801 18840831     1.3
18840901 18840930    31.5
18841001 18841031    13.7
18841101 18841130    78.5
18841201 18841231    34.5
18850101 18850131    26.7
18850201 18850228    47.0
18850301 18850331    53.8
18850401 18850430     2.0
18850501 18850531    15.5
18850601 18850630    36.8
18850701 18850731     0.0
18850801 18850831     2.3
18850901 18850930     4.1
18851001 18851031     4.3
18851101 18851130    60.7
18851201 18851231    37.1
18860101 18860131    54.6
18860201 18860228     0.3
18860301 18860331    76.7
18860401 18860430    44.5
18860501 18860531   140.2
18860601 18860630   121.2
18860701 18860731   117.1
18860801 18860831   141.0
18860901 18860930    71.6
18861001 18861031   100.3
18861101 18861130    41.4
18861201 18861231    94.7
18870101 18870131    64.0
18870201 18870228    50.3
18870301 18870331   193.7
18870401 18870430    22.4
18870501 18870531     8.5
18870601 18870630     8.9
18870701 18870731   108.1
18870801 18870831    95.1
18870901 18870930    37.8
18871001 18871031    35.0
18871101 18871130     4.3
18871201 18871231    55.6
18880101 18880131    99.3
18880201 18880229   198.5
18880301 18880331    32.0
18880401 18880430     0.0
18880501 18880531    12.7
18880601 18880630     0.5
18880701 18880731     1.3
18880801 18880831     0.8
18880901 18880930    14.3
18881001 18881031     0.0
18881101 18881130    19.0
18881201 18881231    24.7
18890101 18890131    46.4
18890201 18890228    48.0
18890301 18890331    25.1
18890401 18890430   105.4
18890501 18890531    70.2
18890601 18890630    39.1
18890701 18890731   148.5
18890801 18890831    44.4
18890901 18890930    71.9
18891001 18891031    51.1
18891101 18891130    87.6
18891201 18891231   139.4
18900101 18900131    68.8
18900201 18900228   278.8
18900301 18900331   384.1
18900401 18900430    13.2
18900501 18900531    69.8
18900601 18900630    68.6
18900701 18900731    46.5
18900801 18900831     0.0
18900901 18900930    60.9
18901001 18901031   157.4
18901101 18901130    20.1
18901201 18901231   110.7
18910101 18910131   264.0
18910201 18910228    30.7
18910301 18910331   108.2
18910401 18910430    40.6
18910501 18910531    57.2
18910601 18910630    81.3
18910701 18910731    23.1
18910801 18910831    59.2
18910901 18910930     5.8
18911001 18911031    27.7
18911101 18911130    25.9
18911201 18911231    52.1
18920101 18920131    37.6
18920201 18920229    35.1
18920301 18920331    58.4
18920401 18920430    55.1
18920501 18920531    73.0
18920601 18920630    54.6
18920701 18920731    48.0
18920801 18920831    17.5
18920901 18920930    60.3
18921001 18921031   150.6
18921101 18921130    57.3
18921201 18921231    32.9
18930101 18930131    78.8
18930201 18930228   177.8
18930301 18930331    67.6
18930401 18930430    53.4
18930501 18930531   121.0
18930601 18930630   102.9
18930701 18930731    77.6
18930801 18930831    69.1
18930901 18930930    29.2
18931001 18931031    17.2
18931101 18931130    13.4
18931201 18931231    17.5
18940101 18940131    51.1
18940201 18940228    57.9
18940301 18940331   174.8
18940401 18940430    63.7
18940501 18940531    42.9
18940601 18940630    54.9
18940701 18940731     5.8
18940801 18940831    13.5
18940901 18940930    39.8
18941001 18941031   120.5
18941101 18941130     4.6
18941201 18941231    32.6
18950101 18950131   188.6
18950201 18950228    42.4
18950301 18950331     0.0
18950401 18950430    20.1
18950501 18950531    25.9
18950601 18950630     1.0
18950701 18950731    10.9
18950801 18950831     2.3
18950901 18950930    23.6
18951001 18951031    48.0
18951101 18951130   107.1
18951201 18951231   104.9
18960101 18960131    61.5
18960201 18960229   126.4
18960301 18960331    23.6
18960401 18960430    31.0
18960501 18960531     7.6
18960601 18960630     6.6
18960701 18960731    71.9
18960801 18960831     3.3
18960901 18960930    10.6
18961001 18961031     4.3
18961101 18961130    56.6
18961201 18961231   120.6
18970101 18970131    91.2
18970201 18970228    23.9
18970301 18970331    81.7
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630   102.2
18970701 18970731    24.2
18970801 18970831     5.6
18970901 18970930    53.6
18971001 18971031    20.0
18971101 18971130    10.5
18971201 18971231    73.3
18980101 18980131   119.3
18980201 18980228    48.7
18980301 18980331     2.3
18980401 18980430     0.0
18980501 18980531     3.8
18980601 18980630    38.7
18980701 18980731     5.4
18980801 18980831     8.9
18980901 18980930    50.8
18981001 18981031    47.7
18981101 18981130     2.3
18981201 18981231    31.0
18990101 18990131    54.4
18990201 18990228    51.7
18990301 18990331    30.0
18990401 18990430    26.6
18990501 18990531    29.6
18990601 18990630    28.0
18990701 18990731    33.1
18990801 18990831    41.3
18990901 18990930    28.7
18991001 18991031    36.7
18991101 18991130    13.3
18991201 18991231    30.0
19000101 19000131    28.3
19000201 19000228   153.5
19000301 19000331    49.6
19000401 19000430    45.2
19000501 19000531    26.2
19000601 19000630    60.9
19000701 19000731    43.9
19000801 19000831    22.6
19000901 19000930    35.6
19001001 19001031     0.0
19001101 19001130    48.0
19001201 19001231   172.0
19010101 19010131     6.2
19010201 19010228     7.6
19010301 19010331    64.6
19010401 19010430    17.7
19010501 19010531    37.3
19010601 19010630    95.6
19010701 19010731    50.0
19010801 19010831    27.7
19010901 19010930    25.8
19011001 19011031    18.4
19011101 19011130     8.6
19011201 19011231    20.4
19020101 19020131    23.3
19020201 19020228    27.0
19020301 19020331     6.8
19020401 19020430    10.4
19020501 19020531     0.0
19020601 19020630     2.5
19020701 19020731     0.0
19020801 19020831    16.1
19020901 19020930     6.9
19021001 19021031    28.1
19021101 19021130    15.2
19021201 19021231    90.9
19030101 19030131    25.4
19030201 19030228    10.5
19030301 19030331    71.0
19030401 19030430    31.9
19030501 19030531    60.4
19030601 19030630     7.9
19030701 19030731    89.4
19030801 19030831    30.3
19030901 19030930   161.3
19031001 19031031    83.3
19031101 19031130    89.6
19031201 19031231    67.8
19040101 19040131    46.8
19040201 19040229    43.4
19040301 19040331    49.1
19040401 19040430    71.2
19040501 19040531   110.7
19040601 19040630    11.0
19040701 19040731    28.8
19040801 19040831    11.4
19040901 19040930    78.0
19041001 19041031    27.9
19041101 19041130    10.7
19041201 19041231    15.8
19050101 19050131    60.7
19050201 19050228    22.1
19050301 19050331    28.5
19050401 19050430    74.4
19050501 19050531    52.0
19050601 19050630    11.4
19050701 19050731    17.8
19050801 19050831     5.1
19050901 19050930     3.6
19051001 19051031    25.6
19051101 19051130    23.1
19051201 19051231    52.8
19060101 19060131    26.2
19060201 19060228   190.2
19060301 19060331   145.9
19060401 19060430    28.2
19060501 19060531    16.3
19060601 19060630    30.0
19060701 19060731    47.0
19060801 19060831    43.2
19060901 19060930    72.7
19061001 19061031    83.5
19061101 19061130    33.4
19061201 19061231    87.0
19070101 19070131    80.2
19070201 19070228    82.2
19070301 19070331    66.1
19070401 19070430    13.9
19070501 19070531    40.4
19070601 19070630    71.2
19070701 19070731    38.5
19070801 19070831    16.3
19070901 19070930     0.8
19071001 19071031    33.1
