PRCP       043038 18970901 20180131 missing_value=99999.9 WALLUMBILLA POST OFFICE                   
18970901 18970930    46.0
18971001 18971031    86.5
18971101 18971130     1.0
18971201 18971231    74.6
18980101 18980131   147.6
18980201 18980228    44.1
18980301 18980331    16.8
18980401 18980430     0.0
18980501 18980531     8.6
18980601 18980630    27.9
18980701 18980731     8.6
18980801 18980831     8.1
18980901 18980930    64.3
18981001 18981031    56.1
18981101 18981130    36.8
18981201 18981231    53.3
18990101 18990131    70.8
18990201 18990228    87.9
18990301 18990331    12.7
18990401 18990430    36.5
18990501 18990531    17.8
18990601 18990630    17.8
18990701 18990731    55.7
18990801 18990831    25.7
18990901 18990930     7.6
18991001 18991031    11.2
18991101 18991130    14.3
18991201 18991231    41.8
19000101 19000131    23.4
19000201 19000228    53.1
19000301 19000331    36.3
19000401 19000430    10.7
19000501 19000531    51.9
19000601 19000630    70.6
19000701 19000731    68.2
19000801 19000831    38.1
19000901 19000930    24.1
19001001 19001031     2.3
19001101 19001130    46.0
19001201 19001231    56.9
19010101 19010131    46.5
19010201 19010228     0.5
19010301 19010331    61.2
19010401 19010430    24.7
19010501 19010531    27.9
19010601 19010630    65.3
19010701 19010731    40.4
19010801 19010831    35.6
19010901 19010930    30.4
19011001 19011031     5.0
19011101 19011130     5.8
19011201 19011231     0.8
19020101 19020131    36.8
19020201 19020228     3.8
19020301 19020331     3.0
19020401 19020430     3.6
19020501 19020531     0.0
19020601 19020630     8.1
19020701 19020731     0.0
19020801 19020831    15.5
19020901 19020930    12.4
19021001 19021031    21.7
19021101 19021130    41.4
19021201 19021231    95.8
19030101 19030131    41.4
19030201 19030228     8.9
19030301 19030331   107.4
19030401 19030430    25.9
19030501 19030531   116.0
19030601 19030630     7.1
19030701 19030731    97.3
19030801 19030831    59.2
19030901 19030930   135.2
19031001 19031031    65.9
19031101 19031130    94.7
19031201 19031231   117.0
19040101 19040131    21.0
19040201 19040229    32.5
19040301 19040331    54.9
19040401 19040430    80.0
19040501 19040531   117.7
19040601 19040630     8.9
19040701 19040731    24.4
19040801 19040831    15.2
19040901 19040930    52.3
19041001 19041031    57.7
19041101 19041130     5.6
19041201 19041231    85.9
19050101 19050131    35.3
19050201 19050228    19.1
19050301 19050331    63.5
19050401 19050430    64.6
19050501 19050531    51.9
19050601 19050630     6.4
19050701 19050731    11.6
19050801 19050831     7.6
19050901 19050930     3.8
19051001 19051031    41.5
19051101 19051130    61.1
19051201 19051231    28.0
19060101 19060131    44.6
19060201 19060228   286.2
19060301 19060331    63.4
19060401 19060430     3.3
19060501 19060531    70.9
19060601 19060630    16.8
19060701 19060731    43.7
19060801 19060831    41.4
19060901 19060930    68.1
19061001 19061031    68.8
19061101 19061130    78.3
19061201 19061231   114.0
19070101 19070131   122.4
19070201 19070228   115.1
19070301 19070331    73.7
19070401 19070430     3.8
19070501 19070531    38.9
19070601 19070630    63.1
19070701 19070731     8.6
19070801 19070831     7.4
19070901 19070930     0.0
19071001 19071031    20.3
19071101 19071130   120.6
19071201 19071231    30.7
19080101 19080131     0.0
19080201 19080229   177.5
19080301 19080331   207.0
19080401 19080430    13.5
19080501 19080531     0.0
19080601 19080630    20.6
19080701 19080731    12.4
19080801 19080831    31.3
19080901 19080930    49.2
19081001 19081031    33.3
19081101 19081130    66.9
19081201 19081231    20.3
19090101 19090131   120.2
19090201 19090228    89.8
19090301 19090331    73.4
19090401 19090430    47.3
19090501 19090531     5.1
19090601 19090630    75.5
19090701 19090731    36.8
19090801 19090831   109.5
19090901 19090930     0.0
19091001 19091031    31.5
19091101 19091130    35.8
19091201 19091231    42.7
19100101 19100131   174.8
19100201 19100228    77.5
19100301 19100331   160.8
19100401 19100430     0.0
19100501 19100531     0.0
19100601 19100630    98.4
19100701 19100731    29.2
19100801 19100831    15.8
19100901 19100930    16.5
19101001 19101031    59.7
19101101 19101130    78.2
19101201 19101231    61.2
19110101 19110131   297.0
19110201 19110228   241.0
19110301 19110331    20.8
19110401 19110430     5.1
19110501 19110531    30.4
19110601 19110630     0.0
19110701 19110731     8.7
19110801 19110831    23.6
19110901 19110930    31.3
19111001 19111031    16.9
19111101 19111130    34.6
19111201 19111231    37.8
19120101 19120131    51.3
19120201 19120229    15.0
19120301 19120331    66.1
19120401 19120430     0.0
19120501 19120531     1.0
19120601 19120630   180.6
19120701 19120731    86.3
19120801 19120831    15.5
19120901 19120930     9.7
19121001 19121031    51.5
19121101 19121130    78.0
19121201 19121231     2.0
19130101 19130131    42.4
19130201 19130228   127.7
19130301 19130331    89.2
19130401 19130430    30.7
19130501 19130531    80.8
19130601 19130630    79.6
19130701 19130731     7.7
19130801 19130831     0.0
19130901 19130930    16.7
19131001 19131031    39.1
19131101 19131130    10.2
19131201 19131231    58.5
19140101 19140131    75.0
19140201 19140228   149.3
19140301 19140331    59.5
19140401 19140430    42.2
19140501 19140531    35.1
19140601 19140630    35.6
19140701 19140731    34.8
19140801 19140831     2.5
19140901 19140930    17.0
19141001 19141031    31.4
19141101 19141130   115.6
19141201 19141231    85.6
19150101 19150131    37.5
19150201 19150228     2.0
19150301 19150331    10.2
19150401 19150430    26.2
19150501 19150531    44.2
19150601 19150630     4.6
19150701 19150731    39.1
19150801 19150831    32.2
19150901 19150930    28.4
19151001 19151031    13.2
19151101 19151130    20.5
19151201 19151231    23.3
19160101 19160131   130.3
19160201 19160229    91.0
19160301 19160331    58.0
19160401 19160430    48.8
19160501 19160531     0.0
19160601 19160630    80.7
19160701 19160731    72.3
19160801 19160831    37.6
19160901 19160930    17.3
19161001 19161031    76.7
19161101 19161130   127.9
19161201 19161231    58.1
19170101 19170131    64.8
19170201 19170228   219.7
19170301 19170331   141.4
19170401 19170430    20.4
19170501 19170531     2.5
19170601 19170630     8.1
19170701 19170731     8.9
19170801 19170831    20.0
19170901 19170930   175.5
19171001 19171031    50.4
19171101 19171130   101.5
19171201 19171231   145.4
19180101 19180131   161.2
19180201 19180228    38.1
19180301 19180331     7.9
19180401 19180430    64.5
19180501 19180531     6.6
19180601 19180630     1.5
19180701 19180731     7.6
19180801 19180831    23.6
19180901 19180930     7.9
19181001 19181031    30.7
19181101 19181130    19.6
19181201 19181231    19.8
19190101 19190131    14.9
19190201 19190228    94.0
19190301 19190331    65.8
19190401 19190430    31.2
19190501 19190531    65.0
19190601 19190630    37.1
19190701 19190731     2.0
19190801 19190831    18.2
19190901 19190930     0.0
19191001 19191031     5.4
19191101 19191130     5.1
19191201 19191231    98.5
19200101 19200131    56.2
19200201 19200229    83.5
19200301 19200331    17.3
19200401 19200430    20.0
19200501 19200531    26.0
19200601 19200630    81.6
19200701 19200731    91.1
19200801 19200831    26.6
19200901 19200930    56.2
19201001 19201031    98.9
19201101 19201130    21.3
19201201 19201231   121.0
19210101 19210131    50.1
19210201 19210228    13.8
19210301 19210331    55.4
19210401 19210430     3.6
19210501 19210531    14.0
19210601 19210630   107.7
19210701 19210731   240.2
19210801 19210831    38.6
19210901 19210930    11.7
19211001 19211031    51.0
19211101 19211130    27.4
19211201 19211231   135.2
19220101 19220131    76.8
19220201 19220228    16.8
19220301 19220331     8.2
19220401 19220430     0.0
19220501 19220531     3.0
19220601 19220630    41.7
19220701 19220731    11.9
19220801 19220831     0.0
19220901 19220930     3.3
19221001 19221031    50.8
19221101 19221130    12.7
19221201 19221231   159.9
19230101 19230131    39.2
19230201 19230228    12.9
19230301 19230331    32.5
19230401 19230430    24.7
19230501 19230531     1.0
19230601 19230630    50.4
19230701 19230731    33.5
19230801 19230831     1.0
19230901 19230930    27.7
19231001 19231031    15.3
19231101 19231130    10.4
19231201 19231231    75.6
19240101 19240131    69.3
19240201 19240229   208.2
19240301 19240331    90.5
19240401 19240430    29.0
19240501 19240531     0.0
19240601 19240630     5.8
19240701 19240731    55.6
19240801 19240831    82.8
19240901 19240930    56.4
19241001 19241031   131.3
19241101 19241130   202.5
19241201 19241231    79.7
19250101 19250131    86.6
19250201 19250228   100.4
19250301 19250331    24.4
19250401 19250430     0.0
19250501 19250531    43.9
19250601 19250630    24.1
19250701 19250731    15.5
19250801 19250831    37.6
19250901 19250930     3.3
19251001 19251031     8.6
19251101 19251130    51.3
19251201 19251231    75.2
19260101 19260131    57.2
19260201 19260228     4.1
19260301 19260331    58.7
19260401 19260430    19.3
19260501 19260531   165.0
19260601 19260630    14.5
19260701 19260731     1.5
19260801 19260831    12.2
19260901 19260930    30.9
19261001 19261031     6.8
19261101 19261130    20.8
19261201 19261231   162.3
19270101 19270131   106.5
19270201 19270228    97.4
19270301 19270331    52.3
19270401 19270430    29.7
19270501 19270531     0.0
19270601 19270630    26.4
19270701 19270731     1.8
19270801 19270831    11.4
19270901 19270930     3.0
19271001 19271031    85.7
19271101 19271130    97.0
19271201 19271231   114.4
19280101 19280131    45.3
19280201 19280229   194.3
19280301 19280331    11.2
19280401 19280430    73.1
19280501 19280531    10.2
19280601 19280630    42.5
19280701 19280731    16.2
