PRCP       044002 18890301 20170731 missing_value=99999.9 AUGATHELLA POST OFFICE                    
18890301 18890331    36.6
18890401 18890430   111.5
18890501 18890531    85.0
18890601 18890630    36.7
18890701 18890731    34.5
18890801 18890831    52.9
18890901 18890930    22.6
18891001 18891031    50.1
18891101 18891130   130.8
18891201 18891231    28.6
18900101 18900131    96.5
18900201 18900228   233.1
18900301 18900331   330.5
18900401 18900430    60.7
18900501 18900531   183.8
18900601 18900630   117.1
18900701 18900731    22.9
18900801 18900831     0.0
18900901 18900930    59.4
18901001 18901031    89.5
18901101 18901130    12.2
18901201 18901231    69.7
18910101 18910131   314.2
18910201 18910228    29.7
18910301 18910331    79.8
18910401 18910430   170.8
18910501 18910531    61.2
18910601 18910630    48.5
18910701 18910731    17.0
18910801 18910831    19.6
18910901 18910930     5.6
18911001 18911031     5.3
18911101 18911130    53.9
18911201 18911231    42.2
18920101 18920131   109.1
18920201 18920229    36.8
18920301 18920331    11.4
18920401 18920430     0.5
18920501 18920531   116.0
18920601 18920630    10.0
18920701 18920731    19.4
18920801 18920831     0.6
18920901 18920930    25.5
18921001 18921031   152.4
18921101 18921130    38.0
18921201 18921231    18.1
18930101 18930131    63.5
18930201 18930228     1.5
18930301 18930331    81.8
18930401 18930430    16.5
18930501 18930531   105.7
18930601 18930630    37.8
18930701 18930731    20.0
18930801 18930831    57.4
18930901 18930930     1.8
18931001 18931031     9.7
18931101 18931130    33.0
18931201 18931231    29.3
18940101 18940131    72.7
18940201 18940228   166.7
18940301 18940331   213.6
18940401 18940430   107.0
18940501 18940531    71.4
18940601 18940630   102.4
18940701 18940731     7.4
18940801 18940831    14.5
18940901 18940930    31.8
18941001 18941031   125.0
18941101 18941130    24.6
18941201 18941231    70.8
18950101 18950131   123.2
18950201 18950228    37.6
18950301 18950331    13.9
18950401 18950430    18.8
18950501 18950531    69.6
18950601 18950630     0.0
18950701 18950731    45.2
18950801 18950831     0.0
18950901 18950930    27.5
18951001 18951031    34.8
18951101 18951130   103.2
18951201 18951231    63.4
18960101 18960131    15.0
18960201 18960229   292.4
18960301 18960331    24.8
18960401 18960430    15.3
18960501 18960531    38.6
18960601 18960630     0.0
18960701 18960731    74.1
18960801 18960831     7.6
18960901 18960930     9.9
18961001 18961031     6.3
18961101 18961130    18.5
18961201 18961231    73.3
18970101 18970131    14.7
18970201 18970228    25.9
18970301 18970331    43.7
18970401 18970430     0.0
18970501 18970531     3.0
18970601 18970630    45.6
18970701 18970731    19.8
18970801 18970831     2.8
18970901 18970930    30.9
18971001 18971031    32.3
18971101 18971130     3.8
18971201 18971231    78.8
18980101 18980131    88.5
18980201 18980228   176.3
18980301 18980331     0.0
18980401 18980430     0.0
18980501 18980531     0.0
18980601 18980630    24.6
18980701 18980731     2.5
18980801 18980831     4.6
18980901 18980930    57.0
18981001 18981031    41.9
18981101 18981130     9.4
18981201 18981231    16.5
18990101 18990131   100.7
18990201 18990228    53.8
18990301 18990331    14.5
18990401 18990430    27.7
18990501 18990531     4.8
18990601 18990630    10.3
18990701 18990731    20.1
