PRCP       044026 18790101 20180131 missing_value=99999.9 CUNNAMULLA POST OFFICE                    
18790101 18790131    10.2
18790201 18790228    33.3
18790301 18790331    73.4
18790401 18790430    47.0
18790501 18790531    70.4
18790601 18790630     2.5
18790701 18790731    59.7
18790801 18790831    81.8
18790901 18790930    83.3
18791001 18791031    78.7
18791101 18791130    45.7
18791201 18791231     0.0
18800101 18800131     0.0
18800201 18800229   257.3
18800301 18800331     0.0
18800401 18800430   131.1
18800501 18800531     6.4
18800601 18800630     0.0
18800701 18800731     0.0
18800801 18800831     0.0
18800901 18800930    52.6
18801001 18801031     5.1
18801101 18801130     0.0
18801201 18801231     1.3
18810101 18810131    23.9
18810201 18810228    69.3
18810301 18810331    45.7
18810401 18810430     0.0
18810501 18810531    83.8
18810601 18810630     0.0
18810701 18810731     0.0
18810801 18810831    19.1
18810901 18810930    49.5
18811001 18811031    14.7
18811101 18811130    45.5
18811201 18811231     0.0
18820101 18820131     5.1
18820201 18820228   139.2
18820301 18820331     3.3
18820401 18820430    68.1
18820501 18820531    39.4
18820601 18820630    46.2
18820701 18820731     1.0
18820801 18820831     3.6
18820901 18820930    29.5
18821001 18821031    62.0
18821101 18821130    33.0
18821201 18821231    55.1
18830101 18830131     0.0
18830201 18830228   143.5
18830301 18830331    38.9
18830401 18830430    55.1
18830501 18830531   135.9
18830601 18830630     0.5
18830701 18830731     0.0
18830801 18830831    19.8
18830901 18830930     0.0
18831001 18831031    30.7
18831101 18831130    18.0
18831201 18831231     0.3
18840101 18840131     3.0
18840201 18840229    11.7
18840301 18840331    10.2
18840401 18840430    38.6
18840501 18840531    12.7
18840601 18840630    27.7
18840701 18840731    11.2
18840801 18840831    13.2
18840901 18840930    21.6
18841001 18841031     6.6
18841101 18841130    19.3
18841201 18841231   208.3
18850101 18850131    56.6
18850201 18850228    14.2
18850301 18850331    69.9
18850401 18850430    45.5
18850501 18850531    11.2
18850601 18850630    23.9
18850701 18850731     0.0
18850801 18850831     0.0
18850901 18850930    14.7
18851001 18851031     0.5
18851101 18851130    13.2
18851201 18851231    79.8
18860101 18860131    21.3
18860201 18860228    13.0
18860301 18860331     0.0
18860401 18860430    34.0
18860501 18860531    57.2
18860601 18860630    59.2
18860701 18860731   112.0
18860801 18860831    54.4
18860901 18860930    11.4
18861001 18861031    54.9
18861101 18861130    22.1
18861201 18861231    77.7
18870101 18870131    18.3
18870201 18870228    82.0
18870301 18870331   147.7
18870401 18870430     0.0
18870501 18870531     1.3
18870601 18870630    17.4
18870701 18870731    35.0
18870801 18870831   106.4
18870901 18870930     1.6
18871001 18871031    15.2
18871101 18871130    26.5
18871201 18871231   111.3
18880101 18880131    20.2
18880201 18880229   106.8
18880301 18880331    24.4
18880401 18880430     0.0
18880501 18880531    20.6
18880601 18880630     0.8
18880701 18880731     0.0
18880801 18880831     1.1
18880901 18880930     2.6
18881001 18881031     0.3
18881101 18881130     4.9
18881201 18881231    63.8
18890101 18890131    18.8
18890201 18890228    21.1
18890301 18890331     9.0
18890401 18890430   125.4
18890501 18890531    68.0
18890601 18890630    37.2
18890701 18890731    40.5
18890801 18890831    66.3
18890901 18890930     8.4
18891001 18891031    61.6
18891101 18891130    21.8
18891201 18891231    22.4
18900101 18900131   122.0
18900201 18900228   172.5
18900301 18900331    74.4
18900401 18900430    48.3
18900501 18900531   115.2
18900601 18900630    97.9
18900701 18900731    18.6
18900801 18900831     3.8
18900901 18900930    51.3
18901001 18901031    38.1
18901101 18901130     4.6
18901201 18901231    37.7
18910101 18910131   257.0
18910201 18910228    75.5
18910301 18910331    85.6
18910401 18910430    47.6
18910501 18910531    14.2
18910601 18910630    84.4
18910701 18910731    42.1
18910801 18910831    21.9
18910901 18910930    37.0
18911001 18911031     0.0
18911101 18911130     0.6
18911201 18911231    21.8
18920101 18920131    17.3
18920201 18920229     0.0
18920301 18920331    13.5
18920401 18920430     0.0
18920501 18920531    79.6
18920601 18920630    10.6
18920701 18920731     4.8
18920801 18920831     1.1
18920901 18920930    22.4
18921001 18921031   158.3
18921101 18921130    15.5
18921201 18921231     1.3
18930101 18930131     0.0
18930201 18930228     0.0
18930301 18930331   106.1
18930401 18930430     7.1
18930501 18930531    11.4
18930601 18930630    28.7
18930701 18930731     9.1
18930801 18930831    53.8
18930901 18930930     1.0
18931001 18931031    20.1
18931101 18931130    33.5
18931201 18931231     0.8
18940101 18940131     1.4
18940201 18940228    63.1
18940301 18940331   138.6
18940401 18940430    56.9
18940501 18940531    12.7
18940601 18940630    62.5
18940701 18940731     3.3
18940801 18940831    28.0
18940901 18940930     9.0
18941001 18941031    43.6
18941101 18941130     1.8
18941201 18941231    72.4
18950101 18950131    34.5
18950201 18950228    15.8
18950301 18950331     2.8
18950401 18950430     0.6
18950501 18950531    11.2
18950601 18950630    10.7
18950701 18950731     0.5
18950801 18950831     0.0
18950901 18950930    27.4
18951001 18951031    33.3
18951101 18951130   113.1
18951201 18951231    34.6
18960101 18960131     5.8
18960201 18960229   179.1
18960301 18960331     5.6
18960401 18960430    46.0
18960501 18960531    17.5
18960601 18960630     7.1
18960701 18960731     7.9
18960801 18960831     2.3
18960901 18960930     2.1
18961001 18961031     2.3
18961101 18961130    12.9
18961201 18961231    29.3
18970101 18970131    41.9
18970201 18970228    22.2
18970301 18970331    38.1
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    95.3
18970701 18970731     8.9
18970801 18970831     1.0
18970901 18970930    31.5
18971001 18971031    25.4
18971101 18971130     0.0
18971201 18971231    13.6
18980101 18980131    41.6
18980201 18980228   108.4
18980301 18980331     0.8
18980401 18980430     0.0
18980501 18980531     3.0
18980601 18980630    34.8
18980701 18980731     0.0
18980801 18980831    11.5
18980901 18980930    34.6
18981001 18981031    21.4
18981101 18981130     4.3
18981201 18981231     4.9
18990101 18990131    39.6
18990201 18990228    14.6
18990301 18990331    11.7
18990401 18990430    24.9
18990501 18990531     4.6
18990601 18990630    48.8
18990701 18990731    10.0
18990801 18990831    22.1
18990901 18990930     3.3
18991001 18991031    16.5
18991101 18991130     0.0
18991201 18991231     0.0
19000101 19000131    34.1
