PRCP       044042 18990801 20171231 missing_value=99999.9 HEBEL POST OFFICE                         
18990801 18990831    35.1
18990901 18990930    24.1
18991001 18991031    20.3
18991101 18991130     1.3
18991201 18991231     0.0
19000101 19000131    52.1
19000201 19000228     7.1
19000301 19000331    12.7
19000401 19000430     6.4
19000501 19000531    53.1
19000601 19000630    31.0
19000701 19000731 99999.9
19000801 19000831     0.0
19000901 19000930    17.1
19001001 19001031     2.0
19001101 19001130     2.6
19001201 19001231     3.9
19010101 19010131     1.0
19010201 19010228     5.1
19010301 19010331    63.5
19010401 19010430    51.6
19010501 19010531    43.7
19010601 19010630    29.0
19010701 19010731    58.2
19010801 19010831    49.5
19010901 19010930    17.5
19011001 19011031    13.2
19011101 19011130    10.6
19011201 19011231     9.6
19020101 19020131     3.0
19020201 19020228     5.3
19020301 19020331     5.8
19020401 19020430     1.3
19020501 19020531     0.0
19020601 19020630     1.8
19020701 19020731     0.0
19020801 19020831    71.5
19020901 19020930     2.0
19021001 19021031    30.5
19021101 19021130    45.5
19021201 19021231    31.3
19030101 19030131     8.9
19030201 19030228     3.0
19030301 19030331    51.6
19030401 19030430    23.9
19030501 19030531    63.3
19030601 19030630     2.3
19030701 19030731    66.9
19030801 19030831    28.4
19030901 19030930    47.7
19031001 19031031    26.8
19031101 19031130    33.3
19031201 19031231   101.1
19040101 19040131    75.3
19040201 19040229   172.7
19040301 19040331    23.4
19040401 19040430    55.1
19040501 19040531    28.8
19040601 19040630    16.3
19040701 19040731     6.4
19040801 19040831     2.5
19040901 19040930    17.2
19041001 19041031    55.9
19041101 19041130    40.9
19041201 19041231    17.8
19050101 19050131    22.2
19050201 19050228    70.5
19050301 19050331    34.0
19050401 19050430   109.9
19050501 19050531    33.2
19050601 19050630     7.1
19050701 19050731    15.2
19050801 19050831     4.3
19050901 19050930     0.0
19051001 19051031    50.1
19051101 19051130    56.4
19051201 19051231    10.4
19060101 19060131    28.2
19060201 19060228    91.0
19060301 19060331   134.4
19060401 19060430     4.6
19060501 19060531    12.0
19060601 19060630     8.9
19060701 19060731     5.5
19060801 19060831    27.2
19060901 19060930   113.3
19061001 19061031    39.8
19061101 19061130    18.8
19061201 19061231    18.3
19070101 19070131   163.1
19070201 19070228     0.0
19070301 19070331    52.7
19070401 19070430    25.1
19070501 19070531    19.8
19070601 19070630    34.5
19070701 19070731    17.5
19070801 19070831    12.2
19070901 19070930     1.3
19071001 19071031    38.6
19071101 19071130    47.1
19071201 19071231    47.0
19080101 19080131    15.7
19080201 19080229    75.7
19080301 19080331    75.4
19080401 19080430    34.5
19080501 19080531     0.0
19080601 19080630    17.3
19080701 19080731     7.4
19080801 19080831    22.4
19080901 19080930    10.4
19081001 19081031    32.4
19081101 19081130    42.9
19081201 19081231    81.7
19090101 19090131    18.1
19090201 19090228    51.4
19090301 19090331    32.2
19090401 19090430    18.8
19090501 19090531     5.1
19090601 19090630    57.4
19090701 19090731     6.4
19090801 19090831    92.8
19090901 19090930     0.0
19091001 19091031    16.5
19091101 19091130    28.7
19091201 19091231    25.2
19100101 19100131    63.3
19100201 19100228     2.5
19100301 19100331    75.9
19100401 19100430     1.0
19100501 19100531     2.5
19100601 19100630    53.6
19100701 19100731    31.8
19100801 19100831     9.4
19100901 19100930     0.0
19101001 19101031    53.9
19101101 19101130    40.8
19101201 19101231    54.9
19110101 19110131   151.3
19110201 19110228    94.6
19110301 19110331    38.1
19110401 19110430     0.0
19110501 19110531    34.0
19110601 19110630     2.8
19110701 19110731    13.0
19110801 19110831    12.7
19110901 19110930    10.7
19111001 19111031     0.6
19111101 19111130    34.0
19111201 19111231    40.9
19120101 19120131     6.9
19120201 19120229     4.4
19120301 19120331    30.8
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    98.3
19120701 19120731    41.1
19120801 19120831     4.3
19120901 19120930    23.9
19121001 19121031    39.9
19121101 19121130    26.1
19121201 19121231    30.0
19130101 19130131    35.3
19130201 19130228    50.8
19130301 19130331    49.4
19130401 19130430    56.6
19130501 19130531    85.4
19130601 19130630    51.7
19130701 19130731     4.0
19130801 19130831     0.0
19130901 19130930     2.8
19131001 19131031    19.3
19131101 19131130     4.0
19131201 19131231    77.8
19140101 19140131    15.8
19140201 19140228    38.6
19140301 19140331    53.8
19140401 19140430    10.9
19140501 19140531    38.8
19140601 19140630    23.1
19140701 19140731    34.2
19140801 19140831     0.0
19140901 19140930    25.4
19141001 19141031    23.4
19141101 19141130    70.7
19141201 19141231    46.3
19150101 19150131     0.0
19150201 19150228     6.9
19150301 19150331     0.8
19150401 19150430     0.0
19150501 19150531    46.9
19150601 19150630    14.9
19150701 19150731    24.2
19150801 19150831    20.8
19150901 19150930     1.8
19151001 19151031    34.5
19151101 19151130     0.0
19151201 19151231    64.3
19160101 19160131     3.0
19160201 19160229     9.6
19160301 19160331     2.1
19160401 19160430    92.4
19160501 19160531     0.0
19160601 19160630    76.8
19160701 19160731    87.2
19160801 19160831    16.2
19160901 19160930    12.5
19161001 19161031    51.1
19161101 19161130   106.4
19161201 19161231    57.1
19170101 19170131    43.5
19170201 19170228   156.9
19170301 19170331    12.7
19170401 19170430    22.1
