PRCP       044168 19040101 20151231 missing_value=99999.9 BAYRICK                                   
19040101 19040131    92.7
19040201 19040229    35.7
19040301 19040331    41.9
19040401 19040430   139.8
19040501 19040531    91.5
19040601 19040630     0.0
19040701 19040731    16.5
19040801 19040831     0.0
19040901 19040930     6.4
19041001 19041031    68.8
19041101 19041130    35.5
19041201 19041231    80.1
19050101 19050131   124.5
19050201 19050228    34.3
19050301 19050331   163.8
19050401 19050430    43.2
19050501 19050531    15.2
19050601 19050630     0.0
19050701 19050731    17.8
19050801 19050831     3.8
19050901 19050930     3.8
19051001 19051031    25.4
19051101 19051130    21.6
19051201 19051231     1.3
19060101 19060131   104.4
19060201 19060228   269.3
19060301 19060331   264.1
19060401 19060430     7.6
19060501 19060531    40.6
19060601 19060630     1.3
19060701 19060731    24.1
19060801 19060831     0.0
19060901 19060930   101.5
19061001 19061031    64.8
19061101 19061130    81.4
19061201 19061231    61.2
19070101 19070131    47.5
19070201 19070228    15.2
19070301 19070331    80.1
19070401 19070430    71.2
19070501 19070531     2.5
19070601 19070630    12.1
19070701 19070731    31.0
19070801 19070831    15.3
19070901 19070930     0.0
19071001 19071031    22.9
19071101 19071130    38.1
19071201 19071231   152.4
19080101 19080131    25.4
19080201 19080229   107.9
19080301 19080331   148.5
19080401 19080430    46.9
19080501 19080531    12.8
19080601 19080630     6.3
19080701 19080731    51.3
19080801 19080831     1.3
19080901 19080930     3.8
19081001 19081031    76.0
19081101 19081130    28.2
19081201 19081231    49.2
19090101 19090131   142.3
19090201 19090228    49.8
19090301 19090331    12.7
19090401 19090430    28.7
19090501 19090531    19.1
19090601 19090630    54.6
19090701 19090731     0.0
19090801 19090831    37.4
19090901 19090930    12.7
19091001 19091031    22.9
19091101 19091130    25.4
19091201 19091231    38.1
19100101 19100131    88.9
19100201 19100228    63.4
19100301 19100331   371.7
19100401 19100430     0.0
19100501 19100531     3.8
19100601 19100630    42.0
19100701 19100731     7.6
19100801 19100831     2.5
19100901 19100930     3.8
19101001 19101031    49.5
19101101 19101130    66.5
19101201 19101231    68.8
19110101 19110131   189.9
19110201 19110228   170.2
19110301 19110331    33.1
19110401 19110430    14.0
19110501 19110531     6.4
19110601 19110630     0.0
19110701 19110731    10.2
19110801 19110831     6.9
19110901 19110930    17.2
