PRCP       045017 18790101 20050331 missing_value=99999.9 THARGOMINDAH POST OFFICE                  
18790101 18790131    41.1
18790201 18790228    47.8
18790301 18790331    22.6
18790401 18790430    12.2
18790501 18790531    29.2
18790601 18790630    31.0
18790701 18790731    24.1
18790801 18790831    40.9
18790901 18790930    50.5
18791001 18791031    15.0
18791101 18791130    29.5
18791201 18791231     0.0
18800101 18800131    38.1
18800201 18800229   167.9
18800301 18800331     0.0
18800401 18800430    36.8
18800501 18800531     0.0
18800601 18800630     0.0
18800701 18800731     0.0
18800801 18800831     0.0
18800901 18800930    15.5
18801001 18801031     0.0
18801101 18801130     0.0
18801201 18801231     0.0
18810101 18810131    12.7
18810201 18810228     8.9
18810301 18810331    14.7
18810401 18810430     0.0
18810501 18810531    70.1
18810601 18810630     0.0
18810701 18810731     0.0
18810801 18810831     1.3
18810901 18810930    57.4
18811001 18811031     0.0
18811101 18811130    25.9
18811201 18811231     0.0
18820101 18820131   233.7
18820201 18820228    91.9
18820301 18820331     0.0
18820401 18820430     0.0
18820501 18820531    21.3
18820601 18820630    14.0
18820701 18820731    10.4
18820801 18820831     7.9
18820901 18820930     0.0
18821001 18821031    23.6
18821101 18821130    72.6
18821201 18821231    39.1
18830101 18830131     0.0
18830201 18830228    83.1
18830301 18830331    26.9
18830401 18830430     0.0
18830501 18830531    45.2
18830601 18830630     1.3
18830701 18830731     0.0
18830801 18830831    16.8
18830901 18830930     0.0
18831001 18831031    17.5
18831101 18831130     4.1
18831201 18831231     0.0
18840101 18840131     6.4
18840201 18840229     0.8
18840301 18840331     1.3
18840401 18840430    38.1
18840501 18840531    26.9
18840601 18840630    21.6
18840701 18840731     1.8
18840801 18840831    10.4
18840901 18840930     3.8
18841001 18841031    15.0
18841101 18841130    96.8
18841201 18841231     5.1
18850101 18850131   151.6
18850201 18850228    12.2
18850301 18850331    44.7
18850401 18850430    15.7
18850501 18850531    27.9
18850601 18850630    22.1
18850701 18850731     0.0
18850801 18850831     0.0
18850901 18850930    16.5
18851001 18851031     0.5
18851101 18851130     5.6
18851201 18851231   174.2
18860101 18860131     0.0
18860201 18860228    16.5
18860301 18860331     0.0
18860401 18860430     0.0
18860501 18860531     2.3
18860601 18860630    35.6
18860701 18860731    61.5
18860801 18860831    33.8
18860901 18860930     0.0
18861001 18861031    48.0
18861101 18861130    32.5
18861201 18861231    58.7
18870101 18870131    29.5
18870201 18870228   145.1
18870301 18870331    67.0
18870401 18870430     8.4
18870501 18870531     2.0
18870601 18870630    23.3
18870701 18870731    23.6
18870801 18870831    71.9
18870901 18870930     0.0
18871001 18871031    11.7
18871101 18871130   131.3
18871201 18871231    79.8
18880101 18880131    52.1
18880201 18880229   103.8
18880301 18880331     0.5
18880401 18880430     0.0
18880501 18880531    21.6
18880601 18880630     0.0
18880701 18880731     0.0
18880801 18880831     0.0
18880901 18880930     4.3
18881001 18881031     0.0
18881101 18881130     5.1
18881201 18881231     1.6
18890101 18890131    13.7
18890201 18890228     3.8
18890301 18890331    10.6
18890401 18890430    54.4
18890501 18890531    64.3
18890601 18890630    31.8
18890701 18890731    16.4
18890801 18890831    31.8
18890901 18890930     3.3
18891001 18891031    24.6
18891101 18891130    25.4
18891201 18891231     0.0
18900101 18900131   145.0
18900201 18900228    15.6
18900301 18900331    59.2
18900401 18900430    23.4
18900501 18900531    68.3
18900601 18900630    24.7
18900701 18900731     5.6
18900801 18900831     0.5
18900901 18900930    46.5
18901001 18901031    40.7
18901101 18901130     2.8
18901201 18901231    30.7
18910101 18910131   230.0
18910201 18910228    29.5
18910301 18910331    45.6
18910401 18910430    69.0
18910501 18910531    90.6
18910601 18910630    58.5
18910701 18910731     0.5
18910801 18910831     0.6
18910901 18910930    14.0
18911001 18911031     0.5
18911101 18911130     0.0
18911201 18911231    10.9
18920101 18920131    21.6
18920201 18920229     1.3
18920301 18920331     8.9
18920401 18920430     0.0
18920501 18920531   147.6
18920601 18920630    15.5
18920701 18920731    15.0
18920801 18920831     0.0
18920901 18920930    19.0
18921001 18921031   144.4
18921101 18921130     8.6
18921201 18921231     0.0
18930101 18930131     0.0
18930201 18930228     0.0
18930301 18930331    26.0
18930401 18930430    27.2
18930501 18930531    28.7
18930601 18930630    34.7
18930701 18930731     0.0
18930801 18930831    68.9
18930901 18930930     0.0
18931001 18931031     3.4
18931101 18931130    25.2
18931201 18931231     0.0
18940101 18940131    19.8
18940201 18940228    60.6
18940301 18940331    36.6
18940401 18940430    65.5
18940501 18940531     2.5
18940601 18940630    39.7
18940701 18940731     0.5
18940801 18940831    16.0
