PRCP       045022 19300901 20170630 missing_value=99999.9 WHYNOT STATION                            
19300901 19300930     3.3
19301001 19301031    61.2
19301101 19301130     3.8
19301201 19301231    34.7
19310101 19310131     6.6
19310201 19310228     0.0
19310301 19310331    31.5
19310401 19310430    39.9
19310501 19310531   108.0
19310601 19310630    66.8
19310701 19310731    11.7
19310801 19310831     0.0
19310901 19310930     6.3
19311001 19311031    10.7
19311101 19311130    65.7
19311201 19311231    68.6
19320101 19320131     8.7
19320201 19320229    30.2
19320301 19320331     3.6
19320401 19320430    31.0
19320501 19320531    41.2
19320601 19320630    63.5
19320701 19320731    11.2
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     1.8
19321101 19321130     0.0
19321201 19321231     0.0
19330101 19330131     6.6
19330201 19330228   135.6
19330301 19330331     8.6
19330401 19330430     0.0
19330501 19330531    13.7
19330601 19330630    14.5
19330701 19330731     8.1
19330801 19330831     8.6
19330901 19330930    58.4
19331001 19331031    29.0
19331101 19331130    54.1
19331201 19331231    53.3
19340101 19340131    45.0
19340201 19340228    32.8
19340301 19340331     0.0
19340401 19340430   119.9
19340501 19340531     5.1
19340601 19340630    48.8
19340701 19340731    27.4
19340801 19340831    36.8
19340901 19340930     6.1
19341001 19341031    29.2
19341101 19341130    27.7
19341201 19341231     0.0
19350101 19350131     0.0
19350201 19350228     0.0
19350301 19350331     0.5
19350401 19350430    33.8
19350501 19350531     0.0
19350601 19350630    83.6
19350701 19350731    16.5
19350801 19350831    36.1
19350901 19350930    27.4
19351001 19351031    17.8
19351101 19351130     5.8
19351201 19351231    30.7
19360101 19360131    22.9
19360201 19360229   114.6
19360301 19360331    73.4
19360401 19360430     0.0
19360501 19360531    11.4
19360601 19360630    22.1
19360701 19360731    14.0
19360801 19360831    15.0
19360901 19360930     4.1
19361001 19361031     0.0
19361101 19361130     0.0
19361201 19361231    22.1
19370101 19370131     6.1
19370201 19370228    20.1
19370301 19370331    71.1
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630     7.9
19370701 19370731     0.0
19370801 19370831    12.2
19370901 19370930     5.3
19371001 19371031     4.1
19371101 19371130     0.0
19371201 19371231     2.0
19380101 19380131    43.7
19380201 19380228    40.1
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531    10.7
19380601 19380630    17.8
19380701 19380731     5.6
19380801 19380831     0.0
19380901 19380930    13.7
19381001 19381031     5.6
19381101 19381130    15.3
19381201 19381231     0.0
19390101 19390131   108.9
19390201 19390228    75.5
19390301 19390331    17.0
19390401 19390430    23.6
19390501 19390531     8.9
19390601 19390630    32.0
19390701 19390731    34.1
19390801 19390831    19.6
19390901 19390930     0.0
19391001 19391031    36.3
19391101 19391130    47.0
19391201 19391231    31.3
19400101 19400131    39.9
19400201 19400229    51.7
19400301 19400331     0.0
19400401 19400430    10.7
19400501 19400531    21.4
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     8.9
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130     0.0
19401201 19401231    21.6
19410101 19410131   239.9
19410201 19410228     0.0
19410301 19410331   110.4
19410401 19410430     0.0
19410501 19410531    16.1
19410601 19410630    21.4
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     2.5
19411001 19411031    16.0
19411101 19411130    22.0
19411201 19411231    13.2
19420101 19420131    11.7
19420201 19420228    44.9
19420301 19420331     0.0
19420401 19420430    19.3
19420501 19420531    43.1
19420601 19420630    17.3
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930    12.7
19421001 19421031    33.1
19421101 19421130    32.5
19421201 19421231   287.8
19430101 19430131    25.6
19430201 19430228    69.0
19430301 19430331     0.0
19430401 19430430    19.6
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731     6.4
19430801 19430831    40.6
19430901 19430930    51.8
19431001 19431031    25.4
19431101 19431130    11.4
19431201 19431231     6.6
19440101 19440131    23.6
19440201 19440229    73.7
19440301 19440331     0.0
19440401 19440430    26.9
19440501 19440531    23.6
19440601 19440630     0.0
19440701 19440731    16.8
19440801 19440831    11.4
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     6.9
19441201 19441231    45.0
19450101 19450131     8.9
19450201 19450228    30.0
19450301 19450331     3.0
19450401 19450430    22.9
19450501 19450531    25.9
19450601 19450630     5.1
19450701 19450731    59.4
19450801 19450831     6.6
19450901 19450930     0.0
19451001 19451031    33.8
19451101 19451130     0.0
19451201 19451231     9.7
19460101 19460131   111.5
19460201 19460228    20.8
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     3.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     9.7
19461001 19461031     0.0
19461101 19461130    11.4
19461201 19461231    22.9
19470101 19470131    15.2
19470201 19470228   154.7
19470301 19470331    51.1
19470401 19470430     0.0
19470501 19470531    33.3
19470601 19470630    44.5
19470701 19470731     4.8
19470801 19470831    86.9
19470901 19470930    63.0
19471001 19471031    23.6
19471101 19471130    13.5
19471201 19471231    35.1
19480101 19480131    34.8
19480201 19480229    82.6
19480301 19480331    67.6
19480401 19480430     0.0
19480501 19480531     6.6
19480601 19480630    23.6
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     5.1
19481001 19481031    13.7
19481101 19481130     0.0
19481201 19481231   113.8
19490101 19490131   100.3
19490201 19490228   124.7
19490301 19490331   222.5
19490401 19490430     3.6
19490501 19490531     0.0
19490601 19490630     7.1
