PRCP       046042 19010101 20111231 missing_value=99999.9 WHITE CLIFFS POST OFFICE                  
19010101 19010131     2.5
19010201 19010228    16.1
19010301 19010331    37.0
19010401 19010430     7.5
19010501 19010531     0.0
19010601 19010630     8.7
19010701 19010731    29.3
19010801 19010831    53.7
19010901 19010930     6.1
19011001 19011031     7.3
19011101 19011130     0.0
19011201 19011231     0.0
19020101 19020131     0.5
19020201 19020228     0.0
19020301 19020331     0.0
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     0.5
19020701 19020731     1.8
19020801 19020831     9.4
19020901 19020930     4.4
19021001 19021031     4.3
19021101 19021130    40.1
19021201 19021231    25.5
19030101 19030131     2.3
19030201 19030228    11.4
19030301 19030331    51.1
19030401 19030430    12.0
19030501 19030531     4.1
19030601 19030630     0.0
19030701 19030731     1.0
19030801 19030831    44.0
19030901 19030930    40.0
19031001 19031031    20.0
19031101 19031130    16.2
19031201 19031231    89.5
19040101 19040131    11.5
19040201 19040229    11.7
19040301 19040331     4.8
19040401 19040430    13.7
19040501 19040531    12.2
19040601 19040630     2.1
19040701 19040731    45.1
19040801 19040831     3.3
19040901 19040930    22.2
19041001 19041031    43.2
19041101 19041130     7.1
19041201 19041231    45.7
19050101 19050131     3.3
19050201 19050228     0.0
19050301 19050331     6.3
19050401 19050430    23.0
19050501 19050531    29.3
19050601 19050630    20.5
19050701 19050731    27.9
19050801 19050831     3.6
19050901 19050930     1.0
19051001 19051031     8.2
19051101 19051130     1.0
19051201 19051231     5.1
19060101 19060131     6.9
19060201 19060228    46.3
19060301 19060331    66.6
19060401 19060430     0.0
19060501 19060531    82.6
19060601 19060630    23.1
19060701 19060731     3.4
19060801 19060831     8.4
19060901 19060930    24.0
19061001 19061031    22.9
19061101 19061130     5.6
19061201 19061231    18.5
19070101 19070131    77.0
19070201 19070228     0.0
19070301 19070331    71.6
19070401 19070430     4.6
19070501 19070531     1.0
19070601 19070630    31.8
19070701 19070731     5.4
19070801 19070831    37.9
19070901 19070930     1.0
19071001 19071031     0.3
19071101 19071130    11.2
19071201 19071231    51.3
19080101 19080131     0.0
19080201 19080229    25.4
19080301 19080331     6.1
19080401 19080430     7.9
19080501 19080531    11.9
19080601 19080630    17.3
19080701 19080731    12.0
19080801 19080831    23.3
19080901 19080930     5.0
19081001 19081031    48.3
19081101 19081130     4.6
19081201 19081231    32.3
19090101 19090131     5.6
19090201 19090228    17.3
19090301 19090331     2.0
19090401 19090430     0.8
19090501 19090531     9.1
19090601 19090630    28.9
19090701 19090731    12.2
19090801 19090831    21.4
19090901 19090930     0.8
19091001 19091031     5.8
19091101 19091130     0.0
19091201 19091231    33.1
19100101 19100131    25.5
19100201 19100228     0.3
19100301 19100331    15.3
19100401 19100430     0.0
19100501 19100531    13.3
19100601 19100630    67.5
19100701 19100731     4.9
19100801 19100831    27.8
19100901 19100930     9.9
19101001 19101031     9.1
19101101 19101130    15.7
19101201 19101231     8.2
19110101 19110131    29.4
19110201 19110228    81.6
19110301 19110331    19.1
19110401 19110430     0.0
19110501 19110531    80.2
19110601 19110630     1.6
19110701 19110731    33.8
19110801 19110831     1.8
19110901 19110930     2.5
19111001 19111031    18.3
19111101 19111130    64.7
19111201 19111231    74.3
19120101 19120131     0.0
19120201 19120229     1.8
19120301 19120331    10.2
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    65.8
19120701 19120731    15.5
19120801 19120831    12.0
19120901 19120930     1.1
19121001 19121031     6.6
19121101 19121130    70.6
19121201 19121231     9.4
19130101 19130131     0.0
19130201 19130228    38.4
19130301 19130331    42.7
19130401 19130430     4.3
19130501 19130531    11.7
19130601 19130630     0.0
19130701 19130731    14.6
19130801 19130831     0.0
19130901 19130930    20.4
19131001 19131031     9.2
19131101 19131130    13.7
19131201 19131231    13.4
19140101 19140131    23.3
19140201 19140228     0.0
19140301 19140331    42.2
19140401 19140430    24.6
19140501 19140531    27.7
19140601 19140630    45.2
19140701 19140731     6.8
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    28.9
19141101 19141130     6.6
19141201 19141231    73.2
19150101 19150131     0.0
19150201 19150228    26.9
19150301 19150331     0.0
19150401 19150430     9.5
19150501 19150531    21.1
19150601 19150630     8.4
19150701 19150731    11.9
19150801 19150831    13.4
19150901 19150930    37.4
19151001 19151031    22.6
19151101 19151130     0.0
19151201 19151231     2.0
19160101 19160131    37.4
19160201 19160229     0.0
19160301 19160331     0.0
19160401 19160430     1.5
19160501 19160531    14.0
19160601 19160630    42.9
19160701 19160731    50.6
19160801 19160831    11.7
19160901 19160930    33.4
19161001 19161031    70.8
19161101 19161130    36.5
19161201 19161231    15.2
19170101 19170131    63.0
19170201 19170228    82.1
19170301 19170331     0.0
19170401 19170430     0.0
19170501 19170531     7.9
19170601 19170630    24.4
19170701 19170731    48.7
19170801 19170831    13.5
19170901 19170930    30.2
19171001 19171031    27.8
19171101 19171130    69.4
19171201 19171231     9.6
19180101 19180131   125.9
19180201 19180228     0.0
19180301 19180331    18.9
19180401 19180430    30.2
19180501 19180531    19.3
19180601 19180630     0.8
19180701 19180731     5.4
19180801 19180831    28.1
19180901 19180930     3.5
19181001 19181031     2.5
19181101 19181130     0.0
19181201 19181231     0.0
19190101 19190131     0.8
19190201 19190228     9.4
19190301 19190331     0.0
19190401 19190430     1.0
19190501 19190531    47.8
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831    16.8
19190901 19190930     2.8
19191001 19191031     0.8
19191101 19191130     2.8
19191201 19191231     9.4
19200101 19200131     6.6
19200201 19200229     0.0
19200301 19200331     0.0
19200401 19200430     2.5
19200501 19200531     8.6
19200601 19200630    50.3
19200701 19200731    12.5
19200801 19200831    16.9
19200901 19200930    40.1
19201001 19201031    56.3
19201101 19201130    20.8
19201201 19201231    21.3
19210101 19210131     2.0
19210201 19210228    57.8
19210301 19210331    53.5
19210401 19210430    17.8
19210501 19210531    34.6
19210601 19210630    43.7
19210701 19210731     7.6
19210801 19210831     8.9
19210901 19210930    20.0
19211001 19211031     5.9
19211101 19211130    10.2
19211201 19211231    65.4
19220101 19220131    12.7
19220201 19220228    10.4
19220301 19220331     0.0
19220401 19220430    18.3
19220501 19220531    12.2
19220601 19220630     9.2
19220701 19220731     1.8
19220801 19220831     0.8
19220901 19220930     0.0
19221001 19221031     7.6
19221101 19221130     0.0
19221201 19221231   121.4
19230101 19230131     2.1
19230201 19230228     0.0
19230301 19230331     6.6
19230401 19230430     5.1
19230501 19230531    16.8
19230601 19230630    59.0
19230701 19230731    40.6
19230801 19230831     1.0
19230901 19230930     0.0
19231001 19231031     8.1
19231101 19231130     7.1
19231201 19231231    29.7
19240101 19240131    18.8
19240201 19240229    21.1
19240301 19240331     8.3
19240401 19240430     2.8
19240501 19240531     2.0
19240601 19240630    17.5
19240701 19240731     4.6
19240801 19240831     9.1
19240901 19240930     0.5
19241001 19241031    24.4
19241101 19241130    45.5
19241201 19241231     5.8
19250101 19250131    68.5
19250201 19250228    45.5
19250301 19250331     7.6
19250401 19250430     0.0
19250501 19250531    24.4
19250601 19250630     0.0
19250701 19250731    36.1
19250801 19250831     9.4
19250901 19250930     9.9
19251001 19251031     0.0
19251101 19251130    20.4
19251201 19251231     0.0
19260101 19260131     9.4
19260201 19260228     0.0
19260301 19260331    78.5
19260401 19260430    23.5
19260501 19260531     8.9
19260601 19260630    19.5
19260701 19260731     4.4
19260801 19260831     8.8
19260901 19260930    33.3
19261001 19261031     0.0
19261101 19261130     0.0
19261201 19261231     2.0
19270101 19270131     0.0
19270201 19270228     0.0
19270301 19270331     0.0
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630    10.1
19270701 19270731     7.9
19270801 19270831    11.2
19270901 19270930    10.2
19271001 19271031    22.6
19271101 19271130    12.2
19271201 19271231    40.7
19280101 19280131     5.5
19280201 19280229   182.9
19280301 19280331    31.8
19280401 19280430    14.7
19280501 19280531     0.0
19280601 19280630    13.0
19280701 19280731    38.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     1.8
19281101 19281130     1.8
19281201 19281231     0.0
19290101 19290131     0.0
19290201 19290228    22.3
19290301 19290331     2.5
19290401 19290430     9.6
19290501 19290531     0.0
19290601 19290630    11.7
19290701 19290731     0.8
19290801 19290831     8.7
19290901 19290930    12.0
19291001 19291031     0.0
19291101 19291130    12.7
19291201 19291231    29.9
19300101 19300131    33.5
19300201 19300228    59.0
19300301 19300331     0.8
19300401 19300430    14.8
19300501 19300531    12.7
19300601 19300630    35.1
19300701 19300731     7.1
19300801 19300831    32.7
19300901 19300930     8.7
19301001 19301031    62.0
19301101 19301130    12.4
19301201 19301231    70.5
