PRCP       047029 18821101 20180131 missing_value=99999.9 POONCARIE TELECENTRE                      
18821101 18821130    35.6
18821201 18821231    14.5
18830101 18830131     0.0
18830201 18830228     9.7
18830301 18830331     3.6
18830401 18830430    12.4
18830501 18830531    45.6
18830601 18830630    24.4
18830701 18830731     9.2
18830801 18830831    34.1
18830901 18830930    18.5
18831001 18831031    24.1
18831101 18831130    37.8
18831201 18831231     0.0
18840101 18840131     0.0
18840201 18840229     0.0
18840301 18840331    25.7
18840401 18840430     5.8
18840501 18840531    43.4
18840601 18840630    21.7
18840701 18840731     0.0
18840801 18840831    10.5
18840901 18840930    28.8
18841001 18841031    10.5
18841101 18841130    28.7
18841201 18841231     1.5
18850101 18850131    14.8
18850201 18850228    24.9
18850301 18850331    36.6
18850401 18850430     2.3
18850501 18850531     6.4
18850601 18850630    14.9
18850701 18850731     6.8
18850801 18850831     5.1
18850901 18850930    36.1
18851001 18851031     6.6
18851101 18851130     0.0
18851201 18851231    36.1
18860101 18860131    24.4
18860201 18860228     0.0
18860301 18860331     0.0
18860401 18860430     0.0
18860501 18860531    18.0
18860601 18860630    32.0
18860701 18860731    66.8
18860801 18860831    50.2
18860901 18860930    28.9
18861001 18861031    10.6
18861101 18861130     8.7
18861201 18861231    58.7
18870101 18870131    13.5
18870201 18870228    10.7
18870301 18870331    27.2
18870401 18870430    55.9
18870501 18870531    21.3
18870601 18870630    47.1
18870701 18870731    39.1
18870801 18870831    20.8
18870901 18870930     0.0
18871001 18871031    25.4
18871101 18871130    64.0
18871201 18871231    32.5
18880101 18880131     0.0
18880201 18880229    30.8
18880301 18880331     0.0
18880401 18880430     0.0
18880501 18880531     0.0
18880601 18880630     3.1
18880701 18880731     5.6
18880801 18880831     4.6
18880901 18880930    75.7
18881001 18881031     0.0
18881101 18881130     0.0
18881201 18881231    12.2
18890101 18890131    62.3
18890201 18890228    23.4
18890301 18890331     0.0
18890401 18890430    64.3
18890501 18890531   151.6
18890601 18890630    57.4
18890701 18890731     0.0
18890801 18890831    32.3
18890901 18890930    22.3
18891001 18891031    43.6
18891101 18891130    26.5
18891201 18891231     0.0
18900101 18900131     6.4
18900201 18900228     0.0
18900301 18900331    46.3
18900401 18900430     0.0
18900501 18900531    90.9
18900601 18900630    25.6
18900701 18900731    47.1
18900801 18900831    34.3
18900901 18900930     0.0
18901001 18901031    41.7
18901101 18901130    18.8
18901201 18901231    15.2
18910101 18910131    48.3
18910201 18910228     0.0
18910301 18910331    45.5
18910401 18910430    72.3
18910501 18910531     2.5
18910601 18910630    47.8
18910701 18910731     8.5
18910801 18910831    57.0
18910901 18910930     7.1
18911001 18911031    39.5
18911101 18911130     9.9
18911201 18911231    16.8
18920101 18920131     2.3
18920201 18920229     1.6
18920301 18920331     8.9
18920401 18920430     4.3
18920501 18920531    55.2
18920601 18920630     9.4
18920701 18920731    10.7
18920801 18920831    30.5
18920901 18920930    30.4
18921001 18921031    70.8
18921101 18921130    68.0
18921201 18921231     6.6
