PRCP       047031 18910501 20171231 missing_value=99999.9 STEPHENS CREEK RESERVOIR                  
18910501 18910531     7.4
18910601 18910630    39.4
18910701 18910731     0.0
18910801 18910831    41.8
18910901 18910930     7.5
18911001 18911031    22.1
18911101 18911130     3.6
18911201 18911231     3.8
18920101 18920131     5.6
18920201 18920229     3.1
18920301 18920331     0.0
18920401 18920430     0.5
18920501 18920531    49.8
18920601 18920630    10.4
18920701 18920731    14.5
18920801 18920831    17.8
18920901 18920930    31.1
18921001 18921031    46.5
18921101 18921130    49.5
18921201 18921231     0.0
18930101 18930131     0.0
18930201 18930228     0.0
18930301 18930331     3.8
18930401 18930430    41.8
18930501 18930531    51.3
18930601 18930630    39.4
18930701 18930731    13.7
18930801 18930831    18.3
18930901 18930930     1.6
18931001 18931031     7.6
18931101 18931130     3.0
18931201 18931231     6.6
18940101 18940131    27.3
18940201 18940228     1.3
18940301 18940331     1.9
18940401 18940430    13.8
18940501 18940531     5.4
18940601 18940630    37.2
18940701 18940731     3.1
18940801 18940831    31.0
18940901 18940930    24.9
18941001 18941031    32.7
18941101 18941130     2.8
18941201 18941231   112.7
18950101 18950131    24.9
18950201 18950228     1.3
18950301 18950331    12.5
18950401 18950430     8.3
18950501 18950531     8.4
18950601 18950630    14.7
18950701 18950731     1.0
18950801 18950831     5.1
18950901 18950930     5.6
18951001 18951031     0.0
18951101 18951130    12.4
18951201 18951231    24.7
18960101 18960131     1.5
18960201 18960229    53.5
18960301 18960331    15.2
18960401 18960430    39.6
18960501 18960531     6.4
18960601 18960630     1.3
18960701 18960731     7.9
18960801 18960831     9.2
18960901 18960930     4.8
18961001 18961031    29.8
18961101 18961130    47.1
18961201 18961231     5.1
18970101 18970131    28.9
18970201 18970228    12.7
18970301 18970331     0.0
18970401 18970430     0.8
18970501 18970531     0.5
18970601 18970630    27.7
18970701 18970731    16.7
18970801 18970831    15.0
18970901 18970930    11.2
18971001 18971031     0.0
18971101 18971130     0.0
18971201 18971231     0.0
18980101 18980131     0.0
18980201 18980228    91.1
18980301 18980331     0.0
18980401 18980430     1.3
18980501 18980531     1.3
18980601 18980630    45.0
18980701 18980731     0.0
18980801 18980831    29.5
18980901 18980930     2.5
18981001 18981031     6.8
18981101 18981130     0.8
18981201 18981231     4.3
18990101 18990131    14.2
18990201 18990228    14.0
18990301 18990331    11.7
18990401 18990430    12.7
18990501 18990531     0.8
18990601 18990630    29.4
18990701 18990731     1.1
18990801 18990831     1.0
18990901 18990930    10.7
18991001 18991031    11.7
18991101 18991130     2.3
18991201 18991231     0.0
19000101 19000131    33.6
19000201 19000228     0.0
19000301 19000331    31.5
19000401 19000430    14.6
19000501 19000531    11.3
19000601 19000630    24.4
19000701 19000731     4.1
19000801 19000831    15.2
19000901 19000930     3.6
19001001 19001031     1.3
19001101 19001130     7.6
19001201 19001231     0.0
19010101 19010131     0.5
19010201 19010228    45.7
19010301 19010331    21.3
19010401 19010430    13.7
19010501 19010531     2.5
19010601 19010630     4.8
19010701 19010731    11.6
19010801 19010831    59.6
19010901 19010930     8.6
19011001 19011031    10.2
19011101 19011130     1.9
19011201 19011231     0.0
19020101 19020131     0.8
19020201 19020228     0.3
19020301 19020331    21.1
19020401 19020430     1.0
19020501 19020531     0.0
19020601 19020630     1.8
19020701 19020731     3.6
19020801 19020831     8.1
19020901 19020930     2.0
19021001 19021031     5.9
19021101 19021130     1.3
19021201 19021231    31.0
19030101 19030131     0.0
19030201 19030228     6.4
19030301 19030331    13.2
19030401 19030430     6.1
19030501 19030531     5.0
19030601 19030630     4.3
19030701 19030731     2.5
19030801 19030831    24.4
19030901 19030930    58.2
19031001 19031031    52.6
19031101 19031130    55.1
19031201 19031231    88.0
19040101 19040131     3.8
19040201 19040229     4.6
19040301 19040331     1.3
19040401 19040430     5.6
19040501 19040531     9.2
19040601 19040630    11.2
19040701 19040731    37.3
19040801 19040831     9.9
19040901 19040930    15.0
19041001 19041031    87.6
19041101 19041130     2.8
19041201 19041231    16.5
19050101 19050131    10.7
19050201 19050228     0.0
19050301 19050331     0.0
19050401 19050430    66.6
19050501 19050531    16.0
19050601 19050630    41.2
19050701 19050731    24.1
19050801 19050831     3.6
19050901 19050930     3.5
19051001 19051031     2.8
19051101 19051130     0.0
19051201 19051231     0.0
19060101 19060131     0.0
19060201 19060228     0.0
19060301 19060331    38.1
19060401 19060430     1.3
19060501 19060531    27.5
19060601 19060630    25.0
19060701 19060731     5.1
19060801 19060831    20.8
19060901 19060930    23.2
19061001 19061031     8.9
19061101 19061130     2.5
19061201 19061231     7.1
19070101 19070131    13.2
19070201 19070228     1.0
19070301 19070331     3.8
19070401 19070430     1.5
19070501 19070531     6.9
19070601 19070630    46.7
19070701 19070731     9.6
19070801 19070831    34.7
19070901 19070930     4.5
19071001 19071031     5.6
19071101 19071130    11.7
19071201 19071231    53.9
19080101 19080131     2.9
19080201 19080229    29.9
19080301 19080331    12.2
19080401 19080430    10.4
19080501 19080531     8.9
19080601 19080630     8.4
19080701 19080731    10.2
19080801 19080831    24.0
19080901 19080930    22.1
19081001 19081031    21.3
19081101 19081130     6.9
19081201 19081231     9.2
19090101 19090131     3.9
19090201 19090228     8.6
19090301 19090331    13.7
19090401 19090430     8.1
19090501 19090531    26.9
19090601 19090630    55.4
19090701 19090731     3.5
19090801 19090831    16.2
19090901 19090930     2.8
19091001 19091031    12.2
19091101 19091130    11.2
19091201 19091231     0.0
19100101 19100131    33.7
19100201 19100228     1.0
19100301 19100331    36.6
19100401 19100430     0.0
19100501 19100531    25.7
19100601 19100630    59.5
19100701 19100731    14.2
19100801 19100831    12.3
19100901 19100930    12.7
19101001 19101031    10.2
19101101 19101130    41.7
19101201 19101231     2.8
19110101 19110131    73.6
19110201 19110228    63.7
19110301 19110331     2.0
19110401 19110430     0.0
19110501 19110531    40.5
19110601 19110630     9.7
19110701 19110731    44.8
19110801 19110831    15.5
19110901 19110930     5.8
19111001 19111031    43.1
19111101 19111130    85.9
19111201 19111231   122.9
19120101 19120131     0.0
19120201 19120229    26.9
19120301 19120331     5.6
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630   107.2
19120701 19120731    12.2
19120801 19120831    17.0
19120901 19120930     4.1
19121001 19121031    26.5
19121101 19121130    89.7
19121201 19121231    18.0
19130101 19130131     0.0
19130201 19130228    15.8
19130301 19130331    11.4
19130401 19130430     0.0
19130501 19130531    16.2
19130601 19130630     3.6
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930    11.6
19131001 19131031    41.1
19131101 19131130     7.9
19131201 19131231     7.4
19140101 19140131     7.1
19140201 19140228     0.0
19140301 19140331    19.3
19140401 19140430    21.6
19140501 19140531     7.1
19140601 19140630    21.6
19140701 19140731     1.8
19140801 19140831     0.0
19140901 19140930     0.5
19141001 19141031    13.7
19141101 19141130    22.4
19141201 19141231    54.3
19150101 19150131     0.5
19150201 19150228    28.2
19150301 19150331     0.5
19150401 19150430     3.9
19150501 19150531    36.7
19150601 19150630     9.7
19150701 19150731    15.5
19150801 19150831    17.1
19150901 19150930    47.8
19151001 19151031     9.5
19151101 19151130     0.0
19151201 19151231    10.9
19160101 19160131     1.8
19160201 19160229     0.0
19160301 19160331     1.0
19160401 19160430     6.9
19160501 19160531    10.6
19160601 19160630    17.6
19160701 19160731    59.7
19160801 19160831    13.6
19160901 19160930    61.6
19161001 19161031    24.9
19161101 19161130    14.3
19161201 19161231     8.9
19170101 19170131    80.7
19170201 19170228    71.7
19170301 19170331    10.1
19170401 19170430     1.5
19170501 19170531     7.7
19170601 19170630     9.2
19170701 19170731    43.5
19170801 19170831    37.2
19170901 19170930    17.2
19171001 19171031    15.4
19171101 19171130    56.3
19171201 19171231     3.1
19180101 19180131    34.1
19180201 19180228     0.8
19180301 19180331    11.3
19180401 19180430    37.9
19180501 19180531    70.9
19180601 19180630     6.9
19180701 19180731     5.9
19180801 19180831    15.5
19180901 19180930     5.1
19181001 19181031    13.7
19181101 19181130     0.0
19181201 19181231     0.0
19190101 19190131     2.8
19190201 19190228    49.3
19190301 19190331     0.0
19190401 19190430    12.0
19190501 19190531    83.5
19190601 19190630     0.5
19190701 19190731     0.3
19190801 19190831     4.1
19190901 19190930     1.3
19191001 19191031     6.9
19191101 19191130    11.8
19191201 19191231    14.9
19200101 19200131     4.6
19200201 19200229     1.5
19200301 19200331     0.0
19200401 19200430     9.6
19200501 19200531     4.4
19200601 19200630    28.4
19200701 19200731     2.0
19200801 19200831    24.1
19200901 19200930    53.4
19201001 19201031    56.1
19201101 19201130    19.6
19201201 19201231    22.1
19210101 19210131     3.3
19210201 19210228    84.1
19210301 19210331    53.3
19210401 19210430    55.1
19210501 19210531    58.2
19210601 19210630    45.9
19210701 19210731     2.1
19210801 19210831    11.7
19210901 19210930    16.5
19211001 19211031    10.5
19211101 19211130    27.4
19211201 19211231    15.4
19220101 19220131     5.1
19220201 19220228    17.3
19220301 19220331     0.0
19220401 19220430    16.8
19220501 19220531    22.6
19220601 19220630    22.6
19220701 19220731    16.5
19220801 19220831     3.7
19220901 19220930     6.1
19221001 19221031     5.6
19221101 19221130     0.0
19221201 19221231    16.8
19230101 19230131     3.6
19230201 19230228     1.1
19230301 19230331     5.1
19230401 19230430     0.0
19230501 19230531    27.2
19230601 19230630    77.4
19230701 19230731    22.3
19230801 19230831     3.9
19230901 19230930     4.8
19231001 19231031     5.1
19231101 19231130     0.0
19231201 19231231    39.0
19240101 19240131    24.6
19240201 19240229     5.1
19240301 19240331     4.1
19240401 19240430     0.0
19240501 19240531     0.0
19240601 19240630     4.5
19240701 19240731     0.0
19240801 19240831    10.2
19240901 19240930    24.1
19241001 19241031     7.4
19241101 19241130    38.4
19241201 19241231    19.1
19250101 19250131    26.7
19250201 19250228    14.2
19250301 19250331    21.8
19250401 19250430     9.1
19250501 19250531    58.0
19250601 19250630     2.5
19250701 19250731    28.2
19250801 19250831     3.8
19250901 19250930    11.4
19251001 19251031     1.5
19251101 19251130     4.9
19251201 19251231     0.0
19260101 19260131    26.7
19260201 19260228     0.0
19260301 19260331    60.2
19260401 19260430     9.3
19260501 19260531    29.0
19260601 19260630    35.6
19260701 19260731     4.8
19260801 19260831    30.5
19260901 19260930    24.9
19261001 19261031     0.0
19261101 19261130     0.0
19261201 19261231     4.0
19270101 19270131     7.7
19270201 19270228     3.0
19270301 19270331     3.8
19270401 19270430     0.0
19270501 19270531     1.0
19270601 19270630     5.0
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     3.0
19271001 19271031    22.3
19271101 19271130    14.0
19271201 19271231    11.7
19280101 19280131     2.3
19280201 19280229    97.9
19280301 19280331    22.9
19280401 19280430     6.9
19280501 19280531     2.5
19280601 19280630    30.9
19280701 19280731    36.3
19280801 19280831     0.0
19280901 19280930     0.8
19281001 19281031     3.0
19281101 19281130     0.5
19281201 19281231     0.0
19290101 19290131     1.5
19290201 19290228     1.5
19290301 19290331     4.9
19290401 19290430    18.6
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     7.6
19290901 19290930    10.2
19291001 19291031     0.0
19291101 19291130    16.5
19291201 19291231    38.1
19300101 19300131     0.0
19300201 19300228    43.3
19300301 19300331     3.8
19300401 19300430     6.1
19300501 19300531    22.6
19300601 19300630     0.0
19300701 19300731     2.5
19300801 19300831    11.9
19300901 19300930    11.4
19301001 19301031    33.5
19301101 19301130    11.5
19301201 19301231    39.9
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331    18.8
19310401 19310430    98.1
19310501 19310531    10.9
19310601 19310630    39.9
19310701 19310731    10.7
19310801 19310831     0.0
19310901 19310930    13.5
19311001 19311031    15.0
19311101 19311130     5.8
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    32.5
19320301 19320331     3.8
19320401 19320430    24.6
19320501 19320531    16.8
19320601 19320630    13.0
19320701 19320731     8.6
19320801 19320831    15.2
19320901 19320930    10.4
19321001 19321031     7.1
19321101 19321130    27.4
19321201 19321231    10.7
19330101 19330131     0.0
19330201 19330228     8.1
19330301 19330331    14.0
19330401 19330430     4.6
19330501 19330531     5.1
19330601 19330630     1.5
19330701 19330731     6.4
19330801 19330831     6.8
19330901 19330930    11.4
19331001 19331031     4.8
19331101 19331130    90.7
19331201 19331231    26.1
19340101 19340131     2.6
19340201 19340228     1.3
19340301 19340331     9.7
19340401 19340430    12.2
19340501 19340531     0.0
19340601 19340630     2.5
19340701 19340731    41.9
19340801 19340831     6.1
19340901 19340930     7.4
19341001 19341031    46.2
19341101 19341130    42.4
19341201 19341231     0.0
19350101 19350131     0.8
19350201 19350228     7.1
19350301 19350331    10.0
19350401 19350430    26.6
19350501 19350531     0.8
19350601 19350630     4.8
19350701 19350731     2.4
19350801 19350831     2.5
19350901 19350930    34.1
19351001 19351031    19.5
19351101 19351130     5.8
19351201 19351231    27.2
19360101 19360131    49.0
19360201 19360229     4.4
19360301 19360331     4.8
19360401 19360430     1.1
19360501 19360531    38.1
19360601 19360630     3.8
19360701 19360731    36.7
19360801 19360831    23.9
19360901 19360930     4.6
19361001 19361031    14.8
19361101 19361130     5.7
19361201 19361231    68.4
19370101 19370131    56.7
19370201 19370228    29.3
19370301 19370331     2.1
19370401 19370430     0.5
19370501 19370531    12.0
19370601 19370630    32.8
19370701 19370731     0.0
19370801 19370831    26.9
19370901 19370930     1.0
19371001 19371031    22.6
19371101 19371130     6.1
19371201 19371231    36.1
19380101 19380131     3.1
19380201 19380228     9.4
19380301 19380331     0.0
19380401 19380430     0.5
19380501 19380531     9.7
19380601 19380630     5.4
19380701 19380731    17.7
19380801 19380831    13.0
19380901 19380930     0.8
19381001 19381031    79.2
19381101 19381130     1.0
19381201 19381231     0.0
19390101 19390131     5.3
19390201 19390228   121.7
19390301 19390331    47.8
19390401 19390430    43.2
19390501 19390531    21.9
19390601 19390630    21.6
19390701 19390731     6.5
19390801 19390831     6.6
19390901 19390930     1.8
19391001 19391031    10.5
19391101 19391130    60.1
19391201 19391231     0.0
19400101 19400131     1.8
19400201 19400229     0.0
19400301 19400331     1.0
19400401 19400430    45.5
19400501 19400531     7.1
19400601 19400630     0.5
19400701 19400731     4.3
19400801 19400831     1.6
19400901 19400930     3.5
19401001 19401031     0.8
19401101 19401130     0.0
19401201 19401231     2.3
19410101 19410131    74.0
19410201 19410228     3.3
19410301 19410331    12.5
19410401 19410430     1.0
19410501 19410531     0.0
19410601 19410630    10.8
19410701 19410731    16.2
19410801 19410831     2.6
