PRCP       047045 19001101 20180131 missing_value=99999.9 WENTWORTH (WILLOW POINT)                  
19001101 19001130     7.3
19001201 19001231     6.8
19010101 19010131     6.0
19010201 19010228    14.0
19010301 19010331     3.2
19010401 19010430     9.3
19010501 19010531     1.5
19010601 19010630    10.8
19010701 19010731    30.4
19010801 19010831    59.3
19010901 19010930    10.2
19011001 19011031    21.9
19011101 19011130     0.8
19011201 19011231     7.9
19020101 19020131     4.2
19020201 19020228     0.8
19020301 19020331     7.7
19020401 19020430     3.5
19020501 19020531     4.4
19020601 19020630    12.8
19020701 19020731     2.7
19020801 19020831    10.3
19020901 19020930    19.2
19021001 19021031    14.2
19021101 19021130     1.0
19021201 19021231    41.4
19030101 19030131     1.5
19030201 19030228     8.5
19030301 19030331    26.6
19030401 19030430    19.3
19030501 19030531    12.7
19030601 19030630    23.9
19030701 19030731    12.3
19030801 19030831    19.2
19030901 19030930    83.4
19031001 19031031    16.9
19031101 19031130    33.9
19031201 19031231    24.2
19040101 19040131    18.9
19040201 19040229    16.5
19040301 19040331     3.2
19040401 19040430    10.7
19040501 19040531    13.1
19040601 19040630    26.0
19040701 19040731    72.7
19040801 19040831    24.2
19040901 19040930    20.5
19041001 19041031    32.3
19041101 19041130    12.4
19041201 19041231    14.4
19050101 19050131    24.9
19050201 19050228    11.5
19050301 19050331     0.0
19050401 19050430    86.3
19050501 19050531    31.8
19050601 19050630    21.2
19050701 19050731    19.4
19050801 19050831     4.5
19050901 19050930    12.2
19051001 19051031    18.6
19051101 19051130     0.0
19051201 19051231     0.0
19060101 19060131     0.0
19060201 19060228    44.3
19060301 19060331    35.9
19060401 19060430     0.0
19060501 19060531    41.1
19060601 19060630    40.9
19060701 19060731    19.2
19060801 19060831    34.9
19060901 19060930    48.5
19061001 19061031    17.9
19061101 19061130     7.0
19061201 19061231    10.5
19070101 19070131     7.3
19070201 19070228     0.0
19070301 19070331     3.7
19070401 19070430    17.2
19070501 19070531    20.7
19070601 19070630    31.0
19070701 19070731    14.4
19070801 19070831    29.4
19070901 19070930    13.7
19071001 19071031     1.5
19071101 19071130    10.7
19071201 19071231    31.2
19080101 19080131     5.0
19080201 19080229     8.9
19080301 19080331     2.3
19080401 19080430     0.0
19080501 19080531    11.2
19080601 19080630    24.9
19080701 19080731     4.2
19080801 19080831    33.1
19080901 19080930    37.1
19081001 19081031    20.4
19081101 19081130     4.9
19081201 19081231     9.5
19090101 19090131     0.0
19090201 19090228    19.2
19090301 19090331    17.9
19090401 19090430    10.0
19090501 19090531    61.0
19090601 19090630    82.4
19090701 19090731     9.7
19090801 19090831    43.0
19090901 19090930    15.9
19091001 19091031     0.0
19091101 19091130    18.3
19091201 19091231     0.0
19100101 19100131    66.7
19100201 19100228    11.0
19100301 19100331    56.3
