PRCP       047053 18680101 20130228 missing_value=99999.9 WENTWORTH POST OFFICE                     
18680101 18680131    33.5
18680201 18680229     8.4
18680301 18680331     6.4
18680401 18680430    19.8
18680501 18680531     9.1
18680601 18680630    11.2
18680701 18680731    64.5
18680801 18680831     4.3
18680901 18680930    38.4
18681001 18681031    10.4
18681101 18681130    10.9
18681201 18681231     0.0
18690101 18690131     7.1
18690201 18690228    24.6
18690301 18690331    58.9
18690401 18690430     0.0
18690501 18690531    12.7
18690601 18690630    32.0
18690701 18690731    18.3
18690801 18690831     9.7
18690901 18690930    16.8
18691001 18691031    54.1
18691101 18691130    12.7
18691201 18691231    22.1
18700101 18700131   105.9
18700201 18700228     0.0
18700301 18700331    28.4
18700401 18700430    62.5
18700501 18700531   150.1
18700601 18700630    61.0
18700701 18700731    30.7
18700801 18700831    49.3
18700901 18700930    70.9
18701001 18701031   113.3
18701101 18701130     7.1
18701201 18701231    25.9
18710101 18710131    63.5
18710201 18710228    67.5
18710301 18710331     0.0
18710401 18710430    21.1
18710501 18710531    62.5
18710601 18710630    19.3
18710701 18710731     9.7
18710801 18710831     7.4
18710901 18710930    13.1
18711001 18711031    12.1
18711101 18711130   100.6
18711201 18711231    15.6
18720101 18720131    92.2
18720201 18720229     6.3
18720301 18720331     5.9
18720401 18720430    13.7
18720501 18720531    24.9
18720601 18720630    64.5
18720701 18720731    37.8
18720801 18720831    17.3
18720901 18720930    30.9
18721001 18721031    33.1
18721101 18721130    64.0
18721201 18721231    10.2
18730101 18730131    57.7
18730201 18730228    34.4
18730301 18730331     7.1
18730401 18730430    43.3
18730501 18730531    42.2
18730601 18730630    19.8
18730701 18730731     8.1
18730801 18730831    44.4
18730901 18730930    21.9
18731001 18731031    12.7
18731101 18731130    12.5
18731201 18731231    24.6
18740101 18740131    44.8
18740201 18740228     3.0
18740301 18740331    51.3
18740401 18740430    13.7
18740501 18740531    39.3
18740601 18740630    28.9
18740701 18740731    21.0
18740801 18740831    26.3
18740901 18740930    23.2
18741001 18741031    13.3
18741101 18741130    12.4
18741201 18741231     2.0
18750101 18750131     8.6
18750201 18750228    32.0
18750301 18750331    11.2
18750401 18750430    23.9
18750501 18750531    71.2
18750601 18750630    30.7
18750701 18750731    33.3
18750801 18750831    33.0
18750901 18750930    25.8
18751001 18751031    19.1
18751101 18751130     8.6
18751201 18751231    26.2
18760101 18760131     5.3
18760201 18760229    32.8
18760301 18760331    14.7
18760401 18760430     7.4
18760501 18760531    35.5
18760601 18760630     0.8
18760701 18760731    26.4
18760801 18760831     8.7
18760901 18760930    19.6
18761001 18761031    19.6
18761101 18761130    54.1
18761201 18761231     2.5
18770101 18770131    12.4
18770201 18770228     7.3
18770301 18770331    40.1
18770401 18770430     8.6
18770501 18770531    35.2
18770601 18770630    24.9
18770701 18770731    16.5
18770801 18770831     1.0
18770901 18770930    47.5
18771001 18771031    11.9
18771101 18771130     3.3
18771201 18771231     9.4
18780101 18780131     0.0
18780201 18780228    19.1
18780301 18780331   115.6
18780401 18780430    23.9
18780501 18780531     1.0
18780601 18780630    13.9
18780701 18780731    29.7
18780801 18780831     4.0
18780901 18780930     5.1
18781001 18781031     7.7
18781101 18781130    14.2
18781201 18781231     4.8
18790101 18790131     1.5
18790201 18790228     8.5
18790301 18790331     8.2
18790401 18790430    13.0
18790501 18790531    23.4
18790601 18790630    13.3
18790701 18790731    42.8
18790801 18790831    24.9
18790901 18790930    49.3
18791001 18791031    60.0
18791101 18791130    70.7
18791201 18791231    12.4
18800101 18800131    15.8
18800201 18800229    20.3
18800301 18800331    23.0
18800401 18800430    21.3
18800501 18800531     7.1
18800601 18800630     8.9
18800701 18800731     7.3
18800801 18800831    22.1
18800901 18800930    33.3
18801001 18801031    27.3
18801101 18801130     7.9
18801201 18801231    10.6
18810101 18810131    92.9
