PRCP       048031 18970501 20180131 missing_value=99999.9 COLLARENEBRI (VIEWPOINT)                  
18970501 18970531     5.3
18970601 18970630    79.2
18970701 18970731    70.9
18970801 18970831    19.3
18970901 18970930    40.7
18971001 18971031     7.9
18971101 18971130    11.4
18971201 18971231    32.3
18980101 18980131    66.2
18980201 18980228    80.0
18980301 18980331     5.3
18980401 18980430     0.0
18980501 18980531    22.4
18980601 18980630    27.4
18980701 18980731     0.0
18980801 18980831    12.0
18980901 18980930    28.4
18981001 18981031     7.3
18981101 18981130     4.1
18981201 18981231    14.2
18990101 18990131    39.9
18990201 18990228    23.1
18990301 18990331     0.8
18990401 18990430    34.9
18990501 18990531     0.0
18990601 18990630    39.3
18990701 18990731    45.9
18990801 18990831    49.5
18990901 18990930    61.2
18991001 18991031     3.3
18991101 18991130    13.3
18991201 18991231     7.6
19000101 19000131    27.0
19000201 19000228     0.0
19000301 19000331    15.3
19000401 19000430     6.9
19000501 19000531    49.4
19000601 19000630    37.1
19000701 19000731    37.6
19000801 19000831     0.0
19000901 19000930    21.9
19001001 19001031     3.8
19001101 19001130    16.3
19001201 19001231     2.8
19010101 19010131     5.6
19010201 19010228    19.1
19010301 19010331   110.5
19010401 19010430    48.3
19010501 19010531    52.1
19010601 19010630    16.4
19010701 19010731    29.0
19010801 19010831    42.8
19010901 19010930    12.0
19011001 19011031    11.7
19011101 19011130    61.2
19011201 19011231     4.6
19020101 19020131     3.0
19020201 19020228    18.8
19020301 19020331     1.3
19020401 19020430     2.3
19020501 19020531     0.0
19020601 19020630     1.0
19020701 19020731     0.0
19020801 19020831    59.4
19020901 19020930     4.1
19021001 19021031    33.1
19021101 19021130    21.6
19021201 19021231    29.0
19030101 19030131    35.3
19030201 19030228     0.0
19030301 19030331    55.1
19030401 19030430    21.4
19030501 19030531    78.9
19030601 19030630    25.0
19030701 19030731    86.3
19030801 19030831    22.4
19030901 19030930    91.7
19031001 19031031    33.2
19031101 19031130    78.7
19031201 19031231   177.6
19040101 19040131    58.1
19040201 19040229   116.9
19040301 19040331    38.6
19040401 19040430     2.5
19040501 19040531    37.0
