PRCP       048039 18911201 20150630 missing_value=99999.9 ENNGONIA (SHEARER STREET)                 
18911201 18911231    26.6
18920101 18920131     1.3
18920201 18920229     7.6
18920301 18920331    42.1
18920401 18920430     0.0
18920501 18920531   123.7
18920601 18920630     6.3
18920701 18920731     5.6
18920801 18920831     0.0
18920901 18920930    67.5
18921001 18921031   103.1
18921101 18921130     9.9
18921201 18921231     0.0
18930101 18930131     0.0
18930201 18930228     0.0
18930301 18930331    42.9
18930401 18930430     7.9
18930501 18930531    14.7
18930601 18930630    83.4
18930701 18930731     3.3
18930801 18930831   126.0
18930901 18930930     0.0
18931001 18931031    16.4
18931101 18931130    45.7
18931201 18931231     3.8
18940101 18940131    15.6
18940201 18940228    36.9
18940301 18940331   110.0
18940401 18940430    86.7
18940501 18940531     5.3
18940601 18940630    44.2
18940701 18940731     1.8
18940801 18940831    25.4
18940901 18940930    17.8
18941001 18941031    46.7
18941101 18941130     0.0
18941201 18941231    35.0
18950101 18950131    11.4
18950201 18950228    20.3
18950301 18950331     1.0
18950401 18950430     6.6
18950501 18950531    35.1
18950601 18950630    15.2
18950701 18950731     1.5
18950801 18950831     1.0
18950901 18950930     9.2
18951001 18951031    34.3
18951101 18951130   146.6
18951201 18951231    48.3
18960101 18960131     4.6
18960201 18960229   179.3
18960301 18960331    20.6
18960401 18960430    40.1
18960501 18960531    53.1
18960601 18960630     0.0
18960701 18960731    11.4
18960801 18960831     9.9
18960901 18960930     3.0
18961001 18961031     1.0
18961101 18961130    33.8
18961201 18961231    64.3
18970101 18970131    33.0
18970201 18970228    14.2
18970301 18970331    38.3
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    84.5
18970701 18970731     7.0
18970801 18970831    10.4
18970901 18970930    36.6
18971001 18971031    82.3
18971101 18971130     0.0
18971201 18971231    50.3
18980101 18980131   120.0
18980201 18980228   135.2
18980301 18980331    12.7
18980401 18980430     0.0
18980501 18980531     0.0
18980601 18980630    20.1
18980701 18980731     0.0
18980801 18980831    22.4
18980901 18980930     2.5
18981001 18981031    14.8
18981101 18981130     5.9
18981201 18981231    37.3
18990101 18990131    55.7
18990201 18990228    19.8
18990301 18990331    11.1
18990401 18990430     0.0
18990501 18990531     0.0
18990601 18990630    20.0
18990701 18990731     7.9
18990801 18990831    48.8
18990901 18990930    19.1
18991001 18991031     0.0
18991101 18991130     0.0
18991201 18991231     0.0
19000101 19000131    61.6
19000201 19000228     4.6
19000301 19000331    45.6
19000401 19000430     4.4
19000501 19000531    13.0
19000601 19000630    12.7
19000701 19000731    32.7
19000801 19000831     0.0
19000901 19000930     0.0
19001001 19001031     0.0
19001101 19001130     0.0
19001201 19001231    28.2
19010101 19010131     0.0
19010201 19010228     7.6
19010301 19010331    43.9
19010401 19010430    10.7
19010501 19010531    25.4
19010601 19010630    25.4
19010701 19010731    51.3
19010801 19010831    62.5
19010901 19010930     0.0
19011001 19011031    10.4
19011101 19011130     0.0
19011201 19011231     0.0
19020101 19020131     0.0
19020201 19020228     0.0
19020301 19020331     0.0
19020401 19020430     7.3
19020501 19020531     0.0
19020601 19020630     2.0
19020701 19020731     1.3
19020801 19020831    29.7
19020901 19020930    11.4
19021001 19021031    15.3
19021101 19021130    92.2
19021201 19021231    46.6
19030101 19030131    29.2
19030201 19030228     0.0
19030301 19030331    38.1
19030401 19030430    75.8
19030501 19030531    30.7
19030601 19030630    20.1
19030701 19030731    34.8
19030801 19030831     7.5
19030901 19030930    75.5
19031001 19031031    10.4
19031101 19031130    15.7
19031201 19031231    26.7
19040101 19040131    66.5
19040201 19040229    41.0
19040301 19040331     0.0
19040401 19040430    66.1
19040501 19040531   112.9
19040601 19040630     0.0
19040701 19040731    18.5
19040801 19040831     5.1
19040901 19040930    13.2
19041001 19041031   114.1
19041101 19041130     0.0
19041201 19041231     3.0
19050101 19050131     0.0
19050201 19050228    16.3
19050301 19050331    76.4
19050401 19050430   142.6
19050501 19050531     4.6
19050601 19050630    16.5
19050701 19050731    18.6
19050801 19050831    10.1
19050901 19050930     0.0
19051001 19051031     6.4
19051101 19051130     2.5
19051201 19051231     1.0
19060101 19060131     2.3
19060201 19060228    82.6
19060301 19060331    30.1
19060401 19060430     3.8
19060501 19060531    38.1
19060601 19060630    29.9
19060701 19060731     2.6
19060801 19060831    29.2
19060901 19060930    81.0
19061001 19061031    56.6
19061101 19061130    43.4
19061201 19061231    43.4
19070101 19070131   148.6
19070201 19070228    14.0
19070301 19070331    46.3
19070401 19070430     0.0
19070501 19070531     3.6
19070601 19070630    22.9
19070701 19070731    10.2
19070801 19070831    21.6
19070901 19070930     5.3
19071001 19071031    15.3
19071101 19071130    32.6
19071201 19071231    44.4
19080101 19080131    14.0
19080201 19080229    44.5
19080301 19080331    25.9
19080401 19080430     4.1
19080501 19080531    16.2
19080601 19080630     4.8
19080701 19080731    42.3
19080801 19080831    32.5
19080901 19080930     0.0
19081001 19081031    36.6
19081101 19081130    34.8
19081201 19081231    53.6
19090101 19090131    37.6
19090201 19090228    23.6
19090301 19090331    26.4
19090401 19090430    47.5
19090501 19090531     1.8
19090601 19090630    41.5
19090701 19090731     3.6
19090801 19090831   117.3
19090901 19090930     0.0
19091001 19091031    19.5
19091101 19091130    24.3
19091201 19091231    65.8
19100101 19100131    45.5
19100201 19100228     8.0
19100301 19100331    34.5
19100401 19100430    19.1
19100501 19100531    16.5
19100601 19100630    35.6
19100701 19100731    17.2
19100801 19100831    17.0
19100901 19100930    14.7
19101001 19101031    24.1
19101101 19101130   109.8
19101201 19101231    43.5
19110101 19110131    33.2
19110201 19110228   149.5
19110301 19110331    14.0
19110401 19110430     0.0
19110501 19110531    47.4
19110601 19110630     6.6
19110701 19110731     7.1
19110801 19110831     1.8
19110901 19110930    26.9
19111001 19111031     1.3
19111101 19111130    37.6
19111201 19111231    48.8
19120101 19120131     0.0
19120201 19120229    25.0
19120301 19120331    25.7
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    59.2
19120701 19120731    46.5
19120801 19120831     4.1
19120901 19120930     7.6
19121001 19121031    20.0
