PRCP       049023 18770201 20161231 missing_value=99999.9 EUSTON ( BENINGTON)                       
18770201 18770228    21.9
18770301 18770331    23.7
18770401 18770430     3.5
18770501 18770531    57.9
18770601 18770630    16.5
18770701 18770731     7.8
18770801 18770831     0.0
18770901 18770930    69.0
18771001 18771031    34.5
18771101 18771130    13.7
18771201 18771231     6.5
18780101 18780131     0.0
18780201 18780228    14.7
18780301 18780331   186.9
18780401 18780430    26.3
18780501 18780531    13.3
18780601 18780630    18.4
18780701 18780731    49.5
18780801 18780831     8.4
18780901 18780930     5.4
18781001 18781031    14.0
18781101 18781130    18.2
18781201 18781231    12.1
18790101 18790131     0.0
18790201 18790228     5.4
18790301 18790331    15.8
18790401 18790430    31.5
18790501 18790531    34.8
18790601 18790630    20.2
18790701 18790731    39.8
18790801 18790831    32.9
18790901 18790930    30.3
18791001 18791031    79.0
18791101 18791130    35.5
18791201 18791231    24.6
18800101 18800131    23.7
18800201 18800229   129.8
18800301 18800331    33.2
18800401 18800430    44.0
18800501 18800531    13.6
18800601 18800630    25.5
18800701 18800731    10.8
18800801 18800831    16.2
18800901 18800930    23.5
18801001 18801031    13.8
18801101 18801130    10.2
18801201 18801231    11.6
18810101 18810131   113.6
18810201 18810228     6.5
18810301 18810331    53.7
18810401 18810430    15.9
18810501 18810531    59.2
18810601 18810630    47.6
18810701 18810731    21.2
18810801 18810831    30.5
18810901 18810930    59.9
18811001 18811031    15.7
18811101 18811130    17.3
18811201 18811231    11.9
18820101 18820131     0.0
18820201 18820228     0.0
18820301 18820331     0.0
18820401 18820430    36.7
18820501 18820531    33.2
18820601 18820630    14.9
18820701 18820731    23.7
18820801 18820831    30.6
18820901 18820930     6.2
18821001 18821031    29.9
18821101 18821130    73.9
18821201 18821231     7.9
18830101 18830131     0.0
18830201 18830228    10.3
18830301 18830331    23.4
18830401 18830430    23.8
18830501 18830531    41.8
18830601 18830630    26.0
18830701 18830731    10.7
18830801 18830831    33.5
18830901 18830930    31.1
18831001 18831031    36.9
18831101 18831130    33.7
18831201 18831231     5.4
18840101 18840131     1.1
18840201 18840229     2.7
18840301 18840331    46.0
18840401 18840430     7.8
18840501 18840531    29.9
18840601 18840630    42.1
18840701 18840731     0.0
18840801 18840831    19.0
18840901 18840930    46.9
18841001 18841031    15.0
18841101 18841130     8.4
18841201 18841231    13.7
18850101 18850131     7.5
18850201 18850228    28.0
18850301 18850331    46.9
18850401 18850430     1.1
18850501 18850531    13.5
18850601 18850630    24.4
18850701 18850731    13.5
18850801 18850831    25.4
18850901 18850930    58.8
18851001 18851031    17.3
18851101 18851130     3.0
18851201 18851231    56.2
18860101 18860131    58.6
18860201 18860228     0.0
18860301 18860331     2.1
18860401 18860430     1.9
18860501 18860531    12.1
18860601 18860630    12.4
18860701 18860731    59.2
18860801 18860831    63.4
18860901 18860930    44.0
18861001 18861031     8.3
18861101 18861130     4.6
18861201 18861231    60.2
18870101 18870131    37.8
18870201 18870228    29.9
18870301 18870331    11.4
18870401 18870430    83.3
18870501 18870531     7.9
18870601 18870630    47.4
18870701 18870731    50.1
18870801 18870831    27.1
18870901 18870930    26.2
18871001 18871031    45.7
18871101 18871130    80.3
18871201 18871231    79.7
18880101 18880131    15.4
18880201 18880229    10.5
18880301 18880331    15.6
18880401 18880430     0.5
18880501 18880531    31.0
18880601 18880630    11.7
18880701 18880731    10.0
18880801 18880831     8.7
18880901 18880930    44.9
18881001 18881031     7.3
18881101 18881130     0.8
18881201 18881231     5.6
18890101 18890131    51.8
18890201 18890228    31.4
18890301 18890331     0.0
18890401 18890430    89.2
18890501 18890531    77.2
18890601 18890630    63.3
18890701 18890731     1.9
18890801 18890831    82.6
18890901 18890930    33.8
18891001 18891031    39.8
18891101 18891130    88.3
18891201 18891231     9.5
18900101 18900131     4.0
