PRCP       050004 19110401 20170731 missing_value=99999.9 BOGAN GATE POST OFFICE                    
19110401 19110430     8.1
19110501 19110531    42.0
19110601 19110630    16.5
19110701 19110731    44.7
19110801 19110831    19.1
19110901 19110930    34.6
19111001 19111031    14.0
19111101 19111130    83.0
19111201 19111231   109.2
19120101 19120131    35.8
19120201 19120229    23.3
19120301 19120331     5.1
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    44.3
19120701 19120731   104.8
19120801 19120831    83.9
19120901 19120930    29.5
19121001 19121031    22.1
19121101 19121130     0.0
19121201 19121231    12.5
19130101 19130131    22.3
19130201 19130228    53.0
19130301 19130331    75.7
19130401 19130430    21.6
19130501 19130531    67.3
19130601 19130630    66.0
19130701 19130731    16.8
19130801 19130831     9.9
19130901 19130930    10.1
19131001 19131031    35.0
19131101 19131130     0.0
19131201 19131231    40.1
19140101 19140131    34.6
19140201 19140228    25.3
19140301 19140331    41.7
19140401 19140430    19.3
19140501 19140531    20.6
19140601 19140630    19.1
19140701 19140731    27.4
19140801 19140831     0.0
19140901 19140930    13.0
19141001 19141031     8.1
19141101 19141130    29.0
19141201 19141231    72.5
19150101 19150131     0.0
19150201 19150228    11.7
19150301 19150331    16.7
19150401 19150430     3.0
19150501 19150531    53.3
19150601 19150630    45.9
19150701 19150731    57.9
19150801 19150831    42.9
19150901 19150930    17.1
19151001 19151031    36.2
19151101 19151130     2.5
19151201 19151231    32.2
19160101 19160131    18.3
19160201 19160229    33.7
19160301 19160331    10.4
19160401 19160430    71.5
19160501 19160531    13.5
19160601 19160630   109.0
19160701 19160731    61.6
19160801 19160831    77.6
19160901 19160930    59.5
19161001 19161031    99.4
19161101 19161130    75.6
19161201 19161231    69.3
19170101 19170131    50.2
19170201 19170228    50.6
19170301 19170331     3.6
19170401 19170430    10.1
19170501 19170531    17.5
19170601 19170630    64.3
19170701 19170731    62.4
19170801 19170831    85.8
19170901 19170930    46.5
19171001 19171031    45.7
19171101 19171130   135.5
19171201 19171231    18.0
19180101 19180131    32.5
19180201 19180228    47.0
19180301 19180331    12.8
19180401 19180430    32.6
19180501 19180531    19.3
19180601 19180630    37.8
19180701 19180731    22.3
19180801 19180831    75.2
19180901 19180930    11.4
19181001 19181031    25.1
19181101 19181130    11.4
19181201 19181231    19.9
19190101 19190131     7.9
19190201 19190228    23.6
19190301 19190331    11.2
19190401 19190430    17.3
19190501 19190531    54.6
19190601 19190630     7.4
19190701 19190731     4.8
19190801 19190831    33.3
19190901 19190930    41.7
19191001 19191031    25.1
19191101 19191130    11.4
19191201 19191231    19.9
19200101 19200131    19.8
19200201 19200229    18.3
19200301 19200331    21.3
19200401 19200430     1.0
19200501 19200531     6.4
19200601 19200630   116.0
19200701 19200731    51.1
19200801 19200831    56.8
19200901 19200930    70.3
19201001 19201031    31.9
19201101 19201130    18.5
19201201 19201231   119.1
19210101 19210131    37.1
19210201 19210228    18.7
19210301 19210331    34.8
19210401 19210430    64.6
19210501 19210531    46.5
19210601 19210630    71.7
19210701 19210731    40.6
19210801 19210831    45.0
19210901 19210930    38.1
19211001 19211031    20.0
19211101 19211130    16.5
19211201 19211231    84.6
19220101 19220131    39.1
19220201 19220228     9.6
19220301 19220331     1.3
19220401 19220430    21.6
19220501 19220531    27.6
19220601 19220630    31.3
19220701 19220731    51.1
19220801 19220831    31.2
19220901 19220930    17.0
19221001 19221031    21.9
19221101 19221130     0.0
19221201 19221231    41.6
19230101 19230131    12.7
19230201 19230228     0.0
19230301 19230331     1.8
19230401 19230430     0.0
19230501 19230531    13.8
19230601 19230630    89.0
19230701 19230731    43.1
19230801 19230831     6.8
19230901 19230930    30.7
19231001 19231031    41.9
19231101 19231130    19.8
19231201 19231231    33.8
19240101 19240131    21.4
19240201 19240229    51.5
19240301 19240331     0.0
19240401 19240430    41.9
19240501 19240531    16.2
19240601 19240630    52.3
19240701 19240731    44.0
19240801 19240831    47.8
19240901 19240930    74.6
19241001 19241031    36.3
19241101 19241130   138.3
19241201 19241231    65.5
19250101 19250131    61.2
19250201 19250228    56.6
19250301 19250331    33.0
19250401 19250430     8.1
19250501 19250531    59.8
19250601 19250630   145.7
19250701 19250731    37.1
19250801 19250831    41.9
19250901 19250930     2.8
19251001 19251031    18.5
19251101 19251130    60.6
19251201 19251231    16.0
19260101 19260131    21.8
19260201 19260228     8.6
19260301 19260331   156.1
19260401 19260430    94.7
19260501 19260531    63.8
19260601 19260630    40.5
19260701 19260731    24.8
19260801 19260831    30.3
19260901 19260930    35.5
19261001 19261031     9.6
19261101 19261130     0.0
19261201 19261231    86.1
19270101 19270131    98.2
19270201 19270228     0.0
19270301 19270331    54.4
19270401 19270430    25.1
19270501 19270531     9.4
19270601 19270630    23.3
19270701 19270731    12.6
19270801 19270831    11.4
19270901 19270930    48.0
19271001 19271031    40.3
19271101 19271130    58.2
19271201 19271231    42.4
19280101 19280131    71.4
19280201 19280229   146.8
19280301 19280331    33.2
19280401 19280430    42.7
19280501 19280531    19.0
19280601 19280630    26.6
19280701 19280731    50.3
19280801 19280831    17.3
19280901 19280930    15.0
19281001 19281031    34.5
19281101 19281130    14.5
19281201 19281231     0.0
19290101 19290131     1.5
19290201 19290228    43.5
19290301 19290331    32.0
19290401 19290430    34.4
19290501 19290531    21.8
19290601 19290630    23.9
19290701 19290731     6.3
19290801 19290831    37.6
19290901 19290930    23.9
19291001 19291031    21.3
19291101 19291130     5.8
19291201 19291231    68.4
19300101 19300131     0.0
19300201 19300228     1.5
19300301 19300331    19.1
19300401 19300430    20.8
19300501 19300531    23.1
19300601 19300630    70.9
19300701 19300731    44.1
19300801 19300831    41.4
19300901 19300930     3.3
19301001 19301031    68.6
19301101 19301130    62.2
19301201 19301231    93.1
19310101 19310131    26.1
19310201 19310228     0.0
19310301 19310331   114.6
19310401 19310430    53.6
19310501 19310531   129.3
19310601 19310630    82.3
19310701 19310731    45.0
19310801 19310831     7.1
19310901 19310930    30.5
19311001 19311031    12.8
19311101 19311130    36.7
19311201 19311231    63.7
19320101 19320131     4.1
19320201 19320229     7.4
19320301 19320331   146.5
19320401 19320430    66.6
19320501 19320531    17.1
19320601 19320630    23.9
19320701 19320731    36.5
19320801 19320831    51.4
19320901 19320930    75.1
19321001 19321031    24.2
19321101 19321130    64.1
19321201 19321231    36.7
19330101 19330131    30.7
19330201 19330228     1.0
19330301 19330331    10.2
19330401 19330430    54.3
19330501 19330531    20.8
19330601 19330630    33.6
19330701 19330731    40.4
19330801 19330831    19.8
19330901 19330930    51.0
19331001 19331031    48.0
19331101 19331130    71.9
19331201 19331231    86.7
19340101 19340131    44.7
19340201 19340228   108.2
19340301 19340331     0.5
19340401 19340430    47.8
19340501 19340531     0.8
19340601 19340630    44.2
19340701 19340731    67.1
19340801 19340831    37.2
19340901 19340930    22.5
19341001 19341031    67.3
19341101 19341130    68.0
19341201 19341231    31.7
19350101 19350131    27.5
19350201 19350228    34.0
19350301 19350331     5.9
19350401 19350430    59.1
19350501 19350531    38.6
19350601 19350630    21.6
19350701 19350731    38.5
19350801 19350831    27.2
19350901 19350930    39.3
19351001 19351031    66.9
19351101 19351130    18.8
19351201 19351231    45.4
19360101 19360131    66.5
19360201 19360229   108.2
19360301 19360331    59.9
19360401 19360430     5.3
19360501 19360531    20.3
19360601 19360630    43.2
19360701 19360731    71.3
19360801 19360831    50.1
19360901 19360930     9.9
19361001 19361031    21.4
19361101 19361130     5.3
19361201 19361231   110.5
19370101 19370131    31.7
19370201 19370228    33.1
19370301 19370331    34.5
19370401 19370430     8.4
19370501 19370531    23.1
19370601 19370630    48.9
19370701 19370731     3.8
19370801 19370831    62.3
19370901 19370930    25.7
19371001 19371031    25.8
