PRCP       050018 18890601 20180131 missing_value=99999.9 DANDALOO (KELVIN)                         
18890601 18890630    64.8
18890701 18890731    15.5
18890801 18890831    61.9
18890901 18890930    32.4
18891001 18891031    57.4
18891101 18891130    75.4
18891201 18891231   117.9
18900101 18900131    38.6
18900201 18900228   205.9
18900301 18900331   197.8
18900401 18900430    81.3
18900501 18900531   113.9
18900601 18900630    46.9
18900701 18900731    55.4
18900801 18900831    29.1
18900901 18900930    81.8
18901001 18901031    36.5
18901101 18901130    11.2
18901201 18901231    33.0
18910101 18910131   195.4
18910201 18910228    17.5
18910301 18910331    31.5
18910401 18910430    70.9
18910501 18910531    79.5
18910601 18910630    82.4
18910701 18910731    41.3
18910801 18910831    51.0
18910901 18910930    83.8
18911001 18911031    29.2
18911101 18911130    20.5
18911201 18911231    50.6
18920101 18920131    61.0
18920201 18920229    12.2
18920301 18920331     6.4
18920401 18920430    16.5
18920501 18920531    77.2
18920601 18920630    55.7
18920701 18920731    60.4
18920801 18920831    19.2
18920901 18920930    73.3
18921001 18921031    67.3
18921101 18921130    30.0
18921201 18921231    65.3
18930101 18930131    13.0
18930201 18930228    20.1
18930301 18930331   133.8
18930401 18930430    46.4
18930501 18930531    87.2
18930601 18930630    57.3
18930701 18930731    17.3
18930801 18930831    26.1
18930901 18930930    13.4
18931001 18931031    43.6
18931101 18931130    89.7
18931201 18931231    11.9
18940101 18940131   109.2
18940201 18940228    52.6
18940301 18940331   179.6
18940401 18940430   140.7
18940501 18940531    17.3
18940601 18940630    50.1
18940701 18940731    28.0
18940801 18940831    29.7
18940901 18940930    33.0
18941001 18941031    41.5
18941101 18941130     7.6
18941201 18941231    73.2
18950101 18950131   139.1
18950201 18950228    14.6
18950301 18950331     0.0
18950401 18950430    26.9
18950501 18950531    34.0
18950601 18950630    16.0
18950701 18950731     8.6
18950801 18950831    35.1
18950901 18950930    29.8
18951001 18951031    57.2
18951101 18951130    20.8
18951201 18951231    45.1
18960101 18960131    46.4
18960201 18960229   266.7
18960301 18960331    23.6
18960401 18960430    38.6
18960501 18960531    61.8
18960601 18960630    18.6
18960701 18960731     9.1
18960801 18960831    46.0
18960901 18960930     4.8
18961001 18961031    18.8
18961101 18961130    86.0
18961201 18961231     4.3
18970101 18970131    90.0
18970201 18970228    16.8
18970301 18970331     3.8
18970401 18970430     0.0
18970501 18970531    70.0
18970601 18970630    51.8
18970701 18970731   124.6
18970801 18970831    28.3
18970901 18970930    43.7
18971001 18971031    17.0
18971101 18971130     7.1
18971201 18971231     4.8
18980101 18980131    85.1
18980201 18980228    55.3
18980301 18980331    16.8
18980401 18980430     0.0
18980501 18980531    32.1
18980601 18980630   102.2
18980701 18980731    10.7
18980801 18980831    44.2
18980901 18980930    21.1
18981001 18981031    49.8
18981101 18981130    12.8
18981201 18981231    14.7
18990101 18990131    17.5
18990201 18990228    14.5
18990301 18990331    20.6
18990401 18990430    41.7
18990501 18990531     2.5
18990601 18990630    49.2
18990701 18990731    91.2
18990801 18990831    65.8
18990901 18990930    28.8
18991001 18991031    34.1
18991101 18991130    27.9
18991201 18991231     1.5
19000101 19000131    74.2
19000201 19000228    22.5
19000301 19000331    83.3
19000401 19000430    33.3
19000501 19000531    70.0
19000601 19000630    36.6
19000701 19000731    56.0
19000801 19000831    10.7
19000901 19000930    14.2
19001001 19001031     9.1
19001101 19001130    19.6
19001201 19001231    20.0
19010101 19010131    18.6
19010201 19010228     2.0
19010301 19010331   120.1
19010401 19010430    69.6
19010501 19010531     6.6
19010601 19010630     8.1
19010701 19010731    14.6
19010801 19010831    83.1
19010901 19010930    13.7
19011001 19011031    61.7
19011101 19011130     2.3
19011201 19011231     0.0
19020101 19020131     6.8
19020201 19020228     4.3
19020301 19020331    13.7
19020401 19020430     2.5
19020501 19020531     1.3
19020601 19020630    15.8
19020701 19020731    17.1
19020801 19020831    25.6
19020901 19020930     7.4
19021001 19021031    26.7
19021101 19021130    25.8
19021201 19021231   108.1
19030101 19030131    18.0
19030201 19030228     6.1
19030301 19030331    31.7
19030401 19030430    84.4
19030501 19030531    36.9
19030601 19030630    15.9
19030701 19030731    29.5
19030801 19030831    42.9
19030901 19030930    80.9
