PRCP       050031 18901001 20180131 missing_value=99999.9 PEAK HILL POST OFFICE                     
18901001 18901031    43.8
18901101 18901130    30.0
18901201 18901231    29.5
18910101 18910131   147.3
18910201 18910228    33.8
18910301 18910331    21.6
18910401 18910430    95.1
18910501 18910531    90.9
18910601 18910630    77.3
18910701 18910731    71.4
18910801 18910831    76.7
18910901 18910930   102.8
18911001 18911031    55.6
18911101 18911130    29.5
18911201 18911231    17.7
18920101 18920131    88.2
18920201 18920229     0.0
18920301 18920331    44.9
18920401 18920430    51.6
18920501 18920531    74.1
18920601 18920630    41.0
18920701 18920731    56.2
18920801 18920831    35.9
18920901 18920930   116.6
18921001 18921031    95.9
18921101 18921130    29.7
18921201 18921231    60.7
18930101 18930131    44.5
18930201 18930228    51.6
18930301 18930331    67.7
18930401 18930430    32.3
18930501 18930531    93.0
18930601 18930630    48.8
18930701 18930731    36.6
18930801 18930831    34.1
18930901 18930930    23.9
18931001 18931031    22.5
18931101 18931130    76.6
18931201 18931231    27.2
18940101 18940131    63.2
18940201 18940228    27.6
18940301 18940331   160.9
18940401 18940430   140.5
18940501 18940531    36.9
18940601 18940630    53.8
18940701 18940731    34.2
18940801 18940831    29.5
18940901 18940930    50.0
18941001 18941031    48.4
18941101 18941130     5.6
18941201 18941231    71.1
18950101 18950131   157.8
18950201 18950228    98.1
18950301 18950331     0.0
18950401 18950430     3.3
18950501 18950531    28.8
18950601 18950630    26.9
18950701 18950731    31.8
18950801 18950831    37.7
18950901 18950930    52.6
18951001 18951031    42.7
18951101 18951130    25.6
18951201 18951231    49.1
18960101 18960131    22.1
18960201 18960229   142.6
18960301 18960331    17.3
18960401 18960430    22.1
18960501 18960531    76.3
18960601 18960630    23.6
18960701 18960731    16.8
18960801 18960831    43.0
18960901 18960930     8.1
18961001 18961031    10.7
18961101 18961130    50.1
18961201 18961231    26.7
18970101 18970131    72.1
18970201 18970228     1.3
18970301 18970331     4.6
18970401 18970430     1.6
18970501 18970531    57.7
18970601 18970630    78.2
18970701 18970731    65.8
18970801 18970831    32.3
18970901 18970930    57.7
18971001 18971031    12.7
18971101 18971130    11.9
18971201 18971231     9.7
18980101 18980131    98.3
18980201 18980228    52.1
18980301 18980331    20.9
18980401 18980430     0.0
18980501 18980531    39.7
18980601 18980630   111.9
18980701 18980731    21.9
18980801 18980831    78.4
18980901 18980930    21.0
18981001 18981031    41.4
18981101 18981130     9.9
18981201 18981231    43.5
18990101 18990131    12.2
18990201 18990228    12.7
18990301 18990331    26.7
18990401 18990430    80.8
18990501 18990531     8.4
18990601 18990630    51.8
18990701 18990731    62.8
18990801 18990831    49.0
18990901 18990930    36.6
18991001 18991031    37.3
18991101 18991130    20.7
18991201 18991231     2.3
19000101 19000131    66.3
19000201 19000228     4.6
19000301 19000331   195.6
19000401 19000430    75.3
19000501 19000531    62.5
19000601 19000630    43.7
19000701 19000731    77.5
19000801 19000831    19.1
19000901 19000930    29.2
19001001 19001031    14.5
19001101 19001130    11.5
19001201 19001231    19.6
19010101 19010131    34.8
19010201 19010228     1.5
19010301 19010331    86.6
19010401 19010430    89.7
19010501 19010531    22.6
19010601 19010630    29.2
19010701 19010731    20.2
19010801 19010831   107.1
19010901 19010930    19.8
19011001 19011031    88.8
19011101 19011130     3.8
19011201 19011231     4.1
19020101 19020131    12.7
19020201 19020228     5.6
19020301 19020331    36.6
19020401 19020430     0.0
19020501 19020531     0.8
19020601 19020630    10.4
19020701 19020731    31.7
19020801 19020831    38.7
19020901 19020930    28.0
19021001 19021031    44.5
19021101 19021130    29.0
19021201 19021231    87.4
19030101 19030131     2.0
19030201 19030228     1.8
19030301 19030331    40.8
19030401 19030430    84.2
19030501 19030531    42.7
19030601 19030630    19.3
19030701 19030731    16.5
19030801 19030831    16.0
19030901 19030930    46.6
19031001 19031031    23.6
19031101 19031130    17.8
19031201 19031231    75.7
19040101 19040131    43.0
19040201 19040229    43.2
19040301 19040331    43.9
19040401 19040430     3.5
19040501 19040531    26.6
19040601 19040630    12.5
19040701 19040731   123.4
19040801 19040831    25.7
19040901 19040930     8.6
19041001 19041031    44.1
19041101 19041130     7.1
19041201 19041231    63.3
19050101 19050131     6.9
19050201 19050228    47.7
19050301 19050331    37.6
19050401 19050430   181.2
19050501 19050531    55.1
19050601 19050630    25.4
19050701 19050731    45.9
19050801 19050831    38.4
19050901 19050930    11.4
19051001 19051031    68.4
19051101 19051130    23.1
19051201 19051231     8.1
19060101 19060131     2.3
19060201 19060228    19.4
19060301 19060331   121.2
19060401 19060430    13.0
19060501 19060531    33.5
19060601 19060630    41.4
19060701 19060731    16.5
19060801 19060831    79.9
19060901 19060930    74.4
19061001 19061031    78.1
19061101 19061130    22.3
19061201 19061231    42.9
19070101 19070131    98.1
19070201 19070228    10.7
19070301 19070331    61.5
19070401 19070430    13.2
19070501 19070531     7.4
19070601 19070630    32.5
19070701 19070731    41.9
19070801 19070831    68.8
19070901 19070930    19.1
19071001 19071031    13.7
19071101 19071130    75.7
19071201 19071231    69.3
19080101 19080131    25.1
19080201 19080229    89.0
19080301 19080331     0.0
19080401 19080430    10.2
19080501 19080531    15.6
19080601 19080630    28.6
19080701 19080731    21.4
19080801 19080831    22.3
19080901 19080930    34.5
19081001 19081031    11.9
19081101 19081130    49.8
19081201 19081231    32.5
19090101 19090131    53.1
19090201 19090228    79.7
19090301 19090331    50.3
19090401 19090430    47.5
19090501 19090531    22.5
19090601 19090630    58.2
19090701 19090731    11.2
19090801 19090831    66.5
19090901 19090930    36.1
19091001 19091031    22.7
19091101 19091130    17.5
19091201 19091231    52.9
19100101 19100131   218.8
19100201 19100228     0.0
19100301 19100331    71.9
19100401 19100430     0.0
19100501 19100531    33.5
19100601 19100630    55.9
19100701 19100731    32.7
19100801 19100831     6.6
19100901 19100930    35.4
19101001 19101031    20.5
