PRCP       050052 18800201 20180131 missing_value=99999.9 CONDOBOLIN AG RESEARCH STN                
18800201 18800229    55.1
18800301 18800331 99999.9
18800401 18800430    22.0
18800501 18800531    60.6
18800601 18800630    19.2
18800701 18800731    18.7
18800801 18800831     5.5
18800901 18800930    26.4
18801001 18801031     5.0
18801101 18801130    45.6
18801201 18801231 99999.9
18810101 18810131    15.0
18810201 18810228    56.8
18810301 18810331    43.9
18810401 18810430     0.0
18810501 18810531    50.8
18810601 18810630    26.7
18810701 18810731     5.0
18810801 18810831    38.1
18810901 18810930    32.4
18811001 18811031    21.4
18811101 18811130    35.5
18811201 18811231     8.0
18820101 18820131     0.0
18820201 18820228     0.0
18820301 18820331     5.7
18820401 18820430    40.4
18820501 18820531    29.5
18820601 18820630    17.2
18820701 18820731     4.9
18820801 18820831    53.9
18820901 18820930     6.4
18821001 18821031    80.3
18821101 18821130    59.9
18821201 18821231    42.5
18830101 18830131     0.0
18830201 18830228    29.3
18830301 18830331    14.7
18830401 18830430     7.9
18830501 18830531    32.5
18830601 18830630    19.3
18830701 18830731    23.8
18830801 18830831    30.2
18830901 18830930    36.8
18831001 18831031    75.1
18831101 18831130    40.2
18831201 18831231     0.0
18840101 18840131     1.0
18840201 18840229     7.9
18840301 18840331    19.0
18840401 18840430    38.5
18840501 18840531    34.3
18840601 18840630    65.1
18840701 18840731     4.8
18840801 18840831    20.3
18840901 18840930    33.5
18841001 18841031    26.6
18841101 18841130    30.2
18841201 18841231    15.3
18850101 18850131   197.4
18850201 18850228    23.9
18850301 18850331    10.1
18850401 18850430    47.3
18850501 18850531     9.5
18850601 18850630    38.5
18850701 18850731     3.3
18850801 18850831    23.0
18850901 18850930    42.0
18851001 18851031    22.7
18851101 18851130    13.0
18851201 18851231    27.8
18860101 18860131    28.3
18860201 18860228     9.5
18860301 18860331     2.0
18860401 18860430    19.2
18860501 18860531    32.9
18860601 18860630    11.6
18860701 18860731    24.7
18860801 18860831    89.4
18860901 18860930    12.3
18861001 18861031    44.5
18861101 18861130   104.7
18861201 18861231   100.4
18870101 18870131    71.3
18870201 18870228    95.1
18870301 18870331    95.3
18870401 18870430    41.1
18870501 18870531    13.0
18870601 18870630    36.6
18870701 18870731    36.2
18870801 18870831    48.6
18870901 18870930    14.7
18871001 18871031    41.5
18871101 18871130    29.3
18871201 18871231    94.2
18880101 18880131     8.4
18880201 18880229    65.9
18880301 18880331     2.3
18880401 18880430     0.0
18880501 18880531    23.5
18880601 18880630    11.5
18880701 18880731    11.8
18880801 18880831     8.1
