PRCP       051033 19230101 20171231 missing_value=99999.9 NYNGAN (MUDALL)                           
19230101 19230131    14.5
19230201 19230228     0.0
19230301 19230331     9.7
19230401 19230430     0.0
19230501 19230531    13.0
19230601 19230630   109.9
19230701 19230731    32.3
19230801 19230831     9.1
19230901 19230930     6.4
19231001 19231031    12.2
19231101 19231130    32.5
19231201 19231231    59.9
19240101 19240131    23.1
19240201 19240229    49.6
19240301 19240331     7.9
19240401 19240430    46.4
19240501 19240531     7.9
19240601 19240630    27.4
19240701 19240731    24.4
19240801 19240831    30.0
19240901 19240930    57.7
19241001 19241031    31.7
19241101 19241130   102.6
19241201 19241231    42.7
19250101 19250131    72.9
19250201 19250228    80.0
19250301 19250331    12.7
19250401 19250430     2.0
19250501 19250531    80.2
19250601 19250630   152.2
19250701 19250731    21.6
19250801 19250831    22.6
19250901 19250930     3.6
19251001 19251031     8.3
19251101 19251130    78.5
19251201 19251231    24.4
19260101 19260131    36.8
19260201 19260228     6.9
19260301 19260331   106.7
19260401 19260430    83.8
19260501 19260531    60.7
19260601 19260630    47.3
19260701 19260731    17.1
19260801 19260831    18.7
19260901 19260930    29.0
19261001 19261031     1.3
19261101 19261130     0.0
19261201 19261231    42.9
19270101 19270131    50.4
19270201 19270228     7.4
19270301 19270331    30.8
19270401 19270430    20.6
19270501 19270531     6.6
19270601 19270630    18.2
19270701 19270731     0.0
19270801 19270831    44.5
19270901 19270930    64.8
19271001 19271031    21.2
19271101 19271130    35.9
19271201 19271231    70.3
19280101 19280131    64.8
19280201 19280229   273.7
19280301 19280331    17.2
19280401 19280430    80.3
19280501 19280531    14.7
19280601 19280630    30.3
19280701 19280731    36.0
19280801 19280831     7.9
19280901 19280930     0.0
19281001 19281031    21.9
19281101 19281130    12.0
19281201 19281231     7.4
19290101 19290131     2.3
19290201 19290228     1.6
19290301 19290331    30.6
19290401 19290430    40.9
19290501 19290531     0.0
19290601 19290630     8.2
19290701 19290731    12.7
19290801 19290831    41.2
19290901 19290930    22.1
19291001 19291031    13.8
19291101 19291130     7.7
19291201 19291231    56.0
19300101 19300131    36.3
19300201 19300228     7.9
19300301 19300331    13.2
19300401 19300430    14.5
19300501 19300531    23.1
19300601 19300630   120.1
19300701 19300731    41.2
19300801 19300831    78.6
19300901 19300930     8.8
19301001 19301031    57.0
19301101 19301130    34.5
19301201 19301231    63.6
19310101 19310131    25.4
19310201 19310228     6.4
19310301 19310331    96.1
19310401 19310430    56.9
19310501 19310531    90.6
19310601 19310630    45.2
19310701 19310731    25.9
19310801 19310831     7.4
19310901 19310930     5.4
19311001 19311031     4.8
19311101 19311130    29.7
19311201 19311231    75.1
19320101 19320131     4.8
19320201 19320229    19.4
19320301 19320331    73.1
19320401 19320430    53.1
19320501 19320531    35.6
19320601 19320630     8.6
19320701 19320731    21.8
19320801 19320831    22.8
19320901 19320930    53.2
19321001 19321031     9.5
19321101 19321130    44.2
19321201 19321231    29.4
19330101 19330131     8.1
19330201 19330228     0.5
19330301 19330331    15.8
19330401 19330430    12.4
19330501 19330531    23.9
19330601 19330630    10.7
19330701 19330731    24.0
19330801 19330831     7.8
19330901 19330930    76.9
19331001 19331031    22.4
19331101 19331130    60.0
19331201 19331231    57.1
19340101 19340131    32.5
19340201 19340228    90.4
19340301 19340331     0.0
19340401 19340430    19.4
19340501 19340531     0.0
19340601 19340630    48.8
19340701 19340731    47.5
19340801 19340831    62.8
19340901 19340930    18.0
19341001 19341031    89.4
19341101 19341130    73.3
19341201 19341231    15.5
19350101 19350131    21.3
19350201 19350228     2.8
19350301 19350331     0.0
19350401 19350430    22.5
19350501 19350531     5.1
19350601 19350630    15.0
19350701 19350731    25.1
19350801 19350831    15.9
