PRCP       052019 18940301 20171231 missing_value=99999.9 MOGIL MOGIL (BENIMORA)                    
18940301 18940331   203.8
18940401 18940430   101.0
18940501 18940531    26.7
18940601 18940630    65.5
18940701 18940731     4.3
18940801 18940831    20.0
18940901 18940930    15.7
18941001 18941031    59.3
18941101 18941130    26.0
18941201 18941231    50.4
18950101 18950131   214.1
18950201 18950228     7.2
18950301 18950331     1.3
18950401 18950430     3.0
18950501 18950531    12.7
18950601 18950630    15.5
18950701 18950731     3.3
18950801 18950831    19.8
18950901 18950930    69.6
18951001 18951031    70.8
18951101 18951130    53.4
18951201 18951231    78.0
18960101 18960131    16.2
18960201 18960229   111.8
18960301 18960331    32.5
18960401 18960430    25.7
18960501 18960531    35.6
18960601 18960630     9.7
18960701 18960731    25.7
18960801 18960831    22.0
18960901 18960930     3.0
18961001 18961031     6.6
18961101 18961130    60.9
18961201 18961231    64.0
18970101 18970131    62.2
18970201 18970228     2.3
18970301 18970331    51.3
18970401 18970430     0.0
18970501 18970531     3.6
18970601 18970630    71.6
18970701 18970731    76.6
18970801 18970831    13.7
18970901 18970930    51.5
18971001 18971031    49.8
18971101 18971130     0.0
18971201 18971231    49.3
18980101 18980131    46.2
18980201 18980228    74.4
18980301 18980331     2.5
18980401 18980430     0.0
18980501 18980531    27.2
18980601 18980630    39.9
18980701 18980731     0.0
18980801 18980831    12.4
18980901 18980930    40.4
18981001 18981031    18.0
18981101 18981130     4.9
18981201 18981231    30.7
18990101 18990131    19.8
18990201 18990228    30.6
18990301 18990331     3.0
18990401 18990430    27.4
18990501 18990531     0.3
18990601 18990630    40.5
18990701 18990731    47.7
18990801 18990831    50.8
18990901 18990930    50.8
18991001 18991031     8.9
18991101 18991130     6.3
18991201 18991231    11.7
19000101 19000131    38.6
19000201 19000228     2.5
19000301 19000331    24.3
19000401 19000430     5.8
19000501 19000531    38.0
19000601 19000630    45.8
19000701 19000731    39.1
19000801 19000831     1.3
19000901 19000930    35.6
19001001 19001031     3.8
19001101 19001130     5.9
19001201 19001231     9.3
19010101 19010131    10.1
19010201 19010228    18.5
19010301 19010331    37.7
19010401 19010430    54.4
19010501 19010531    61.5
19010601 19010630    24.7
19010701 19010731    42.4
19010801 19010831    65.4
19010901 19010930    10.2
19011001 19011031     9.9
19011101 19011130    23.9
19011201 19011231     3.8
19020101 19020131     5.3
19020201 19020228    30.0
19020301 19020331     0.0
19020401 19020430     6.1
19020501 19020531     0.0
19020601 19020630     2.3
19020701 19020731     3.0
19020801 19020831    59.3
19020901 19020930     2.0
19021001 19021031    67.3
19021101 19021130    27.4
19021201 19021231    62.2
19030101 19030131    49.9
19030201 19030228     0.0
19030301 19030331    90.4
19030401 19030430    31.6
19030501 19030531    68.0
19030601 19030630    35.8
19030701 19030731    92.7
19030801 19030831    23.5
19030901 19030930    69.3
19031001 19031031    45.2
19031101 19031130    59.5
19031201 19031231   164.1
19040101 19040131    51.3
19040201 19040229   145.9
19040301 19040331    59.3
19040401 19040430     5.9
19040501 19040531    52.0
19040601 19040630    13.2
19040701 19040731     8.7
19040801 19040831    19.6
19040901 19040930    33.9
19041001 19041031    51.2
19041101 19041130    13.0
19041201 19041231    72.7
19050101 19050131    23.5
19050201 19050228    88.9
19050301 19050331    26.2
19050401 19050430   117.5
19050501 19050531    34.8
19050601 19050630     5.7
19050701 19050731    12.0
19050801 19050831     9.1
19050901 19050930     0.0
19051001 19051031    48.4
19051101 19051130    71.4
19051201 19051231     5.5
19060101 19060131     4.8
19060201 19060228    66.8
19060301 19060331    45.8
19060401 19060430    11.9
19060501 19060531    28.7
19060601 19060630    48.0
19060701 19060731     8.9
19060801 19060831    52.5
19060901 19060930   166.7
19061001 19061031    43.0
19061101 19061130     8.1
19061201 19061231    15.5
19070101 19070131   194.2
19070201 19070228     4.1
19070301 19070331   137.2
19070401 19070430    34.0
19070501 19070531     9.7
19070601 19070630    29.0
19070701 19070731    40.2
19070801 19070831    36.3
19070901 19070930     1.8
19071001 19071031    13.0
19071101 19071130    64.9
19071201 19071231   117.6
19080101 19080131     8.4
19080201 19080229   164.7
19080301 19080331   181.3
19080401 19080430    68.4
19080501 19080531    10.9
19080601 19080630    18.8
19080701 19080731    14.3
19080801 19080831    69.6
19080901 19080930    20.3
19081001 19081031    21.8
19081101 19081130    26.7
19081201 19081231    56.7
19090101 19090131    38.4
19090201 19090228   127.3
19090301 19090331    33.4
19090401 19090430    23.1
19090501 19090531     8.4
19090601 19090630    66.8
19090701 19090731    15.2
