PRCP       053018 18790601 20180131 missing_value=99999.9 CROPPA CREEK (KRUI PLAINS)                
18790601 18790630    45.8
18790701 18790731    58.0
18790801 18790831    83.1
18790901 18790930   129.5
18791001 18791031    36.8
18791101 18791130    23.4
18791201 18791231    30.5
18800101 18800131    19.6
18800201 18800229   109.8
18800301 18800331    25.2
18800401 18800430    82.7
18800501 18800531    22.7
18800601 18800630     2.3
18800701 18800731    13.9
18800801 18800831     1.5
18800901 18800930   104.7
18801001 18801031    69.8
18801101 18801130    16.5
18801201 18801231    36.6
18810101 18810131   103.3
18810201 18810228    37.8
18810301 18810331    59.9
18810401 18810430     0.0
18810501 18810531    10.1
18810601 18810630     3.1
18810701 18810731     0.0
18810801 18810831    29.2
18810901 18810930    61.3
18811001 18811031    46.9
18811101 18811130    80.9
18811201 18811231     8.0
18820101 18820131     7.5
18820201 18820228    92.7
18820301 18820331    39.0
18820401 18820430    38.7
18820501 18820531    34.1
18820601 18820630    58.7
18820701 18820731    25.8
18820801 18820831    19.2
18820901 18820930     0.0
18821001 18821031    58.4
18821101 18821130    72.3
18821201 18821231    90.4
18830101 18830131    34.5
18830201 18830228   144.9
18830301 18830331    10.6
18830401 18830430    17.4
18830501 18830531    73.9
18830601 18830630     8.1
18830701 18830731     5.7
18830801 18830831    32.2
18830901 18830930    22.6
18831001 18831031    62.6
18831101 18831130    23.1
18831201 18831231     2.1
18840101 18840131    23.0
18840201 18840229    30.0
18840301 18840331     0.0
18840401 18840430    32.9
18840501 18840531    33.7
18840601 18840630    41.3
18840701 18840731    57.2
18840801 18840831     4.1
18840901 18840930    60.3
18841001 18841031    14.6
18841101 18841130    50.6
18841201 18841231    31.7
18850101 18850131    72.3
18850201 18850228    72.5
18850301 18850331    23.7
18850401 18850430     4.1
18850501 18850531     9.8
18850601 18850630    64.3
18850701 18850731    17.0
18850801 18850831     2.5
18850901 18850930    26.7
18851001 18851031    48.5
18851101 18851130    36.2
18851201 18851231    26.4
18860101 18860131    72.2
18860201 18860228     2.8
18860301 18860331     2.8
18860401 18860430    99.4
18860501 18860531    98.6
18860601 18860630   111.3
18860701 18860731    92.1
18860801 18860831   101.2
18860901 18860930    24.1
18861001 18861031   100.5
18861101 18861130    91.4
18861201 18861231    59.3
18870101 18870131   170.3
18870201 18870228   142.0
18870301 18870331    36.9
18870401 18870430    14.1
18870501 18870531    33.3
18870601 18870630    26.4
18870701 18870731    64.7
18870801 18870831    93.1
18870901 18870930     4.3
18871001 18871031    23.1
18871101 18871130    54.4
18871201 18871231   115.8
18880101 18880131    36.0
18880201 18880229   334.6
18880301 18880331   103.2
18880401 18880430     0.0
18880501 18880531    18.6
18880601 18880630     1.6
18880701 18880731     0.0
18880801 18880831     0.0
18880901 18880930    34.7
18881001 18881031    21.1
18881101 18881130    31.5
18881201 18881231    28.2
18890101 18890131    15.7
18890201 18890228    20.1
18890301 18890331    58.9
18890401 18890430    76.0
18890501 18890531   106.4
18890601 18890630    55.2
18890701 18890731    46.9
18890801 18890831    36.6
