PRCP       054003 18930101 20180131 missing_value=99999.9 BARRABA POST OFFICE                       
18930101 18930131    43.9
18930201 18930228   120.1
18930301 18930331    72.9
18930401 18930430    86.5
18930501 18930531    37.0
18930601 18930630   124.4
18930701 18930731    55.3
18930801 18930831    43.0
18930901 18930930    12.1
18931001 18931031    90.3
18931101 18931130   100.5
18931201 18931231    18.3
18940101 18940131   114.0
18940201 18940228    23.6
18940301 18940331   259.8
18940401 18940430    74.9
18940501 18940531    40.1
18940601 18940630    54.2
18940701 18940731    14.9
18940801 18940831    28.4
18940901 18940930    36.9
18941001 18941031   141.4
18941101 18941130    58.2
18941201 18941231    60.4
18950101 18950131   154.9
18950201 18950228    32.8
18950301 18950331     0.0
18950401 18950430    18.8
18950501 18950531    16.1
18950601 18950630    15.2
18950701 18950731     8.4
18950801 18950831    25.6
18950901 18950930    69.5
18951001 18951031    76.7
18951101 18951130   131.9
18951201 18951231   150.8
18960101 18960131    62.7
18960201 18960229    75.4
18960301 18960331    50.8
18960401 18960430    25.2
18960501 18960531    27.0
18960601 18960630    24.7
18960701 18960731    44.6
18960801 18960831    44.1
18960901 18960930    35.1
18961001 18961031    33.0
18961101 18961130    94.1
18961201 18961231    81.3
18970101 18970131   111.4
18970201 18970228    24.4
18970301 18970331    26.0
18970401 18970430     0.0
18970501 18970531     2.8
18970601 18970630    92.7
18970701 18970731    89.1
18970801 18970831    26.6
18970901 18970930    25.1
18971001 18971031    51.0
18971101 18971130     0.0
18971201 18971231    97.9
18980101 18980131   102.3
18980201 18980228    95.7
18980301 18980331    10.9
18980401 18980430     0.0
18980501 18980531    25.8
18980601 18980630    69.6
18980701 18980731     0.0
18980801 18980831    29.8
18980901 18980930    53.8
18981001 18981031    16.0
18981101 18981130    21.8
18981201 18981231    32.0
18990101 18990131    36.8
18990201 18990228    21.1
18990301 18990331    10.2
18990401 18990430   131.3
18990501 18990531     7.1
18990601 18990630    60.0
18990701 18990731    62.2
18990801 18990831    54.0
18990901 18990930    70.1
18991001 18991031    42.6
18991101 18991130    42.5
18991201 18991231    36.1
19000101 19000131    83.0
19000201 19000228    52.6
19000301 19000331    71.8
19000401 19000430    48.6
19000501 19000531    40.0
19000601 19000630    80.4
19000701 19000731   107.7
19000801 19000831     8.9
19000901 19000930    21.6
19001001 19001031     7.5
19001101 19001130    27.1
19001201 19001231    53.3
19010101 19010131    19.1
19010201 19010228    18.8
19010301 19010331    97.3
19010401 19010430    46.5
19010501 19010531    77.5
19010601 19010630    48.3
19010701 19010731    48.2
19010801 19010831    67.8
19010901 19010930     0.0
19011001 19011031    45.8
19011101 19011130    25.1
19011201 19011231    20.5
19020101 19020131    25.9
19020201 19020228    14.5
19020301 19020331    40.4
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630    25.6
19020701 19020731     0.0
19020801 19020831    73.6
19020901 19020930    20.0
19021001 19021031    86.9
19021101 19021130    32.3
19021201 19021231   111.7
19030101 19030131    15.0
19030201 19030228    10.9
19030301 19030331    81.5
19030401 19030430    81.3
19030501 19030531    97.1
19030601 19030630    31.8
19030701 19030731    79.2
19030801 19030831    51.8
19030901 19030930   122.5
19031001 19031031    87.5
19031101 19031130    88.2
19031201 19031231    84.6
19040101 19040131    24.2
19040201 19040229    57.6
19040301 19040331   187.9
19040401 19040430    32.0
19040501 19040531    54.1
19040601 19040630    38.1
19040701 19040731    49.3
19040801 19040831    14.5
19040901 19040930    48.2
19041001 19041031    62.7
19041101 19041130    33.8
19041201 19041231    25.7
19050101 19050131    43.7
19050201 19050228    64.3
19050301 19050331    36.4
19050401 19050430   138.0
19050501 19050531    45.3
19050601 19050630    19.3
19050701 19050731    11.7
19050801 19050831    25.7
19050901 19050930     1.3
19051001 19051031    61.0
19051101 19051130    36.9
19051201 19051231    70.6
19060101 19060131    44.2
19060201 19060228    55.9
19060301 19060331    69.6
19060401 19060430    37.8
19060501 19060531    22.1
19060601 19060630    14.2
19060701 19060731    14.3
19060801 19060831    57.5
19060901 19060930   112.0
19061001 19061031    50.4
19061101 19061130    76.0
19061201 19061231     3.0
19070101 19070131    83.0
19070201 19070228    21.8
19070301 19070331   203.4
19070401 19070430    30.3
19070501 19070531    26.2
19070601 19070630    59.2
19070701 19070731    13.2
19070801 19070831    52.1
19070901 19070930    21.7
19071001 19071031    27.6
19071101 19071130    78.4
19071201 19071231   132.0
19080101 19080131    38.8
19080201 19080229   171.2
19080301 19080331   136.7
19080401 19080430    64.1
19080501 19080531     0.0
19080601 19080630    44.4
19080701 19080731    20.1
19080801 19080831    33.4
19080901 19080930    82.3
19081001 19081031    36.6
19081101 19081130   109.9
19081201 19081231    94.5
19090101 19090131    31.8
19090201 19090228   145.5
19090301 19090331    33.0
19090401 19090430    71.8
19090501 19090531    29.2
19090601 19090630   114.0
19090701 19090731     5.3
19090801 19090831    77.4
19090901 19090930    30.5
19091001 19091031    55.2
19091101 19091130   102.4
19091201 19091231    47.7
19100101 19100131   333.7
19100201 19100228     8.4
19100301 19100331    88.1
19100401 19100430     9.9
19100501 19100531     8.9
19100601 19100630    86.1
19100701 19100731    22.4
19100801 19100831    24.2
19100901 19100930     3.1
19101001 19101031    64.7
19101101 19101130    61.8
19101201 19101231    46.0
19110101 19110131   160.5
19110201 19110228   102.5
19110301 19110331    13.5
19110401 19110430    10.6
19110501 19110531    47.0
19110601 19110630    15.3
19110701 19110731    38.4
19110801 19110831    23.4
19110901 19110930    52.1
19111001 19111031    33.6
19111101 19111130   135.0
19111201 19111231    24.4
19120101 19120131     1.3
19120201 19120229    52.5
19120301 19120331    77.4
19120401 19120430     0.0
19120501 19120531     5.9
19120601 19120630    75.7
19120701 19120731    71.9
19120801 19120831    31.7
19120901 19120930    20.9
19121001 19121031    60.4
19121101 19121130    36.0
19121201 19121231    19.8
19130101 19130131    62.5
19130201 19130228    97.0
19130301 19130331    52.5
19130401 19130430    91.7
19130501 19130531   106.1
19130601 19130630    65.6
19130701 19130731     7.1
19130801 19130831     2.5
19130901 19130930    57.2
19131001 19131031    56.8
19131101 19131130     7.6
19131201 19131231    55.8
19140101 19140131    92.9
19140201 19140228    77.4
19140301 19140331   122.9
19140401 19140430    21.8
19140501 19140531    64.1
19140601 19140630    15.0
19140701 19140731    17.8
19140801 19140831     1.3
19140901 19140930     6.9
19141001 19141031    53.2
19141101 19141130    49.9
19141201 19141231    93.3
19150101 19150131    13.5
19150201 19150228     5.1
19150301 19150331     9.4
19150401 19150430    71.2
19150501 19150531    30.0
19150601 19150630    36.3
19150701 19150731    63.0
19150801 19150831    50.9
19150901 19150930    58.6
19151001 19151031    37.3
19151101 19151130     5.9
19151201 19151231    93.6
19160101 19160131    86.6
19160201 19160229    78.7
19160301 19160331    19.8
19160401 19160430    90.6
19160501 19160531    10.9
19160601 19160630    65.6
19160701 19160731    69.3
19160801 19160831    66.8
19160901 19160930    36.1
19161001 19161031    64.2
19161101 19161130   111.3
19161201 19161231   139.7
19170101 19170131   100.9
19170201 19170228    69.6
19170301 19170331     5.1
19170401 19170430     9.7
19170501 19170531     2.3
19170601 19170630    39.4
19170701 19170731    16.3
19170801 19170831    35.3
19170901 19170930   127.0
19171001 19171031    46.8
19171101 19171130   208.5
19171201 19171231   120.1
19180101 19180131   120.7
19180201 19180228     6.4
19180301 19180331    13.2
19180401 19180430    58.9
19180501 19180531    15.2
19180601 19180630    13.0
19180701 19180731    34.1
19180801 19180831   106.0
19180901 19180930     2.8
19181001 19181031    21.9
19181101 19181130    59.0
19181201 19181231    14.7
