PRCP       054036 18830101 20171231 missing_value=99999.9 WALLANGRA (WALLANGRA STATION)             
18830101 18830131   121.4
18830201 18830228   228.1
18830301 18830331    34.5
18830401 18830430    37.6
18830501 18830531    71.1
18830601 18830630     9.4
18830701 18830731    17.5
18830801 18830831    18.8
18830901 18830930    29.7
18831001 18831031    89.4
18831101 18831130    21.3
18831201 18831231    57.2
18840101 18840131    19.8
18840201 18840229    59.9
18840301 18840331    21.8
18840401 18840430    57.4
18840501 18840531    39.6
18840601 18840630    62.5
18840701 18840731    80.5
18840801 18840831    10.2
18840901 18840930    83.8
18841001 18841031    24.9
18841101 18841130    70.4
18841201 18841231    33.3
18850101 18850131   102.9
18850201 18850228    85.6
18850301 18850331    50.0
18850401 18850430    33.8
18850501 18850531    28.7
18850601 18850630    91.7
18850701 18850731    20.8
18850801 18850831     4.3
18850901 18850930    34.8
18851001 18851031    29.2
18851101 18851130    39.1
18851201 18851231    92.5
18860101 18860131    83.8
18860201 18860228    12.7
18860301 18860331    73.4
18860401 18860430    66.3
18860501 18860531   144.0
18860601 18860630   115.8
18860701 18860731    75.7
18860801 18860831   132.8
18860901 18860930    63.2
18861001 18861031   176.8
18861101 18861130   175.3
18861201 18861231    25.7
18870101 18870131   100.3
18870201 18870228   111.5
18870301 18870331    87.1
18870401 18870430    35.6
18870501 18870531     9.4
18870601 18870630    45.5
18870701 18870731    96.5
18870801 18870831    90.9
18870901 18870930    37.3
18871001 18871031    28.4
18871101 18871130    70.9
18871201 18871231   158.5
18880101 18880131    43.2
18880201 18880229   150.9
18880301 18880331    21.8
18880401 18880430     0.0
18880501 18880531    31.0
18880601 18880630     8.4
18880701 18880731     0.0
18880801 18880831     0.0
18880901 18880930    32.3
18881001 18881031    10.9
18881101 18881130    13.0
18881201 18881231   106.9
18890101 18890131   126.5
18890201 18890228    30.7
18890301 18890331    85.3
18890401 18890430    72.9
18890501 18890531   125.0
18890601 18890630    77.2
18890701 18890731    34.0
18890801 18890831    43.7
18890901 18890930    28.4
18891001 18891031    31.0
18891101 18891130   116.6
18891201 18891231    72.4
18900101 18900131   169.9
18900201 18900228   152.1
18900301 18900331   223.0
18900401 18900430    84.8
18900501 18900531    61.2
18900601 18900630    60.2
18900701 18900731    31.0
18900801 18900831    16.0
18900901 18900930     3.8
18901001 18901031   137.2
18901101 18901130    85.9
18901201 18901231    69.6
18910101 18910131   261.4
18910201 18910228    24.9
18910301 18910331    35.3
18910401 18910430    34.5
18910501 18910531    38.1
18910601 18910630   112.8
18910701 18910731    50.5
18910801 18910831    67.6
18910901 18910930    67.1
18911001 18911031    29.0
18911101 18911130    77.2
18911201 18911231    88.6
18920101 18920131    26.9
18920201 18920229    34.8
18920301 18920331    78.0
18920401 18920430    54.4
18920501 18920531    52.8
18920601 18920630    87.6
18920701 18920731    46.7
18920801 18920831    19.6
18920901 18920930   137.7
18921001 18921031   149.1
18921101 18921130    51.6
18921201 18921231   187.7
18930101 18930131    47.8
18930201 18930228   243.6
18930301 18930331    69.6
18930401 18930430    94.0
18930501 18930531    48.5
18930601 18930630    96.3
18930701 18930731    37.1
18930801 18930831    46.7
18930901 18930930    10.2
18931001 18931031    51.3
18931101 18931130   125.0
18931201 18931231    26.2
18940101 18940131   126.7
18940201 18940228    24.4
18940301 18940331   239.5
18940401 18940430    63.0
18940501 18940531    65.3
18940601 18940630    74.9
18940701 18940731    18.8
18940801 18940831    22.1
18940901 18940930    37.3
18941001 18941031   126.2
18941101 18941130    21.3
18941201 18941231    29.0
18950101 18950131   191.5
18950201 18950228    13.7
18950301 18950331     0.0
18950401 18950430     9.1
18950501 18950531    17.5
18950601 18950630     7.1
18950701 18950731    27.9
18950801 18950831    16.3
18950901 18950930    48.0
18951001 18951031    53.8
18951101 18951130    82.8
18951201 18951231   126.7
18960101 18960131    78.7
18960201 18960229   217.4
18960301 18960331    80.5
18960401 18960430    35.3
18960501 18960531    55.1
18960601 18960630    21.8
18960701 18960731    49.5
18960801 18960831    42.2
18960901 18960930    38.1
18961001 18961031    24.1
18961101 18961130    91.7
18961201 18961231    98.8
18970101 18970131    71.9
18970201 18970228    53.3
18970301 18970331    43.4
18970401 18970430     0.0
18970501 18970531     1.3
18970601 18970630   129.0
18970701 18970731   135.4
18970801 18970831    35.8
18970901 18970930    63.2
18971001 18971031    61.0
18971101 18971130    11.4
18971201 18971231   146.6
18980101 18980131   139.7
18980201 18980228   133.1
18980301 18980331     1.5
18980401 18980430     5.3
18980501 18980531    26.9
18980601 18980630    67.6
18980701 18980731    13.7
18980801 18980831    12.2
18980901 18980930    60.2
18981001 18981031    65.5
18981101 18981130     8.9
18981201 18981231    11.2
18990101 18990131   211.3
18990201 18990228    85.3
18990301 18990331    14.7
18990401 18990430    80.0
18990501 18990531    19.8
18990601 18990630    62.5
18990701 18990731    62.2
18990801 18990831    48.0
18990901 18990930    81.0
18991001 18991031    30.7
18991101 18991130    72.1
18991201 18991231    55.6
19000101 19000131    36.8
19000201 19000228    82.8
19000301 19000331    98.3
19000401 19000430    64.5
19000501 19000531    61.5
19000601 19000630    59.9
19000701 19000731    91.9
19000801 19000831    16.8
19000901 19000930    61.5
19001001 19001031     3.6
19001101 19001130    82.8
19001201 19001231    38.6
19010101 19010131     6.4
19010201 19010228     5.6
19010301 19010331    87.1
19010401 19010430    53.1
19010501 19010531    40.1
19010601 19010630    57.7
19010701 19010731    34.5
19010801 19010831    95.0
19010901 19010930    26.7
19011001 19011031    63.8
19011101 19011130    23.9
19011201 19011231    36.1
19020101 19020131    30.5
19020201 19020228    31.2
19020301 19020331    29.2
19020401 19020430     1.5
19020501 19020531     1.5
19020601 19020630    16.0
19020701 19020731     0.0
19020801 19020831    72.6
19020901 19020930     9.1
19021001 19021031    41.1
19021101 19021130    31.5
19021201 19021231    80.3
19030101 19030131    33.8
19030201 19030228     4.1
19030301 19030331    42.2
19030401 19030430    57.4
19030501 19030531    75.7
19030601 19030630    56.4
19030701 19030731   151.6
19030801 19030831    60.7
19030901 19030930   119.1
19031001 19031031    72.1
19031101 19031130   144.0
19031201 19031231    89.7
19040101 19040131    99.3
19040201 19040229    74.2
19040301 19040331   151.6
19040401 19040430    12.4
19040501 19040531    97.8
19040601 19040630    15.5
19040701 19040731    60.2
19040801 19040831    24.9
19040901 19040930    36.3
19041001 19041031    68.6
19041101 19041130    12.4
19041201 19041231    39.9
19050101 19050131    75.2
19050201 19050228    17.8
19050301 19050331    91.2
19050401 19050430   159.3
19050501 19050531    91.2
19050601 19050630     9.4
19050701 19050731    20.3
19050801 19050831    29.2
19050901 19050930     3.3
19051001 19051031    57.9
19051101 19051130    37.3
19051201 19051231    88.4
19060101 19060131    77.7
19060201 19060228    64.3
19060301 19060331    65.0
19060401 19060430    19.1
19060501 19060531    51.3
19060601 19060630    26.9
19060701 19060731    16.8
19060801 19060831    92.7
19060901 19060930    74.4
19061001 19061031   155.7
19061101 19061130    93.5
19061201 19061231    84.1
19070101 19070131    69.3
19070201 19070228    96.8
19070301 19070331   162.8
19070401 19070430    15.2
19070501 19070531     9.7
19070601 19070630    66.0
19070701 19070731    35.6
19070801 19070831    40.4
19070901 19070930     1.5
19071001 19071031    23.6
19071101 19071130   166.9
19071201 19071231    53.3
19080101 19080131    29.0
19080201 19080229   123.7
19080301 19080331    80.0
19080401 19080430    69.1
19080501 19080531     8.4
19080601 19080630    45.0
19080701 19080731    16.3
19080801 19080831    66.3
19080901 19080930    40.6
19081001 19081031    43.9
19081101 19081130    59.4
19081201 19081231    58.9
19090101 19090131    16.8
19090201 19090228    88.1
19090301 19090331    17.0
19090401 19090430    72.4
19090501 19090531    33.3
19090601 19090630    65.0
19090701 19090731    44.2
19090801 19090831   128.0
19090901 19090930    29.5
19091001 19091031    43.7
19091101 19091130    82.0
19091201 19091231    69.1
19100101 19100131   157.0
19100201 19100228    53.1
19100301 19100331   184.7
19100401 19100430    39.9
19100501 19100531     3.8
19100601 19100630    95.0
19100701 19100731    68.1
19100801 19100831    13.5
19100901 19100930     5.8
19101001 19101031    64.0
19101101 19101130    45.5
19101201 19101231   124.0
19110101 19110131   203.5
19110201 19110228   106.2
19110301 19110331    64.8
19110401 19110430     7.9
19110501 19110531    56.6
19110601 19110630     4.8
19110701 19110731    42.4
19110801 19110831    26.9
19110901 19110930    83.8
19111001 19111031    34.0
19111101 19111130    27.7
19111201 19111231    18.5
19120101 19120131    72.4
19120201 19120229   108.0
19120301 19120331    84.1
19120401 19120430     0.8
19120501 19120531     4.1
19120601 19120630   148.1
19120701 19120731    70.1
19120801 19120831    38.4
19120901 19120930    36.8
19121001 19121031    65.0
19121101 19121130    93.2
19121201 19121231    35.3
19130101 19130131    94.7
19130201 19130228    35.8
19130301 19130331    59.2
19130401 19130430    25.7
19130501 19130531   157.2
19130601 19130630    88.1
19130701 19130731    13.2
19130801 19130831     6.9
19130901 19130930    25.9
19131001 19131031    59.7
19131101 19131130    26.2
19131201 19131231    90.2
19140101 19140131    67.6
19140201 19140228   113.8
19140301 19140331   103.6
19140401 19140430    39.9
19140501 19140531    82.0
19140601 19140630    20.1
19140701 19140731    57.4
19140801 19140831     5.1
19140901 19140930    21.3
19141001 19141031    66.3
19141101 19141130    39.6
19141201 19141231    78.7
19150101 19150131    22.1
19150201 19150228    29.2
19150301 19150331     2.0
19150401 19150430    17.0
19150501 19150531    69.9
19150601 19150630    21.3
19150701 19150731    46.2
19150801 19150831    67.3
19150901 19150930    33.5
19151001 19151031    29.7
19151101 19151130     6.4
19151201 19151231   100.6
19160101 19160131    44.5
19160201 19160229   178.3
19160301 19160331    45.7
19160401 19160430    84.8
19160501 19160531     5.3
19160601 19160630    71.9
19160701 19160731    98.6
19160801 19160831    79.2
19160901 19160930    68.8
19161001 19161031    29.0
19161101 19161130   122.2
19161201 19161231   196.9
19170101 19170131   188.5
19170201 19170228    83.3
19170301 19170331    49.0
19170401 19170430     1.3
19170501 19170531     8.6
19170601 19170630    30.0
19170701 19170731    22.1
19170801 19170831    24.9
19170901 19170930   134.1
19171001 19171031    30.7
19171101 19171130   206.2
19171201 19171231    80.8
19180101 19180131   141.0
19180201 19180228    25.9
19180301 19180331     2.5
19180401 19180430    34.8
19180501 19180531     6.4
19180601 19180630     9.1
19180701 19180731    36.6
19180801 19180831    75.7
19180901 19180930     7.1
19181001 19181031    15.7
19181101 19181130    39.1
19181201 19181231    18.3
19190101 19190131    45.7
19190201 19190228    36.1
19190301 19190331    23.1
19190401 19190430     7.6
19190501 19190531    36.1
19190601 19190630    15.0
19190701 19190731     5.8
19190801 19190831    23.6
19190901 19190930     2.8
19191001 19191031    13.7
19191101 19191130    10.7
19191201 19191231    56.4
19200101 19200131    38.4
19200201 19200229    23.9
19200301 19200331    18.5
19200401 19200430    13.0
19200501 19200531    32.3
19200601 19200630   113.8
19200701 19200731    90.2
19200801 19200831    56.1
19200901 19200930    59.4
19201001 19201031    63.0
19201101 19201130    66.8
19201201 19201231    84.1
19210101 19210131    24.1
19210201 19210228    38.6
19210301 19210331    76.5
19210401 19210430    24.6
19210501 19210531   119.1
19210601 19210630   178.1
19210701 19210731   189.2
19210801 19210831    11.4
19210901 19210930    94.2
19211001 19211031    93.7
19211101 19211130    39.9
19211201 19211231   219.5
19220101 19220131    77.7
19220201 19220228     3.8
19220301 19220331    43.9
19220401 19220430     5.8
19220501 19220531     1.3
19220601 19220630    34.3
19220701 19220731    65.8
19220801 19220831    15.0
19220901 19220930    56.9
19221001 19221031    37.3
19221101 19221130    40.6
19221201 19221231    98.6
19230101 19230131    79.0
19230201 19230228    19.8
19230301 19230331    36.1
19230401 19230430     4.8
19230501 19230531     7.6
19230601 19230630    67.1
19230701 19230731    27.7
19230801 19230831    15.2
19230901 19230930    45.2
19231001 19231031    31.2
19231101 19231130     8.9
19231201 19231231    98.8
19240101 19240131    90.7
19240201 19240229   167.6
19240301 19240331    18.3
19240401 19240430    77.5
19240501 19240531    10.4
19240601 19240630    67.3
19240701 19240731    56.4
19240801 19240831    51.3
19240901 19240930    37.1
19241001 19241031    74.2
19241101 19241130   129.8
19241201 19241231    37.1
19250101 19250131    83.1
19250201 19250228    59.2
19250301 19250331    38.9
19250401 19250430     2.5
19250501 19250531    66.5
19250601 19250630     3.3
19250701 19250731    40.6
19250801 19250831    69.9
19250901 19250930     8.6
19251001 19251031    12.7
19251101 19251130   162.6
19251201 19251231    52.1
19260101 19260131    28.7
19260201 19260228    19.6
19260301 19260331    21.6
19260401 19260430    25.9
19260501 19260531    43.7
19260601 19260630    47.8
19260701 19260731    40.6
19260801 19260831    14.0
19260901 19260930    22.1
19261001 19261031     7.6
19261101 19261130     5.6
19261201 19261231   167.4
19270101 19270131    86.4
19270201 19270228    21.1
19270301 19270331    95.3
19270401 19270430    48.3
19270501 19270531     3.0
19270601 19270630    32.5
19270701 19270731     4.8
19270801 19270831    22.1
19270901 19270930    13.2
19271001 19271031    55.6
19271101 19271130   151.6
19271201 19271231    57.7
19280101 19280131    98.6
19280201 19280229   130.6
19280301 19280331    51.3
19280401 19280430    49.0
19280501 19280531    27.4
19280601 19280630   117.9
19280701 19280731    69.3
19280801 19280831     0.0
19280901 19280930     5.8
19281001 19281031    45.5
19281101 19281130    43.9
19281201 19281231    32.8
19290101 19290131    26.9
19290201 19290228   114.6
19290301 19290331    52.8
19290401 19290430   106.7
19290501 19290531     9.9
19290601 19290630    30.2
19290701 19290731    17.5
19290801 19290831    48.5
19290901 19290930    23.4
19291001 19291031   103.6
19291101 19291130    46.5
19291201 19291231    42.9
19300101 19300131   134.6
19300201 19300228    35.1
19300301 19300331    50.3
19300401 19300430    44.7
19300501 19300531    46.2
19300601 19300630    91.7
19300701 19300731   103.4
19300801 19300831    61.2
19300901 19300930    13.0
19301001 19301031    79.2
