PRCP       055045 19030101 20171231 missing_value=99999.9 CURLEWIS (PINE CLIFF)                     
19030101 19030131    12.4
19030201 19030228     7.9
19030301 19030331    29.8
19030401 19030430    71.7
19030501 19030531    97.0
19030601 19030630     5.6
19030701 19030731    35.3
19030801 19030831    52.4
19030901 19030930    97.3
19031001 19031031    71.8
19031101 19031130    45.2
19031201 19031231    74.2
19040101 19040131    19.6
19040201 19040229   163.1
19040301 19040331    48.3
19040401 19040430   119.1
19040501 19040531    30.8
19040601 19040630    26.4
19040701 19040731    68.3
19040801 19040831    23.9
19040901 19040930    18.7
19041001 19041031    73.6
19041101 19041130    31.7
19041201 19041231    48.3
19050101 19050131    33.3
19050201 19050228   130.1
19050301 19050331    32.2
19050401 19050430    94.8
19050501 19050531    42.1
19050601 19050630    30.0
19050701 19050731    28.9
19050801 19050831    31.9
19050901 19050930     3.1
19051001 19051031    27.9
19051101 19051130    48.6
19051201 19051231    29.8
19060101 19060131    44.4
19060201 19060228    41.6
19060301 19060331    76.8
19060401 19060430    30.7
19060501 19060531    25.4
19060601 19060630    27.7
19060701 19060731    14.5
19060801 19060831   109.3
19060901 19060930    83.1
19061001 19061031    36.6
19061101 19061130   103.4
19061201 19061231    33.3
19070101 19070131    62.7
19070201 19070228     6.4
19070301 19070331    78.9
19070401 19070430    24.6
19070501 19070531     7.4
19070601 19070630    64.4
19070701 19070731    10.0
19070801 19070831    33.1
19070901 19070930    11.4
19071001 19071031     8.7
19071101 19071130    60.5
19071201 19071231   100.6
19080101 19080131    28.9
19080201 19080229   159.3
19080301 19080331   146.6
19080401 19080430    40.4
19080501 19080531    34.3
19080601 19080630    32.0
19080701 19080731    27.7
19080801 19080831    21.9
19080901 19080930    58.1
19081001 19081031    42.7
19081101 19081130    88.7
19081201 19081231    69.7
19090101 19090131    20.3
19090201 19090228   167.4
19090301 19090331     4.1
19090401 19090430    52.1
19090501 19090531    18.3
19090601 19090630    77.4
19090701 19090731    21.0
19090801 19090831   114.9
19090901 19090930    63.1
19091001 19091031    55.5
19091101 19091130    56.4
19091201 19091231   110.0
19100101 19100131   117.7
19100201 19100228     1.8
19100301 19100331    42.2
19100401 19100430     4.1
19100501 19100531    14.6
19100601 19100630    99.1
19100701 19100731    31.1
19100801 19100831    13.8
19100901 19100930    19.9
19101001 19101031    45.0
19101101 19101130    30.5
19101201 19101231    69.6
19110101 19110131   118.0
19110201 19110228   107.6
19110301 19110331    55.4
19110401 19110430    19.5
19110501 19110531    35.2
19110601 19110630    11.0
19110701 19110731    33.1
19110801 19110831    31.4
19110901 19110930    43.5
19111001 19111031    37.6
19111101 19111130    59.4
19111201 19111231    75.9
19120101 19120131    44.4
19120201 19120229    30.2
19120301 19120331    26.2
19120401 19120430     1.0
19120501 19120531     4.6
19120601 19120630    83.5
19120701 19120731    65.1
19120801 19120831    28.8
19120901 19120930     6.9
19121001 19121031    54.6
19121101 19121130    19.1
19121201 19121231     0.8
19130101 19130131    41.2
19130201 19130228    54.9
19130301 19130331    29.4
19130401 19130430    89.8
19130501 19130531   100.1
19130601 19130630    51.6
19130701 19130731     9.7
19130801 19130831     7.7
19130901 19130930    20.5
19131001 19131031    55.7
19131101 19131130    11.7
19131201 19131231    49.1
19140101 19140131    19.2
19140201 19140228    60.2
19140301 19140331    89.5
19140401 19140430    31.8
19140501 19140531    48.5
19140601 19140630     6.9
19140701 19140731    37.1
19140801 19140831     0.0
19140901 19140930    17.0
19141001 19141031    14.7
19141101 19141130    48.3
19141201 19141231   130.1
19150101 19150131    43.0
19150201 19150228     6.7
19150301 19150331    26.4
19150401 19150430    26.0
19150501 19150531    39.7
19150601 19150630    29.0
19150701 19150731    68.5
19150801 19150831    31.8
19150901 19150930    18.2
19151001 19151031    31.5
19151101 19151130     2.5
19151201 19151231    87.3
19160101 19160131    18.9
19160201 19160229    44.3
19160301 19160331    13.3
19160401 19160430    69.6
19160501 19160531     9.9
19160601 19160630    76.5
19160701 19160731    90.2
19160801 19160831    70.4
19160901 19160930    92.1
19161001 19161031    58.7
19161101 19161130    74.7
19161201 19161231    85.8
19170101 19170131   100.3
19170201 19170228    37.1
19170301 19170331     8.1
19170401 19170430    10.4
19170501 19170531     3.4
19170601 19170630    59.9
19170701 19170731    17.8
19170801 19170831    39.6
19170901 19170930    72.8
19171001 19171031    51.9
19171101 19171130   161.2
19171201 19171231    87.6
19180101 19180131    97.1
19180201 19180228     4.1
19180301 19180331     5.4
19180401 19180430    20.6
19180501 19180531    15.1
19180601 19180630    12.0
19180701 19180731    28.4
19180801 19180831    87.9
19180901 19180930     6.4
19181001 19181031     2.8
19181101 19181130    48.7
19181201 19181231     0.8
19190101 19190131    48.6
19190201 19190228    77.5
19190301 19190331    71.3
19190401 19190430    13.8
19190501 19190531    71.4
19190601 19190630    21.8
19190701 19190731    17.1
19190801 19190831     6.9
19190901 19190930     8.2
19191001 19191031     9.2
19191101 19191130    21.3
19191201 19191231    63.2
19200101 19200131    55.6
19200201 19200229    32.3
19200301 19200331     1.0
19200401 19200430     6.8
19200501 19200531     9.7
19200601 19200630   169.6
19200701 19200731   151.3
19200801 19200831    44.6
19200901 19200930    73.5
19201001 19201031    26.5
19201101 19201130    27.5
19201201 19201231    84.2
19210101 19210131    14.5
19210201 19210228    42.2
19210301 19210331    74.7
19210401 19210430   121.5
19210501 19210531    75.7
19210601 19210630    90.8
19210701 19210731    89.7
19210801 19210831    29.9
19210901 19210930    13.0
19211001 19211031    62.5
19211101 19211130    54.6
19211201 19211231    94.3
19220101 19220131    67.9
19220201 19220228    30.5
19220301 19220331    16.0
19220401 19220430    18.5
19220501 19220531     2.3
19220601 19220630    24.6
19220701 19220731    71.9
19220801 19220831    14.6
19220901 19220930    25.9
19221001 19221031    36.4
19221101 19221130    20.6
19221201 19221231   142.4
19230101 19230131    31.8
19230201 19230228     0.0
19230301 19230331     9.8
19230401 19230430     0.0
19230501 19230531     1.5
19230601 19230630    62.8
19230701 19230731    35.0
19230801 19230831     8.9
19230901 19230930    35.2
19231001 19231031    16.4
19231101 19231130    39.4
19231201 19231231    97.3
19240101 19240131    41.6
19240201 19240229    80.3
19240301 19240331    12.5
19240401 19240430    45.9
19240501 19240531    19.0
19240601 19240630    18.5
19240701 19240731    37.7
19240801 19240831    35.8
19240901 19240930    53.5
19241001 19241031    39.5
19241101 19241130   178.0
19241201 19241231    25.4
19250101 19250131    29.0
19250201 19250228    33.6
19250301 19250331    14.8
19250401 19250430     0.0
19250501 19250531    53.4
19250601 19250630    18.3
19250701 19250731    21.9
19250801 19250831    40.6
19250901 19250930     3.0
19251001 19251031     9.7
19251101 19251130    65.8
19251201 19251231    29.8
19260101 19260131    30.8
19260201 19260228     0.0
19260301 19260331   153.8
19260401 19260430    59.2
19260501 19260531    72.4
19260601 19260630    14.1
19260701 19260731    37.4
19260801 19260831    13.0
19260901 19260930    67.3
19261001 19261031     4.9
19261101 19261130     3.8
19261201 19261231   128.9
19270101 19270131    56.9
19270201 19270228     0.0
19270301 19270331    10.2
19270401 19270430    71.3
19270501 19270531     4.4
19270601 19270630    24.6
19270701 19270731     0.0
19270801 19270831    29.3
19270901 19270930     4.6
19271001 19271031    55.7
19271101 19271130    60.8
19271201 19271231    80.0
19280101 19280131    27.7
19280201 19280229   144.1
19280301 19280331   119.7
19280401 19280430    53.6
19280501 19280531     9.6
19280601 19280630    58.9
19280701 19280731    69.4
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031    39.1
19281101 19281130    47.8
19281201 19281231    16.3
19290101 19290131    25.6
19290201 19290228   143.0
19290301 19290331     8.4
19290401 19290430    79.3
19290501 19290531     5.8
19290601 19290630    15.0
19290701 19290731    15.5
19290801 19290831    50.3
19290901 19290930    30.5
19291001 19291031    23.5
19291101 19291130    59.1
19291201 19291231    13.9
