PRCP       055055 18910101 20080831 missing_value=99999.9 CARROLL (THE RANCH)                       
18910101 18910131   112.0
18910201 18910228    38.4
18910301 18910331    73.7
18910401 18910430    33.8
18910501 18910531    16.8
18910601 18910630    92.2
18910701 18910731    41.6
18910801 18910831    45.5
18910901 18910930    80.2
18911001 18911031    30.5
18911101 18911130    78.9
18911201 18911231    37.1
18920101 18920131    67.6
18920201 18920229    46.2
18920301 18920331    35.1
18920401 18920430    62.7
18920501 18920531    58.7
18920601 18920630    53.0
18920701 18920731    27.4
18920801 18920831    23.2
18920901 18920930   133.7
18921001 18921031   108.7
18921101 18921130    95.9
18921201 18921231   114.7
18930101 18930131    64.6
18930201 18930228   133.3
18930301 18930331    66.0
18930401 18930430    79.0
18930501 18930531    26.7
18930601 18930630    99.4
18930701 18930731    55.6
18930801 18930831    77.0
18930901 18930930    15.8
18931001 18931031    99.8
18931101 18931130    40.7
18931201 18931231    12.2
18940101 18940131    46.0
18940201 18940228    12.7
18940301 18940331   248.5
18940401 18940430    50.8
18940501 18940531    36.8
18940601 18940630    29.0
18940701 18940731    23.0
18940801 18940831    23.1
18940901 18940930    29.9
18941001 18941031   122.2
18941101 18941130    13.5
18941201 18941231    73.2
18950101 18950131   186.5
18950201 18950228    54.9
18950301 18950331     0.0
18950401 18950430     5.9
18950501 18950531    17.6
18950601 18950630    20.1
18950701 18950731     7.7
18950801 18950831    16.5
18950901 18950930    61.0
18951001 18951031    39.1
18951101 18951130    65.5
18951201 18951231   125.6
18960101 18960131    14.0
18960201 18960229   109.4
18960301 18960331    61.2
18960401 18960430    49.8
18960501 18960531    36.0
18960601 18960630    28.1
18960701 18960731    46.8
18960801 18960831    43.4
18960901 18960930    13.7
18961001 18961031    23.9
18961101 18961130    82.0
18961201 18961231    49.2
18970101 18970131    72.0
18970201 18970228     3.3
18970301 18970331    21.1
18970401 18970430     0.5
18970501 18970531    12.4
18970601 18970630    64.3
18970701 18970731    79.2
18970801 18970831    20.1
18970901 18970930    33.8
18971001 18971031    32.0
18971101 18971130     2.5
18971201 18971231   101.2
18980101 18980131   139.9
18980201 18980228   110.3
18980301 18980331    28.7
18980401 18980430     1.3
18980501 18980531    57.0
18980601 18980630    71.9
18980701 18980731     9.9
18980801 18980831    16.9
18980901 18980930    59.4
18981001 18981031    12.9
18981101 18981130    20.6
18981201 18981231    52.3
18990101 18990131    50.5
18990201 18990228    39.4
18990301 18990331     8.1
18990401 18990430    68.3
18990501 18990531     9.9
18990601 18990630    49.9
18990701 18990731    58.9
18990801 18990831    81.4
18990901 18990930    55.4
18991001 18991031    16.7
18991101 18991130    41.7
18991201 18991231    23.7
19000101 19000131    11.4
19000201 19000228    46.7
19000301 19000331    59.9
19000401 19000430    50.8
19000501 19000531    46.5
19000601 19000630   101.1
19000701 19000731    73.5
19000801 19000831     2.3
19000901 19000930    31.8
19001001 19001031     1.5
19001101 19001130    35.3
19001201 19001231    51.3
19010101 19010131    21.3
19010201 19010228     0.0
19010301 19010331    73.9
19010401 19010430    25.4
19010501 19010531    38.4
19010601 19010630    38.2
19010701 19010731    29.4
19010801 19010831    79.0
19010901 19010930     6.6
19011001 19011031    68.7
19011101 19011130    44.4
19011201 19011231    31.1
19020101 19020131    20.0
19020201 19020228     1.0
19020301 19020331    26.2
19020401 19020430    11.4
19020501 19020531     0.8
19020601 19020630     8.9
19020701 19020731     3.9
19020801 19020831    48.1
19020901 19020930    19.0
19021001 19021031    73.4
19021101 19021130    20.6
19021201 19021231    63.3
19030101 19030131    20.8
19030201 19030228     0.3
19030301 19030331    92.2
19030401 19030430    42.2
19030501 19030531    98.9
19030601 19030630     6.1
19030701 19030731    59.4
19030801 19030831    48.6
19030901 19030930   111.7
19031001 19031031   102.2
19031101 19031130    44.9
19031201 19031231   122.3
19040101 19040131     7.3
19040201 19040229    77.9
19040301 19040331   100.9
19040401 19040430    77.8
19040501 19040531    36.2
19040601 19040630    29.0
19040701 19040731   117.8
19040801 19040831    43.1
19040901 19040930    28.9
19041001 19041031    95.5
19041101 19041130    22.3
19041201 19041231    66.1
19050101 19050131    63.4
19050201 19050228    94.8
19050301 19050331    49.6
19050401 19050430   180.4
19050501 19050531    46.7
19050601 19050630    24.3
19050701 19050731    37.0
19050801 19050831    38.4
19050901 19050930     1.0
19051001 19051031    32.7
19051101 19051130    39.6
19051201 19051231    70.4
19060101 19060131    30.4
19060201 19060228    35.0
19060301 19060331    54.5
19060401 19060430    23.1
19060501 19060531    17.2
19060601 19060630    19.9
19060701 19060731     9.9
19060801 19060831   101.9
19060901 19060930   121.7
19061001 19061031    31.9
19061101 19061130    98.5
19061201 19061231    42.9
19070101 19070131    69.9
19070201 19070228    12.9
19070301 19070331    92.9
19070401 19070430    23.3
19070501 19070531    19.8
19070601 19070630    35.5
19070701 19070731    13.4
19070801 19070831    41.7
19070901 19070930    10.4
19071001 19071031    22.1
19071101 19071130   131.3
19071201 19071231   188.5
19080101 19080131    41.2
19080201 19080229   148.8
19080301 19080331   178.1
19080401 19080430    25.2
19080501 19080531    15.0
19080601 19080630    29.2
19080701 19080731    19.8
19080801 19080831    33.0
19080901 19080930    79.3
19081001 19081031    33.3
19081101 19081130   136.8
19081201 19081231   118.3
19090101 19090131    33.5
19090201 19090228   221.5
19090301 19090331    54.1
19090401 19090430    39.1
19090501 19090531    18.3
19090601 19090630    83.1
19090701 19090731    34.2
19090801 19090831   109.9
19090901 19090930    44.2
19091001 19091031    75.2
19091101 19091130    77.1
19091201 19091231    35.2
19100101 19100131   245.9
19100201 19100228    59.2
19100301 19100331    59.5
19100401 19100430     2.5
19100501 19100531    16.8
19100601 19100630    94.2
19100701 19100731    56.3
19100801 19100831    36.8
19100901 19100930    12.9
19101001 19101031    35.8
19101101 19101130    38.6
19101201 19101231    77.2
19110101 19110131   160.9
19110201 19110228    92.8
19110301 19110331    73.4
19110401 19110430    10.2
19110501 19110531    26.1
19110601 19110630    20.3
19110701 19110731    39.4
19110801 19110831    27.6
19110901 19110930    28.1
19111001 19111031    26.9
19111101 19111130   110.8
19111201 19111231    94.3
19120101 19120131    21.3
19120201 19120229    23.6
19120301 19120331    31.2
19120401 19120430     1.3
19120501 19120531     8.6
19120601 19120630    72.4
19120701 19120731    60.4
19120801 19120831    49.6
19120901 19120930     5.1
19121001 19121031    74.9
19121101 19121130    25.7
19121201 19121231    43.7
19130101 19130131    35.8
19130201 19130228    70.1
19130301 19130331    84.2
19130401 19130430    71.1
19130501 19130531    94.7
19130601 19130630    80.5
19130701 19130731    11.9
19130801 19130831     8.4
19130901 19130930    50.8
19131001 19131031    53.9
19131101 19131130    11.9
19131201 19131231   102.3
19140101 19140131    39.6
19140201 19140228    46.0
19140301 19140331    95.1
19140401 19140430    23.1
19140501 19140531    47.9
19140601 19140630    16.0
19140701 19140731    30.5
19140801 19140831     0.0
19140901 19140930    34.0
19141001 19141031    34.0
19141101 19141130    47.9
19141201 19141231   134.4
19150101 19150131    24.6
19150201 19150228    39.3
19150301 19150331    11.4
19150401 19150430    28.3
19150501 19150531    27.1
19150601 19150630    40.4
19150701 19150731    78.1
19150801 19150831    41.0
19150901 19150930    53.8
19151001 19151031    52.1
19151101 19151130     1.8
19151201 19151231   110.3
19160101 19160131    72.1
19160201 19160229    62.6
19160301 19160331    33.5
