PRCP       055063 18920401 20080131 missing_value=99999.9 WILLOW TREE (MAIN STREET)                 
18920401 18920430    61.1
18920501 18920531   103.3
18920601 18920630    40.5
18920701 18920731    72.7
18920801 18920831    43.2
18920901 18920930   148.4
18921001 18921031    68.7
18921101 18921130    79.6
18921201 18921231    81.3
18930101 18930131    67.5
18930201 18930228    76.5
18930301 18930331   124.2
18930401 18930430    55.0
18930501 18930531    37.6
18930601 18930630    85.1
18930701 18930731    64.9
18930801 18930831   118.1
18930901 18930930    20.6
18931001 18931031    84.5
18931101 18931130    70.9
18931201 18931231    20.6
18940101 18940131    45.6
18940201 18940228    10.5
18940301 18940331   212.0
18940401 18940430    93.6
18940501 18940531    11.4
18940601 18940630    51.4
18940701 18940731    45.5
18940801 18940831    25.7
18940901 18940930    41.4
18941001 18941031    84.2
18941101 18941130    12.3
18941201 18941231    83.8
18950101 18950131   130.6
18950201 18950228    63.7
18950301 18950331     6.6
18950401 18950430     4.1
18950501 18950531    27.7
18950601 18950630    22.9
18950701 18950731    21.5
18950801 18950831    29.4
18950901 18950930    52.3
18951001 18951031    45.1
18951101 18951130    54.8
18951201 18951231   145.7
18960101 18960131    32.7
18960201 18960229   159.7
18960301 18960331    65.7
18960401 18960430    44.3
18960501 18960531    56.4
18960601 18960630    69.6
18960701 18960731    42.1
18960801 18960831    64.9
18960901 18960930     9.0
18961001 18961031    34.9
18961101 18961130    39.1
18961201 18961231    47.0
18970101 18970131    84.6
18970201 18970228    16.9
18970301 18970331     3.4
18970401 18970430    11.4
18970501 18970531    56.5
18970601 18970630    75.3
18970701 18970731   109.3
18970801 18970831    39.6
18970901 18970930    52.4
18971001 18971031    54.6
18971101 18971130     3.0
18971201 18971231    72.2
18980101 18980131   133.6
18980201 18980228   141.2
18980301 18980331     2.5
18980401 18980430     3.9
18980501 18980531    69.8
18980601 18980630    78.6
18980701 18980731    34.3
18980801 18980831    44.7
18980901 18980930    41.2
18981001 18981031    27.0
18981101 18981130    27.7
18981201 18981231    36.2
18990101 18990131    78.3
18990201 18990228     5.3
18990301 18990331    19.6
18990401 18990430    70.5
18990501 18990531    23.2
18990601 18990630    85.7
18990701 18990731    41.4
18990801 18990831   147.6
18990901 18990930    32.5
18991001 18991031    45.5
18991101 18991130    41.7
18991201 18991231    14.2
19000101 19000131    47.2
19000201 19000228    14.4
19000301 19000331    49.7
19000401 19000430    36.3
19000501 19000531    82.8
19000601 19000630   139.6
19000701 19000731    69.6
19000801 19000831    28.1
19000901 19000930    22.7
19001001 19001031     8.2
19001101 19001130    58.5
19001201 19001231   100.1
19010101 19010131    41.2
19010201 19010228     4.6
19010301 19010331    66.9
19010401 19010430    53.0
19010501 19010531    38.6
19010601 19010630    51.7
19010701 19010731    17.2
19010801 19010831   103.0
19010901 19010930    13.8
19011001 19011031    62.3
19011101 19011130    37.0
19011201 19011231    11.6
19020101 19020131    38.8
19020201 19020228    23.2
19020301 19020331    22.5
19020401 19020430     3.0
19020501 19020531     6.5
19020601 19020630    21.1
19020701 19020731    12.2
19020801 19020831    89.9
19020901 19020930    37.6
19021001 19021031   115.6
19021101 19021130    43.5
19021201 19021231   127.8
19030101 19030131     5.5
19030201 19030228     0.9
19030301 19030331    56.5
19030401 19030430   104.6
19030501 19030531    57.7
19030601 19030630    32.7
19030701 19030731    41.4
19030801 19030831    61.1
19030901 19030930   184.4
19031001 19031031    52.6
19031101 19031130    72.4
19031201 19031231    91.1
19040101 19040131    36.4
19040201 19040229   177.2
19040301 19040331    56.7
19040401 19040430    44.3
19040501 19040531    16.2
19040601 19040630    25.9
19040701 19040731   146.1
19040801 19040831    30.3
19040901 19040930    13.3
19041001 19041031    97.1
19041101 19041130    23.5
19041201 19041231    91.1
19050101 19050131     3.9
19050201 19050228    47.4
19050301 19050331    68.5
19050401 19050430    83.8
19050501 19050531    65.3
19050601 19050630    46.6
19050701 19050731    32.0
19050801 19050831    36.5
19050901 19050930     2.3
19051001 19051031    34.3
19051101 19051130    51.5
19051201 19051231    44.0
19060101 19060131     4.6
19060201 19060228    47.2
19060301 19060331    68.2
19060401 19060430    35.0
19060501 19060531    19.7
19060601 19060630    43.6
19060701 19060731    18.4
19060801 19060831    81.5
19060901 19060930    66.4
19061001 19061031    48.1
19061101 19061130   102.8
19061201 19061231    24.2
19070101 19070131    98.7
19070201 19070228    15.0
19070301 19070331    56.6
19070401 19070430    35.9
19070501 19070531    17.7
19070601 19070630    58.7
19070701 19070731    15.3
19070801 19070831    37.0
19070901 19070930    20.1
19071001 19071031    13.8
19071101 19071130    67.0
19071201 19071231   124.3
19080101 19080131    77.0
19080201 19080229   135.2
19080301 19080331   119.2
19080401 19080430    39.8
19080501 19080531    34.3
19080601 19080630    35.5
19080701 19080731    27.5
19080801 19080831    48.0
19080901 19080930    75.2
19081001 19081031    55.0
19081101 19081130    52.9
19081201 19081231    35.2
19090101 19090131    19.3
19090201 19090228    84.7
19090301 19090331     9.2
19090401 19090430    71.4
19090501 19090531    16.0
19090601 19090630    75.8
19090701 19090731    18.1
19090801 19090831   147.9
19090901 19090930    46.1
19091001 19091031    35.0
19091101 19091130    46.9
19091201 19091231    74.8
19100101 19100131   244.8
19100201 19100228    29.1
19100301 19100331    48.7
19100401 19100430     8.6
19100501 19100531    33.0
19100601 19100630   104.4
19100701 19100731    41.5
19100801 19100831    15.9
19100901 19100930    12.9
19101001 19101031    48.1
19101101 19101130    10.5
19101201 19101231    82.6
19110101 19110131   150.0
19110201 19110228    83.4
19110301 19110331    68.9
19110401 19110430    20.5
19110501 19110531    31.7
19110601 19110630    27.0
19110701 19110731    67.1
19110801 19110831    56.0
19110901 19110930    77.4
19111001 19111031    21.4
19111101 19111130    85.0
