PRCP       056023 19121201 20180131 missing_value=99999.9 OLD KOREELAH (MCPHERSON)                  
19121201 19121231    73.9
19130101 19130131   100.2
19130201 19130228    63.4
19130301 19130331    93.6
19130401 19130430    89.8
19130501 19130531   125.1
19130601 19130630   120.7
19130701 19130731    18.1
19130801 19130831     0.8
19130901 19130930    87.1
19131001 19131031    37.6
19131101 19131130    19.3
19131201 19131231    68.6
19140101 19140131    46.5
19140201 19140228   129.0
19140301 19140331   187.5
19140401 19140430    39.6
19140501 19140531    57.5
19140601 19140630    71.3
19140701 19140731    43.9
19140801 19140831    26.1
19140901 19140930    17.0
19141001 19141031    80.1
19141101 19141130    94.3
19141201 19141231   117.6
19150101 19150131    84.0
19150201 19150228    56.6
19150301 19150331    26.9
19150401 19150430    20.1
19150501 19150531    55.7
19150601 19150630     8.9
19150701 19150731    57.9
19150801 19150831    45.2
19150901 19150930    15.8
19151001 19151031    12.2
19151101 19151130     0.0
19151201 19151231    96.8
19160101 19160131   106.1
19160201 19160229   178.1
19160301 19160331    48.7
19160401 19160430   143.5
19160501 19160531    57.5
19160601 19160630    50.9
19160701 19160731    45.3
19160801 19160831    37.6
19160901 19160930    52.4
19161001 19161031    76.5
19161101 19161130   103.1
19161201 19161231    68.0
19170101 19170131   244.7
19170201 19170228   129.3
19170301 19170331    67.1
19170401 19170430     9.3
19170501 19170531     8.7
19170601 19170630     8.1
19170701 19170731    17.8
19170801 19170831    19.0
19170901 19170930   158.5
19171001 19171031    59.7
19171101 19171130   190.5
19171201 19171231   121.0
19180101 19180131   138.2
19180201 19180228    40.1
19180301 19180331    61.1
19180401 19180430    83.3
19180501 19180531    15.2
19180601 19180630     7.9
19180701 19180731    10.8
19180801 19180831    42.6
19180901 19180930     0.0
19181001 19181031    22.9
19181101 19181130    25.1
19181201 19181231    78.0
19190101 19190131    24.1
19190201 19190228    23.9
19190301 19190331   186.6
19190401 19190430    37.1
19190501 19190531   124.3
19190601 19190630    21.0
19190701 19190731     6.1
19190801 19190831    11.7
19190901 19190930    10.1
19191001 19191031    34.8
19191101 19191130    16.0
19191201 19191231    55.7
19200101 19200131   173.0
19200201 19200229    46.0
19200301 19200331    60.8
19200401 19200430    32.7
19200501 19200531    60.4
19200601 19200630    46.3
19200701 19200731   101.6
19200801 19200831    36.3
19200901 19200930    54.4
19201001 19201031    80.4
19201101 19201130    79.1
19201201 19201231    92.4
19210101 19210131    81.0
19210201 19210228    49.3
19210301 19210331   107.1
19210401 19210430    63.9
19210501 19210531    53.2
19210601 19210630   150.9
19210701 19210731   218.0
19210801 19210831    11.3
19210901 19210930    69.2
19211001 19211031    25.7
19211101 19211130    17.3
19211201 19211231   181.4
19220101 19220131    53.3
19220201 19220228   159.7
19220301 19220331    21.6
19220401 19220430     0.0
19220501 19220531    32.1
19220601 19220630    36.3
19220701 19220731    75.7
19220801 19220831     7.6
19220901 19220930    58.7
19221001 19221031    24.9
19221101 19221130    44.1
19221201 19221231   117.5
19230101 19230131    44.1
19230201 19230228    10.4
19230301 19230331    40.2
19230401 19230430   124.2
19230501 19230531     3.0
19230601 19230630    57.9
19230701 19230731    34.5
19230801 19230831    37.2
19230901 19230930    33.3
19231001 19231031    18.1
19231101 19231130    11.1
19231201 19231231    96.6
19240101 19240131   143.5
19240201 19240229   111.0
19240301 19240331    63.6
19240401 19240430    75.2
19240501 19240531    14.2
19240601 19240630   108.7
19240701 19240731    96.8
19240801 19240831    31.2
19240901 19240930    48.4
19241001 19241031    67.8
19241101 19241130    89.3
19241201 19241231    85.6
19250101 19250131   143.1
19250201 19250228    56.2
