PRCP       058012 18820101 20180131 missing_value=99999.9 YAMBA PILOT STATION                       
18820101 18820131    55.2
18820201 18820228   166.0
18820301 18820331    99.2
18820401 18820430    61.6
18820501 18820531    78.7
18820601 18820630   185.4
18820701 18820731   147.3
18820801 18820831     9.1
18820901 18820930    27.2
18821001 18821031   146.7
18821101 18821130    36.8
18821201 18821231   122.4
18830101 18830131   459.5
18830201 18830228   118.5
18830301 18830331   113.9
18830401 18830430   150.1
18830501 18830531   149.4
18830601 18830630    16.5
18830701 18830731    49.7
18830801 18830831    36.1
18830901 18830930    18.1
18831001 18831031    77.7
18831101 18831130    12.7
18831201 18831231   276.8
18840101 18840131    13.2
18840201 18840229    87.1
18840301 18840331   100.6
18840401 18840430   306.4
18840501 18840531   297.7
18840601 18840630    61.2
18840701 18840731   409.9
18840801 18840831    57.4
18840901 18840930    38.6
18841001 18841031    55.4
18841101 18841130   103.9
18841201 18841231    33.0
18850101 18850131    77.8
18850201 18850228   119.9
18850301 18850331    64.2
18850401 18850430    83.9
18850501 18850531    21.6
18850601 18850630   111.0
18850701 18850731    28.0
18850801 18850831    45.2
18850901 18850930    36.2
18851001 18851031    51.5
18851101 18851130    67.6
18851201 18851231   109.8
18860101 18860131   186.7
18860201 18860228   122.2
18860301 18860331    97.2
18860401 18860430    68.8
18860501 18860531    42.4
18860601 18860630   388.8
18860701 18860731   273.0
18860801 18860831    65.0
18860901 18860930    82.5
18861001 18861031   147.3
18861101 18861130   138.4
18861201 18861231    66.2
18870101 18870131   124.9
18870201 18870228   258.5
18870301 18870331   279.3
18870401 18870430   416.6
18870501 18870531   192.3
18870601 18870630    56.2
18870701 18870731   100.3
18870801 18870831   208.0
18870901 18870930    56.8
18871001 18871031    35.1
18871101 18871130    66.5
18871201 18871231   135.9
18880101 18880131    39.6
18880201 18880229   136.0
18880301 18880331   122.4
18880401 18880430    42.8
18880501 18880531    53.9
18880601 18880630    38.6
18880701 18880731   153.4
18880801 18880831     4.6
18880901 18880930    88.5
18881001 18881031   200.6
18881101 18881130     8.1
18881201 18881231    87.9
18890101 18890131    23.1
18890201 18890228   160.8
18890301 18890331   200.1
18890401 18890430   292.7
18890501 18890531   128.0
18890601 18890630     6.0
18890701 18890731   339.1
18890801 18890831   559.8
18890901 18890930    29.8
18891001 18891031   130.3
18891101 18891130    75.4
18891201 18891231    44.0
18900101 18900131   222.7
18900201 18900228   301.1
18900301 18900331   513.2
18900401 18900430   182.0
18900501 18900531   197.8
18900601 18900630    72.0
18900701 18900731   118.5
18900801 18900831    76.0
18900901 18900930    65.5
18901001 18901031    33.0
18901101 18901130    79.0
18901201 18901231   144.1
18910101 18910131   274.2
18910201 18910228   137.4
18910301 18910331   160.7
18910401 18910430   112.9
18910501 18910531   384.3
18910601 18910630   129.8
18910701 18910731   107.7
18910801 18910831   204.6
18910901 18910930    80.0
18911001 18911031    41.3
18911101 18911130    63.4
18911201 18911231   147.5
18920101 18920131    39.4
18920201 18920229    14.4
18920301 18920331   307.1
18920401 18920430   396.6
18920501 18920531   109.7
18920601 18920630   135.2
18920701 18920731    74.2
18920801 18920831    43.2
18920901 18920930    88.6
18921001 18921031   165.1
18921101 18921130    69.1
18921201 18921231   319.0
18930101 18930131   163.7
18930201 18930228   414.9
18930301 18930331   170.3
18930401 18930430   155.8
18930501 18930531    29.6
18930601 18930630   273.4
18930701 18930731    74.0
18930801 18930831   124.2
18930901 18930930    17.7
18931001 18931031   102.9
18931101 18931130    77.9
18931201 18931231    14.8
18940101 18940131   326.5
18940201 18940228    92.6
18940301 18940331   363.8
18940401 18940430    98.9
18940501 18940531   135.0
18940601 18940630    48.6
18940701 18940731     3.6
18940801 18940831    53.6
18940901 18940930   223.9
18941001 18941031   170.9
18941101 18941130   107.7
18941201 18941231   108.3
18950101 18950131   448.1
18950201 18950228   134.2
18950301 18950331    85.5
18950401 18950430    81.0
18950501 18950531    62.4
18950601 18950630    17.0
18950701 18950731    19.8
18950801 18950831    24.3
18950901 18950930    67.9
18951001 18951031    67.1
18951101 18951130    34.2
18951201 18951231   263.0
18960101 18960131   150.0
18960201 18960229   433.4
18960301 18960331    78.4
18960401 18960430    63.9
18960501 18960531    95.2
18960601 18960630    52.6
18960701 18960731    80.6
18960801 18960831    45.4
18960901 18960930    20.9
18961001 18961031    35.8
18961101 18961130   282.6
18961201 18961231    68.4
18970101 18970131    65.5
18970201 18970228   158.2
18970301 18970331   159.2
18970401 18970430    14.4
18970501 18970531   113.4
18970601 18970630   336.6
18970701 18970731   115.1
18970801 18970831    94.3
18970901 18970930   123.4
18971001 18971031    35.5
18971101 18971130    28.5
18971201 18971231   352.1
18980101 18980131   230.9
18980201 18980228   177.8
18980301 18980331   137.7
18980401 18980430    28.3
18980501 18980531   116.6
18980601 18980630   244.1
18980701 18980731    90.9
18980801 18980831   120.7
18980901 18980930    74.5
18981001 18981031    65.1
18981101 18981130    23.0
18981201 18981231    97.9
18990101 18990131   219.7
18990201 18990228   108.9
18990301 18990331    54.9
18990401 18990430   134.2
18990501 18990531   234.1
18990601 18990630   104.6
18990701 18990731   320.7
18990801 18990831   301.1
18990901 18990930   192.5
18991001 18991031   101.9
18991101 18991130    47.3
18991201 18991231   226.8
19000101 19000131    67.5
19000201 19000228    69.2
19000301 19000331    39.9
19000401 19000430    56.5
19000501 19000531   244.4
19000601 19000630   322.3
19000701 19000731   247.8
19000801 19000831    29.4
19000901 19000930    31.6
19001001 19001031    12.0
19001101 19001130   100.2
19001201 19001231    49.0
19010101 19010131   125.3
19010201 19010228   106.9
19010301 19010331   305.5
19010401 19010430   112.2
19010501 19010531   237.4
19010601 19010630    83.0
19010701 19010731    49.6
19010801 19010831    55.2
19010901 19010930    72.3
19011001 19011031    75.5
19011101 19011130     7.4
19011201 19011231    89.2
19020101 19020131   101.9
19020201 19020228    15.5
19020301 19020331    52.4
19020401 19020430   129.9
19020501 19020531   100.1
19020601 19020630    49.2
19020701 19020731    52.7
19020801 19020831    87.2
19020901 19020930    80.6
19021001 19021031    69.5
19021101 19021130    69.0
19021201 19021231    72.3
19030101 19030131    32.3
19030201 19030228    64.6
19030301 19030331   132.0
19030401 19030430    22.6
19030501 19030531   192.3
19030601 19030630   248.4
19030701 19030731   189.9
19030801 19030831    48.2
19030901 19030930   135.7
19031001 19031031    64.6
19031101 19031130   146.1
19031201 19031231    70.6
19040101 19040131    70.6
19040201 19040229    46.1
19040301 19040331   242.5
19040401 19040430   280.7
19040501 19040531   246.6
19040601 19040630    10.7
19040701 19040731   101.3
19040801 19040831    30.8
19040901 19040930    26.4
19041001 19041031    69.5
