PRCP       058063 18790101 20120731 missing_value=99999.9 CASINO AIRPORT                            
18790101 18790131   125.7
18790201 18790228   156.2
18790301 18790331   162.6
18790401 18790430   192.7
18790501 18790531   162.4
18790601 18790630   129.5
18790701 18790731    37.1
18790801 18790831   170.3
18790901 18790930   101.8
18791001 18791031     3.3
18791101 18791130   111.4
18791201 18791231   175.4
18800101 18800131   105.0
18800201 18800229   404.5
18800301 18800331    76.3
18800401 18800430   177.5
18800501 18800531     9.4
18800601 18800630     4.4
18800701 18800731    15.2
18800801 18800831     0.0
18800901 18800930    68.8
18801001 18801031    66.8
18801101 18801130    84.6
18801201 18801231    44.7
18810101 18810131    71.0
18810201 18810228   132.5
18810301 18810331   120.8
18810401 18810430    72.4
18810501 18810531    59.8
18810601 18810630    10.2
18810701 18810731     7.6
18810801 18810831    48.5
18810901 18810930    76.9
18811001 18811031    98.6
18811101 18811130   165.5
18811201 18811231    38.0
18820101 18820131    35.1
18820201 18820228   192.6
18820301 18820331    79.4
18820401 18820430    19.3
18820501 18820531    31.4
18820601 18820630    55.0
18820701 18820731    64.5
18820801 18820831    31.8
18820901 18820930    10.1
18821001 18821031   185.0
18821101 18821130    81.2
18821201 18821231   132.3
18830101 18830131   321.3
18830201 18830228   162.1
18830301 18830331    47.7
18830401 18830430    70.2
18830501 18830531    81.3
18830601 18830630     9.9
18830701 18830731    13.2
18830801 18830831    10.7
18830901 18830930    32.5
18831001 18831031    57.0
18831101 18831130     7.1
18831201 18831231    40.9
18840101 18840131     4.9
18840201 18840229    36.7
18840301 18840331    63.5
18840401 18840430   162.8
18840501 18840531   303.7
18840601 18840630    36.3
18840701 18840731   135.2
18840801 18840831    11.9
18840901 18840930    34.1
18841001 18841031    57.0
18841101 18841130   140.0
18841201 18841231    29.2
18850101 18850131    72.6
18850201 18850228   153.8
18850301 18850331    32.6
18850401 18850430    33.7
18850501 18850531     9.7
18850601 18850630    40.0
18850701 18850731     1.3
18850801 18850831     7.4
18850901 18850930    40.2
18851001 18851031    47.8
18851101 18851130    70.0
18851201 18851231   140.8
18860101 18860131   171.3
18860201 18860228    30.1
18860301 18860331    73.8
18860401 18860430    67.2
18860501 18860531    77.8
18860601 18860630   117.1
18860701 18860731   160.2
18860801 18860831    59.5
18860901 18860930   117.2
18861001 18861031   112.5
18861101 18861130   181.9
18861201 18861231   119.5
18870101 18870131   247.2
18870201 18870228   221.4
18870301 18870331   359.0
18870401 18870430    99.6
18870501 18870531   115.3
18870601 18870630    46.4
18870701 18870731   128.3
18870801 18870831   203.5
18870901 18870930    19.9
18871001 18871031    17.8
18871101 18871130    97.0
18871201 18871231    58.7
18880101 18880131    13.7
18880201 18880229   202.1
18880301 18880331    42.7
18880401 18880430    26.3
18880501 18880531    46.8
18880601 18880630    37.7
18880701 18880731     8.4
18880801 18880831     3.0
18880901 18880930    96.0
18881001 18881031   133.3
18881101 18881130    54.9
18881201 18881231   146.2
18890101 18890131    87.4
18890201 18890228    34.3
18890301 18890331   100.4
18890401 18890430   112.2
18890501 18890531   100.7
18890601 18890630     9.2
18890701 18890731   428.1
18890801 18890831   251.6
18890901 18890930    69.9
18891001 18891031    36.7
18891101 18891130   133.9
18891201 18891231    28.0
18900101 18900131   235.4
18900201 18900228   408.3
18900301 18900331   706.7
18900401 18900430   159.6
18900501 18900531   142.7
18900601 18900630    65.2
18900701 18900731    14.5
18900801 18900831    12.5
18900901 18900930    49.6
18901001 18901031    29.2
18901101 18901130    52.7
18901201 18901231    79.3
18910101 18910131   306.2
18910201 18910228    89.7
18910301 18910331   136.7
18910401 18910430    46.4
18910501 18910531   119.8
18910601 18910630   119.9
18910701 18910731    45.9
18910801 18910831    59.6
18910901 18910930    87.7
18911001 18911031    40.7
18911101 18911130    64.2
18911201 18911231   150.0
18920101 18920131   129.8
18920201 18920229    70.6
18920301 18920331   345.3
18920401 18920430   393.7
18920501 18920531    72.8
18920601 18920630    57.9
18920701 18920731    41.5
18920801 18920831    28.8
18920901 18920930    46.4
18921001 18921031   143.5
18921101 18921130    78.1
18921201 18921231    93.8
18930101 18930131   263.1
18930201 18930228   741.7
18930301 18930331   242.6
18930401 18930430    80.7
18930501 18930531     7.8
18930601 18930630   206.6
18930701 18930731    26.5
18930801 18930831    69.7
18930901 18930930    20.1
18931001 18931031    53.7
18931101 18931130   119.0
18931201 18931231    13.0
18940101 18940131   391.1
18940201 18940228    89.2
18940301 18940331   277.1
18940401 18940430    94.5
18940501 18940531    38.7
18940601 18940630    48.8
18940701 18940731     0.0
18940801 18940831    10.8
18940901 18940930    72.4
18941001 18941031   132.6
18941101 18941130    56.9
18941201 18941231   128.6
18950101 18950131   339.9
18950201 18950228    99.5
18950301 18950331    19.7
18950401 18950430    82.1
