PRCP       059019 19280101 20171231 missing_value=99999.9 THE RACECOURSE                            
19280101 19280131   291.0
19280201 19280229   662.8
19280301 19280331   103.6
19280401 19280430   197.9
19280501 19280531    37.1
19280601 19280630   202.9
19280701 19280731    54.9
19280801 19280831    13.0
19280901 19280930     7.1
19281001 19281031    55.6
19281101 19281130    45.1
19281201 19281231   214.8
19290101 19290131    91.8
19290201 19290228   370.4
19290301 19290331   131.0
19290401 19290430   134.4
19290501 19290531    17.7
19290601 19290630   102.5
19290701 19290731    29.5
19290801 19290831    47.0
19290901 19290930    91.1
19291001 19291031   123.6
19291101 19291130    52.0
19291201 19291231   100.9
19300101 19300131   158.3
19300201 19300228   103.6
19300301 19300331   173.7
19300401 19300430    96.4
19300501 19300531    92.5
19300601 19300630   237.8
19300701 19300731    36.8
19300801 19300831    33.9
19300901 19300930     5.9
19301001 19301031    61.0
19301101 19301130    42.7
19301201 19301231    25.1
19310101 19310131    74.6
19310201 19310228   110.7
19310301 19310331   156.2
19310401 19310430   107.6
19310501 19310531   109.0
19310601 19310630    37.6
19310701 19310731    57.2
19310801 19310831     8.7
19310901 19310930    32.8
19311001 19311031    19.8
19311101 19311130    89.6
19311201 19311231   172.4
19320101 19320131   105.9
19320201 19320229    69.8
19320301 19320331   101.7
19320401 19320430   147.8
19320501 19320531    70.1
19320601 19320630    17.3
19320701 19320731    56.7
19320801 19320831    17.3
19320901 19320930   137.8
19321001 19321031    60.2
19321101 19321130   210.7
19321201 19321231    79.4
19330101 19330131   308.7
19330201 19330228    53.0
19330301 19330331    33.5
19330401 19330430    76.7
19330501 19330531    12.4
19330601 19330630   176.1
19330701 19330731   152.3
19330801 19330831    35.6
19330901 19330930   130.1
19331001 19331031   162.1
19331101 19331130   146.8
19331201 19331231   200.8
19340101 19340131    94.9
19340201 19340228   222.5
19340301 19340331    67.9
19340401 19340430   154.3
19340501 19340531    84.8
19340601 19340630    13.7
19340701 19340731   111.3
19340801 19340831    89.4
19340901 19340930    89.5
19341001 19341031    90.3
19341101 19341130   142.1
19341201 19341231   181.9
19350101 19350131   156.7
19350201 19350228    90.8
19350301 19350331    46.1
19350401 19350430    31.0
19350501 19350531    20.2
19350601 19350630    15.0
19350701 19350731    99.3
19350801 19350831    10.7
19350901 19350930   101.7
19351001 19351031    38.6
19351101 19351130    25.4
19351201 19351231    99.6
19360101 19360131   178.1
19360201 19360229   162.7
19360301 19360331   148.1
19360401 19360430   110.2
19360501 19360531    84.7
19360601 19360630    39.3
19360701 19360731    39.9
19360801 19360831    21.9
19360901 19360930    60.2
19361001 19361031    11.4
19361101 19361130    25.2
19361201 19361231   226.1
19370101 19370131    87.6
19370201 19370228   219.2
19370301 19370331   244.5
19370401 19370430    42.0
19370501 19370531     4.5
19370601 19370630   117.1
19370701 19370731    36.5
19370801 19370831    36.9
19370901 19370930    29.0
19371001 19371031    78.3
19371101 19371130   178.7
19371201 19371231   123.8
19380101 19380131   168.5
19380201 19380228   160.9
19380301 19380331    28.9
19380401 19380430   178.6
19380501 19380531   136.8
19380601 19380630    31.7
19380701 19380731    31.5
19380801 19380831    58.7
19380901 19380930    24.9
19381001 19381031    45.5
19381101 19381130   153.1
19381201 19381231    45.2
19390101 19390131   145.6
19390201 19390228    15.0
19390301 19390331   340.5
19390401 19390430    85.1
19390501 19390531    12.7
19390601 19390630    49.0
19390701 19390731    23.2
19390801 19390831    67.1
19390901 19390930    50.8
19391001 19391031    94.5
19391101 19391130    81.9
19391201 19391231   134.4
19400101 19400131    96.7
19400201 19400229    80.8
19400301 19400331   155.2
19400401 19400430    45.8
19400501 19400531     8.9
19400601 19400630    35.8
19400701 19400731     9.4
19400801 19400831    18.0
19400901 19400930    12.7
19401001 19401031    34.3
19401101 19401130    71.9
19401201 19401231   137.4
19410101 19410131   277.0
19410201 19410228    58.7
19410301 19410331    25.4
19410401 19410430     1.5
19410501 19410531    65.5
19410601 19410630    43.2
19410701 19410731    24.8
19410801 19410831     7.1
19410901 19410930     5.4
19411001 19411031    73.1
19411101 19411130    79.1
19411201 19411231    15.4
19420101 19420131    48.3
19420201 19420228   161.2
19420301 19420331   120.5
19420401 19420430    19.4
19420501 19420531    13.0
19420601 19420630   123.9
19420701 19420731    92.5
19420801 19420831    12.0
19420901 19420930    17.5
19421001 19421031   281.6
19421101 19421130   185.7
19421201 19421231   176.5
19430101 19430131   137.3
19430201 19430228    33.7
19430301 19430331    42.1
19430401 19430430    40.8
19430501 19430531   114.1
19430601 19430630    38.9
19430701 19430731    19.1
19430801 19430831    78.5
19430901 19430930    61.4
19431001 19431031    78.5
19431101 19431130   193.9
19431201 19431231   227.0
19440101 19440131   246.6
19440201 19440229    45.2
19440301 19440331    47.5
19440401 19440430    25.7
19440501 19440531    31.2
19440601 19440630    32.3
19440701 19440731    89.4
19440801 19440831   305.1
19440901 19440930    31.0
19441001 19441031    48.3
19441101 19441130    54.6
19441201 19441231   106.9
19450101 19450131    82.6
19450201 19450228   119.1
19450301 19450331    26.7
19450401 19450430    70.4
19450501 19450531    81.3
19450601 19450630   454.9
19450701 19450731   145.0
19450801 19450831    38.9
19450901 19450930    41.4
19451001 19451031    31.8
19451101 19451130   135.9
19451201 19451231   119.1
19460101 19460131   121.2
19460201 19460228    98.0
19460301 19460331   381.0
19460401 19460430    70.4
19460501 19460531    10.1
19460601 19460630     6.4
19460701 19460731     3.1
19460801 19460831     2.0
19460901 19460930    75.7
19461001 19461031    52.9
19461101 19461130    54.1
19461201 19461231   102.6
19470101 19470131   195.1
19470201 19470228   222.5
19470301 19470331   215.9
19470401 19470430   156.7
19470501 19470531    66.0
19470601 19470630    12.4
19470701 19470731    12.4
19470801 19470831    42.9
19470901 19470930    61.5
19471001 19471031    57.7
19471101 19471130   187.5
19471201 19471231   234.2
19480101 19480131   125.2
19480201 19480229    77.7
19480301 19480331   168.9
19480401 19480430    31.2
19480501 19480531   120.1
19480601 19480630   440.2
19480701 19480731    24.9
19480801 19480831    43.2
19480901 19480930    59.2
19481001 19481031    24.1
19481101 19481130    87.6
19481201 19481231   148.8
19490101 19490131   112.5
19490201 19490228   169.7
19490301 19490331   281.4
19490401 19490430    65.8
19490501 19490531    39.9
19490601 19490630    85.3
19490701 19490731   102.9
19490801 19490831   210.6
19490901 19490930    86.6
19491001 19491031   175.8
19491101 19491130   185.7
19491201 19491231    96.3
19500101 19500131   248.2
19500201 19500228   230.1
19500301 19500331   118.4
19500401 19500430   142.7
19500501 19500531    28.2
19500601 19500630   725.2
19500701 19500731   244.1
19500801 19500831   118.1
19500901 19500930    88.1
19501001 19501031   140.5
19501101 19501130   222.5
19501201 19501231    88.9
19510101 19510131   279.4
19510201 19510228   137.7
19510301 19510331   150.1
19510401 19510430    18.3
19510501 19510531    19.8
19510601 19510630   171.2
19510701 19510731     4.9
19510801 19510831    35.1
19510901 19510930     5.8
19511001 19511031    16.5
19511101 19511130    48.5
19511201 19511231    47.1
19520101 19520131    94.3
19520201 19520229   188.8
19520301 19520331   101.9
19520401 19520430    46.2
19520501 19520531    70.6
19520601 19520630    51.7
19520701 19520731    87.2
19520801 19520831   305.9
19520901 19520930    19.6
19521001 19521031   152.7
19521101 19521130    26.5
19521201 19521231    88.8
19530101 19530131   107.8
19530201 19530228   295.6
19530301 19530331   168.3
