PRCP       060026 18701001 20100731 missing_value=99999.9 PORT MACQUARIE (HILL STREET)              
18701001 18701031   212.3
18701101 18701130   218.0
18701201 18701231   126.4
18710101 18710131   362.6
18710201 18710228   130.0
18710301 18710331   140.5
18710401 18710430   165.8
18710501 18710531   157.4
18710601 18710630   221.6
18710701 18710731    10.9
18710801 18710831     2.0
18710901 18710930    10.7
18711001 18711031    97.5
18711101 18711130    86.9
18711201 18711231    75.5
18720101 18720131   104.8
18720201 18720229   193.7
18720301 18720331   149.8
18720401 18720430    84.0
18720501 18720531    12.0
18720601 18720630    17.1
18720701 18720731    13.1
18720801 18720831    36.7
18720901 18720930   173.5
18721001 18721031   114.0
18721101 18721130   135.8
18721201 18721231   166.2
18730101 18730131   245.6
18730201 18730228   482.5
18730301 18730331   182.7
18730401 18730430   191.7
18730501 18730531    48.4
18730601 18730630   195.6
18730701 18730731   139.0
18730801 18730831    91.4
18730901 18730930    43.3
18731001 18731031    44.1
18731101 18731130   160.1
18731201 18731231   636.7
18740101 18740131   225.9
18740201 18740228   130.4
18740301 18740331    89.2
18740401 18740430   146.1
18740501 18740531    18.1
18740601 18740630    62.7
18740701 18740731   161.8
18740801 18740831    79.4
18740901 18740930    36.6
18741001 18741031    81.7
18741101 18741130    80.8
18741201 18741231    32.2
18750101 18750131    48.9
18750201 18750228   319.0
18750301 18750331   306.5
18750401 18750430   148.3
18750501 18750531   286.8
18750601 18750630    68.8
18750701 18750731   227.3
18750801 18750831    24.7
18750901 18750930   121.8
18751001 18751031    42.3
18751101 18751130    99.6
18751201 18751231    78.1
18760101 18760131   116.7
18760201 18760229   158.8
18760301 18760331    84.1
18760401 18760430   500.3
18760501 18760531   506.3
18760601 18760630   230.3
18760701 18760731   187.7
18760801 18760831    20.8
18760901 18760930   101.6
18761001 18761031    64.3
18761101 18761130    71.2
18761201 18761231    74.3
18770101 18770131    87.9
18770201 18770228    19.8
18770301 18770331   239.9
18770401 18770430    85.8
18770501 18770531   112.2
18770601 18770630    16.4
18770701 18770731   154.4
18770801 18770831    53.1
18770901 18770930    30.3
18771001 18771031    87.4
18771101 18771130    48.5
18771201 18771231   171.6
18780101 18780131   226.8
18780201 18780228   477.7
18780301 18780331   113.4
18780401 18780430   189.7
18780501 18780531    46.2
18780601 18780630    75.2
18780701 18780731    22.6
18780801 18780831    62.9
18780901 18780930   107.9
18781001 18781031    43.4
18781101 18781130    50.5
18781201 18781231   171.8
18790101 18790131    59.0
18790201 18790228   218.7
18790301 18790331   140.4
18790401 18790430   100.9
18790501 18790531   437.0
18790601 18790630   169.7
18790701 18790731    24.6
18790801 18790831   384.1
18790901 18790930   200.3
18791001 18791031    16.4
18791101 18791130    61.5
18791201 18791231   204.3
18800101 18800131    65.3
18800201 18800229   230.8
18800301 18800331   199.4
18800401 18800430   200.4
18800501 18800531    33.6
18800601 18800630    19.4
18800701 18800731    43.4
18800801 18800831     0.0
18800901 18800930   297.9
18801001 18801031    99.2
18801101 18801130   169.4
18801201 18801231    35.5
18810101 18810131   234.5
18810201 18810228   135.4
18810301 18810331    79.7
18810401 18810430    65.8
18810501 18810531    38.4
18810601 18810630   111.6
18810701 18810731   105.8
18810801 18810831   150.9
18810901 18810930   325.8
18811001 18811031   193.2
18811101 18811130    81.8
18811201 18811231    27.8
18820101 18820131     5.7
18820201 18820228   139.5
18820301 18820331    46.1
18820401 18820430    37.1
18820501 18820531    80.1
18820601 18820630   238.6
18820701 18820731    85.1
18820801 18820831    31.4
18820901 18820930    10.9
18821001 18821031   185.5
18821101 18821130   109.1
18821201 18821231   298.3
18830101 18830131   133.7
18830201 18830228   241.9
18830301 18830331   119.9
18830401 18830430   182.9
18830501 18830531   307.6
18830601 18830630    18.7
18830701 18830731   127.3
18830801 18830831    77.6
18830901 18830930    63.7
18831001 18831031   110.1
18831101 18831130    53.0
18831201 18831231    53.5
18840101 18840131    10.9
18840201 18840229   104.5
18840301 18840331    25.4
18840401 18840430   204.1
18840501 18840531    78.8
18840601 18840630    52.9
18840701 18840731   360.9
18840801 18840831    33.2
18840901 18840930    93.4
18841001 18841031    92.7
18841101 18841130   109.5
18841201 18841231    65.5
18850101 18850131    76.7
18850201 18850228   123.2
18850301 18850331    66.8
18850401 18850430   194.0
18850501 18850531    80.3
18850601 18850630    98.5
18850701 18850731   170.8
18850801 18850831     5.9
18850901 18850930    65.1
18851001 18851031    53.1
18851101 18851130    23.7
18851201 18851231   408.2
18860101 18860131   192.3
18860201 18860228    13.3
18860301 18860331    85.9
18860401 18860430   178.6
18860501 18860531   100.1
18860601 18860630   223.3
18860701 18860731   238.8
18860801 18860831    49.1
18860901 18860930   134.3
18861001 18861031    92.6
18861101 18861130    70.5
18861201 18861231    28.8
18870101 18870131   145.7
18870201 18870228   444.6
18870301 18870331   371.3
18870401 18870430   418.2
18870501 18870531   284.0
18870601 18870630   130.0
18870701 18870731    48.3
18870801 18870831   271.3
18870901 18870930    46.0
18871001 18871031    23.1
18871101 18871130   462.0
18871201 18871231   540.3
18880101 18880131    27.6
18880201 18880229   277.5
18880301 18880331    77.8
18880401 18880430    56.4
18880501 18880531    11.2
18880601 18880630    67.4
18880701 18880731    69.5
18880801 18880831    26.7
18880901 18880930   222.9
18881001 18881031   124.1
18881101 18881130    37.9
18881201 18881231   293.9
18890101 18890131    66.8
18890201 18890228    51.3
18890301 18890331   164.1
18890401 18890430   173.6
18890501 18890531   134.2
18890601 18890630    19.8
18890701 18890731   175.3
18890801 18890831   189.7
18890901 18890930   238.3
18891001 18891031    74.3
18891101 18891130   140.7
18891201 18891231    60.4
18900101 18900131   550.7
18900201 18900228   459.6
18900301 18900331   367.5
18900401 18900430   231.9
18900501 18900531   172.9
18900601 18900630    79.7
18900701 18900731   161.3
18900801 18900831    62.9
18900901 18900930    67.7
18901001 18901031    44.6
18901101 18901130   163.6
18901201 18901231   208.9
18910101 18910131   184.2
18910201 18910228   259.1
18910301 18910331   154.5
18910401 18910430   130.8
18910501 18910531   201.1
18910601 18910630   152.2
18910701 18910731   138.4
18910801 18910831    95.0
18910901 18910930   186.2
18911001 18911031    39.7
18911101 18911130   127.9
18911201 18911231   222.4
18920101 18920131   165.5
18920201 18920229   289.1
18920301 18920331   358.3
18920401 18920430   297.1
18920501 18920531   121.0
18920601 18920630    91.7
18920701 18920731    44.6
18920801 18920831    93.8
18920901 18920930    87.9
18921001 18921031   184.8
18921101 18921130   160.8
18921201 18921231   160.3
18930101 18930131   108.8
18930201 18930228   260.5
18930301 18930331   271.9
18930401 18930430   114.3
18930501 18930531    62.5
18930601 18930630   286.3
18930701 18930731    66.5
18930801 18930831    86.3
18930901 18930930    32.5
18931001 18931031   191.4
18931101 18931130    94.1
18931201 18931231    46.5
18940101 18940131   118.0
18940201 18940228   132.5
18940301 18940331   417.5
18940401 18940430    92.3
18940501 18940531   103.6
18940601 18940630    62.6
18940701 18940731    15.0
18940801 18940831    21.7
18940901 18940930   172.6
18941001 18941031   159.4
18941101 18941130    37.4
18941201 18941231   128.7
18950101 18950131   836.9
18950201 18950228   319.7
18950301 18950331   135.5
18950401 18950430    70.3
18950501 18950531    59.1
18950601 18950630    10.5
18950701 18950731    12.0
18950801 18950831    17.0
18950901 18950930    76.8
18951001 18951031    24.5
18951101 18951130   195.1
18951201 18951231   246.5
18960101 18960131    78.8
18960201 18960229   178.8
18960301 18960331   112.0
18960401 18960430    14.2
18960501 18960531   102.6
18960601 18960630    73.5
18960701 18960731    32.3
18960801 18960831    44.9
18960901 18960930    28.9
18961001 18961031    38.0
18961101 18961130   193.7
18961201 18961231    56.9
18970101 18970131    36.1
18970201 18970228    50.2
18970301 18970331   115.8
18970401 18970430    87.9
18970501 18970531   238.5
18970601 18970630   445.3
18970701 18970731    85.6
18970801 18970831    65.0
18970901 18970930    29.1
18971001 18971031    17.3
18971101 18971130    31.5
18971201 18971231   303.6
18980101 18980131   187.0
18980201 18980228   148.1
18980301 18980331   106.0
18980401 18980430    73.8
18980501 18980531   196.0
18980601 18980630   420.9
18980701 18980731   101.7
18980801 18980831    74.4
18980901 18980930   267.9
18981001 18981031    40.9
18981101 18981130    39.9
18981201 18981231   167.4
18990101 18990131    53.1
18990201 18990228   127.5
18990301 18990331   152.6
18990401 18990430    57.4
18990501 18990531   203.2
18990601 18990630   137.3
18990701 18990731   222.6
18990801 18990831   775.5
18990901 18990930   185.6
18991001 18991031   148.1
18991101 18991130   126.2
18991201 18991231    63.8
19000101 19000131    49.6
19000201 19000228    40.9
19000301 19000331    44.0
19000401 19000430    75.4
19000501 19000531   457.5
19000601 19000630   217.7
19000701 19000731   273.1
19000801 19000831     4.3
19000901 19000930    23.5
19001001 19001031    15.9
19001101 19001130   134.2
19001201 19001231   118.1
19010101 19010131   115.6
19010201 19010228   104.3
19010301 19010331    73.2
19010401 19010430   106.2
19010501 19010531   219.7
19010601 19010630   104.9
19010701 19010731   184.2
19010801 19010831    55.2
19010901 19010930    29.6
19011001 19011031   161.7
19011101 19011130    41.0
19011201 19011231    33.2
19020101 19020131   104.7
19020201 19020228    50.4
19020301 19020331   108.0
19020401 19020430   124.4
19020501 19020531    39.8
19020601 19020630    34.9
19020701 19020731    18.4
19020801 19020831    77.0
19020901 19020930    47.0
19021001 19021031   174.2
19021101 19021130    83.6
19021201 19021231    53.8
19030101 19030131   106.4
19030201 19030228    63.7
19030301 19030331   170.4
19030401 19030430    38.6
19030501 19030531   131.2
19030601 19030630   196.8
19030701 19030731   177.2
19030801 19030831   193.1
19030901 19030930   116.4
19031001 19031031   123.7
19031101 19031130   116.0
19031201 19031231   249.2
19040101 19040131   194.3
19040201 19040229   160.5
19040301 19040331   184.3
19040401 19040430   392.0
19040501 19040531    83.9
19040601 19040630     3.3
19040701 19040731   236.4
19040801 19040831    69.9
19040901 19040930    15.5
19041001 19041031    62.1
19041101 19041130    27.2
19041201 19041231    15.2
19050101 19050131   103.2
19050201 19050228   182.7
19050301 19050331    78.9
19050401 19050430   313.0
19050501 19050531   205.1
19050601 19050630    21.1
19050701 19050731     5.8
19050801 19050831    15.0
19050901 19050930    12.7
19051001 19051031    34.9
19051101 19051130    53.0
19051201 19051231    55.7
19060101 19060131    59.4
19060201 19060228    69.6
19060301 19060331   177.6
19060401 19060430   149.5
19060501 19060531   109.7
19060601 19060630    35.9
19060701 19060731     6.9
19060801 19060831   229.3
19060901 19060930   220.2
19061001 19061031    38.3
19061101 19061130    74.1
19061201 19061231   137.2
19070101 19070131   244.6
19070201 19070228   171.4
19070301 19070331   163.6
19070401 19070430    28.5
19070501 19070531   150.0
19070601 19070630   219.0
19070701 19070731    10.4
19070801 19070831    10.9
19070901 19070930     0.8
19071001 19071031    34.1
19071101 19071130    61.6
19071201 19071231   100.9
19080101 19080131    35.0
19080201 19080229   447.8
19080301 19080331   204.8
19080401 19080430   115.4
19080501 19080531    42.0
19080601 19080630    14.5
19080701 19080731   125.4
19080801 19080831   189.5
19080901 19080930    50.3
19081001 19081031    13.2
19081101 19081130   130.2
19081201 19081231    45.2
19090101 19090131    24.3
19090201 19090228    95.1
19090301 19090331   171.0
19090401 19090430   129.4
19090501 19090531    55.4
19090601 19090630    82.9
19090701 19090731    50.6
19090801 19090831    36.2
19090901 19090930   132.3
19091001 19091031    37.1
19091101 19091130   159.5
19091201 19091231   157.7
19100101 19100131   213.3
19100201 19100228    62.8
19100301 19100331   285.6
19100401 19100430   167.5
19100501 19100531    65.3
19100601 19100630   102.2
19100701 19100731     0.5
19100801 19100831    18.9
19100901 19100930     8.5
19101001 19101031    89.6
19101101 19101130    41.4
19101201 19101231   119.1
19110101 19110131   242.7
19110201 19110228   267.2
19110301 19110331   271.9
19110401 19110430    59.4
19110501 19110531   127.5
19110601 19110630    15.3
19110701 19110731   150.5
19110801 19110831   186.6
19110901 19110930    79.2
19111001 19111031    64.8
19111101 19111130   130.6
19111201 19111231    59.7
19120101 19120131    69.5
19120201 19120229   212.3
19120301 19120331   144.9
19120401 19120430    83.4
19120501 19120531    47.3
19120601 19120630    98.2
19120701 19120731   357.8
19120801 19120831    33.6
19120901 19120930    14.5
19121001 19121031    43.0
19121101 19121130    82.8
19121201 19121231    84.7
19130101 19130131    60.7
19130201 19130228   128.9
19130301 19130331    18.3
19130401 19130430   320.8
19130501 19130531   429.3
19130601 19130630   347.8
19130701 19130731    92.6
19130801 19130831     8.1
19130901 19130930   131.9
19131001 19131031    56.0
19131101 19131130    20.2
19131201 19131231    28.0
19140101 19140131    23.2
19140201 19140228   137.0
19140301 19140331   345.5
19140401 19140430    44.5
19140501 19140531   215.6
19140601 19140630   273.0
19140701 19140731    67.5
19140801 19140831    83.5
19140901 19140930   297.2
19141001 19141031   419.5
19141101 19141130    88.6
19141201 19141231   122.7
19150101 19150131    45.5
19150201 19150228    43.8
19150301 19150331    38.4
19150401 19150430    69.6
19150501 19150531   265.1
19150601 19150630    24.5
19150701 19150731    33.3
19150801 19150831    52.8
19150901 19150930    14.2
19151001 19151031    35.0
19151101 19151130     6.1
19151201 19151231   105.7
19160101 19160131    56.9
19160201 19160229   113.3
19160301 19160331   215.7
19160401 19160430   344.2
19160501 19160531   245.1
19160601 19160630    36.5
19160701 19160731    26.0
19160801 19160831    78.2
19160901 19160930    43.6
19161001 19161031    65.0
19161101 19161130    89.2
19161201 19161231   167.9
19170101 19170131    85.5
19170201 19170228   176.2
19170301 19170331   168.4
19170401 19170430   152.9
19170501 19170531   101.4
19170601 19170630    42.6
19170701 19170731    10.5
19170801 19170831    40.0
19170901 19170930   102.1
19171001 19171031    85.0
19171101 19171130   236.7
19171201 19171231    85.8
19180101 19180131   185.9
19180201 19180228   152.3
19180301 19180331   141.1
19180401 19180430   175.9
19180501 19180531    69.0
19180601 19180630     6.8
19180701 19180731   100.6
19180801 19180831    58.0
19180901 19180930    95.9
19181001 19181031    53.2
19181101 19181130    28.4
19181201 19181231    72.1
19190101 19190131   117.2
19190201 19190228   173.0
19190301 19190331   149.8
19190401 19190430   130.2
19190501 19190531   282.0
19190601 19190630    99.8
19190701 19190731    73.3
19190801 19190831     3.3
19190901 19190930    18.3
19191001 19191031   129.8
19191101 19191130    46.5
19191201 19191231    60.3
19200101 19200131   152.7
19200201 19200229   111.4
19200301 19200331   119.5
19200401 19200430    79.5
19200501 19200531   112.2
19200601 19200630    62.1
19200701 19200731   108.5
19200801 19200831     9.2
19200901 19200930    65.8
19201001 19201031    82.8
19201101 19201130   134.9
19201201 19201231   100.2
19210101 19210131   258.8
19210201 19210228    59.0
19210301 19210331    92.5
19210401 19210430   149.1
19210501 19210531   249.0
19210601 19210630   190.2
19210701 19210731   206.8
19210801 19210831    25.9
19210901 19210930   147.9
19211001 19211031   123.8
19211101 19211130    29.6
19211201 19211231   200.5
19220101 19220131   123.2
19220201 19220228   408.9
19220301 19220331    17.7
19220401 19220430    71.9
19220501 19220531   197.8
19220601 19220630   104.6
19220701 19220731   254.3
19220801 19220831   188.6
19220901 19220930   202.7
19221001 19221031    29.9
19221101 19221130    28.5
19221201 19221231    88.5
19230101 19230131   133.5
19230201 19230228    95.0
19230301 19230331    65.9
19230401 19230430   318.6
19230501 19230531    31.4
19230601 19230630    35.7
19230701 19230731   116.6
19230801 19230831   144.7
19230901 19230930    74.0
19231001 19231031    42.7
19231101 19231130    29.0
19231201 19231231   153.0
19240101 19240131   104.9
19240201 19240229    86.7
19240301 19240331   157.9
19240401 19240430   142.3
19240501 19240531   107.4
19240601 19240630    53.0
19240701 19240731   120.0
19240801 19240831    57.8
19240901 19240930    33.8
19241001 19241031    62.0
19241101 19241130   187.3
19241201 19241231    98.8
19250101 19250131    95.5
19250201 19250228    68.7
19250301 19250331   209.2
19250401 19250430   193.8
19250501 19250531   348.8
19250601 19250630   129.2
19250701 19250731    10.7
19250801 19250831   134.6
19250901 19250930    17.9
19251001 19251031    44.0
19251101 19251130   102.8
19251201 19251231   121.6
19260101 19260131    26.9
19260201 19260228    16.0
19260301 19260331   162.2
19260401 19260430    46.3
19260501 19260531   114.7
19260601 19260630   160.4
19260701 19260731   158.6
19260801 19260831    63.4
19260901 19260930    37.1
19261001 19261031    11.0
19261101 19261130     1.6
19261201 19261231   177.0
19270101 19270131   247.4
19270201 19270228   159.4
19270301 19270331   155.4
19270401 19270430   474.9
19270501 19270531    13.6
19270601 19270630   104.5
19270701 19270731     1.0
19270801 19270831    25.4
19270901 19270930    78.2
19271001 19271031   152.0
19271101 19271130   186.9
19271201 19271231   103.4
19280101 19280131   246.2
19280201 19280229   251.4
19280301 19280331    83.2
19280401 19280430   129.9
19280501 19280531   112.1
19280601 19280630   313.3
19280701 19280731    88.7
19280801 19280831    31.2
19280901 19280930     1.8
19281001 19281031    46.4
19281101 19281130    50.7
19281201 19281231    37.0
19290101 19290131    95.2
19290201 19290228   844.5
19290301 19290331   177.0
19290401 19290430   223.0
19290501 19290531   132.5
19290601 19290630   153.3
19290701 19290731    92.3
19290801 19290831    74.4
19290901 19290930   116.3
19291001 19291031   286.0
