PRCP       061000 18940601 20130531 missing_value=99999.9 ABERDEEN (MAIN RD)                        
18940601 18940630    23.9
18940701 18940731    23.0
18940801 18940831    11.4
18940901 18940930    37.6
18941001 18941031    38.3
18941101 18941130    17.5
18941201 18941231    88.9
18950101 18950131   166.2
18950201 18950228    38.1
18950301 18950331     9.1
18950401 18950430    12.7
18950501 18950531    22.4
18950601 18950630    27.0
18950701 18950731    10.9
18950801 18950831    20.1
18950901 18950930    41.9
18951001 18951031    11.5
18951101 18951130    82.9
18951201 18951231   117.6
18960101 18960131    47.2
18960201 18960229   141.1
18960301 18960331    49.8
18960401 18960430    13.3
18960501 18960531    61.9
18960601 18960630    51.4
18960701 18960731    33.4
18960801 18960831    54.2
18960901 18960930     4.1
18961001 18961031    36.8
18961101 18961130    49.2
18961201 18961231    27.8
18970101 18970131    13.7
18970201 18970228     8.4
18970301 18970331     3.8
18970401 18970430    43.9
18970501 18970531    30.4
18970601 18970630    64.1
18970701 18970731    98.1
18970801 18970831    25.5
18970901 18970930    23.6
18971001 18971031    51.6
18971101 18971130     3.0
18971201 18971231   121.7
18980101 18980131   163.6
18980201 18980228   115.8
18980301 18980331     0.0
18980401 18980430     8.4
18980501 18980531    57.3
18980601 18980630    54.3
18980701 18980731    31.0
18980801 18980831    28.5
18980901 18980930    54.0
18981001 18981031    40.6
18981101 18981130    13.0
18981201 18981231    32.7
18990101 18990131    78.5
18990201 18990228     1.0
18990301 18990331    15.5
18990401 18990430    73.7
18990501 18990531    15.8
18990601 18990630    51.6
18990701 18990731    38.5
18990801 18990831   178.9
18990901 18990930    20.9
18991001 18991031    32.9
18991101 18991130    17.7
18991201 18991231    20.9
19000101 19000131    22.4
19000201 19000228    11.0
19000301 19000331    50.1
19000401 19000430    28.2
19000501 19000531    57.8
19000601 19000630   125.5
19000701 19000731    75.4
19000801 19000831    18.8
19000901 19000930    23.0
19001001 19001031     4.6
19001101 19001130    26.8
19001201 19001231    62.1
19010101 19010131    68.3
19010201 19010228     8.4
19010301 19010331    68.6
19010401 19010430    39.8
19010501 19010531    23.1
19010601 19010630    26.2
19010701 19010731    15.5
19010801 19010831    56.3
19010901 19010930     3.1
19011001 19011031    29.3
19011101 19011130    28.1
19011201 19011231     1.3
19020101 19020131    36.8
19020201 19020228    14.8
19020301 19020331    15.5
19020401 19020430     4.1
19020501 19020531     1.5
19020601 19020630    16.9
19020701 19020731    19.6
19020801 19020831    31.4
19020901 19020930    36.8
19021001 19021031   123.5
19021101 19021130    13.0
19021201 19021231   111.7
19030101 19030131     1.5
19030201 19030228     1.1
19030301 19030331    43.2
19030401 19030430    37.8
19030501 19030531    31.0
19030601 19030630    45.4
19030701 19030731    38.3
19030801 19030831    92.9
