PRCP       061010 18950901 20180131 missing_value=99999.9 CLARENCE TOWN (GREY ST)                   
18950901 18950930    39.3
18951001 18951031     4.8
18951101 18951130   151.6
18951201 18951231   217.6
18960101 18960131    53.4
18960201 18960229   193.0
18960301 18960331    99.4
18960401 18960430     0.0
18960501 18960531   166.9
18960601 18960630    59.2
18960701 18960731    55.9
18960801 18960831    74.6
18960901 18960930    14.3
18961001 18961031    66.0
18961101 18961130   125.3
18961201 18961231    56.8
18970101 18970131    52.8
18970201 18970228    19.0
18970301 18970331    32.1
18970401 18970430    59.4
18970501 18970531    90.2
18970601 18970630   242.3
18970701 18970731    58.7
18970801 18970831    82.9
18970901 18970930    30.0
18971001 18971031    48.0
18971101 18971130     1.3
18971201 18971231   316.2
18980101 18980131   175.2
18980201 18980228    84.9
18980301 18980331    51.5
18980401 18980430    12.2
18980501 18980531   182.6
18980601 18980630   125.2
18980701 18980731    97.5
18980801 18980831    74.2
18980901 18980930   113.8
18981001 18981031    46.9
18981101 18981130    14.3
18981201 18981231    79.5
18990101 18990131    50.3
18990201 18990228    31.6
18990301 18990331     7.6
18990401 18990430   203.7
18990501 18990531    55.1
18990601 18990630   111.3
18990701 18990731   131.3
18990801 18990831   472.7
18990901 18990930    66.2
18991001 18991031   104.2
18991101 18991130    76.0
18991201 18991231    32.0
19000101 19000131    33.6
19000201 19000228     8.2
19000301 19000331    75.2
19000401 19000430    62.4
19000501 19000531    81.9
19000601 19000630   217.2
19000701 19000731   163.9
19000801 19000831    23.1
19000901 19000930    48.1
19001001 19001031    26.1
19001101 19001130    94.6
19001201 19001231    68.8
19010101 19010131    91.4
19010201 19010228    28.1
19010301 19010331    85.4
19010401 19010430    65.9
19010501 19010531    70.4
19010601 19010630    27.0
19010701 19010731    86.7
19010801 19010831    40.2
19010901 19010930    30.0
19011001 19011031   151.5
19011101 19011130    51.8
19011201 19011231    42.5
19020101 19020131    74.5
19020201 19020228    11.7
19020301 19020331    41.5
19020401 19020430   135.2
19020501 19020531    17.9
19020601 19020630    11.9
19020701 19020731    65.5
19020801 19020831    78.5
19020901 19020930    13.7
19021001 19021031   200.6
19021101 19021130    70.7
19021201 19021231    43.7
19030101 19030131    22.1
19030201 19030228    20.5
19030301 19030331   215.5
19030401 19030430    28.2
19030501 19030531    70.3
19030601 19030630    49.2
19030701 19030731    96.0
19030801 19030831   110.7
19030901 19030930   259.4
19031001 19031031   123.9
19031101 19031130   145.0
19031201 19031231   137.9
19040101 19040131    44.3
19040201 19040229   144.8
19040301 19040331   128.6
19040401 19040430   163.7
19040501 19040531    16.6
19040601 19040630     5.1
19040701 19040731   253.0
19040801 19040831    41.2
19040901 19040930    21.1
19041001 19041031    60.9
19041101 19041130    25.1
19041201 19041231    17.0
19050101 19050131    26.3
19050201 19050228    10.7
19050301 19050331   159.1
19050401 19050430    95.9
19050501 19050531    28.2
19050601 19050630    22.6
19050701 19050731    12.2
19050801 19050831    39.3
19050901 19050930    44.0
19051001 19051031    32.2
19051101 19051130    34.8
19051201 19051231   100.3
19060101 19060131    27.2
19060201 19060228    28.8
19060301 19060331    76.6
19060401 19060430    27.2
19060501 19060531    82.8
19060601 19060630    17.7
19060701 19060731     4.6
19060801 19060831   205.0
19060901 19060930    37.2
19061001 19061031    70.3
19061101 19061130    60.0
19061201 19061231    31.3
19070101 19070131    98.2
19070201 19070228    56.3
19070301 19070331   177.7
19070401 19070430    45.2
19070501 19070531    72.7
19070601 19070630   151.8
19070701 19070731     4.1
19070801 19070831    15.5
19070901 19070930     3.3
19071001 19071031     6.1
19071101 19071130   130.1
19071201 19071231   113.0
19080101 19080131    19.6
19080201 19080229   512.0
19080301 19080331    87.9
19080401 19080430   132.7
19080501 19080531    43.2
19080601 19080630    19.2
19080701 19080731   157.6
19080801 19080831   145.1
19080901 19080930    59.4
19081001 19081031    23.8
