PRCP       061071 18890501 20180131 missing_value=99999.9 STROUD POST OFFICE                        
18890501 18890531   221.2
18890601 18890630    33.5
18890701 18890731   293.9
18890801 18890831   135.7
18890901 18890930    78.7
18891001 18891031   145.1
18891101 18891130    96.7
18891201 18891231    17.4
18900101 18900131   156.8
18900201 18900228   448.0
18900301 18900331   350.7
18900401 18900430   197.7
18900501 18900531   182.5
18900601 18900630    90.9
18900701 18900731   173.9
18900801 18900831    34.8
18900901 18900930    49.3
18901001 18901031    21.4
18901101 18901130   139.6
18901201 18901231    54.6
18910101 18910131   127.6
18910201 18910228   216.3
18910301 18910331   141.7
18910401 18910430    67.5
18910501 18910531    66.6
18910601 18910630   216.8
18910701 18910731   116.5
18910801 18910831    65.6
18910901 18910930   161.5
18911001 18911031    54.4
18911101 18911130   139.7
18911201 18911231    93.3
18920101 18920131   142.8
18920201 18920229   196.9
18920301 18920331   421.0
18920401 18920430   258.3
18920501 18920531    41.4
18920601 18920630    27.2
18920701 18920731    39.3
18920801 18920831   111.0
18920901 18920930   105.7
18921001 18921031    99.6
18921101 18921130   120.0
18921201 18921231   168.0
18930101 18930131   168.0
18930201 18930228   198.7
18930301 18930331   493.3
18930401 18930430    34.2
18930501 18930531    38.3
18930601 18930630   221.2
18930701 18930731    92.4
18930801 18930831    90.7
18930901 18930930    47.9
18931001 18931031   235.6
18931101 18931130   122.4
18931201 18931231    75.7
18940101 18940131    94.9
18940201 18940228   114.9
18940301 18940331   429.5
18940401 18940430    82.0
18940501 18940531    62.1
18940601 18940630    27.0
18940701 18940731    29.8
18940801 18940831    22.0
18940901 18940930    82.9
18941001 18941031   118.8
18941101 18941130     9.2
18941201 18941231   158.0
18950101 18950131   538.3
18950201 18950228   157.8
18950301 18950331    47.6
18950401 18950430    42.3
18950501 18950531    65.4
18950601 18950630    15.3
18950701 18950731     6.9
18950801 18950831    12.2
18950901 18950930    52.3
18951001 18951031    15.2
18951101 18951130   168.0
18951201 18951231   178.6
18960101 18960131    74.2
18960201 18960229   235.5
18960301 18960331    91.1
18960401 18960430    14.2
18960501 18960531   130.8
18960601 18960630    61.4
18960701 18960731    62.5
18960801 18960831    48.7
18960901 18960930     8.2
18961001 18961031    57.7
18961101 18961130   118.6
18961201 18961231   125.4
18970101 18970131    14.8
18970201 18970228    26.2
18970301 18970331    23.1
18970401 18970430    87.4
18970501 18970531    41.0
18970601 18970630   155.5
18970701 18970731    79.0
18970801 18970831   131.0
18970901 18970930    14.0
18971001 18971031    28.9
18971101 18971130     5.1
18971201 18971231   274.7
18980101 18980131   139.9
18980201 18980228    61.9
18980301 18980331    77.4
18980401 18980430    70.0
18980501 18980531   131.6
18980601 18980630   159.1
18980701 18980731   106.0
18980801 18980831    96.1
18980901 18980930    98.3
18981001 18981031    29.4
18981101 18981130    26.1
18981201 18981231   110.9
18990101 18990131    42.4
18990201 18990228    34.6
18990301 18990331    11.2
18990401 18990430   181.5
18990501 18990531    66.2
18990601 18990630   110.0
18990701 18990731   213.1
18990801 18990831   494.3
18990901 18990930    59.2
18991001 18991031    55.5
18991101 18991130    74.9
18991201 18991231    50.3
19000101 19000131    14.2
19000201 19000228    11.6
19000301 19000331    59.9
19000401 19000430    55.9
19000501 19000531    96.9
19000601 19000630   214.0
19000701 19000731   149.1
19000801 19000831    13.5
19000901 19000930    86.6
19001001 19001031    73.9
19001101 19001130    90.5
19001201 19001231    59.3
