PRCP       062021 18760301 20180131 missing_value=99999.9 MUDGEE (GEORGE STREET)                    
18760301 18760331    31.6
18760401 18760430     7.6
18760501 18760531   137.4
18760601 18760630    21.3
18760701 18760731    43.9
18760801 18760831    64.7
18760901 18760930    32.4
18761001 18761031    43.4
18761101 18761130    71.4
18761201 18761231    22.8
18770101 18770131    16.8
18770201 18770228     3.8
18770301 18770331    34.0
18770401 18770430    11.7
18770501 18770531   132.8
18770601 18770630    38.0
18770701 18770731    15.0
18770801 18770831     4.0
18770901 18770930    63.9
18771001 18771031    46.7
18771101 18771130     7.6
18771201 18771231    39.3
18780101 18780131    12.9
18780201 18780228   248.1
18780301 18780331   102.5
18780401 18780430    23.1
18780501 18780531     6.4
18780601 18780630    40.3
18780701 18780731   117.4
18780801 18780831    53.3
18780901 18780930   129.0
18781001 18781031    68.0
18781101 18781130    63.8
18781201 18781231    96.2
18790101 18790131    31.7
18790201 18790228    97.3
18790301 18790331    39.6
18790401 18790430    83.7
18790501 18790531   128.8
18790601 18790630    29.2
18790701 18790731    69.4
18790801 18790831   122.0
18790901 18790930   188.1
18791001 18791031    42.6
18791101 18791130    34.3
18791201 18791231    61.2
18800101 18800131    34.1
18800201 18800229     0.0
18800301 18800331    41.5
18800401 18800430   107.8
18800501 18800531    72.2
18800601 18800630    22.6
18800701 18800731     9.4
18800801 18800831    36.0
18800901 18800930    86.8
18801001 18801031    28.9
18801101 18801130    20.0
18801201 18801231    27.9
18810101 18810131    36.6
18810201 18810228    68.0
18810301 18810331    23.0
18810401 18810430     6.9
18810501 18810531    41.1
18810601 18810630    42.9
18810701 18810731     7.8
18810801 18810831    59.2
18810901 18810930    32.3
18811001 18811031    37.6
18811101 18811130    83.0
18811201 18811231    25.2
18820101 18820131     0.0
18820201 18820228    14.2
18820301 18820331    27.4
18820401 18820430    22.4
18820501 18820531    49.0
18820601 18820630    57.6
18820701 18820731    48.5
18820801 18820831    28.2
18820901 18820930     2.5
18821001 18821031   136.9
18821101 18821130    51.3
18821201 18821231    81.8
18830101 18830131    22.9
18830201 18830228    92.9
18830301 18830331    11.2
18830401 18830430    55.8
18830501 18830531    65.7
18830601 18830630    23.5
18830701 18830731    22.0
18830801 18830831    54.6
18830901 18830930    27.3
18831001 18831031    96.5
18831101 18831130    19.6
18831201 18831231    11.4
18840101 18840131     4.8
18840201 18840229    10.2
18840301 18840331    10.9
18840401 18840430    90.2
18840501 18840531    29.0
18840601 18840630    54.2
18840701 18840731    60.0
18840801 18840831    26.7
18840901 18840930    92.5
18841001 18841031    26.7
18841101 18841130    45.5
18841201 18841231    53.7
18850101 18850131    68.7
18850201 18850228    42.3
18850301 18850331    94.8
18850401 18850430    31.5
18850501 18850531    27.9
18850601 18850630    74.3
18850701 18850731     1.8
18850801 18850831     4.3
18850901 18850930    48.0
18851001 18851031     6.3
18851101 18851130    74.2
18851201 18851231   147.7
18860101 18860131    45.7
18860201 18860228    10.7
18860301 18860331    26.5
18860401 18860430    86.4
18860501 18860531    69.9
18860601 18860630    49.1
18860701 18860731    67.4
18860801 18860831   171.4
18860901 18860930    19.6
18861001 18861031    45.4
18861101 18861130   110.7
18861201 18861231   161.4
18870101 18870131   117.4
18870201 18870228   114.7
18870301 18870331    82.1
