PRCP       062026 18850101 20171130 missing_value=99999.9 RYLSTONE (ILFORD RD)                      
18850101 18850131    54.6
18850201 18850228    87.4
18850301 18850331    37.6
18850401 18850430    20.4
18850501 18850531    32.8
18850601 18850630    81.8
18850701 18850731     0.0
18850801 18850831     0.0
18850901 18850930    41.9
18851001 18851031    18.7
18851101 18851130    52.4
18851201 18851231   137.2
18860101 18860131    43.4
18860201 18860228     3.0
18860301 18860331    15.3
18860401 18860430    65.8
18860501 18860531    61.9
18860601 18860630    33.5
18860701 18860731    27.2
18860801 18860831   132.7
18860901 18860930    23.1
18861001 18861031    38.4
18861101 18861130    96.3
18861201 18861231   125.0
18870101 18870131   183.4
18870201 18870228   192.7
18870301 18870331    61.9
18870401 18870430    14.7
18870501 18870531    37.0
18870601 18870630    18.5
18870701 18870731    56.9
18870801 18870831   123.7
18870901 18870930    18.5
18871001 18871031    25.2
18871101 18871130   101.7
18871201 18871231   227.3
18880101 18880131    22.1
18880201 18880229    98.8
18880301 18880331    18.6
18880401 18880430     6.1
18880501 18880531    23.9
18880601 18880630    40.7
18880701 18880731     9.4
18880801 18880831     0.0
18880901 18880930    55.1
18881001 18881031     1.8
18881101 18881130     0.0
18881201 18881231    69.7
18890101 18890131    34.5
18890201 18890228    45.0
18890301 18890331     0.0
18890401 18890430   154.2
18890501 18890531   158.6
18890601 18890630    76.1
18890701 18890731    24.9
18890801 18890831    39.7
18890901 18890930    37.1
18891001 18891031    67.8
18891101 18891130    95.6
18891201 18891231    81.3
18900101 18900131    40.4
18900201 18900228   166.2
18900301 18900331    99.4
18900401 18900430    16.8
18900501 18900531    62.4
18900601 18900630    95.4
18900701 18900731    22.5
18900801 18900831    33.7
18900901 18900930    91.5
18901001 18901031    34.8
18901101 18901130    68.6
18901201 18901231    30.0
18910101 18910131   132.5
18910201 18910228    43.2
18910301 18910331    37.3
18910401 18910430    51.1
18910501 18910531    15.5
18910601 18910630   170.7
18910701 18910731    43.2
18910801 18910831    45.0
18910901 18910930   110.2
18911001 18911031    33.9
18911101 18911130    68.7
18911201 18911231    37.6
18920101 18920131    36.6
18920201 18920229    35.3
18920301 18920331    30.8
18920401 18920430    85.7
18920501 18920531    63.4
18920601 18920630    52.3
18920701 18920731    82.8
18920801 18920831    65.1
18920901 18920930   156.0
18921001 18921031    78.3
18921101 18921130    40.1
18921201 18921231    81.3
18930101 18930131    87.4
18930201 18930228    31.5
18930301 18930331   136.4
18930401 18930430    38.3
18930501 18930531    78.0
18930601 18930630    58.4
18930701 18930731    60.9
18930801 18930831    46.2
18930901 18930930    22.1
18931001 18931031    74.4
18931101 18931130    77.0
18931201 18931231    44.0
18940101 18940131    41.2
18940201 18940228     9.1
18940301 18940331   131.8
18940401 18940430    48.9
18940501 18940531     8.9
18940601 18940630    49.8
18940701 18940731    31.2
18940801 18940831    12.4
18940901 18940930    70.1
18941001 18941031    55.2
18941101 18941130    20.1
18941201 18941231    86.7
18950101 18950131   193.2
18950201 18950228    20.8
18950301 18950331     0.0
18950401 18950430    38.2
18950501 18950531    20.1
18950601 18950630    28.0
18950701 18950731    14.2
18950801 18950831    22.1
18950901 18950930    55.7
18951001 18951031    53.8
18951101 18951130    30.2
18951201 18951231    83.8
18960101 18960131    49.0
18960201 18960229   157.0
18960301 18960331    49.6
18960401 18960430    28.4
18960501 18960531    36.6
18960601 18960630    59.0
18960701 18960731    18.6
18960801 18960831    47.2
18960901 18960930     7.1
18961001 18961031    39.8
18961101 18961130    79.0
18961201 18961231    59.7
18970101 18970131    42.9
18970201 18970228    14.7
18970301 18970331    11.7
18970401 18970430    26.6
18970501 18970531    32.5
18970601 18970630   116.0
18970701 18970731    79.2
18970801 18970831    23.1
18970901 18970930    31.7
18971001 18971031    64.3
18971101 18971130    22.6
18971201 18971231    38.6
18980101 18980131   141.7
18980201 18980228    52.8
18980301 18980331     1.8
18980401 18980430     0.0
18980501 18980531    47.0
18980601 18980630    81.1
18980701 18980731     6.4
18980801 18980831    35.2
18980901 18980930    62.0
18981001 18981031   115.6
18981101 18981130     0.3
18981201 18981231    12.9
18990101 18990131    72.4
18990201 18990228     0.8
18990301 18990331    21.6
18990401 18990430   116.1
18990501 18990531    14.4
18990601 18990630    34.8
18990701 18990731    58.1
18990801 18990831    96.9
18990901 18990930    22.8
18991001 18991031    11.1
18991101 18991130    44.9
18991201 18991231    12.9
19000101 19000131   102.3
19000201 19000228    13.5
19000301 19000331    49.4
19000401 19000430   107.9
19000501 19000531    76.3
19000601 19000630    96.9
19000701 19000731    67.3
19000801 19000831    19.3
19000901 19000930    49.1
19001001 19001031     6.6
19001101 19001130    41.9
19001201 19001231    41.0
19010101 19010131    30.7
19010201 19010228     5.8
19010301 19010331   138.2
19010401 19010430    93.7
19010501 19010531    42.0
19010601 19010630    20.3
19010701 19010731     6.3
19010801 19010831    78.8
19010901 19010930    20.3
19011001 19011031    40.9
19011101 19011130    33.7
19011201 19011231     7.9
19020101 19020131     8.9
19020201 19020228     5.8
19020301 19020331    18.3
19020401 19020430     0.0
19020501 19020531     1.8
19020601 19020630    13.3
19020701 19020731    41.4
19020801 19020831    51.2
19020901 19020930    28.7
19021001 19021031    37.3
19021101 19021130    38.1
19021201 19021231    70.1
19030101 19030131     9.2
19030201 19030228     9.4
19030301 19030331   109.4
19030401 19030430   163.6
19030501 19030531    38.3
19030601 19030630    17.4
19030701 19030731    31.2
19030801 19030831    30.8
19030901 19030930   126.4
19031001 19031031    54.5
19031101 19031130    51.0
19031201 19031231   128.0
19040101 19040131    57.7
19040201 19040229    65.7
19040301 19040331    47.7
19040401 19040430    32.6
19040501 19040531    20.8
19040601 19040630    17.4
19040701 19040731   144.3
19040801 19040831    55.7
19040901 19040930    19.1
19041001 19041031   109.3
19041101 19041130     9.4
19041201 19041231    54.9
19050101 19050131     1.8
19050201 19050228    39.2
19050301 19050331    63.0
19050401 19050430    71.9
19050501 19050531    57.7
19050601 19050630    42.6
19050701 19050731    31.5
19050801 19050831    20.8
19050901 19050930     8.4
19051001 19051031    52.3
19051101 19051130    27.6
19051201 19051231    11.4
19060101 19060131    13.8
19060201 19060228     5.4
19060301 19060331    82.2
19060401 19060430    10.6
19060501 19060531    18.8
19060601 19060630    55.0
19060701 19060731    16.5
19060801 19060831   133.2
19060901 19060930    64.9
19061001 19061031    80.9
19061101 19061130    88.9
19061201 19061231    48.2
19070101 19070131    87.1
19070201 19070228    35.8
19070301 19070331   132.8
19070401 19070430    11.4
19070501 19070531     3.8
19070601 19070630    40.3
19070701 19070731    41.0
19070801 19070831    36.8
19070901 19070930    40.4
19071001 19071031    14.5
19071101 19071130    70.1
19071201 19071231    98.6
19080101 19080131    59.6
19080201 19080229   135.3
19080301 19080331    19.8
19080401 19080430    19.6
19080501 19080531    28.5
19080601 19080630    47.3
19080701 19080731    50.8
19080801 19080831    64.5
19080901 19080930    41.9
19081001 19081031    15.4
19081101 19081130    34.0
19081201 19081231    27.9
19090101 19090131    66.0
19090201 19090228   105.5
19090301 19090331    12.7
19090401 19090430    27.1
19090501 19090531    11.4
19090601 19090630   109.4
19090701 19090731     7.4
19090801 19090831    44.9
19090901 19090930   119.6
19091001 19091031    45.4
19091101 19091130    68.6
19091201 19091231   190.8
19100101 19100131   146.6
19100201 19100228     0.0
19100301 19100331    58.7
19100401 19100430    14.2
19100501 19100531    34.5
19100601 19100630    72.3
19100701 19100731    49.2
19100801 19100831    30.0
19100901 19100930    38.8
19101001 19101031    68.0
19101101 19101130    19.1
19101201 19101231   103.2
19110101 19110131   131.8
19110201 19110228   165.7
19110301 19110331    27.0
19110401 19110430    13.5
19110501 19110531    36.7
19110601 19110630    34.3
